Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.400000,1.400000,1.350000,1.360000,1.360000,6100
2022-12-28,1.300000,1.390000,1.300000,1.310000,1.310000,11500
2022-12-29,1.450000,1.500000,1.240000,1.350000,1.350000,26500
2022-12-30,1.230000,1.320000,1.130000,1.270000,1.270000,14400
2023-01-03,1.220000,1.300000,1.220000,1.260000,1.260000,7000
2023-01-04,1.280000,1.280000,1.250000,1.270000,1.270000,1400
2023-01-05,1.240000,1.370000,1.240000,1.320000,1.320000,2300
2023-01-06,1.360000,1.440000,1.350000,1.410000,1.410000,1300
2023-01-09,1.420000,1.480000,1.400000,1.400000,1.400000,7400
2023-01-10,1.390000,1.390000,1.380000,1.390000,1.390000,1400
2023-01-11,1.390000,1.410000,1.280000,1.380000,1.380000,6600
2023-01-12,1.380000,1.420000,1.350000,1.350000,1.350000,4600
2023-01-13,1.380000,1.380000,1.370000,1.370000,1.370000,600
2023-01-17,1.380000,1.450000,1.380000,1.380000,1.380000,1800
2023-01-18,1.460000,1.460000,1.360000,1.430000,1.430000,5000
2023-01-19,1.410000,1.410000,1.350000,1.350000,1.350000,18900
2023-01-20,1.380000,1.440000,1.310000,1.370000,1.370000,18300
2023-01-23,1.370000,1.440000,1.370000,1.440000,1.440000,12000
2023-01-24,1.400000,1.440000,1.380000,1.440000,1.440000,3700
2023-01-25,1.380000,1.440000,1.350000,1.440000,1.440000,6900
2023-01-26,1.440000,1.480000,1.360000,1.480000,1.480000,14500
2023-01-27,1.400000,1.470000,1.360000,1.420000,1.420000,6000
2023-01-30,1.380000,1.460000,1.380000,1.450000,1.450000,7000
2023-01-31,1.480000,1.480000,1.430000,1.440000,1.440000,21600
2023-02-01,1.480000,1.530000,1.430000,1.480000,1.480000,4800
2023-02-02,1.500000,1.500000,1.400000,1.430000,1.430000,7900
2023-02-03,1.500000,1.620000,1.490000,1.500000,1.500000,6500
2023-02-06,1.630000,1.690000,1.550000,1.670000,1.670000,13200
2023-02-07,1.710000,1.790000,1.540000,1.600000,1.600000,34900
2023-02-08,1.640000,1.690000,1.600000,1.650000,1.650000,6900
2023-02-09,1.710000,1.780000,1.620000,1.710000,1.710000,14700
2023-02-10,1.700000,1.800000,1.650000,1.740000,1.740000,11400
2023-02-13,1.790000,1.820000,1.750000,1.770000,1.770000,13000
2023-02-14,1.850000,1.850000,1.770000,1.780000,1.780000,8300
2023-02-15,1.790000,1.860000,1.790000,1.850000,1.850000,10800
2023-02-16,1.850000,2.040000,1.850000,2.000000,2.000000,87200
2023-02-17,2.180000,2.320000,2.040000,2.150000,2.150000,172800
2023-02-21,2.250000,2.250000,1.840000,1.860000,1.860000,55100
2023-02-22,1.940000,2.010000,1.850000,1.900000,1.900000,15700
2023-02-23,1.880000,1.950000,1.850000,1.950000,1.950000,22200
2023-02-24,1.940000,1.940000,1.820000,1.870000,1.870000,57600
2023-02-27,1.900000,1.910000,1.830000,1.890000,1.890000,24600
