Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.200000,2.270000,1.940000,2.000000,2.000000,512800
2022-12-28,2.020000,2.120000,2.000000,2.090000,2.090000,242000
2022-12-29,2.120000,2.390000,2.100000,2.240000,2.240000,606700
2022-12-30,2.230000,2.230000,2.030000,2.100000,2.100000,736200
2023-01-03,2.200000,2.675000,2.200000,2.260000,2.260000,954400
2023-01-04,2.260000,2.470000,2.190000,2.460000,2.460000,427800
2023-01-05,2.400000,2.540000,2.340000,2.380000,2.380000,356000
2023-01-06,2.400000,2.480000,2.210000,2.430000,2.430000,291100
2023-01-09,2.490000,2.549000,2.400000,2.430000,2.430000,186600
2023-01-10,2.420000,2.570000,2.410000,2.560000,2.560000,232200
2023-01-11,2.580000,2.750000,2.520000,2.570000,2.570000,368400
2023-01-12,2.610000,2.840000,2.480000,2.820000,2.820000,352200
2023-01-13,2.820000,2.960000,2.760000,2.880000,2.880000,241400
2023-01-17,2.940000,3.090000,2.840000,2.890000,2.890000,341400
2023-01-18,2.910000,3.080000,2.800000,2.910000,2.910000,302600
2023-01-19,2.860000,2.890000,2.280000,2.360000,2.360000,835300
2023-01-20,2.420000,2.802000,2.360000,2.690000,2.690000,596000
2023-01-23,2.850000,3.240000,2.810000,3.090000,3.090000,1075700
2023-01-24,3.110000,3.252000,2.930000,3.120000,3.120000,467500
2023-01-25,3.110000,3.120000,2.850000,3.000000,3.000000,305600
2023-01-26,3.080000,3.320000,3.020000,3.300000,3.300000,461100
2023-01-27,3.260000,3.440000,3.230000,3.260000,3.260000,515100
2023-01-30,3.310000,3.400000,2.960000,3.040000,3.040000,502300
2023-01-31,3.100000,3.309000,3.010000,3.140000,3.140000,411400
2023-02-01,3.160000,3.305000,3.040000,3.230000,3.230000,498600
2023-02-02,3.350000,3.440000,3.230000,3.390000,3.390000,382100
2023-02-03,3.400000,3.630000,3.310000,3.350000,3.350000,543500
2023-02-06,3.460000,3.600000,3.385000,3.410000,3.410000,675600
2023-02-07,3.430000,3.440000,3.210000,3.360000,3.360000,703200
2023-02-08,3.320000,3.539000,3.010000,3.050000,3.050000,840900
2023-02-09,3.110000,3.250000,2.870000,2.895000,2.895000,510500
2023-02-10,2.880000,2.930000,2.500000,2.615000,2.615000,1104400
2023-02-13,2.620000,2.705000,2.570000,2.620000,2.620000,433900
2023-02-14,2.570000,2.740000,2.530000,2.690000,2.690000,556100
2023-02-15,2.690000,2.800000,2.660000,2.770000,2.770000,265500
2023-02-16,2.740000,2.760000,2.570000,2.600000,2.600000,308700
2023-02-17,2.600000,2.720000,2.520000,2.670000,2.670000,368500
2023-02-21,2.660000,2.710000,2.320000,2.430000,2.430000,593700
2023-02-22,2.400000,2.490000,2.365000,2.460000,2.460000,445500
2023-02-23,2.520000,2.581000,2.315000,2.330000,2.330000,399500
2023-02-24,2.310000,2.360000,2.050000,2.240000,2.240000,592400
2023-02-27,2.260000,2.310000,2.080000,2.160000,2.160000,540200
2023-02-28,2.170000,2.230000,2.110000,2.120000,2.120000,354700
2023-03-01,2.100000,2.130000,1.980000,2.010000,2.010000,421700
2023-03-02,1.980000,2.248000,1.965000,2.160000,2.160000,701700
2023-03-03,2.180000,2.228000,2.110000,2.180000,2.180000,226100
2023-03-06,2.210000,2.235000,2.064000,2.090000,2.090000,285500
2023-03-07,2.120000,2.205000,2.020000,2.140000,2.140000,440500
2023-03-08,2.140000,2.140000,2.010000,2.060000,2.060000,301100
2023-03-09,2.060000,2.060000,1.910000,2.000000,2.000000,813800
2023-03-10,2.000000,2.070000,1.820000,1.860000,1.860000,417100
2023-03-13,1.800000,1.870000,1.733000,1.760000,1.760000,414500
2023-03-14,1.830000,1.880000,1.705000,1.745000,1.745000,380300
2023-03-15,1.730000,1.775000,1.670000,1.720000,1.720000,365100
2023-03-16,1.680000,1.720000,1.650000,1.675000,1.675000,367900
2023-03-17,1.660000,1.700000,1.570000,1.590000,1.590000,722800
2023-03-20,1.620000,1.659000,1.530000,1.585000,1.585000,541900
2023-03-21,1.590000,1.780000,1.590000,1.750000,1.750000,578300
2023-03-22,1.760000,1.860000,1.685000,1.690000,1.690000,503800
2023-03-23,1.720000,1.795000,1.680000,1.720000,1.720000,231500
2023-03-24,1.710000,1.730000,1.600000,1.720000,1.720000,397400
2023-03-27,1.750000,1.825000,1.630000,1.730000,1.730000,453400
2023-03-28,1.720000,1.750000,1.610000,1.630000,1.630000,235400
2023-03-29,1.670000,1.785000,1.620000,1.765000,1.765000,312000
2023-03-30,1.800000,1.810000,1.680000,1.680000,1.680000,246200
