Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.390000,2.390000,2.260000,2.330000,2.330000,1243400
2022-12-28,2.310000,2.350000,2.200000,2.220000,2.220000,1267600
2022-12-29,2.220000,2.340000,2.220000,2.320000,2.320000,825600
2022-12-30,2.280000,2.360000,2.260000,2.330000,2.330000,1924600
2023-01-03,2.350000,2.400000,2.220000,2.230000,2.230000,719800
2023-01-04,2.280000,2.280000,2.220000,2.260000,2.260000,383600
2023-01-05,2.230000,2.280000,2.150000,2.260000,2.260000,877500
2023-01-06,2.290000,2.550000,2.270000,2.510000,2.510000,1885600
2023-01-09,2.520000,2.750000,2.510000,2.670000,2.670000,1949300
2023-01-10,2.680000,2.800000,2.650000,2.750000,2.750000,1011300
2023-01-11,2.740000,2.820000,2.680000,2.690000,2.690000,730300
2023-01-12,2.700000,2.870000,2.670000,2.870000,2.870000,1512700
2023-01-13,2.870000,2.930000,2.820000,2.850000,2.850000,668700
2023-01-17,2.830000,2.890000,2.760000,2.800000,2.800000,548800
2023-01-18,2.830000,2.840000,2.650000,2.650000,2.650000,579200
2023-01-19,2.600000,2.680000,2.600000,2.640000,2.640000,351800
2023-01-20,2.680000,2.760000,2.650000,2.760000,2.760000,619000
2023-01-23,2.790000,2.790000,2.680000,2.760000,2.760000,380600
2023-01-24,2.770000,2.800000,2.720000,2.780000,2.780000,308900
2023-01-25,2.790000,2.940000,2.790000,2.870000,2.870000,1409100
2023-01-26,2.880000,2.960000,2.860000,2.930000,2.930000,410200
2023-01-27,2.920000,2.970000,2.890000,2.930000,2.930000,660000
2023-01-30,2.920000,2.980000,2.880000,2.950000,2.950000,613600
2023-01-31,2.960000,3.010000,2.950000,3.010000,3.010000,715000
2023-02-01,3.010000,3.030000,2.900000,2.900000,2.900000,703100
2023-02-02,2.910000,3.000000,2.900000,2.950000,2.950000,545700
2023-02-03,2.940000,3.030000,2.850000,2.900000,2.900000,706100
2023-02-06,2.930000,2.950000,2.890000,2.900000,2.900000,642500
2023-02-07,2.920000,2.980000,2.880000,2.950000,2.950000,548100
2023-02-08,2.920000,2.950000,2.820000,2.830000,2.830000,713700
2023-02-09,2.850000,2.890000,2.740000,2.770000,2.770000,508600
2023-02-10,2.740000,2.770000,2.680000,2.690000,2.690000,499900
2023-02-13,2.680000,2.710000,2.620000,2.680000,2.680000,484900
2023-02-14,2.680000,2.750000,2.650000,2.710000,2.710000,813200
2023-02-15,2.660000,2.730000,2.640000,2.720000,2.720000,660600
2023-02-16,2.680000,2.720000,2.650000,2.650000,2.650000,733800
2023-02-17,2.660000,2.750000,2.640000,2.740000,2.740000,2006900
2023-02-21,2.700000,2.780000,2.670000,2.760000,2.760000,1471100
2023-02-22,2.760000,2.780000,2.720000,2.760000,2.760000,899300
2023-02-23,2.780000,2.780000,2.700000,2.740000,2.740000,1151000
2023-02-24,2.680000,2.710000,2.630000,2.650000,2.650000,850200
2023-02-27,2.650000,2.660000,2.570000,2.650000,2.650000,736900
2023-02-28,2.650000,2.840000,2.630000,2.780000,2.780000,2157000
2023-03-01,2.710000,2.860000,2.710000,2.810000,2.810000,1259900
