Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.900000,6.900000,6.500000,6.500000,6.500000,870
2022-12-28,6.600000,6.750000,6.200000,6.300000,6.300000,2290
2022-12-29,6.400000,6.570000,6.300000,6.350000,6.350000,1800
2022-12-30,6.900000,6.900000,6.230000,6.250000,6.250000,4060
2023-01-03,6.000000,6.200000,6.000000,6.000000,6.000000,4760
2023-01-04,6.040000,6.200000,6.000000,6.200000,6.200000,2150
2023-01-05,12.800000,18.700001,10.100000,10.700000,10.700000,4378800
2023-01-06,9.400000,10.700000,9.000000,9.110000,9.110000,184400
2023-01-09,8.780000,9.800000,8.250000,9.800000,9.800000,103120
2023-01-10,9.410000,9.500000,8.500000,9.370000,9.370000,37390
2023-01-11,9.000000,10.200000,8.810000,9.800000,9.800000,43530
2023-01-12,9.700000,9.750000,8.900000,9.320000,9.320000,28320
2023-01-13,9.000000,9.200000,8.500000,8.650000,8.650000,16650
2023-01-17,8.800000,8.800000,7.710000,8.140000,8.140000,17510
2023-01-18,8.400000,8.400000,7.400000,7.650000,7.650000,14730
2023-01-19,7.900000,8.300000,7.800000,7.800000,7.800000,8580
2023-01-20,7.900000,8.000000,7.600000,7.800000,7.800000,8580
2023-01-23,8.000000,8.150000,7.600000,7.610000,7.610000,7160
2023-01-24,7.650000,7.960000,7.510000,7.520000,7.520000,9180
2023-01-25,7.940000,7.980000,7.520000,7.530000,7.530000,4240
2023-01-26,7.700000,7.800000,7.600000,7.610000,7.610000,3600
2023-01-27,7.700000,7.800000,7.520000,7.600000,7.600000,4100
2023-01-30,7.700000,7.700000,7.300000,7.300000,7.300000,9500
2023-01-31,7.460000,7.590000,7.100000,7.220000,7.220000,6110
2023-02-01,7.300000,7.400000,7.080000,7.250000,7.250000,8890
2023-02-02,7.390000,7.390000,7.000000,7.100000,7.100000,6800
2023-02-03,7.200000,7.390000,7.000000,7.030000,7.030000,7270
2023-02-06,7.100000,7.300000,7.100000,7.200000,7.200000,2820
2023-02-07,7.200000,7.200000,7.030000,7.120000,7.120000,2580
2023-02-08,7.390000,7.390000,7.000000,7.020000,7.020000,3140
2023-02-09,7.190000,7.560000,6.600000,6.810000,6.810000,9030
2023-02-10,7.000000,7.900000,6.900000,7.500000,7.500000,21240
2023-02-13,7.350000,7.350000,6.900000,6.910000,6.910000,12130
2023-02-14,7.200000,7.250000,7.000000,7.050000,7.050000,940
2023-02-15,7.000000,7.400000,7.000000,7.250000,7.250000,1830
2023-02-16,7.100000,7.500000,7.100000,7.250000,7.250000,2640
2023-02-17,7.200000,7.400000,7.000000,7.250000,7.250000,4370
2023-02-21,7.500000,8.280000,7.210000,7.700000,7.700000,24850
2023-02-22,7.700000,7.750000,7.410000,7.500000,7.500000,7460
2023-02-23,7.400000,7.750000,6.900000,7.300000,7.300000,57520
2023-02-24,7.200000,7.250000,6.710000,6.950000,6.950000,34360
2023-02-27,7.050000,7.400000,6.800000,6.900000,6.900000,7340
2023-02-28,6.900000,7.000000,6.500000,6.640000,6.640000,15580
2023-03-01,6.900000,6.900000,6.100000,6.330000,6.330000,14830
2023-03-02,6.400000,6.660000,6.400000,6.550000,6.550000,3190
2023-03-03,7.000000,7.060000,6.700000,7.000000,7.000000,11630
2023-03-06,6.800000,7.000000,6.700000,6.730000,6.730000,4530
2023-03-07,6.800000,6.940000,6.500000,6.600000,6.600000,3160
2023-03-08,6.600000,6.600000,6.330000,6.500000,6.500000,1240
2023-03-09,7.000000,7.000000,6.400000,6.400000,6.400000,3380
2023-03-10,6.300000,6.400000,5.520000,5.910000,5.910000,10140
2023-03-13,5.900000,6.000000,5.510000,5.800000,5.800000,3880
2023-03-14,5.800000,7.600000,5.800000,6.450000,6.450000,8810
2023-03-15,6.450000,6.770000,5.800000,5.800000,5.800000,3100
2023-03-16,5.570000,5.800000,5.510000,5.700000,5.700000,4920
2023-03-17,5.700000,6.000000,5.620000,6.000000,6.000000,5210
2023-03-20,6.420000,6.900000,6.370000,6.500000,6.500000,2200
2023-03-21,6.500000,6.900000,5.900000,6.500000,6.500000,2540
2023-03-22,6.130000,6.650000,6.130000,6.140000,6.140000,2800
2023-03-23,6.000000,6.530000,6.000000,6.200000,6.200000,640
2023-03-24,6.510000,6.510000,6.000000,6.100000,6.100000,3670
2023-03-27,6.360000,6.360000,6.100000,6.100000,6.100000,620
2023-03-28,6.000000,6.210000,6.000000,6.000000,6.000000,310
2023-03-29,6.380000,6.580000,6.200000,6.530000,6.530000,2190
2023-03-30,6.270000,6.300000,6.010000,6.200000,6.200000,1060
2023-03-31,5.900000,6.400000,5.900000,6.400000,6.400000,1490
2023-04-03,6.400000,6.580000,6.400000,6.420000,6.420000,1480
2023-04-04,6.400000,6.450000,6.300000,6.420000,6.420000,1330
2023-04-05,6.410000,6.410000,5.860000,6.240000,6.240000,1320
2023-04-06,6.240000,6.500000,6.240000,6.480000,6.480000,650
2023-04-10,6.400000,6.670000,6.100000,6.670000,6.670000,3520
2023-04-11,6.600000,6.700000,6.150000,6.300000,6.300000,5570
2023-04-12,6.900000,6.900000,6.300000,6.300000,6.300000,990
2023-04-13,6.740000,6.740000,6.300000,6.620000,6.620000,350
2023-04-14,6.300000,6.900000,6.130000,6.180000,6.180000,1520
2023-04-17,6.500000,6.500000,6.440000,6.480000,6.480000,450
2023-04-18,6.450000,6.650000,6.450000,6.610000,6.610000,4020
2023-04-19,6.600000,6.600000,6.500000,6.600000,6.600000,710
2023-04-20,6.600000,6.700000,6.400000,6.560000,6.560000,1140
2023-04-21,6.400000,7.160000,6.400000,6.700000,6.700000,12610
2023-04-24,7.040000,7.200000,6.000000,6.620000,6.620000,7960
2023-04-25,6.610000,6.900000,6.610000,6.690000,6.690000,1510
2023-04-26,6.360000,7.000000,6.360000,6.600000,6.600000,4220
2023-04-27,6.800000,7.000000,6.700000,7.000000,7.000000,1070
2023-04-28,6.700000,7.000000,6.650000,6.800000,6.800000,2090
2023-05-01,7.200000,7.500000,6.700000,7.200000,7.200000,5460
2023-05-02,7.300000,7.400000,7.200000,7.300000,7.300000,3810
2023-05-03,7.100000,7.580000,6.500000,7.300000,7.300000,3180
2023-05-04,7.300000,7.500000,7.300000,7.500000,7.500000,3290
2023-05-05,7.200000,8.100000,7.200000,8.100000,8.100000,3890
2023-05-08,8.470000,9.470000,8.360000,8.780000,8.780000,14060
2023-05-09,9.600000,9.600000,8.780000,9.200000,9.200000,4020
2023-05-10,9.000000,9.000000,8.000000,8.200000,8.200000,3730
2023-05-11,8.200000,8.200000,7.800000,7.800000,7.800000,470
2023-05-12,8.550000,8.850000,8.200000,8.270000,8.270000,3580
2023-05-15,7.800000,7.980000,7.600000,7.800000,7.800000,3670
2023-05-16,7.200000,8.060000,6.930000,6.950000,6.950000,5850
2023-05-17,7.490000,7.920000,7.300000,7.700000,7.700000,1990
2023-05-18,8.100000,8.100000,7.330000,7.330000,7.330000,1420
2023-05-19,7.600000,7.750000,6.920000,7.300000,7.300000,1830
2023-05-22,7.260000,7.260000,6.510000,6.900000,6.900000,10070
2023-05-23,6.550000,6.800000,6.550000,6.700000,6.700000,3570
2023-05-24,6.700000,6.960000,6.700000,6.960000,6.960000,3000
2023-05-25,6.780000,6.900000,6.700000,6.760000,6.760000,510
2023-05-26,6.800000,7.000000,6.700000,6.700000,6.700000,5290
2023-05-30,6.800000,7.040000,6.800000,6.810000,6.810000,1450
2023-05-31,6.900000,7.000000,6.700000,6.800000,6.800000,2380
2023-06-01,6.800000,6.800000,6.700000,6.710000,6.710000,770
2023-06-02,6.700000,6.720000,6.500000,6.660000,6.660000,3580
2023-06-05,6.600000,6.680000,6.050000,6.130000,6.130000,2980
2023-06-06,6.100000,6.500000,6.100000,6.300000,6.300000,920
2023-06-07,6.300000,6.450000,6.300000,6.300000,6.300000,720
2023-06-08,6.980000,6.980000,6.200000,6.290000,6.290000,3240
2023-06-09,6.490000,6.490000,6.000000,6.000000,6.000000,470
2023-06-12,6.200000,6.200000,5.800000,6.200000,6.200000,3260
2023-06-13,6.200000,6.300000,6.100000,6.100000,6.100000,1930
2023-06-14,6.100000,6.250000,5.820000,6.250000,6.250000,3140
2023-06-15,6.010000,6.120000,5.750000,6.010000,6.010000,6640
2023-06-16,5.800000,5.900000,5.750000,5.820000,5.820000,3690
2023-06-20,5.700000,6.280000,5.500000,6.280000,6.280000,3430
2023-06-21,6.100000,6.100000,5.800000,5.900000,5.900000,1300
2023-06-22,5.690000,5.870000,5.400000,5.400000,5.400000,3920
2023-06-23,6.000000,6.000000,5.290000,5.290000,5.290000,4680
2023-06-26,5.700000,5.800000,5.400000,5.690000,5.690000,2210
2023-06-27,5.900000,5.900000,5.100000,5.200000,5.200000,4430
2023-06-28,5.200000,5.200000,5.100000,5.100000,5.100000,2380
2023-06-29,5.200000,5.200000,4.970000,5.020000,5.020000,3150
2023-06-30,5.300000,5.300000,5.000000,5.200000,5.200000,3380
2023-07-03,5.300000,5.300000,5.000000,5.300000,5.300000,2490
2023-07-05,5.300000,5.300000,4.610000,4.960000,4.960000,14870
2023-07-06,4.800000,4.900000,4.610000,4.640000,4.640000,6250
2023-07-07,5.370000,5.370000,4.470000,4.670000,4.670000,8540
