Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.600000,3.610000,2.300000,2.480000,2.480000,2925221
2022-12-28,2.550000,2.700000,2.190000,2.570000,2.570000,917615
2022-12-29,2.680000,2.692800,2.470000,2.600000,2.600000,613000
2022-12-30,2.520000,2.665000,2.450000,2.510000,2.510000,693744
2023-01-03,2.550000,2.689900,2.530000,2.620000,2.620000,477964
2023-01-04,2.620000,2.745000,2.511000,2.680000,2.680000,482578
2023-01-05,2.820000,2.836300,2.710000,2.810000,2.810000,515700
2023-01-06,2.800000,2.885000,2.760000,2.790000,2.790000,277978
2023-01-09,2.790000,2.850000,2.760000,2.770000,2.770000,222242
2023-01-10,2.770000,2.820000,2.652100,2.760000,2.760000,248621
2023-01-11,2.700000,2.890000,2.560000,2.850000,2.850000,827056
2023-01-12,3.020000,3.180000,2.911500,3.050000,3.050000,2349603
2023-01-13,2.580000,3.040000,2.450000,3.000000,3.000000,1504324
2023-01-17,2.540000,2.740000,2.300000,2.450000,2.450000,1459443
2023-01-18,2.450000,2.510000,2.380000,2.410000,2.410000,462961
2023-01-19,2.350000,2.490000,2.320000,2.390000,2.390000,569362
2023-01-20,2.350000,2.440000,2.300000,2.410000,2.410000,476127
2023-01-23,2.420000,2.470000,2.350000,2.400000,2.400000,419048
2023-01-24,2.400000,2.426300,2.328300,2.370000,2.370000,218287
2023-01-25,2.290000,2.440000,2.260000,2.400000,2.400000,205798
2023-01-26,2.410000,2.440000,2.370000,2.420000,2.420000,274967
2023-01-27,2.400000,2.429400,2.350000,2.360000,2.360000,230227
2023-01-30,2.450000,2.450000,2.091400,2.270000,2.270000,257630
2023-01-31,2.250000,2.345000,2.250000,2.320000,2.320000,236532
2023-02-01,2.330000,2.355000,2.185000,2.280000,2.280000,499083
2023-02-02,2.260000,2.320000,2.130000,2.170000,2.170000,664948
2023-02-03,2.220000,2.265000,2.130100,2.220000,2.220000,207560
2023-02-06,2.200000,2.330000,2.160000,2.280000,2.280000,310228
2023-02-07,2.270000,2.280000,2.185000,2.220000,2.220000,129490
2023-02-08,2.190000,2.204200,2.020000,2.050000,2.050000,294347
2023-02-09,2.070000,2.140000,2.065000,2.100000,2.100000,139189
2023-02-10,2.110000,2.120000,2.010000,2.090000,2.090000,111646
2023-02-13,2.100000,2.170000,2.070000,2.160000,2.160000,105558
2023-02-14,2.130000,2.179900,2.100000,2.120000,2.120000,86683
2023-02-15,2.110000,2.160000,2.060000,2.090000,2.090000,126069
2023-02-16,2.080000,2.320000,2.070000,2.220000,2.220000,173800
2023-02-17,2.270000,2.350000,2.190000,2.310000,2.310000,151162
2023-02-21,2.250000,2.250000,2.130000,2.140000,2.140000,84523
2023-02-22,2.150000,2.210000,2.110000,2.180000,2.180000,74391
2023-02-23,2.210100,2.260000,2.160000,2.160000,2.160000,46915
2023-02-24,2.190000,2.190000,2.110000,2.140000,2.140000,36016
2023-02-27,2.140000,2.170000,2.050000,2.090000,2.090000,92648
2023-02-28,2.070000,2.105000,2.020000,2.030000,2.030000,124553
2023-03-01,2.060000,2.060000,1.920000,2.000000,2.000000,98234
2023-03-02,1.960000,2.070000,1.940000,2.050000,2.050000,71452
2023-03-03,2.010000,2.060000,1.970000,1.980000,1.980000,74943
2023-03-06,2.000000,2.000000,1.840000,1.870000,1.870000,90743
2023-03-07,1.900000,1.900000,1.720000,1.770000,1.770000,141989
2023-03-08,1.750000,1.800000,1.725000,1.789900,1.789900,95814
2023-03-09,1.790000,1.850000,1.690000,1.700000,1.700000,89792
2023-03-10,1.720000,1.720000,1.620000,1.670000,1.670000,105240
2023-03-13,1.690000,1.758700,1.630000,1.720000,1.720000,46433
2023-03-14,1.780000,1.830000,1.660000,1.670000,1.670000,134572
2023-03-15,1.630000,1.670000,1.570000,1.600000,1.600000,130970
2023-03-16,1.550000,1.660000,1.550000,1.550000,1.550000,81584
2023-03-17,0.820000,0.975300,0.650000,0.670000,0.670000,4510468
2023-03-20,0.730000,1.120000,0.690000,0.850000,0.850000,4620830
2023-03-21,0.870000,0.900000,0.788000,0.791000,0.791000,508783
2023-03-22,0.767800,0.789200,0.700000,0.750000,0.750000,489897
2023-03-23,0.814100,0.814100,0.750000,0.772000,0.772000,113445
2023-03-24,0.770100,0.800000,0.743000,0.750000,0.750000,122312
2023-03-27,0.770000,0.784000,0.712500,0.758000,0.758000,150560
2023-03-28,0.769900,0.811000,0.750000,0.750000,0.750000,237216
2023-03-29,0.770000,0.808000,0.745000,0.760000,0.760000,193134
2023-03-30,0.759800,0.785000,0.734500,0.750000,0.750000,321678
2023-03-31,0.770000,0.772300,0.734700,0.758500,0.758500,157765
2023-04-03,0.780000,0.879900,0.760000,0.879900,0.879900,251128
2023-04-04,0.887300,0.899900,0.810000,0.835000,0.835000,201124
2023-04-05,0.850000,0.880000,0.810400,0.844600,0.844600,168524
2023-04-06,0.818100,0.900000,0.818100,0.879500,0.879500,288384
2023-04-10,0.890000,0.975000,0.835700,0.927400,0.927400,452170
2023-04-11,0.966600,1.000000,0.928100,0.974800,0.974800,290255
2023-04-12,0.990000,1.000000,0.942600,0.990000,0.990000,130924
2023-04-13,1.000000,1.170000,0.990000,1.110000,1.110000,470631
2023-04-14,1.160000,1.160000,1.070000,1.140000,1.140000,131800
2023-04-17,1.080000,1.140000,1.060000,1.070000,1.070000,136075
2023-04-18,1.040000,1.110000,1.000000,1.020000,1.020000,200137
2023-04-19,1.020000,1.060000,0.980000,1.040000,1.040000,171867
2023-04-20,1.060000,1.098000,0.995000,1.030000,1.030000,71990
2023-04-21,1.040000,1.060000,0.938800,0.949300,0.949300,148180
2023-04-24,0.929200,0.950000,0.870000,0.884100,0.884100,98655
2023-04-25,0.877600,0.927900,0.830000,0.869800,0.869800,155576
2023-04-26,0.850000,0.953000,0.850000,0.920100,0.920100,239705
2023-04-27,0.910000,0.948000,0.880500,0.880500,0.880500,197639
2023-04-28,0.880000,0.906900,0.850200,0.877600,0.877600,148527
2023-05-01,0.880000,0.900000,0.850100,0.850200,0.850200,164515
2023-05-02,0.851200,0.870000,0.800100,0.814400,0.814400,107614
2023-05-03,0.820000,0.849500,0.768700,0.773800,0.773800,275457
2023-05-04,0.790000,0.797800,0.750000,0.756000,0.756000,131656
2023-05-05,0.760000,0.780000,0.750000,0.755000,0.755000,225211
2023-05-08,0.780000,0.780900,0.750000,0.765900,0.765900,126724
2023-05-09,0.770000,0.779000,0.720000,0.760000,0.760000,162333
2023-05-10,0.770000,0.797900,0.745300,0.755100,0.755100,118285
2023-05-11,0.770000,0.770100,0.735000,0.755700,0.755700,136466
2023-05-12,0.755700,0.769900,0.735000,0.762000,0.762000,297568
2023-05-15,0.800000,0.844800,0.720000,0.755900,0.755900,292613
2023-05-16,0.755700,0.786900,0.740000,0.775200,0.775200,252012
2023-05-17,0.780000,0.850000,0.770000,0.805400,0.805400,340772
2023-05-18,0.795700,0.830000,0.752000,0.752000,0.752000,164831
2023-05-19,0.752000,0.830000,0.749000,0.830000,0.830000,143078
2023-05-22,0.801000,0.841400,0.793200,0.835000,0.835000,220525
2023-05-23,0.850000,0.870000,0.810000,0.849900,0.849900,154714
2023-05-24,0.850000,1.030000,0.850000,0.900000,0.900000,746022
2023-05-25,0.881200,0.889500,0.819500,0.844800,0.844800,115145
2023-05-26,0.870000,0.912000,0.840000,0.906000,0.906000,91887
2023-05-30,0.920000,0.920000,0.851000,0.900000,0.900000,116778
2023-05-31,0.900000,0.900000,0.850100,0.890000,0.890000,78385
2023-06-01,0.890000,0.910000,0.861000,0.864900,0.864900,219990
2023-06-02,0.861000,0.902520,0.846700,0.894000,0.894000,89890
2023-06-05,0.910000,0.920000,0.850000,0.875000,0.875000,151823
2023-06-06,0.860000,0.920000,0.860000,0.905000,0.905000,137170
2023-06-07,0.940000,1.150000,0.900000,1.000000,1.000000,333807
2023-06-08,1.040000,1.090000,0.930000,0.940000,0.940000,1087089
2023-06-09,0.950000,0.970000,0.934600,0.962200,0.962200,132656
2023-06-12,0.970000,0.998900,0.960100,0.985000,0.985000,181325
2023-06-13,0.990000,1.040000,0.985500,0.995500,0.995500,182847
2023-06-14,1.000000,1.010000,0.980000,0.980000,0.980000,134942
