Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,7.910000,8.040000,7.580000,7.720000,7.720000,481100
2022-12-28,7.720000,8.210000,7.720000,8.100000,8.100000,523200
2022-12-29,8.170000,8.760000,8.000000,8.550000,8.550000,636700
2022-12-30,8.450000,8.940000,8.400000,8.940000,8.940000,446600
2023-01-03,9.030000,9.250000,8.400000,8.570000,8.570000,464000
2023-01-04,8.720000,8.770000,8.160000,8.500000,8.500000,764900
2023-01-05,8.430000,8.515000,8.150000,8.220000,8.220000,421100
2023-01-06,8.280000,8.670000,8.085000,8.380000,8.380000,337800
2023-01-09,8.470000,8.470000,7.565000,7.630000,7.630000,771100
2023-01-10,7.620000,7.900000,7.420000,7.680000,7.680000,1071400
2023-01-11,7.660000,7.920000,7.470000,7.740000,7.740000,535400
2023-01-12,7.800000,8.650000,7.490000,8.600000,8.600000,1826200
2023-01-13,8.850000,9.070000,8.390000,8.690000,8.690000,843900
2023-01-17,8.700000,9.000000,8.610000,8.730000,8.730000,600500
2023-01-18,8.810000,9.140000,8.345000,8.380000,8.380000,340700
2023-01-19,8.300000,8.580000,8.190000,8.300000,8.300000,404500
2023-01-20,8.460000,9.010000,8.360000,8.840000,8.840000,548400
2023-01-23,8.820000,8.940000,8.600000,8.850000,8.850000,432600
2023-01-24,8.840000,9.230000,8.670000,9.050000,9.050000,297300
2023-01-25,9.000000,9.230000,8.705000,9.210000,9.210000,283100
2023-01-26,9.310000,9.400000,8.770000,8.890000,8.890000,272300
2023-01-27,8.910000,9.145000,8.859000,8.960000,8.960000,265800
2023-01-30,8.860000,9.020000,8.530000,8.690000,8.690000,297800
2023-01-31,8.750000,9.270000,8.685000,9.150000,9.150000,355600
2023-02-01,9.210000,9.230000,8.770000,9.130000,9.130000,370100
2023-02-02,9.240000,9.525000,9.100000,9.230000,9.230000,400300
2023-02-03,9.080000,9.260000,8.675000,8.760000,8.760000,400800
2023-02-06,8.810000,8.820000,8.450000,8.570000,8.570000,374400
2023-02-07,8.570000,8.645000,8.280000,8.490000,8.490000,368600
2023-02-08,8.610000,8.695000,8.175000,8.210000,8.210000,350800
2023-02-09,8.280000,8.420000,7.960000,8.050000,8.050000,272800
2023-02-10,8.060000,8.150000,7.800000,8.110000,8.110000,298400
2023-02-13,8.120000,8.450000,7.977000,8.310000,8.310000,336600
2023-02-14,8.280000,8.280000,7.590000,7.630000,7.630000,558500
2023-02-15,7.590000,8.180000,7.410000,8.140000,8.140000,595800
2023-02-16,8.050000,8.130000,7.850000,7.890000,7.890000,418500
2023-02-17,7.920000,8.480000,7.770000,8.440000,8.440000,975700
2023-02-21,8.400000,8.419000,7.780000,7.850000,7.850000,552900
2023-02-22,7.860000,8.220000,7.850000,8.060000,8.060000,431400
2023-02-23,8.130000,8.250000,7.680000,8.080000,8.080000,367100
2023-02-24,7.950000,8.040000,7.630000,7.660000,7.660000,349700
2023-02-27,7.770000,7.990000,7.650000,7.930000,7.930000,708000
2023-02-28,7.920000,8.108000,7.800000,7.880000,7.880000,303500
2023-03-01,7.870000,7.920000,7.530000,7.640000,7.640000,334900
2023-03-02,7.560000,7.685000,7.420000,7.550000,7.550000,221100
2023-03-03,7.600000,7.940000,7.465000,7.780000,7.780000,287800
2023-03-06,7.780000,7.780000,7.475000,7.660000,7.660000,391900
2023-03-07,7.720000,8.095000,7.590000,7.730000,7.730000,315700
2023-03-08,7.690000,7.750000,7.490000,7.610000,7.610000,457500
2023-03-09,7.610000,7.740000,7.330000,7.440000,7.440000,538500
2023-03-10,7.470000,7.470000,6.820000,7.140000,7.140000,646300
2023-03-13,7.020000,7.790000,7.020000,7.730000,7.730000,820200
2023-03-14,7.880000,8.155000,7.760000,7.960000,7.960000,735800
2023-03-15,7.810000,7.890000,7.330000,7.710000,7.710000,560800
2023-03-16,7.430000,7.860000,7.060000,7.710000,7.710000,740100
2023-03-17,7.620000,7.670000,7.290000,7.430000,7.430000,3544200
2023-03-20,7.440000,7.530000,6.400000,6.410000,6.410000,592600
2023-03-21,6.470000,6.800000,6.395000,6.570000,6.570000,340500
2023-03-22,6.570000,6.770000,5.910000,5.980000,5.980000,547100
2023-03-23,6.040000,6.180000,5.640000,5.790000,5.790000,562600
2023-03-24,5.710000,5.960000,5.700000,5.890000,5.890000,561200
2023-03-27,5.960000,6.065000,5.850000,5.920000,5.920000,295800
2023-03-28,5.890000,5.970000,5.510000,5.520000,5.520000,298400
2023-03-29,5.600000,6.120000,5.560000,6.050000,6.050000,351500
