Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.430000,2.540000,2.420000,2.420000,2.420000,64500
2022-12-28,2.400000,2.560000,2.360000,2.430000,2.430000,70200
2022-12-29,2.490000,2.600000,2.410000,2.550000,2.550000,99200
2022-12-30,2.500000,2.590000,2.430000,2.450000,2.450000,72500
2023-01-03,2.490000,2.680000,2.460000,2.530000,2.530000,81200
2023-01-04,2.550000,2.550000,2.440000,2.490000,2.490000,30500
2023-01-05,2.490000,2.510000,2.470000,2.500000,2.500000,31000
2023-01-06,2.500000,2.610000,2.500000,2.610000,2.610000,68500
2023-01-09,2.630000,2.820000,2.630000,2.800000,2.800000,89300
2023-01-10,2.810000,3.640000,2.800000,3.430000,3.430000,385200
2023-01-11,3.450000,3.760000,3.450000,3.730000,3.730000,236100
2023-01-12,3.780000,4.120000,3.620000,3.980000,3.980000,213400
2023-01-13,3.950000,4.450000,3.910000,4.280000,4.280000,194500
2023-01-17,4.400000,4.430000,4.130000,4.430000,4.430000,94900
2023-01-18,4.490000,5.000000,4.350000,4.620000,4.620000,326700
2023-01-19,4.630000,4.720000,4.070000,4.250000,4.250000,188800
2023-01-20,4.470000,4.600000,4.250000,4.560000,4.560000,161500
2023-01-23,4.650000,5.180000,4.580000,5.130000,5.130000,139300
2023-01-24,5.170000,5.200000,4.840000,5.020000,5.020000,77300
2023-01-25,5.000000,5.000000,4.710000,4.900000,4.900000,65500
2023-01-26,4.900000,5.040000,4.710000,4.710000,4.710000,29000
2023-01-27,4.680000,5.150000,4.680000,4.940000,4.940000,71100
2023-01-30,4.960000,5.050000,4.760000,4.850000,4.850000,65700
2023-01-31,4.880000,5.010000,4.790000,4.860000,4.860000,53600
2023-02-01,4.820000,5.120000,4.800000,5.040000,5.040000,76600
2023-02-02,5.110000,5.180000,4.860000,4.990000,4.990000,92500
2023-02-03,4.950000,5.270000,4.950000,5.200000,5.200000,74000
2023-02-06,5.200000,5.300000,5.010000,5.200000,5.200000,38200
2023-02-07,5.200000,5.380000,5.030000,5.380000,5.380000,85100
2023-02-08,5.420000,5.590000,5.260000,5.330000,5.330000,105600
2023-02-09,5.330000,5.530000,5.200000,5.260000,5.260000,47300
2023-02-10,5.260000,5.380000,5.100000,5.360000,5.360000,58000
2023-02-13,5.450000,5.650000,5.110000,5.580000,5.580000,144800
2023-02-14,5.750000,5.800000,5.550000,5.800000,5.800000,114300
2023-02-15,5.920000,5.920000,4.560000,4.900000,4.900000,304000
2023-02-16,5.050000,5.500000,4.870000,5.410000,5.410000,164200
2023-02-17,5.450000,5.570000,5.150000,5.510000,5.510000,72600
2023-02-21,5.360000,5.510000,5.250000,5.410000,5.410000,60000
2023-02-22,5.320000,5.410000,5.140000,5.220000,5.220000,38600
2023-02-23,5.220000,5.280000,4.960000,5.070000,5.070000,122800
2023-02-24,5.020000,5.070000,4.770000,4.990000,4.990000,91300
2023-02-27,5.000000,5.050000,4.790000,4.930000,4.930000,80700
2023-02-28,4.870000,5.000000,4.610000,4.850000,4.850000,82600
2023-03-01,4.910000,4.910000,4.670000,4.810000,4.810000,57100
2023-03-02,4.800000,4.850000,4.680000,4.750000,4.750000,23000
2023-03-03,4.750000,5.180000,4.750000,5.120000,5.120000,66800
2023-03-06,5.190000,5.400000,5.100000,5.370000,5.370000,73600
2023-03-07,5.300000,5.300000,4.930000,5.050000,5.050000,58100
2023-03-08,5.020000,5.140000,4.950000,5.110000,5.110000,57800
2023-03-09,5.160000,5.190000,4.790000,4.950000,4.950000,95800
2023-03-10,4.970000,4.970000,4.310000,4.440000,4.440000,127100
2023-03-13,4.500000,4.500000,4.180000,4.280000,4.280000,165400
2023-03-14,4.370000,4.700000,4.280000,4.530000,4.530000,91100
2023-03-15,4.570000,4.630000,4.460000,4.560000,4.560000,84500
2023-03-16,4.450000,4.660000,4.380000,4.440000,4.440000,55100
2023-03-17,4.540000,4.700000,4.270000,4.350000,4.350000,249200
2023-03-20,4.400000,4.470000,4.280000,4.380000,4.380000,62100
2023-03-21,4.530000,4.700000,4.380000,4.380000,4.380000,119900
2023-03-22,4.440000,4.700000,4.440000,4.700000,4.700000,35200
2023-03-23,4.670000,4.750000,4.620000,4.710000,4.710000,36800
2023-03-24,4.610000,5.000000,4.520000,4.920000,4.920000,71400
2023-03-27,5.000000,5.200000,4.960000,5.130000,5.130000,93800
2023-03-28,5.130000,5.660000,5.130000,5.550000,5.550000,112800
2023-03-29,5.600000,6.050000,5.080000,5.970000,5.970000,233200
2023-03-30,6.050000,7.150000,6.050000,6.320000,6.320000,732000
2023-03-31,6.370000,6.860000,5.510000,6.800000,6.800000,244700
2023-04-03,6.820000,7.200000,6.760000,7.200000,7.200000,173700
2023-04-04,7.100000,7.300000,6.580000,6.750000,6.750000,189300
2023-04-05,6.800000,6.940000,6.610000,6.710000,6.710000,74100
2023-04-06,6.760000,7.090000,6.620000,7.060000,7.060000,136500
2023-04-10,7.060000,7.280000,6.620000,7.100000,7.100000,143900
2023-04-11,7.080000,7.100000,6.780000,6.790000,6.790000,66200
2023-04-12,6.840000,6.990000,6.680000,6.820000,6.820000,44600
2023-04-13,6.900000,7.070000,6.850000,6.980000,6.980000,29400
2023-04-14,6.980000,7.500000,6.830000,7.250000,7.250000,304200
2023-04-17,7.310000,7.800000,7.200000,7.800000,7.800000,120100
2023-04-18,7.770000,7.800000,7.150000,7.380000,7.380000,126600
2023-04-19,7.460000,7.460000,7.010000,7.010000,7.010000,63100
2023-04-20,7.320000,7.400000,5.920000,6.800000,6.800000,336300
2023-04-21,6.940000,8.190000,6.700000,8.050000,8.050000,492300
2023-04-24,7.940000,8.250000,7.710000,8.080000,8.080000,166500
2023-04-25,8.110000,8.120000,7.870000,8.020000,8.020000,73200
