Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.760000,1.885000,1.695000,1.740000,1.740000,707000
2022-12-28,1.770000,1.830000,1.700000,1.735000,1.735000,80300
2022-12-29,1.740000,1.880000,1.680000,1.830000,1.830000,209000
2022-12-30,1.850000,2.055000,1.800000,2.040000,2.040000,184300
2023-01-03,2.100000,2.210000,2.043000,2.210000,2.210000,162100
2023-01-04,2.260000,2.305000,2.120000,2.180000,2.180000,25300
2023-01-05,2.190000,2.240000,2.000000,2.130000,2.130000,837800
2023-01-06,2.100000,2.250000,2.070000,2.160000,2.160000,91100
2023-01-09,2.140000,2.240000,2.063000,2.170000,2.170000,78800
2023-01-10,2.160000,2.280000,2.080000,2.190000,2.190000,116600
2023-01-11,2.190000,2.299000,2.171000,2.240000,2.240000,78900
2023-01-12,2.310000,2.452000,2.190000,2.400000,2.400000,671300
2023-01-13,2.400000,2.530000,2.350000,2.450000,2.450000,591000
2023-01-17,2.400000,2.530000,2.317000,2.350000,2.350000,122200
2023-01-18,2.450000,2.450000,2.220000,2.330000,2.330000,73300
2023-01-19,2.320000,2.440000,2.120000,2.150000,2.150000,73700
2023-01-20,2.170000,2.430000,2.170000,2.410000,2.410000,120700
2023-01-23,2.410000,2.450000,2.310000,2.350000,2.350000,76900
2023-01-24,2.350000,2.410000,2.210000,2.270000,2.270000,72800
2023-01-25,2.200000,2.410000,2.200000,2.340000,2.340000,66700
2023-01-26,2.590000,2.590000,2.270000,2.400000,2.400000,1717400
2023-01-27,2.420000,2.420000,2.280000,2.360000,2.360000,130800
2023-01-30,2.370000,2.390000,2.300000,2.390000,2.390000,57700
2023-01-31,2.360000,2.480000,2.320000,2.480000,2.480000,104700
2023-02-01,2.520000,2.520000,2.360000,2.490000,2.490000,50600
2023-02-02,2.450000,2.510000,2.320000,2.480000,2.480000,182100
2023-02-03,2.470000,2.540000,2.361000,2.430000,2.430000,86400
2023-02-06,2.410000,2.450000,2.350000,2.370000,2.370000,186300
2023-02-07,2.400000,2.450000,2.350000,2.420000,2.420000,27300
2023-02-08,2.380000,2.530000,2.300000,2.380000,2.380000,1464700
2023-02-09,2.440000,2.500000,2.360000,2.470000,2.470000,58700
2023-02-10,2.420000,2.470000,2.345000,2.350000,2.350000,38800
2023-02-13,2.460000,2.460000,2.330000,2.390000,2.390000,59200
2023-02-14,2.390000,2.390000,2.200000,2.310000,2.310000,53400
2023-02-15,2.270000,2.370000,2.250000,2.310000,2.310000,36800
2023-02-16,2.310000,2.420000,2.285000,2.310000,2.310000,24300
2023-02-17,2.340000,2.406000,2.270000,2.370000,2.370000,35700
2023-02-21,2.300000,2.360000,2.200000,2.220000,2.220000,45900
2023-02-22,2.270000,2.330000,2.270000,2.330000,2.330000,29400
2023-02-23,2.330000,2.390000,2.220000,2.360000,2.360000,17100
2023-02-24,2.290000,2.350000,2.240000,2.240000,2.240000,18400
2023-02-27,2.280000,2.330000,2.160000,2.240000,2.240000,19800
2023-02-28,2.240000,2.300000,2.240000,2.290000,2.290000,235800
2023-03-01,2.270000,2.460000,2.255000,2.390000,2.390000,43300
2023-03-02,2.390000,2.390000,2.300000,2.320000,2.320000,34300
2023-03-03,2.330000,2.440000,2.300000,2.400000,2.400000,79300
2023-03-06,2.420000,2.465000,2.360000,2.390000,2.390000,37400
2023-03-07,2.390000,2.420000,2.360000,2.420000,2.420000,8800
2023-03-08,2.410000,2.450000,2.378000,2.400000,2.400000,37100
2023-03-09,2.410000,2.420000,2.270000,2.350000,2.350000,36200
2023-03-10,2.340000,2.340000,2.220000,2.240000,2.240000,71100
2023-03-13,2.260000,2.300000,2.150000,2.190000,2.190000,70200
2023-03-14,2.250000,2.350000,2.220000,2.300000,2.300000,34200
2023-03-15,2.190000,2.350000,2.150000,2.300000,2.300000,47300
2023-03-16,2.300000,2.440000,2.180000,2.310000,2.310000,48200
2023-03-17,2.300000,2.400000,2.200000,2.220000,2.220000,109200
2023-03-20,2.240000,2.310000,2.110000,2.160000,2.160000,81400
2023-03-21,2.200000,2.200000,2.130000,2.200000,2.200000,43800
2023-03-22,2.190000,2.200000,2.140000,2.140000,2.140000,34500
2023-03-23,2.170000,2.200000,2.042000,2.190000,2.190000,1018100
2023-03-24,2.160000,2.230000,2.160000,2.220000,2.220000,86600
2023-03-27,2.200000,2.290000,2.180000,2.230000,2.230000,164900
2023-03-28,2.250000,2.310000,2.190000,2.310000,2.310000,53800
2023-03-29,2.330000,2.450000,2.260000,2.390000,2.390000,103600
2023-03-30,2.430000,2.430000,2.315000,2.380000,2.380000,46700
2023-03-31,2.380000,2.380000,2.310000,2.340000,2.340000,12300
2023-04-03,2.320000,2.330000,2.180000,2.260000,2.260000,16700
2023-04-04,2.270000,2.320000,2.200000,2.235000,2.235000,23000
2023-04-05,2.200000,2.350000,2.191000,2.250000,2.250000,16400
2023-04-06,2.260000,2.278000,2.200000,2.250000,2.250000,13000
2023-04-10,2.230000,2.320000,2.150000,2.150000,2.150000,34500
2023-04-11,2.100000,2.260000,2.100000,2.150000,2.150000,94700
2023-04-12,2.140000,2.220000,2.140000,2.190000,2.190000,100200
2023-04-13,2.250000,2.350000,2.240000,2.290000,2.290000,71100
2023-04-14,2.290000,2.324000,2.176000,2.240000,2.240000,25200
2023-04-17,2.250000,2.250000,2.110000,2.200000,2.200000,80400
2023-04-18,2.210000,2.260000,2.150000,2.205000,2.205000,52900
2023-04-19,2.180000,2.250000,2.150000,2.150000,2.150000,36200
2023-04-20,2.130000,2.200000,2.130000,2.170000,2.170000,31700
2023-04-21,2.180000,2.240000,2.130000,2.180000,2.180000,22800
2023-04-24,2.090000,2.180000,2.060000,2.090000,2.090000,67100
2023-04-25,1.970000,2.080000,1.920000,1.920000,1.920000,93100
2023-04-26,1.960000,2.050000,1.950000,2.040000,2.040000,19900
2023-04-27,2.040000,2.040000,1.830000,1.880000,1.880000,63800
2023-04-28,1.880000,1.945000,1.810000,1.940000,1.940000,189200
2023-05-01,1.940000,2.050000,1.910000,1.990000,1.990000,58100
2023-05-02,1.990000,1.990000,1.820000,1.880000,1.880000,46400
2023-05-03,1.840000,1.920000,1.780000,1.850000,1.850000,173100
2023-05-04,1.820000,2.090000,1.780000,2.060000,2.060000,174900
2023-05-05,2.010000,2.100000,2.000000,2.085000,2.085000,201300
2023-05-08,2.130000,2.160000,2.050000,2.110000,2.110000,109800
2023-05-09,2.110000,2.150000,2.000000,2.100000,2.100000,40200
2023-05-10,2.170000,2.180000,2.060000,2.100000,2.100000,105300
2023-05-11,2.120000,2.150000,2.090000,2.110000,2.110000,76700
2023-05-12,2.130000,2.130000,2.080000,2.090000,2.090000,36000
2023-05-15,2.070000,2.160000,2.020000,2.100000,2.100000,63900
2023-05-16,2.110000,2.160000,2.090000,2.150000,2.150000,28400
2023-05-17,2.160000,2.160000,2.090000,2.090000,2.090000,15600
2023-05-18,2.120000,2.150000,2.095000,2.100000,2.100000,12800
2023-05-19,2.020000,2.150000,2.000000,2.000000,2.000000,52700
2023-05-22,2.000000,2.160000,2.000000,2.110000,2.110000,38500
2023-05-23,2.110000,2.200000,2.050000,2.160000,2.160000,34500
2023-05-24,2.230000,2.290000,2.200000,2.250000,2.250000,80800
2023-05-25,2.270000,2.270000,2.080000,2.100000,2.100000,56000
2023-05-26,2.140000,2.140000,2.010000,2.070000,2.070000,96400
2023-05-30,2.070000,2.120000,2.060000,2.120000,2.120000,35800
2023-05-31,2.140000,2.220000,2.110000,2.180000,2.180000,62500
2023-06-01,2.460000,2.530000,2.260000,2.300000,2.300000,144800
2023-06-02,2.310000,2.390000,2.250000,2.350000,2.350000,131700
