Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,15.120000,15.650000,14.975000,15.030000,15.030000,182100
2022-12-28,15.110000,15.670000,14.985000,15.490000,15.490000,256200
2022-12-29,15.630000,16.400000,15.150000,16.129999,16.129999,179000
2022-12-30,16.129999,16.580000,15.720000,15.750000,15.750000,326200
2023-01-03,15.930000,16.530001,14.890000,15.070000,15.070000,362200
2023-01-04,15.240000,15.300000,14.650000,14.970000,14.970000,267100
2023-01-05,14.770000,15.560000,14.650000,15.230000,15.230000,295400
2023-01-06,15.340000,16.635000,15.210000,16.549999,16.549999,327500
2023-01-09,16.709999,16.760000,16.219999,16.309999,16.309999,218200
2023-01-10,16.309999,17.320000,16.309999,17.250000,17.250000,214700
2023-01-11,17.270000,17.430000,16.200001,16.540001,16.540001,209000
2023-01-12,16.540001,17.719999,16.334999,17.629999,17.629999,232200
2023-01-13,17.540001,18.480000,17.540001,17.950001,17.950001,432900
2023-01-17,17.889999,18.125000,17.320000,17.900000,17.900000,823200
2023-01-18,17.969999,18.240000,17.180000,17.230000,17.230000,326200
2023-01-19,17.160000,17.160000,16.360001,16.680000,16.680000,239200
2023-01-20,17.020000,17.020000,16.200001,16.650000,16.650000,306600
2023-01-23,16.629999,16.674999,16.129999,16.590000,16.590000,323400
2023-01-24,16.559999,16.830000,16.070000,16.400000,16.400000,473200
2023-01-25,16.180000,16.980000,16.000000,16.770000,16.770000,496700
2023-01-26,16.950001,17.100000,16.590000,16.820000,16.820000,290200
2023-01-27,16.750000,17.680000,16.700001,17.480000,17.480000,1016500
2023-01-30,17.670000,18.540001,16.700001,16.850000,16.850000,453300
2023-01-31,16.879999,17.510000,16.730000,16.900000,16.900000,472600
2023-02-01,16.889999,17.150000,16.219999,16.969999,16.969999,653700
2023-02-02,17.030001,17.610001,14.220000,14.330000,14.330000,1994300
2023-02-03,14.810000,15.250000,13.900000,14.050000,14.050000,1890000
2023-02-06,13.990000,14.170000,13.415000,13.730000,13.730000,1090000
2023-02-07,13.910000,14.160000,13.610000,14.080000,14.080000,931900
2023-02-08,13.990000,14.410000,13.680000,13.720000,13.720000,731900
2023-02-09,13.720000,14.130000,13.720000,13.860000,13.860000,906100
2023-02-10,13.790000,14.320000,13.660000,14.290000,14.290000,1192100
2023-02-13,14.170000,14.530000,13.330000,13.530000,13.530000,604600
2023-02-14,13.480000,13.565000,12.920000,13.250000,13.250000,1214200
2023-02-15,13.000000,13.250000,12.810000,13.090000,13.090000,1465500
2023-02-16,12.880000,13.360000,12.874000,13.080000,13.080000,1100200
2023-02-17,13.180000,13.330000,12.970000,13.130000,13.130000,596200
2023-02-21,12.950000,13.200000,12.800000,12.830000,12.830000,632500
2023-02-22,12.910000,13.130000,12.670000,12.690000,12.690000,829200
2023-02-23,12.740000,13.090000,12.430000,12.770000,12.770000,1109100
2023-02-24,12.530000,12.630000,11.860000,12.070000,12.070000,1540300
2023-02-27,12.180000,12.410000,11.730000,12.120000,12.120000,939000
2023-02-28,12.240000,12.700000,12.120000,12.460000,12.460000,972500
2023-03-01,12.410000,12.418000,11.880000,12.240000,12.240000,567100
2023-03-02,12.070000,12.695000,11.870000,12.620000,12.620000,1026500
2023-03-03,12.620000,12.930000,12.390000,12.780000,12.780000,584500
2023-03-06,7.600000,7.740000,5.770000,7.070000,7.070000,15708000
2023-03-07,7.070000,8.100000,6.982000,7.410000,7.410000,3414400
2023-03-08,7.450000,7.890000,7.430000,7.880000,7.880000,1598700
2023-03-09,7.880000,8.190000,7.560000,7.660000,7.660000,1783000
2023-03-10,7.840000,8.390000,7.612000,7.890000,7.890000,1669700
2023-03-13,7.720000,8.460000,7.690000,8.260000,8.260000,1163600
2023-03-14,8.290000,8.630000,8.030000,8.140000,8.140000,1004700
2023-03-15,8.060000,8.170000,7.850000,7.990000,7.990000,618600
2023-03-16,7.950000,8.270000,7.860000,8.120000,8.120000,476300
2023-03-17,8.110000,8.420000,7.720000,7.890000,7.890000,958400
2023-03-20,8.030000,8.280000,7.930000,7.950000,7.950000,544900
2023-03-21,8.000000,8.323000,7.890000,8.240000,8.240000,482100
2023-03-22,8.250000,8.250000,7.880000,7.900000,7.900000,603600
2023-03-23,7.940000,8.245000,7.850000,8.150000,8.150000,608100
2023-03-24,8.060000,8.060000,7.660000,8.010000,8.010000,927900
2023-03-27,8.040000,8.283000,8.040000,8.140000,8.140000,505800
2023-03-28,8.100000,8.340000,7.970000,8.040000,8.040000,833900
2023-03-29,8.130000,8.270000,8.030000,8.250000,8.250000,456800
2023-03-30,8.260000,8.390000,8.040000,8.330000,8.330000,3939000
2023-03-31,8.380000,8.730000,8.040000,8.090000,8.090000,693000
2023-04-03,8.100000,8.640000,8.020000,8.630000,8.630000,603100
2023-04-04,8.630000,8.710000,8.290000,8.670000,8.670000,627000
2023-04-05,8.670000,8.830000,8.430000,8.660000,8.660000,573800
2023-04-06,8.740000,9.190000,8.665000,9.120000,9.120000,539800
2023-04-10,9.110000,9.225000,8.920000,9.160000,9.160000,537600
2023-04-11,9.140000,9.200000,8.550000,8.610000,8.610000,742100
