Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.990000,2.080000,1.910000,2.000000,2.000000,344700
2022-12-28,1.990000,2.010000,1.900000,1.980000,1.980000,126900
2022-12-29,1.990000,2.310000,1.990000,2.130000,2.130000,316700
2022-12-30,2.080000,2.340000,2.080000,2.260000,2.260000,142100
2023-01-03,2.300000,2.370000,2.150000,2.220000,2.220000,219700
2023-01-04,2.230000,2.300000,2.110000,2.150000,2.150000,139200
2023-01-05,2.150000,2.350000,2.120000,2.280000,2.280000,183200
2023-01-06,2.300000,2.350000,2.130000,2.180000,2.180000,199000
2023-01-09,2.190000,2.260000,2.140000,2.180000,2.180000,99800
2023-01-10,2.150000,2.330000,2.150000,2.240000,2.240000,124700
2023-01-11,2.260000,2.350000,2.150000,2.270000,2.270000,128400
2023-01-12,2.290000,2.610000,2.240000,2.500000,2.500000,330800
2023-01-13,2.460000,2.780000,2.460000,2.590000,2.590000,203400
2023-01-17,2.610000,2.670000,2.530000,2.580000,2.580000,76300
2023-01-18,2.540000,2.750000,2.300000,2.390000,2.390000,162200
2023-01-19,2.350000,2.470000,2.240000,2.300000,2.300000,68700
2023-01-20,2.300000,2.520000,2.180000,2.240000,2.240000,164100
2023-01-23,2.220000,2.310000,2.100000,2.180000,2.180000,167800
2023-01-24,2.200000,2.250000,2.010000,2.140000,2.140000,369500
2023-01-25,2.170000,2.170000,2.040000,2.100000,2.100000,92000
2023-01-26,2.090000,2.150000,1.990000,1.990000,1.990000,234400
2023-01-27,2.100000,2.140000,1.950000,1.990000,1.990000,211200
2023-01-30,2.070000,2.070000,1.910000,1.960000,1.960000,149300
2023-01-31,1.970000,2.100000,1.950000,2.000000,2.000000,190400
2023-02-01,2.010000,2.170000,2.000000,2.120000,2.120000,135300
2023-02-02,2.160000,2.300000,2.050000,2.200000,2.200000,172400
2023-02-03,2.210000,2.240000,2.040000,2.080000,2.080000,108500
2023-02-06,2.120000,2.120000,1.960000,2.020000,2.020000,177700
2023-02-07,2.020000,2.070000,1.860000,2.030000,2.030000,315600
2023-02-08,2.080000,2.080000,1.850000,1.940000,1.940000,161000
2023-02-09,2.030000,2.030000,1.800000,1.840000,1.840000,164600
2023-02-10,1.820000,1.860000,1.700000,1.760000,1.760000,194400
2023-02-13,1.780000,1.780000,1.650000,1.680000,1.680000,138900
2023-02-14,1.660000,1.740000,1.520000,1.610000,1.610000,249000
2023-02-15,1.600000,1.620000,1.540000,1.590000,1.590000,87800
2023-02-16,1.550000,1.590000,1.500000,1.550000,1.550000,109000
2023-02-17,1.540000,1.670000,1.450000,1.550000,1.550000,138500
2023-02-21,1.550000,1.580000,1.430000,1.480000,1.480000,183300
2023-02-22,1.480000,1.510000,1.420000,1.450000,1.450000,97300
2023-02-23,1.440000,1.470000,1.350000,1.440000,1.440000,150800
2023-02-24,1.450000,1.450000,1.360000,1.390000,1.390000,104400
2023-02-27,1.390000,1.450000,1.340000,1.360000,1.360000,59400
2023-02-28,1.410000,1.430000,1.370000,1.420000,1.420000,60200
2023-03-01,1.430000,1.430000,1.300000,1.320000,1.320000,133100
2023-03-02,1.330000,1.370000,1.260000,1.300000,1.300000,114200
2023-03-03,1.290000,1.330000,1.270000,1.310000,1.310000,67200
2023-03-06,1.310000,1.330000,1.240000,1.300000,1.300000,105000
2023-03-07,1.290000,1.320000,1.150000,1.210000,1.210000,126300
2023-03-08,1.230000,1.250000,1.150000,1.170000,1.170000,113900
2023-03-09,1.170000,1.200000,1.100000,1.150000,1.150000,110600
2023-03-10,1.160000,1.200000,1.100000,1.180000,1.180000,139900
2023-03-13,1.170000,1.180000,1.060000,1.100000,1.100000,176800
2023-03-14,1.250000,1.250000,0.860000,0.870000,0.870000,2038100
2023-03-15,0.840000,0.840000,0.610000,0.710000,0.710000,1107700
2023-03-16,0.690000,0.720000,0.650000,0.700000,0.700000,392600
2023-03-17,0.710000,0.730000,0.650000,0.660000,0.660000,219300
2023-03-20,0.660000,0.670000,0.570000,0.580000,0.580000,407400
2023-03-21,0.600000,0.700000,0.590000,0.690000,0.690000,252100
2023-03-22,0.720000,0.880000,0.670000,0.720000,0.720000,787200
2023-03-23,0.730000,0.750000,0.670000,0.720000,0.720000,201800
2023-03-24,0.720000,0.720000,0.670000,0.700000,0.700000,115000
2023-03-27,0.680000,0.760000,0.640000,0.760000,0.760000,321900
2023-03-28,0.820000,0.850000,0.660000,0.690000,0.690000,1083400
2023-03-29,0.700000,0.720000,0.700000,0.720000,0.720000,165900
2023-03-30,0.730000,0.730000,0.690000,0.700000,0.700000,362900
2023-03-31,0.700000,0.700000,0.660000,0.660000,0.660000,202800
2023-04-03,0.670000,0.670000,0.600000,0.610000,0.610000,239100
