Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.120000,3.120000,2.760000,2.880000,2.880000,40950
2022-12-28,3.000000,3.360000,2.880000,3.180000,3.180000,332200
2022-12-29,2.880000,3.180000,2.880000,3.120000,3.120000,39400
2022-12-30,3.300000,3.300000,2.880000,3.000000,3.000000,30750
2023-01-03,3.000000,3.180000,3.000000,3.000000,3.000000,38850
2023-01-04,3.000000,3.180000,3.000000,3.120000,3.120000,26850
2023-01-05,3.120000,3.840000,3.060000,3.660000,3.660000,161917
2023-01-06,3.720000,4.260000,3.540000,4.260000,4.260000,97567
2023-01-09,4.320000,4.320000,4.020000,4.080000,4.080000,34833
2023-01-10,4.200000,4.320000,4.020000,4.320000,4.320000,26433
2023-01-11,4.440000,4.440000,4.140000,4.140000,4.140000,31867
2023-01-12,4.140000,4.260000,3.900000,4.260000,4.260000,27500
2023-01-13,4.320000,4.320000,4.080000,4.260000,4.260000,18300
2023-01-17,4.500000,4.740000,4.260000,4.500000,4.500000,44267
2023-01-18,4.440000,4.920000,4.440000,4.680000,4.680000,37633
2023-01-19,4.800000,4.860000,4.500000,4.800000,4.800000,20200
2023-01-20,4.800000,5.040000,4.680000,4.860000,4.860000,18483
2023-01-23,4.860000,5.040000,4.680000,4.860000,4.860000,28433
2023-01-24,4.920000,4.980000,4.680000,4.740000,4.740000,14150
2023-01-25,4.680000,4.740000,4.260000,4.500000,4.500000,22500
2023-01-26,4.500000,4.500000,4.200000,4.320000,4.320000,23550
2023-01-27,4.080000,4.320000,3.960000,4.260000,4.260000,19517
2023-01-30,4.440000,4.440000,4.200000,4.380000,4.380000,16183
2023-01-31,4.440000,4.500000,4.080000,4.260000,4.260000,19467
2023-02-01,4.260000,4.260000,3.840000,3.960000,3.960000,26700
2023-02-02,4.080000,4.260000,4.080000,4.140000,4.140000,28850
2023-02-03,4.260000,4.260000,4.020000,4.140000,4.140000,21000
2023-02-06,4.080000,4.260000,4.080000,4.260000,4.260000,18317
2023-02-07,4.260000,4.260000,4.140000,4.260000,4.260000,10000
2023-02-08,4.200000,4.260000,4.020000,4.140000,4.140000,13767
2023-02-09,4.140000,4.200000,4.020000,4.140000,4.140000,2917
2023-02-10,4.260000,4.260000,4.020000,4.080000,4.080000,10433
2023-02-13,4.200000,4.200000,3.780000,3.840000,3.840000,34833
2023-02-14,3.780000,4.140000,3.660000,3.960000,3.960000,15733
2023-02-15,3.900000,3.960000,3.780000,3.840000,3.840000,9517
2023-02-16,4.080000,4.080000,3.780000,3.840000,3.840000,11567
2023-02-17,3.780000,3.900000,3.600000,3.780000,3.780000,13283
2023-02-21,3.900000,3.900000,3.600000,3.780000,3.780000,8633
2023-02-22,3.600000,3.720000,3.420000,3.420000,3.420000,12133
2023-02-23,3.540000,3.600000,3.360000,3.540000,3.540000,7367
2023-02-24,3.660000,3.660000,3.120000,3.240000,3.240000,21433
2023-02-27,3.240000,3.360000,3.180000,3.180000,3.180000,12433
2023-02-28,3.180000,3.180000,3.060000,3.060000,3.060000,14133
2023-03-01,3.120000,3.180000,3.060000,3.060000,3.060000,6233
2023-03-02,3.060000,3.120000,2.880000,2.940000,2.940000,17250
2023-03-03,2.940000,3.120000,2.880000,2.940000,2.940000,13117
2023-03-06,2.760000,3.120000,2.760000,2.940000,2.940000,14933
2023-03-07,3.120000,3.120000,2.880000,3.000000,3.000000,11100
2023-03-08,3.060000,3.060000,3.000000,3.000000,3.000000,11117
2023-03-09,3.000000,3.060000,2.820000,2.820000,2.820000,16917
2023-03-10,2.940000,3.000000,2.700000,2.760000,2.760000,11650
