Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.990000,4.130000,3.940000,4.110000,4.110000,246900
2022-12-28,4.100000,4.270000,4.100000,4.210000,4.210000,613400
2022-12-29,4.230000,4.350000,4.200000,4.260000,4.260000,518700
2022-12-30,4.250000,4.300000,4.100000,4.210000,4.210000,256300
2023-01-03,4.220000,4.220000,3.920000,3.990000,3.990000,316100
2023-01-04,3.990000,4.030000,3.910000,3.920000,3.920000,221300
2023-01-05,3.910000,3.970000,3.850000,3.920000,3.920000,172300
2023-01-06,3.930000,4.000000,3.910000,3.950000,3.950000,376100
2023-01-09,3.850000,3.990000,3.830000,3.960000,3.960000,368100
2023-01-10,3.940000,4.200000,3.930000,4.100000,4.100000,529600
2023-01-11,4.130000,4.150000,4.090000,4.130000,4.130000,306600
2023-01-12,4.140000,4.300000,4.140000,4.290000,4.290000,411100
2023-01-13,4.270000,4.350000,4.270000,4.340000,4.340000,341300
2023-01-17,4.340000,4.390000,4.190000,4.210000,4.210000,285800
2023-01-18,4.200000,4.240000,4.150000,4.220000,4.220000,200000
2023-01-19,4.180000,4.210000,4.150000,4.210000,4.210000,87500
2023-01-20,4.220000,4.270000,4.180000,4.230000,4.230000,149500
2023-01-23,4.250000,4.300000,4.180000,4.270000,4.270000,125400
2023-01-24,4.250000,4.400000,4.160000,4.350000,4.350000,206500
2023-01-25,4.330000,4.350000,4.280000,4.330000,4.330000,90000
2023-01-26,4.360000,4.430000,4.330000,4.390000,4.390000,222500
2023-01-27,4.370000,4.430000,4.320000,4.330000,4.330000,122100
2023-01-30,4.310000,4.330000,4.200000,4.220000,4.220000,108100
2023-01-31,4.220000,4.420000,4.220000,4.360000,4.360000,212600
2023-02-01,4.390000,4.410000,4.330000,4.360000,4.360000,125100
2023-02-02,4.400000,4.460000,4.330000,4.330000,4.330000,329200
2023-02-03,4.310000,4.380000,4.240000,4.260000,4.260000,123200
2023-02-06,4.260000,4.400000,4.070000,4.150000,4.150000,280100
2023-02-07,4.170000,4.230000,4.130000,4.150000,4.150000,491300
2023-02-08,4.140000,4.300000,4.120000,4.260000,4.260000,432300
2023-02-09,4.270000,4.330000,4.200000,4.240000,4.240000,252100
2023-02-10,4.250000,4.310000,4.230000,4.260000,4.260000,139700
2023-02-13,4.240000,4.250000,4.180000,4.230000,4.230000,81100
2023-02-14,4.200000,4.290000,4.200000,4.210000,4.210000,78300
2023-02-15,4.290000,4.380000,4.190000,4.350000,4.350000,125600
2023-02-16,4.290000,4.380000,4.280000,4.360000,4.360000,118000
2023-02-17,4.370000,4.420000,4.330000,4.360000,4.360000,104400
2023-02-21,4.300000,4.400000,4.280000,4.320000,4.320000,143200
2023-02-22,4.320000,4.400000,4.290000,4.340000,4.340000,149800
2023-02-23,4.340000,4.390000,4.310000,4.380000,4.380000,87400
2023-02-24,4.350000,4.390000,4.280000,4.290000,4.290000,89800
2023-02-27,4.310000,4.350000,4.250000,4.260000,4.260000,76400
2023-02-28,4.260000,4.340000,4.220000,4.320000,4.320000,110400
2023-03-01,4.320000,4.380000,4.290000,4.350000,4.350000,141200
2023-03-02,4.330000,4.440000,4.290000,4.390000,4.390000,163100
2023-03-03,4.430000,4.490000,4.390000,4.450000,4.450000,199800
2023-03-06,4.390000,4.580000,4.390000,4.520000,4.520000,188700
2023-03-07,4.520000,4.550000,4.350000,4.380000,4.380000,97500
2023-03-08,4.380000,4.430000,4.350000,4.390000,4.390000,155600
2023-03-09,4.400000,4.490000,4.370000,4.430000,4.430000,253400
2023-03-10,4.420000,4.630000,4.390000,4.570000,4.570000,473900
2023-03-13,4.510000,4.510000,4.380000,4.420000,4.420000,172600
