Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.220000,1.280000,1.120000,1.160000,1.160000,61500
2022-12-28,1.130000,1.180000,1.130000,1.150000,1.150000,18000
2022-12-29,1.150000,1.272000,1.150000,1.200000,1.200000,29200
2022-12-30,1.240000,1.350000,1.240000,1.325000,1.325000,25600
2023-01-03,1.350000,1.350000,1.260000,1.270000,1.270000,31800
2023-01-04,1.240000,1.390000,1.240000,1.370000,1.370000,45800
2023-01-05,1.380000,1.470000,1.380000,1.440000,1.440000,17600
2023-01-06,1.510000,1.600000,1.410000,1.600000,1.600000,108000
2023-01-09,1.640000,1.800000,1.600000,1.780000,1.780000,151000
2023-01-10,1.830000,1.897000,1.720000,1.890000,1.890000,129200
2023-01-11,1.800000,1.840000,1.720000,1.800000,1.800000,46800
2023-01-12,1.740000,1.835000,1.740000,1.830000,1.830000,13300
2023-01-13,1.860000,1.890000,1.660000,1.780000,1.780000,49000
2023-01-17,1.850000,1.900000,1.740000,1.810000,1.810000,34500
2023-01-18,1.900000,1.900000,1.680000,1.770000,1.770000,25900
2023-01-19,1.775000,1.775000,1.630000,1.660000,1.660000,29500
2023-01-20,1.730000,1.730000,1.640000,1.682000,1.682000,11000
2023-01-23,1.770000,1.870000,1.740000,1.840000,1.840000,15700
2023-01-24,1.750000,1.890000,1.750000,1.840000,1.840000,42800
2023-01-25,1.854000,2.000000,1.820000,1.870000,1.870000,27200
2023-01-26,1.990000,1.990000,1.870000,1.925000,1.925000,19100
2023-01-27,1.980000,2.100000,1.930000,1.950000,1.950000,68100
2023-01-30,1.860000,1.891000,1.830000,1.880000,1.880000,29500
2023-01-31,1.970000,1.970000,1.860000,1.920000,1.920000,19800
2023-02-01,1.900000,1.940000,1.881000,1.890000,1.890000,10200
2023-02-02,2.000000,2.000000,1.830000,1.840000,1.840000,47600
2023-02-03,1.820000,1.930000,1.820000,1.880000,1.880000,22300
2023-02-06,1.820000,1.984000,1.820000,1.870000,1.870000,18800
2023-02-07,2.020000,2.020000,1.870000,1.880000,1.880000,17300
2023-02-08,1.890000,1.935000,1.840000,1.860000,1.860000,17500
2023-02-09,1.948000,1.950000,1.871000,1.900000,1.900000,22700
2023-02-10,1.880000,1.890000,1.830000,1.875000,1.875000,8400
2023-02-13,1.790000,1.913000,1.751000,1.880000,1.880000,29200
2023-02-14,1.914000,1.920000,1.860000,1.870000,1.870000,5200
2023-02-15,1.911000,1.911000,1.870000,1.885000,1.885000,4000
2023-02-16,1.919000,1.919000,1.870000,1.870000,1.870000,2500
2023-02-17,1.825000,1.962000,1.820000,1.860000,1.860000,6200
2023-02-21,1.840000,1.875000,1.680000,1.720000,1.720000,22600
2023-02-22,1.720000,1.730000,1.720000,1.730000,1.730000,1500
2023-02-23,1.700000,1.700000,1.520000,1.690000,1.690000,28300
2023-02-24,1.740000,1.749000,1.740000,1.740000,1.740000,800
2023-02-27,1.740000,1.740000,1.674000,1.680000,1.680000,5500
2023-02-28,1.680000,1.680000,1.560000,1.664000,1.664000,31400
2023-03-01,1.710000,1.810000,1.710000,1.810000,1.810000,3600
2023-03-02,1.830000,1.830000,1.710000,1.780000,1.780000,11400
2023-03-03,1.870000,1.870000,1.540000,1.688000,1.688000,9300
2023-03-06,1.750000,1.820000,1.700000,1.700000,1.700000,9300
2023-03-07,1.690000,1.735000,1.682000,1.705000,1.705000,12000
2023-03-08,1.680000,1.730000,1.680000,1.705000,1.705000,8000
2023-03-09,1.730000,1.730000,1.520000,1.610000,1.610000,14500
2023-03-10,1.565000,1.610000,1.350000,1.350000,1.350000,42000
2023-03-13,1.360000,1.446000,1.240000,1.360000,1.360000,32500
2023-03-14,1.370000,1.470000,1.340000,1.430000,1.430000,24300
2023-03-15,1.450000,1.600000,1.430000,1.600000,1.600000,13000
2023-03-16,1.510000,1.610000,1.480000,1.600000,1.600000,15300
2023-03-17,1.585000,1.609000,1.430000,1.589000,1.589000,12600
2023-03-20,1.530000,1.554000,1.530000,1.554000,1.554000,400
2023-03-21,1.580000,1.594000,1.550000,1.550000,1.550000,6000
2023-03-22,1.640000,1.640000,1.536000,1.536000,1.536000,4800
2023-03-23,1.550000,1.550000,1.520000,1.520000,1.520000,5700
2023-03-24,1.543000,1.550000,1.500000,1.500000,1.500000,1700
