Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.390000,1.400000,1.290000,1.320000,1.320000,534000
2022-12-28,1.330000,1.355000,1.230000,1.250000,1.250000,420000
2022-12-29,1.260000,1.410000,1.250000,1.360000,1.360000,374000
2022-12-30,1.360000,1.470000,1.340000,1.460000,1.460000,304400
2023-01-03,1.640000,1.786000,1.580000,1.670000,1.670000,681700
2023-01-04,1.730000,1.800000,1.600000,1.780000,1.780000,381900
2023-01-05,1.810000,2.110000,1.800000,2.040000,2.040000,713000
2023-01-06,2.050000,2.350000,2.050000,2.160000,2.160000,590400
2023-01-09,2.160000,2.200000,1.919000,1.945000,1.945000,481200
2023-01-10,1.960000,2.080000,1.780000,1.820000,1.820000,314700
2023-01-11,1.810000,1.810000,1.640000,1.790000,1.790000,465300
2023-01-12,1.800000,1.840000,1.650000,1.830000,1.830000,375900
2023-01-13,1.800000,2.040000,1.750000,1.870000,1.870000,534200
2023-01-17,1.890000,1.940000,1.730000,1.750000,1.750000,581400
2023-01-18,1.750000,1.812000,1.690000,1.705000,1.705000,315400
2023-01-19,1.680000,1.690000,1.591000,1.610000,1.610000,323200
2023-01-20,1.630000,1.730000,1.580000,1.710000,1.710000,277400
2023-01-23,1.710000,1.800000,1.650000,1.750000,1.750000,232300
2023-01-24,1.720000,1.970000,1.720000,1.860000,1.860000,333000
2023-01-25,1.850000,1.870000,1.790000,1.840000,1.840000,208100
2023-01-26,1.860000,1.940000,1.765000,1.770000,1.770000,476700
2023-01-27,1.770000,1.860000,1.750000,1.800000,1.800000,258200
2023-01-30,1.800000,1.920000,1.800000,1.860000,1.860000,438000
2023-01-31,1.860000,1.950000,1.850000,1.870000,1.870000,182600
2023-02-01,1.900000,1.900000,1.710000,1.740000,1.740000,234200
2023-02-02,1.750000,1.810000,1.690000,1.730000,1.730000,238200
2023-02-03,1.740000,1.740000,1.640000,1.660000,1.660000,309100
2023-02-06,1.640000,1.743000,1.630000,1.640000,1.640000,135700
2023-02-07,1.640000,1.690000,1.620000,1.650000,1.650000,103500
2023-02-08,1.690000,1.720000,1.630000,1.680000,1.680000,126400
2023-02-09,1.680000,1.760000,1.670000,1.680000,1.680000,165100
2023-02-10,1.670000,1.740000,1.610000,1.650000,1.650000,347700
2023-02-13,1.630000,1.630000,1.510000,1.550000,1.550000,365500
2023-02-14,1.550000,1.690000,1.550000,1.660000,1.660000,248000
2023-02-15,1.650000,1.670000,1.570000,1.650000,1.650000,188200
2023-02-16,1.630000,1.720000,1.630000,1.710000,1.710000,190900
2023-02-17,1.710000,1.770000,1.660000,1.710000,1.710000,130300
2023-02-21,1.710000,1.710000,1.550000,1.570000,1.570000,155900
2023-02-22,1.570000,1.670000,1.550000,1.620000,1.620000,115000
2023-02-23,1.620000,1.680000,1.606000,1.620000,1.620000,63500
2023-02-24,1.600000,1.740000,1.590000,1.700000,1.700000,297700
2023-02-27,1.700000,1.820000,1.700000,1.820000,1.820000,231500
2023-02-28,1.830000,1.850000,1.710000,1.770000,1.770000,114400
2023-03-01,1.780000,1.790000,1.620000,1.650000,1.650000,323300
2023-03-02,1.610000,1.700000,1.610000,1.640000,1.640000,116500
2023-03-03,1.650000,1.790000,1.650000,1.760000,1.760000,205100
2023-03-06,1.350000,1.490000,1.260000,1.320000,1.320000,4833500
2023-03-07,1.320000,1.366000,1.180000,1.250000,1.250000,2671600
2023-03-08,1.280000,1.300000,1.200000,1.200000,1.200000,1491100
2023-03-09,1.240000,1.250000,1.145000,1.190000,1.190000,1311000
2023-03-10,1.170000,1.170000,1.090000,1.120000,1.120000,1619100
2023-03-13,1.100000,1.160000,1.060000,1.110000,1.110000,886900
2023-03-14,1.120000,1.170000,1.090000,1.150000,1.150000,705800
2023-03-15,1.140000,1.150000,1.090000,1.130000,1.130000,551400
2023-03-16,1.100000,1.260000,1.100000,1.200000,1.200000,926600
2023-03-17,1.200000,1.200000,1.120000,1.120000,1.120000,963900
2023-03-20,1.120000,1.149000,1.070000,1.090000,1.090000,1378600
2023-03-21,1.100000,1.190000,1.090000,1.190000,1.190000,1093900
2023-03-22,1.190000,1.200000,1.100000,1.110000,1.110000,525900
2023-03-23,1.120000,1.140000,1.020000,1.090000,1.090000,646600
2023-03-24,1.110000,1.120000,1.060000,1.100000,1.100000,562700
2023-03-27,1.110000,1.140000,1.100000,1.100000,1.100000,306400
2023-03-28,1.100000,1.120000,1.050000,1.060000,1.060000,521300
2023-03-29,1.100000,1.100000,1.040000,1.060000,1.060000,408600
2023-03-30,1.050000,1.100000,1.040000,1.060000,1.060000,259600
2023-03-31,1.080000,1.110000,1.050000,1.090000,1.090000,454000
2023-04-03,1.040000,1.110000,1.040000,1.060000,1.060000,519700
2023-04-04,1.090000,1.100000,1.020000,1.030000,1.030000,503500
2023-04-05,1.030000,1.050000,1.010000,1.050000,1.050000,373000
2023-04-06,1.030000,1.130000,1.030000,1.080000,1.080000,567900
2023-04-10,1.100000,1.140000,1.080000,1.130000,1.130000,693300
2023-04-11,1.110000,1.240000,1.105000,1.210000,1.210000,1053000
2023-04-12,1.220000,1.220000,1.170000,1.190000,1.190000,658000
2023-04-13,1.200000,1.305000,1.180000,1.270000,1.270000,1256300
2023-04-14,1.270000,1.400000,1.270000,1.360000,1.360000,1090900
2023-04-17,1.360000,1.465000,1.360000,1.390000,1.390000,652800
2023-04-18,1.400000,1.400000,1.315000,1.350000,1.350000,1306300
2023-04-19,1.350000,1.515000,1.310000,1.510000,1.510000,1789900
2023-04-20,1.500000,1.500000,1.410000,1.410000,1.410000,852600
2023-04-21,1.440000,1.460000,1.260000,1.350000,1.350000,1061400
2023-04-24,1.350000,1.440000,1.330000,1.380000,1.380000,818100
2023-04-25,1.360000,1.380000,1.290000,1.320000,1.320000,655600
2023-04-26,1.320000,1.390000,1.320000,1.360000,1.360000,377300
2023-04-27,1.360000,1.410000,1.360000,1.360000,1.360000,1218400
2023-04-28,1.390000,1.430000,1.330000,1.420000,1.420000,457100
2023-05-01,1.400000,1.465000,1.400000,1.430000,1.430000,652700
2023-05-02,1.400000,1.430000,1.360000,1.370000,1.370000,350500
2023-05-03,1.360000,1.460000,1.352000,1.400000,1.400000,1988300
2023-05-04,1.420000,1.420000,1.360000,1.390000,1.390000,231000
2023-05-05,1.400000,1.420000,1.370000,1.400000,1.400000,459200
2023-05-08,1.420000,1.450000,1.370000,1.400000,1.400000,1165200
2023-05-09,1.400000,1.420000,1.360000,1.400000,1.400000,140900
2023-05-10,1.400000,1.440000,1.370000,1.400000,1.400000,257600
2023-05-11,1.410000,1.410000,1.350000,1.360000,1.360000,266300
2023-05-12,1.420000,1.420000,1.350000,1.370000,1.370000,418400
2023-05-15,1.370000,1.430000,1.360000,1.390000,1.390000,544300
2023-05-16,1.360000,1.370000,1.310000,1.310000,1.310000,475300
2023-05-17,1.320000,1.380000,1.270000,1.340000,1.340000,583000
2023-05-18,1.330000,1.380000,1.280000,1.310000,1.310000,496100
2023-05-19,1.320000,1.340000,1.300000,1.310000,1.310000,338700
2023-05-22,1.320000,1.330000,1.270000,1.280000,1.280000,447300
2023-05-23,1.280000,1.315000,1.200000,1.220000,1.220000,658100
2023-05-24,1.230000,1.240000,1.150000,1.200000,1.200000,1044800
2023-05-25,1.210000,1.230000,1.110000,1.170000,1.170000,1012600
2023-05-26,1.210000,1.210000,1.050000,1.110000,1.110000,1472700
2023-05-30,1.110000,1.110000,1.060000,1.080000,1.080000,775700
2023-05-31,1.090000,1.095000,1.000000,1.020000,1.020000,3328000
2023-06-01,1.040000,1.120000,1.020000,1.090000,1.090000,843800
2023-06-02,1.120000,1.140000,1.080000,1.080000,1.080000,1121300
2023-06-05,1.100000,1.140000,1.010000,1.040000,1.040000,1725700
2023-06-06,1.050000,1.120000,0.982000,1.080000,1.080000,2360200
2023-06-07,1.080000,1.080000,1.010000,1.040000,1.040000,1341000
2023-06-08,1.040000,1.060000,0.980000,1.010000,1.010000,1328000
2023-06-09,1.020000,1.040000,0.963000,0.987000,0.987000,1024200
2023-06-12,0.980000,1.050000,0.966000,1.040000,1.040000,1146100
2023-06-13,1.040000,1.060000,1.000000,1.010000,1.010000,1131800
2023-06-14,1.000000,1.060000,1.000000,1.040000,1.040000,817200
2023-06-15,1.010000,1.060000,1.010000,1.010000,1.010000,816000
2023-06-16,1.020000,1.030000,0.970000,1.020000,1.020000,1327400
2023-06-20,1.010000,1.065000,0.991000,1.040000,1.040000,1094700
2023-06-21,1.020000,1.028000,0.910000,1.010000,1.010000,2415200
2023-06-22,0.995000,1.000000,0.956000,0.990000,0.990000,1046900
2023-06-23,0.980000,0.987000,0.935000,0.950000,0.950000,1035300
2023-06-26,0.935000,0.950000,0.905000,0.919000,0.919000,1129000
2023-06-27,0.918000,0.926000,0.882000,0.903000,0.903000,1260100
2023-06-28,0.903000,0.970000,0.890000,0.912000,0.912000,1128000
2023-06-29,0.900000,0.960000,0.900000,0.936000,0.936000,676300
2023-06-30,0.945000,0.960000,0.906000,0.925000,0.925000,1810000
2023-07-03,0.925000,0.947000,0.920000,0.933000,0.933000,295400
2023-07-05,0.933000,0.980000,0.930000,0.937000,0.937000,671300
2023-07-06,0.940000,0.962000,0.921000,0.928000,0.928000,533800
2023-07-07,0.930000,0.939000,0.900000,0.900000,0.900000,1013000
2023-07-10,0.910000,0.940000,0.900000,0.928000,0.928000,1097700
2023-07-11,0.933000,0.950000,0.915000,0.934000,0.934000,493400
2023-07-12,0.950000,0.960000,0.925000,0.931000,0.931000,488500
2023-07-13,0.925000,0.962000,0.925000,0.930000,0.930000,345500
2023-07-14,0.930000,0.936000,0.900000,0.901000,0.901000,721800
2023-07-17,0.900000,0.936000,0.890000,0.901000,0.901000,1204300
2023-07-18,0.901000,0.954000,0.895000,0.954000,0.954000,899100
2023-07-19,0.954000,1.090000,0.930000,1.040000,1.040000,1188300
2023-07-20,1.050000,1.050000,0.919000,0.935000,0.935000,1072900
2023-07-21,0.950000,0.954000,0.910000,0.941000,0.941000,246900
2023-07-24,0.950000,0.960000,0.925000,0.937000,0.937000,383000
2023-07-25,0.920000,0.939000,0.875000,0.880000,0.880000,1020900
2023-07-26,0.891000,0.931000,0.880000,0.930000,0.930000,270700
2023-07-27,0.930000,0.930000,0.870000,0.870000,0.870000,1051300
2023-07-28,0.873000,0.909000,0.868000,0.890000,0.890000,232500
2023-07-31,0.910000,1.000000,0.905000,0.942000,0.942000,559900
2023-08-01,0.906000,0.950000,0.906000,0.909000,0.909000,489800
2023-08-02,0.900000,0.920000,0.880000,0.881000,0.881000,380600
2023-08-03,0.908000,0.911000,0.880000,0.880000,0.880000,238400
2023-08-04,0.890000,0.920000,0.880000,0.880000,0.880000,329000
2023-08-07,0.881000,0.909000,0.850000,0.860000,0.860000,959300
2023-08-08,0.860000,0.874000,0.845000,0.860000,0.860000,413400
2023-08-09,0.860000,0.890000,0.840000,0.850000,0.850000,500400
2023-08-10,0.860000,0.865000,0.790000,0.815000,0.815000,1084600
2023-08-11,0.840000,0.850000,0.805000,0.810000,0.810000,543800
2023-08-14,0.810000,0.819000,0.773000,0.785000,0.785000,692300
2023-08-15,0.775000,0.799000,0.775000,0.780000,0.780000,338400
2023-08-16,0.775000,0.790000,0.770000,0.777000,0.777000,346600
2023-08-17,0.787000,0.835000,0.770000,0.824000,0.824000,450000
2023-08-18,0.799000,0.836000,0.784000,0.784000,0.784000,172300
2023-08-21,0.799000,0.820000,0.772000,0.800000,0.800000,320700
2023-08-22,0.800000,0.810000,0.785000,0.787000,0.787000,233000
2023-08-23,0.790000,0.840000,0.790000,0.816000,0.816000,646100
2023-08-24,0.810000,0.846000,0.795000,0.800000,0.800000,537800
2023-08-25,0.795000,0.834000,0.775000,0.780000,0.780000,705800
2023-08-28,0.800000,0.830000,0.780000,0.780000,0.780000,67100
2023-08-29,0.780000,0.820000,0.780000,0.800000,0.800000,172200
2023-08-30,0.800000,0.830000,0.785000,0.820000,0.820000,306100
2023-08-31,0.811000,0.830000,0.780000,0.780000,0.780000,164400
2023-09-01,0.781000,0.810000,0.775000,0.790000,0.790000,190400
