Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.270000,2.350000,2.200000,2.220000,2.220000,48100
2022-12-28,2.200000,2.320000,2.190000,2.230000,2.230000,42600
2022-12-29,2.250000,2.350000,2.170000,2.330000,2.330000,101700
2022-12-30,2.290000,2.440000,2.260000,2.430000,2.430000,92200
2023-01-03,2.430000,2.500000,2.330000,2.360000,2.360000,36900
2023-01-04,2.340000,2.410000,2.340000,2.400000,2.400000,27400
2023-01-05,2.470000,2.470000,2.360000,2.370000,2.370000,56100
2023-01-06,2.400000,2.440000,2.360000,2.420000,2.420000,30500
2023-01-09,2.430000,2.460000,2.400000,2.450000,2.450000,50900
2023-01-10,2.430000,2.550000,2.420000,2.520000,2.520000,36300
2023-01-11,2.500000,2.560000,2.460000,2.530000,2.530000,38700
2023-01-12,2.530000,2.590000,2.520000,2.530000,2.530000,51900
2023-01-13,2.550000,2.580000,2.530000,2.570000,2.570000,12900
2023-01-17,2.570000,2.610000,2.540000,2.580000,2.580000,24100
2023-01-18,2.590000,2.740000,2.360000,2.640000,2.640000,1959000
2023-01-19,2.770000,2.830000,2.670000,2.730000,2.730000,70000
2023-01-20,2.780000,3.030000,2.750000,3.030000,3.030000,89800
2023-01-23,3.000000,3.150000,3.000000,3.100000,3.100000,96500
2023-01-24,3.110000,3.150000,3.100000,3.120000,3.120000,33600
2023-01-25,3.150000,3.150000,3.020000,3.060000,3.060000,171800
2023-01-26,3.040000,3.190000,3.020000,3.190000,3.190000,78400
2023-01-27,3.220000,3.220000,3.080000,3.140000,3.140000,66700
2023-01-30,3.200000,3.200000,3.160000,3.190000,3.190000,23300
2023-01-31,3.160000,3.360000,3.090000,3.100000,3.100000,152500
2023-02-01,3.300000,3.400000,3.180000,3.260000,3.260000,216200
2023-02-02,2.900000,3.070000,2.710000,2.760000,2.760000,524200
2023-02-03,2.830000,2.900000,2.730000,2.870000,2.870000,161100
2023-02-06,3.200000,3.340000,3.050000,3.230000,3.230000,312600
2023-02-07,3.300000,3.670000,3.300000,3.590000,3.590000,313600
2023-02-08,3.720000,3.780000,3.550000,3.660000,3.660000,176800
2023-02-09,3.700000,3.700000,3.370000,3.390000,3.390000,49500
2023-02-10,3.370000,3.370000,3.050000,3.220000,3.220000,91400
2023-02-13,3.200000,3.280000,3.200000,3.260000,3.260000,43700
2023-02-14,3.260000,3.280000,3.130000,3.240000,3.240000,40000
2023-02-15,3.230000,3.230000,3.110000,3.160000,3.160000,29000
2023-02-16,3.140000,3.140000,3.020000,3.080000,3.080000,52200
2023-02-17,3.130000,3.240000,3.100000,3.230000,3.230000,95100
2023-02-21,3.170000,3.170000,3.030000,3.100000,3.100000,77400
2023-02-22,3.110000,3.200000,3.080000,3.150000,3.150000,25300
2023-02-23,3.160000,3.170000,3.060000,3.120000,3.120000,30700
2023-02-24,3.070000,3.110000,3.050000,3.050000,3.050000,18700
2023-02-27,3.040000,3.040000,2.710000,2.730000,2.730000,179900
