Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,163.570007,163.699997,161.149994,162.199997,159.168869,1932000
2022-12-28,161.500000,163.570007,160.059998,160.279999,157.284744,1499900
2022-12-29,162.580002,164.779999,161.500000,163.979996,160.915604,2148900
2022-12-30,162.360001,164.160004,160.759995,164.029999,160.964676,1619400
2023-01-03,165.570007,166.199997,161.440002,162.449997,159.414185,4475700
2023-01-04,165.380005,167.589996,163.759995,165.910004,162.809555,3477900
2023-01-05,164.470001,165.630005,159.580002,159.690002,156.705780,4750300
2023-01-06,161.759995,166.750000,159.929993,165.520004,162.426834,3483400
2023-01-09,167.389999,169.910004,165.679993,167.100006,163.977325,3734100
2023-01-10,166.500000,169.750000,166.500000,169.220001,166.057678,2351900
2023-01-11,167.720001,170.130005,167.309998,169.789993,166.617020,3068900
2023-01-12,170.020004,170.639999,167.160004,168.669998,165.517960,2478100
2023-01-13,167.500000,169.429993,166.419998,168.979996,165.822159,1891200
2023-01-17,167.910004,169.169998,166.050003,166.910004,163.790848,3320200
2023-01-18,168.529999,169.380005,165.899994,166.000000,162.897873,2627700
2023-01-19,165.559998,165.639999,162.100006,163.130005,160.081497,3082500
2023-01-20,163.820007,165.240005,161.039993,165.169998,162.083374,3841900
2023-01-23,166.539993,170.250000,165.619995,169.660004,166.489471,3521900
2023-01-24,167.910004,170.029999,167.360001,168.860001,165.704407,2407100
2023-01-25,166.619995,168.729996,164.210007,168.449997,165.302078,2739800
2023-01-26,169.940002,170.949997,166.860001,170.740005,167.549286,3539900
2023-01-27,169.070007,172.029999,168.399994,170.830002,167.637589,2453400
2023-01-30,169.100006,171.149994,168.339996,168.929993,165.773087,3135600
2023-01-31,168.929993,171.520004,168.899994,171.470001,168.265640,2549400
2023-02-01,171.330002,178.509995,171.229996,176.589996,173.289963,4200300
2023-02-02,177.860001,180.050003,176.190002,179.300003,175.949310,4206200
2023-02-03,176.929993,181.339996,176.220001,178.820007,175.478302,4005700
2023-02-06,176.990005,179.320007,176.369995,177.550003,174.232010,2916600
2023-02-07,178.389999,181.860001,177.009995,181.020004,177.637177,3531600
2023-02-08,178.649994,179.869995,177.399994,177.759995,174.438095,3520600
2023-02-09,180.750000,182.229996,177.320007,178.520004,175.183899,2983300
2023-02-10,177.139999,179.020004,176.070007,178.460007,175.125031,4003300
2023-02-13,179.380005,181.630005,178.949997,180.449997,177.077835,3975500
2023-02-14,179.070007,183.130005,178.529999,182.539993,179.128769,3784200
2023-02-15,194.339996,196.410004,191.100006,196.179993,192.513870,7456000
2023-02-16,194.559998,196.300003,192.960007,193.830002,190.207779,4481700
2023-02-17,193.089996,194.399994,191.360001,192.710007,189.108719,3774900
2023-02-21,190.630005,191.179993,185.479996,185.970001,182.494659,5117800
2023-02-22,186.679993,186.679993,182.839996,183.759995,180.325958,3512600
2023-02-23,186.979996,187.470001,183.139999,185.649994,182.180649,4501800
2023-02-24,183.279999,183.869995,181.610001,182.940002,180.356781,3177900
2023-02-27,185.580002,185.899994,182.940002,183.169998,180.583511,2769500
2023-02-28,183.000000,185.529999,182.539993,183.470001,180.879288,2644400
2023-03-01,183.860001,185.529999,182.699997,183.110001,180.524384,2600300
2023-03-02,181.130005,185.309998,179.220001,184.589996,181.983475,2906400
2023-03-03,185.309998,186.800003,182.940002,186.250000,183.620026,3112400
2023-03-06,187.320007,188.559998,185.089996,185.520004,182.900330,2664100
2023-03-07,186.029999,186.940002,183.509995,184.940002,182.328537,2415100
2023-03-08,186.369995,187.449997,185.199997,186.570007,183.935516,3182000
2023-03-09,187.119995,188.789993,183.380005,183.559998,180.968018,3627300
2023-03-10,184.729996,185.580002,181.330002,181.759995,179.193420,3166800
2023-03-13,179.809998,184.300003,179.080002,182.550003,179.972275,3310200
2023-03-14,184.960007,188.029999,183.990005,186.580002,183.945374,4147400
2023-03-15,184.229996,185.509995,180.339996,182.929993,180.346909,3972700
2023-03-16,181.320007,187.309998,180.199997,186.630005,183.994675,3753500
2023-03-17,187.389999,188.800003,184.470001,185.850006,183.225677,6216500
2023-03-20,186.100006,187.520004,185.119995,187.059998,184.418594,3033500
2023-03-21,188.880005,189.919998,186.000000,188.399994,185.739655,3232700
2023-03-22,188.860001,191.500000,186.350006,186.610001,183.974945,3481000
2023-03-23,188.970001,192.539993,187.059998,189.449997,186.774841,2658300
2023-03-24,189.100006,189.419998,185.660004,187.690002,185.039719,3401800
2023-03-27,188.250000,188.360001,184.479996,184.770004,182.160934,3616900
2023-03-28,183.720001,184.000000,180.880005,183.600006,181.007462,3319900
2023-03-29,186.039993,190.300003,186.039993,189.169998,186.498810,3577800
2023-03-30,191.250000,195.130005,190.889999,194.210007,191.467636,4367100
2023-03-31,193.520004,197.559998,193.250000,197.220001,194.435120,3873000
2023-04-03,196.470001,197.750000,194.259995,196.279999,193.508392,3120700
2023-04-04,197.559998,198.250000,193.789993,195.119995,192.364777,3633600
2023-04-05,194.360001,194.509995,189.050003,190.369995,187.681854,3368300
2023-04-06,188.740005,189.800003,186.820007,187.169998,184.527039,3010100
2023-04-10,185.630005,191.210007,185.009995,190.949997,188.253662,2573500
2023-04-11,192.220001,192.320007,189.070007,189.410004,186.735397,2336400
2023-04-12,190.800003,190.800003,187.020004,187.289993,184.645340,2085400
2023-04-13,187.300003,190.100006,186.160004,189.100006,186.429779,2020200
2023-04-14,188.130005,191.080002,187.039993,188.509995,185.848114,1988100
2023-04-17,187.660004,189.949997,187.399994,189.570007,186.893158,2095000
2023-04-18,190.919998,191.960007,188.440002,189.580002,186.903015,1745500
2023-04-19,187.889999,189.029999,187.559998,188.550003,185.887543,1556000
2023-04-20,185.570007,189.220001,183.100006,186.979996,184.339722,2807800
2023-04-21,186.250000,187.199997,184.639999,186.339996,183.708755,1975300
2023-04-24,186.339996,187.389999,185.710007,186.960007,184.320007,1782000
2023-04-25,186.130005,186.139999,181.070007,181.139999,178.582184,3474800
2023-04-26,181.229996,182.479996,179.649994,180.660004,178.108963,3603100
2023-04-27,178.529999,178.940002,171.240005,177.619995,175.111893,4621700
2023-04-28,177.639999,180.160004,176.270004,179.880005,177.339996,3167800
2023-05-01,180.750000,182.929993,180.660004,182.539993,179.962402,2572800
2023-05-02,184.440002,186.589996,182.119995,183.660004,181.066605,2710800
2023-05-03,183.419998,185.179993,182.029999,182.389999,179.814545,1788500
2023-05-04,182.000000,182.970001,180.479996,181.330002,178.769501,2308200
2023-05-05,180.639999,184.449997,179.570007,183.389999,180.800415,3672100
2023-05-08,183.789993,184.570007,181.729996,184.520004,181.914459,1936900
2023-05-09,182.529999,182.720001,178.029999,179.619995,177.083649,3353300
2023-05-10,181.679993,182.289993,179.559998,181.429993,178.868073,3364700
2023-05-11,180.399994,181.089996,178.740005,180.589996,178.039948,2252600
