Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,7.470000,7.520000,6.860000,7.150000,7.150000,1229800
2022-12-28,6.860000,7.020000,6.720000,6.910000,6.910000,1128400
2022-12-29,7.060000,7.660000,6.940000,7.570000,7.570000,844700
2022-12-30,7.430000,7.660000,7.240000,7.640000,7.640000,659800
2023-01-03,7.890000,8.240000,7.500000,7.800000,7.800000,1057900
2023-01-04,7.980000,8.155000,7.610000,8.010000,8.010000,1159600
2023-01-05,8.200000,8.270000,7.960000,8.080000,8.080000,820500
2023-01-06,8.140000,8.360000,7.510000,8.350000,8.350000,1421300
2023-01-09,8.500000,8.710000,8.380000,8.660000,8.660000,1143200
2023-01-10,8.580000,9.110000,8.580000,8.930000,8.930000,572000
2023-01-11,9.000000,9.445000,8.790000,9.390000,9.390000,1176500
2023-01-12,9.500000,9.740000,9.145000,9.660000,9.660000,1403200
2023-01-13,9.440000,9.960000,9.390000,9.940000,9.940000,868900
2023-01-17,9.920000,10.255000,9.730000,10.110000,10.110000,930900
2023-01-18,10.260000,10.790000,9.800000,9.920000,9.920000,937100
2023-01-19,9.710000,9.810000,8.920000,9.030000,9.030000,1157300
2023-01-20,9.190000,9.225000,8.790000,9.200000,9.200000,1252000
2023-01-23,9.200000,9.520000,9.040000,9.400000,9.400000,1027500
2023-01-24,9.290000,9.445000,8.915000,8.990000,8.990000,682700
2023-01-25,8.760000,9.390000,8.550000,9.380000,9.380000,662200
2023-01-26,9.610000,9.770000,8.890000,9.210000,9.210000,842300
2023-01-27,9.080000,9.490000,9.020000,9.360000,9.360000,715500
2023-01-30,9.090000,9.140000,8.690000,9.010000,9.010000,1097700
2023-01-31,9.030000,9.380000,9.030000,9.270000,9.270000,916500
2023-02-01,9.320000,9.440000,8.860000,9.380000,9.380000,1000800
2023-02-02,9.690000,10.090000,9.650000,9.850000,9.850000,1229100
2023-02-03,9.490000,9.930000,9.402000,9.850000,9.850000,992200
2023-02-06,9.700000,9.800000,9.290000,9.480000,9.480000,694200
2023-02-07,9.420000,9.680000,9.160000,9.630000,9.630000,798900
2023-02-08,9.550000,9.690000,8.755000,8.780000,8.780000,1018300
2023-02-09,8.930000,9.200000,8.730000,8.790000,8.790000,1054400
2023-02-10,8.610000,9.015000,8.490000,8.820000,8.820000,1043800
2023-02-13,8.890000,8.900000,8.430000,8.690000,8.690000,733300
2023-02-14,8.730000,8.860000,8.430000,8.680000,8.680000,898900
2023-02-15,9.940000,10.230000,9.020000,10.030000,10.030000,4015400
2023-02-16,9.910000,10.380000,9.630000,9.630000,9.630000,1287800
2023-02-17,9.660000,9.660000,9.135000,9.500000,9.500000,910200
2023-02-21,9.270000,9.310000,8.630000,8.800000,8.800000,1396900
2023-02-22,8.860000,9.100000,8.590000,8.830000,8.830000,861800
2023-02-23,8.920000,8.980000,8.440000,8.640000,8.640000,774400
2023-02-24,8.370000,8.490000,8.180000,8.320000,8.320000,691000
2023-02-27,8.510000,8.570000,8.170000,8.430000,8.430000,488100
2023-02-28,8.410000,8.660000,8.370000,8.550000,8.550000,641900
2023-03-01,8.570000,8.570000,8.110000,8.130000,8.130000,662700
2023-03-02,8.000000,8.620000,7.863000,8.530000,8.530000,774500
2023-03-03,8.650000,9.170000,8.550000,9.080000,9.080000,657900
2023-03-06,8.590000,8.835000,8.180000,8.460000,8.460000,1246900
2023-03-07,8.450000,8.910000,8.240000,8.600000,8.600000,936200
2023-03-08,8.630000,9.070000,8.410000,8.890000,8.890000,732200
2023-03-09,8.820000,8.820000,8.210000,8.220000,8.220000,675900
