Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.220000,3.390000,2.890000,3.110000,3.110000,69300
2022-12-28,3.140000,3.140000,2.790000,2.900000,2.900000,109300
2022-12-29,2.820000,3.030000,2.800000,2.980000,2.980000,234800
2022-12-30,2.940000,3.145000,2.780000,3.120000,3.120000,58500
2023-01-03,3.240000,3.250000,2.969000,3.000000,3.000000,286000
2023-01-04,2.920000,3.000000,2.800000,2.900000,2.900000,449500
2023-01-05,2.850000,3.240000,2.850000,3.125000,3.125000,60500
2023-01-06,3.150000,3.230000,2.805000,3.120000,3.120000,88700
2023-01-09,3.180000,3.180000,2.900000,2.910000,2.910000,31000
2023-01-10,2.820000,3.150000,2.820000,2.980000,2.980000,30200
2023-01-11,3.100000,3.460000,3.050000,3.410000,3.410000,70700
2023-01-12,3.260000,3.391000,3.120000,3.230000,3.230000,53500
2023-01-13,3.281000,3.390000,3.280000,3.390000,3.390000,5400
2023-01-17,3.420000,3.450000,3.270000,3.390000,3.390000,39100
2023-01-18,3.390000,3.400000,3.290000,3.290000,3.290000,9700
2023-01-19,3.265000,3.480000,3.250000,3.280000,3.280000,7200
2023-01-20,3.200000,3.360000,3.130000,3.250000,3.250000,8100
2023-01-23,3.300000,3.350000,3.235000,3.270000,3.270000,22900
2023-01-24,3.180000,3.260000,3.180000,3.210000,3.210000,4900
2023-01-25,3.250000,3.250000,3.030000,3.070000,3.070000,34900
2023-01-26,2.990000,3.090000,2.990000,3.090000,3.090000,13200
2023-01-27,3.060000,3.210000,2.800000,2.850000,2.850000,37200
2023-01-30,2.940000,2.940000,2.890000,2.930000,2.930000,12700
2023-01-31,2.985000,3.050000,2.920000,3.000000,3.000000,2100
2023-02-01,3.040000,3.180000,2.921000,3.150000,3.150000,14100
2023-02-02,3.010000,3.150000,3.000000,3.040000,3.040000,22100
2023-02-03,2.960000,3.145000,2.960000,3.110000,3.110000,8600
2023-02-06,3.160000,3.160000,2.940000,2.970000,2.970000,13500
2023-02-07,2.970000,2.970000,2.910000,2.910000,2.910000,2800
2023-02-08,2.956000,3.000000,2.830000,3.000000,3.000000,26300
2023-02-09,2.980000,2.998000,2.850000,2.850000,2.850000,10000
2023-02-10,2.890000,2.890000,2.680000,2.740000,2.740000,85300
2023-02-13,2.760000,2.990000,2.760000,2.880000,2.880000,7200
2023-02-14,2.980000,3.120000,2.910000,3.100000,3.100000,31600
2023-02-15,3.050000,3.180000,2.900000,2.990000,2.990000,203200
2023-02-16,3.000000,3.122000,2.890000,2.990000,2.990000,138300
2023-02-17,2.800000,3.000000,2.800000,3.000000,3.000000,15900
2023-02-21,2.990000,3.000000,2.940000,2.940000,2.940000,13400
2023-02-22,2.990000,3.000000,2.900000,3.000000,3.000000,26200
2023-02-23,2.970000,2.984000,2.941000,2.980000,2.980000,3100
2023-02-24,2.960000,2.980000,2.850000,2.900000,2.900000,10500
2023-02-27,2.990000,3.200000,2.840000,2.890000,2.890000,251200
2023-02-28,2.975000,3.065000,2.920000,2.920000,2.920000,115700
2023-03-01,2.830000,3.010000,2.780000,2.830000,2.830000,123800
2023-03-02,2.860000,2.980000,2.801000,2.980000,2.980000,15300
2023-03-03,2.990000,3.000000,2.890000,2.890000,2.890000,3500
2023-03-06,2.840000,2.990000,2.840000,2.980000,2.980000,18300
2023-03-07,2.990000,2.990000,2.950000,2.980000,2.980000,10200
2023-03-08,2.910000,2.970000,2.880000,2.890000,2.890000,7600
2023-03-09,2.850000,2.964000,2.840000,2.940000,2.940000,4100
2023-03-10,2.886000,2.905000,2.350000,2.620000,2.620000,45100
2023-03-13,2.690000,2.867000,2.621000,2.721000,2.721000,2600
2023-03-14,2.600000,2.870000,2.600000,2.642000,2.642000,104300
2023-03-15,2.710000,2.730000,2.614000,2.720000,2.720000,2800
2023-03-16,2.680000,2.688000,2.600000,2.600000,2.600000,21600
2023-03-17,2.620000,2.650000,2.550000,2.550000,2.550000,4500
2023-03-20,2.510000,2.540000,2.350000,2.450000,2.450000,30200
2023-03-21,2.530000,2.640000,2.400000,2.460000,2.460000,4700
2023-03-22,2.470000,2.620000,2.450000,2.620000,2.620000,6300
2023-03-23,2.630000,2.650000,2.460000,2.500000,2.500000,2900
2023-03-24,2.500000,2.570000,2.400000,2.480000,2.480000,34500
2023-03-27,2.740000,2.740000,2.500000,2.510000,2.510000,2600
2023-03-28,2.392000,2.750000,2.392000,2.680000,2.680000,170900
2023-03-29,2.740000,2.750000,2.600000,2.730000,2.730000,18700
2023-03-30,2.760000,2.760000,2.613000,2.685000,2.685000,8900
2023-03-31,2.760000,2.760000,2.620000,2.700000,2.700000,3900
2023-04-03,2.640000,2.640000,2.640000,2.640000,2.640000,1000
2023-04-04,2.610000,2.770000,2.350000,2.360000,2.360000,13700
2023-04-05,2.440000,2.655000,2.440000,2.600000,2.600000,7800
2023-04-06,2.620000,2.674000,2.350000,2.360000,2.360000,13700
2023-04-10,2.390000,2.760000,2.339000,2.587000,2.587000,6300
2023-04-11,2.578000,2.599000,2.350000,2.580000,2.580000,5400
2023-04-12,2.230000,2.457000,2.230000,2.450000,2.450000,7300
2023-04-13,2.450000,2.480000,2.310000,2.370000,2.370000,8600
2023-04-14,2.250000,2.253000,2.130000,2.188000,2.188000,10500
2023-04-17,2.100000,2.490000,2.079000,2.170000,2.170000,6100
2023-04-18,2.080000,2.170000,1.970000,2.150000,2.150000,10900
2023-04-19,2.100000,2.150000,2.043000,2.140000,2.140000,13900
2023-04-20,2.085000,2.520000,2.040000,2.355000,2.355000,9500
2023-04-21,2.140000,2.389000,2.068000,2.070000,2.070000,4200
2023-04-24,2.170000,2.170000,1.960000,1.960000,1.960000,209100
2023-04-25,2.010000,2.060000,1.964000,2.000000,2.000000,10800
2023-04-26,2.040000,2.040000,1.905000,2.000000,2.000000,9500
2023-04-27,2.013000,2.130000,2.013000,2.055000,2.055000,2500
2023-04-28,2.100000,2.270000,2.080000,2.270000,2.270000,19900
2023-05-01,2.300000,2.520000,2.200000,2.400000,2.400000,50000
2023-05-02,2.490000,2.500000,2.300000,2.395000,2.395000,126500
2023-05-03,2.500000,2.520000,2.215000,2.480000,2.480000,105000
2023-05-04,2.370000,2.447000,2.352000,2.360000,2.360000,6600
2023-05-05,2.210000,2.550000,2.210000,2.210000,2.210000,117300
2023-05-08,2.290000,2.510000,2.260000,2.322000,2.322000,145900
