Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.600000,1.600000,1.510000,1.520000,1.520000,50900
2022-12-28,1.530000,1.580000,1.510000,1.540000,1.540000,56400
2022-12-29,1.540000,1.750000,1.520000,1.660000,1.660000,96600
2022-12-30,1.640000,1.700000,1.580000,1.660000,1.660000,54000
2023-01-03,1.770000,1.770000,1.620000,1.630000,1.630000,30700
2023-01-04,1.610000,1.690000,1.610000,1.640000,1.640000,22500
2023-01-05,1.610000,1.637000,1.580000,1.580000,1.580000,36100
2023-01-06,1.590000,1.620000,1.520000,1.550000,1.550000,57000
2023-01-09,1.560000,1.590000,1.440000,1.450000,1.450000,83900
2023-01-10,1.460000,1.530000,1.440000,1.500000,1.500000,54900
2023-01-11,1.550000,1.579000,1.490000,1.540000,1.540000,178900
2023-01-12,1.630000,1.750000,1.510000,1.730000,1.730000,143500
2023-01-13,1.740000,1.830000,1.720000,1.820000,1.820000,158100
2023-01-17,1.830000,1.860000,1.750000,1.850000,1.850000,53500
2023-01-18,1.890000,1.920000,1.690000,1.690000,1.690000,78600
2023-01-19,1.710000,1.710000,1.650000,1.670000,1.670000,50900
2023-01-20,1.730000,1.770000,1.660000,1.740000,1.740000,89800
2023-01-23,1.770000,1.920000,1.760000,1.900000,1.900000,95300
2023-01-24,1.900000,1.940000,1.830000,1.830000,1.830000,123200
2023-01-25,1.850000,1.890000,1.720000,1.760000,1.760000,43900
2023-01-26,1.870000,1.910000,1.750000,1.840000,1.840000,63600
2023-01-27,1.830000,1.885000,1.790000,1.860000,1.860000,45800
2023-01-30,1.890000,1.900000,1.780000,1.780000,1.780000,124200
2023-01-31,1.770000,1.806000,1.740000,1.740000,1.740000,89700
2023-02-01,1.820000,1.870000,1.700000,1.820000,1.820000,151200
2023-02-02,1.830000,1.920000,1.830000,1.890000,1.890000,193700
2023-02-03,1.920000,1.950000,1.890000,1.920000,1.920000,154400
2023-02-06,1.940000,1.940000,1.850000,1.920000,1.920000,132100
2023-02-07,1.920000,1.920000,1.810000,1.830000,1.830000,187900
2023-02-08,1.845000,1.845000,1.760000,1.760000,1.760000,110100
2023-02-09,1.820000,1.820000,1.670000,1.690000,1.690000,116100
2023-02-10,1.710000,1.710000,1.580000,1.670000,1.670000,136600
2023-02-13,1.670000,1.710000,1.650000,1.690000,1.690000,51200
2023-02-14,1.670000,1.740000,1.670000,1.710000,1.710000,56600
2023-02-15,1.720000,1.830000,1.720000,1.770000,1.770000,55100
2023-02-16,1.800000,1.850000,1.720000,1.810000,1.810000,83100
2023-02-17,1.840000,1.880000,1.810000,1.850000,1.850000,94000
2023-02-21,1.870000,1.890000,1.750000,1.750000,1.750000,120200
2023-02-22,1.750000,1.780000,1.660000,1.670000,1.670000,101600
2023-02-23,1.690000,1.770000,1.640000,1.660000,1.660000,46100
2023-02-24,1.630000,1.630000,1.490000,1.505000,1.505000,165500
2023-02-27,1.580000,1.580000,1.450000,1.490000,1.490000,123500
2023-02-28,1.500000,1.583000,1.500000,1.520000,1.520000,159400
