Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,44.400002,44.400002,40.799999,42.000000,42.000000,2428
2022-12-28,42.240002,43.560001,40.000000,40.799999,40.799999,1705
2022-12-29,40.400002,49.200001,40.400002,48.000000,48.000000,3575
2022-12-30,47.599998,48.400002,45.599998,46.200001,46.200001,1643
2023-01-03,44.000000,74.000000,44.000000,63.200001,63.200001,57595
2023-01-04,58.000000,59.400002,51.200001,58.400002,58.400002,10200
2023-01-05,59.200001,59.599998,55.200001,58.400002,58.400002,3445
2023-01-06,59.200001,59.200001,48.000000,52.320000,52.320000,7433
2023-01-09,52.000000,53.200001,50.000000,51.599998,51.599998,3758
2023-01-10,52.000000,55.599998,50.000000,54.799999,54.799999,4668
2023-01-11,56.000000,56.000000,52.000000,53.599998,53.599998,4373
2023-01-12,55.599998,56.400002,53.200001,55.200001,55.200001,2933
2023-01-13,53.599998,56.400002,52.799999,55.200001,55.200001,2063
2023-01-17,58.000000,61.200001,54.799999,60.000000,60.000000,11975
2023-01-18,60.000000,61.000000,54.000000,55.599998,55.599998,6083
2023-01-19,57.599998,57.599998,52.799999,53.200001,53.200001,5130
2023-01-20,54.000000,60.799999,54.000000,58.400002,58.400002,4025
2023-01-23,58.000000,64.800003,57.200001,62.000000,62.000000,10890
2023-01-24,62.799999,64.000000,58.400002,58.799999,58.799999,5175
2023-01-25,59.599998,62.680000,58.000000,60.200001,60.200001,2138
2023-01-26,59.200001,61.599998,56.799999,58.400002,58.400002,2753
2023-01-27,58.000000,60.000000,52.000000,54.400002,54.400002,3258
2023-01-30,55.599998,55.599998,53.200001,53.599998,53.599998,1903
2023-01-31,53.599998,56.000000,53.599998,54.400002,54.400002,1175
2023-02-01,55.599998,56.400002,54.000000,55.200001,55.200001,1758
2023-02-02,57.599998,60.400002,56.400002,57.599998,57.599998,5038
2023-02-03,58.400002,65.919998,56.400002,60.599998,60.599998,18788
2023-02-06,65.199997,65.199997,56.000000,58.799999,58.799999,8930
2023-02-07,57.200001,58.799999,53.599998,55.599998,55.599998,4640
2023-02-08,54.799999,58.799999,53.200001,55.599998,55.599998,2488
2023-02-09,55.599998,58.000000,48.000000,52.400002,52.400002,6080
2023-02-10,52.000000,52.000000,50.000000,50.400002,50.400002,1678
2023-02-13,50.000000,52.000000,50.000000,50.799999,50.799999,928
2023-02-14,50.799999,55.599998,50.000000,54.759998,54.759998,3735
2023-02-15,54.799999,54.799999,50.799999,52.000000,52.000000,1485
2023-02-16,51.599998,52.799999,51.599998,51.599998,51.599998,870
2023-02-17,50.400002,52.799999,50.000000,50.400002,50.400002,1880
2023-02-21,50.000000,52.400002,48.799999,48.799999,48.799999,1443
2023-02-22,48.400002,50.400002,46.799999,47.599998,47.599998,1423
2023-02-23,49.200001,52.000000,44.400002,47.200001,47.200001,3310
2023-02-24,45.599998,47.599998,45.320000,47.200001,47.200001,960
2023-02-27,46.000000,49.599998,46.000000,48.000000,48.000000,1238
2023-02-28,48.400002,48.400002,45.200001,45.200001,45.200001,1128
2023-03-01,47.200001,47.200001,44.400002,46.000000,46.000000,1053
2023-03-02,46.000000,47.200001,44.000000,47.200001,47.200001,1238
2023-03-03,47.200001,47.200001,45.200001,45.599998,45.599998,730
2023-03-06,46.000000,46.400002,44.799999,45.200001,45.200001,1950
2023-03-07,44.799999,46.400002,44.000000,46.000000,46.000000,1223
2023-03-08,45.200001,45.200001,43.599998,44.400002,44.400002,1023
2023-03-09,45.599998,45.599998,42.400002,42.400002,42.400002,965
2023-03-10,43.000000,43.200001,41.599998,42.599998,42.599998,1268
2023-03-13,42.400002,42.799999,40.799999,42.000000,42.000000,585
2023-03-14,42.000000,44.360001,41.200001,41.200001,41.200001,533
2023-03-15,40.400002,42.840000,40.000000,40.000000,40.000000,1060
2023-03-16,40.000000,40.799999,38.200001,39.599998,39.599998,2038
2023-03-17,40.000000,40.000000,36.000000,36.000000,36.000000,2900
2023-03-20,36.799999,36.799999,35.200001,35.400002,35.400002,790
2023-03-21,35.200001,36.720001,35.200001,36.000000,36.000000,325
2023-03-22,36.400002,38.240002,35.200001,36.400002,36.400002,395
2023-03-23,36.400002,36.799999,33.880001,35.480000,35.480000,785
2023-03-24,33.240002,35.560001,33.200001,34.160000,34.160000,485
2023-03-27,36.799999,36.799999,34.279999,34.799999,34.799999,410
2023-03-28,35.200001,38.000000,34.799999,35.200001,35.200001,285
2023-03-29,36.000000,36.680000,35.200001,35.400002,35.400002,750
2023-03-30,35.720001,35.959999,35.520000,35.959999,35.959999,270
2023-03-31,35.200001,36.799999,35.200001,36.439999,36.439999,880
2023-04-03,36.480000,36.480000,34.320000,36.360001,36.360001,898
2023-04-04,35.799999,35.799999,33.279999,33.799999,33.799999,460
2023-04-05,33.279999,35.759998,33.279999,34.000000,34.000000,370
2023-04-06,34.840000,34.840000,33.200001,34.520000,34.520000,563
2023-04-10,36.799999,36.799999,33.480000,35.119999,35.119999,433
2023-04-11,34.000000,35.720001,34.000000,35.599998,35.599998,368
2023-04-12,35.200001,35.599998,34.400002,34.400002,34.400002,425
2023-04-13,34.000000,35.560001,33.799999,33.799999,33.799999,618
2023-04-14,33.599998,35.599998,33.400002,35.000000,35.000000,810
2023-04-17,34.400002,37.200001,34.400002,36.639999,36.639999,1575
2023-04-18,36.000000,38.400002,36.000000,38.000000,38.000000,1308
2023-04-19,36.799999,37.599998,34.400002,34.400002,34.400002,1273
2023-04-20,35.599998,76.400002,35.599998,40.400002,40.400002,769165
2023-04-21,36.000000,36.000000,30.000000,31.600000,31.600000,43518
2023-04-24,29.400000,31.200001,27.240000,28.920000,28.920000,15520
2023-04-25,28.040001,28.799999,24.400000,27.799999,27.799999,14033
2023-04-26,27.600000,27.959999,24.799999,25.200001,25.200001,5610
2023-04-27,24.799999,26.240000,24.040001,25.280001,25.280001,4048
2023-04-28,25.200001,25.200001,23.200001,23.480000,23.480000,6080
2023-05-01,24.000000,25.200001,24.000000,25.000000,25.000000,3625
2023-05-02,25.160000,25.559999,23.480000,23.600000,23.600000,3765
2023-05-03,24.799999,24.799999,23.240000,24.200001,24.200001,1980
2023-05-04,25.200001,27.600000,24.200001,26.400000,26.400000,4395
2023-05-05,32.799999,32.880001,25.200001,26.760000,26.760000,206140
2023-05-08,26.040001,27.200001,24.400000,25.200001,25.200001,15068
2023-05-09,24.440001,24.680000,22.840000,23.240000,23.240000,16603
2023-05-10,22.840000,24.400000,22.799999,23.120001,23.120001,5728
2023-05-11,23.520000,25.240000,23.000000,25.160000,25.160000,3875
2023-05-12,25.600000,25.600000,23.200001,23.600000,23.600000,4098
2023-05-15,24.360001,24.400000,22.600000,23.440001,23.440001,2588
2023-05-16,22.840000,23.200001,22.000000,22.639999,22.639999,3210
2023-05-17,22.400000,23.200001,22.080000,22.719999,22.719999,2523
2023-05-18,23.600000,23.600000,22.160000,22.400000,22.400000,1333
2023-05-19,22.360001,23.520000,22.000000,23.200001,23.200001,1533
2023-05-22,23.600000,23.600000,22.600000,23.320000,23.320000,2395
2023-05-23,22.840000,23.600000,22.799999,23.000000,23.000000,2495
2023-05-24,23.200001,25.360001,22.400000,24.400000,24.400000,4028
2023-05-25,24.000000,24.719999,23.600000,24.240000,24.240000,1428
2023-05-26,23.799999,24.400000,23.200001,23.920000,23.920000,1138
2023-05-30,23.600000,24.360001,22.600000,24.000000,24.000000,1448
2023-05-31,24.400000,24.400000,23.000000,24.400000,24.400000,1348
2023-06-01,24.000000,24.320000,22.000000,23.280001,23.280001,2068
2023-06-02,23.280001,24.000000,23.200001,23.600000,23.600000,798
2023-06-05,23.600000,25.600000,23.600000,24.680000,24.680000,1743
2023-06-06,25.200001,25.200001,23.600000,24.000000,24.000000,1670
2023-06-07,24.600000,24.799999,23.600000,24.360001,24.360001,1215
2023-06-08,24.400000,24.799999,23.600000,24.000000,24.000000,950
2023-06-09,24.360001,24.360001,23.600000,24.000000,24.000000,1175
2023-06-12,24.000000,24.000000,23.400000,24.000000,24.000000,760
2023-06-13,24.000000,24.799999,23.200001,24.600000,24.600000,2138
2023-06-14,24.000000,24.320000,23.200001,23.600000,23.600000,1478
2023-06-15,23.200001,23.920000,22.799999,23.639999,23.639999,1255
2023-06-16,23.600000,24.000000,23.120001,23.120001,23.120001,2505
2023-06-20,23.120001,24.240000,22.799999,23.600000,23.600000,8843
2023-06-21,24.000000,24.000000,22.000000,22.120001,22.120001,3015
2023-06-22,22.639999,23.200001,21.600000,22.520000,22.520000,2993
2023-06-23,22.799999,22.799999,18.840000,20.000000,20.000000,5408
2023-06-26,19.559999,19.559999,18.400000,18.400000,18.400000,2508
2023-06-27,18.040001,18.040001,16.440001,16.879999,16.879999,5295
2023-06-28,16.400000,18.000000,16.400000,17.799999,17.799999,3278
2023-06-29,17.719999,18.000000,17.200001,17.200001,17.200001,1770
2023-06-30,18.080000,18.400000,16.840000,18.000000,18.000000,3865
2023-07-03,18.000000,18.000000,17.040001,18.000000,18.000000,400
2023-07-05,18.000000,18.400000,17.480000,18.000000,18.000000,1675
2023-07-06,17.719999,18.000000,16.600000,17.920000,17.920000,2315
2023-07-07,17.879999,17.879999,17.200001,17.879999,17.879999,918
2023-07-10,17.600000,18.000000,17.200001,17.480000,17.480000,1415
2023-07-11,18.000000,18.000000,17.280001,18.000000,18.000000,1598
2023-07-12,18.000000,18.000000,17.400000,17.600000,17.600000,1245
2023-07-13,17.799999,18.000000,17.520000,17.600000,17.600000,1123
2023-07-14,17.600000,17.600000,16.799999,17.000000,17.000000,6273
2023-07-17,16.840000,17.200001,16.440001,17.000000,17.000000,2743
2023-07-18,16.799999,17.559999,16.719999,17.160000,17.160000,1793
2023-07-19,17.120001,17.559999,16.600000,17.120001,17.120001,1723
2023-07-20,17.120001,17.200001,16.200001,16.799999,16.799999,1255
2023-07-21,17.160000,17.160000,16.080000,16.320000,16.320000,1690
2023-07-24,16.400000,16.680000,15.680000,15.680000,15.680000,2165
2023-07-25,16.000000,16.360001,15.680000,16.000000,16.000000,868
2023-07-26,16.000000,16.360001,15.600000,15.800000,15.800000,1238
2023-07-27,15.800000,16.000000,15.600000,15.600000,15.600000,1380
2023-07-28,15.640000,16.360001,15.600000,16.000000,16.000000,1465
2023-07-31,16.000000,16.000000,15.680000,15.920000,15.920000,710
2023-08-01,16.000000,16.400000,15.720000,16.240000,16.240000,2963
2023-08-02,15.720000,16.240000,15.600000,15.840000,15.840000,2015
2023-08-03,16.799999,16.799999,15.200000,15.800000,15.800000,3595
2023-08-04,16.000000,16.200001,15.200000,15.560000,15.560000,2140
2023-08-07,15.200000,16.000000,15.000000,15.040000,15.040000,2800
2023-08-08,15.240000,15.240000,14.080000,14.800000,14.800000,1195
2023-08-09,14.800000,15.040000,14.200000,14.480000,14.480000,985
2023-08-10,14.320000,14.320000,13.480000,13.680000,13.680000,2170
2023-08-11,13.600000,13.600000,12.800000,13.120000,13.120000,2335
2023-08-14,12.280000,13.200000,12.280000,12.840000,12.840000,1930
2023-08-15,12.800000,12.800000,11.440000,12.200000,12.200000,4763
2023-08-16,12.000000,12.200000,11.400000,12.160000,12.160000,1255
2023-08-17,12.120000,19.799999,11.440000,16.000000,16.000000,340050
2023-08-18,18.000000,26.510000,16.309999,16.900000,16.900000,3100500
2023-08-21,13.880000,14.850000,11.990000,12.000000,12.000000,145500
2023-08-22,11.240000,11.870000,9.920000,10.010000,10.010000,59100
2023-08-23,9.800000,14.460000,9.780000,10.560000,10.560000,515600
2023-08-24,11.230000,11.720000,9.241000,9.860000,9.860000,189300
2023-08-25,9.400000,10.130000,9.080000,9.110000,9.110000,156900
2023-08-28,9.100000,9.100000,7.340000,7.620000,7.620000,161100
2023-08-29,7.950000,10.220000,7.581000,8.700000,8.700000,163400
2023-08-30,10.720000,13.670000,9.081000,9.800000,9.800000,467100
2023-08-31,9.690000,68.080002,9.300000,55.000000,55.000000,1710200
2023-09-01,33.000000,53.750000,25.010000,41.360001,41.360001,1775000
2023-09-05,36.000000,43.752998,29.450001,36.799999,36.799999,667200
2023-09-06,37.310001,41.275002,32.000000,32.950001,32.950001,543100
2023-09-07,33.090000,35.740002,27.150000,29.430000,29.430000,246000
2023-09-08,28.170000,35.900002,27.430000,28.500000,28.500000,331200
2023-09-11,28.440001,30.000000,25.120001,25.500000,25.500000,106400
2023-09-12,25.940001,25.940001,21.820000,22.889999,22.889999,105200
2023-09-13,22.440001,27.820000,22.061001,22.910000,22.910000,219200
2023-09-14,22.260000,24.410000,18.799999,20.459999,20.459999,129100
2023-09-15,20.170000,21.940001,17.801001,19.520000,19.520000,129200
2023-09-18,19.020000,19.250000,17.509001,18.190001,18.190001,30500
2023-09-19,17.580000,22.000000,17.500000,18.250000,18.250000,253700
2023-09-20,18.020000,18.980000,17.629999,17.969999,17.969999,35700
2023-09-21,18.559999,18.559999,17.389999,17.990000,17.990000,19000
2023-09-22,17.400000,22.500000,15.610000,18.090000,18.090000,236800
2023-09-25,16.940001,17.350000,14.775000,15.330000,15.330000,43700
2023-09-26,15.444000,15.600000,12.620000,13.030000,13.030000,82800
2023-09-27,12.200000,15.880000,12.100000,13.040000,13.040000,166700
2023-09-28,13.990000,24.000000,13.330000,13.590000,13.590000,613200
2023-09-29,13.320000,14.110000,12.490000,12.490000,12.490000,149200
2023-10-02,12.150000,12.996000,11.770000,11.940000,11.940000,48500
2023-10-03,11.620000,13.500000,11.200000,11.500000,11.500000,78200
2023-10-04,11.720000,12.300000,11.260000,12.190000,12.190000,45500
2023-10-05,12.070000,14.100000,11.691000,11.780000,11.780000,84700
2023-10-06,11.500000,12.920000,11.500000,12.150000,12.150000,56900
2023-10-09,11.790000,12.360000,11.450000,11.450000,11.450000,36200
