Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.900000,1.930000,1.830000,1.910000,1.910000,290400
2022-12-28,1.900000,1.940000,1.850000,1.860000,1.860000,373400
2022-12-29,1.880000,2.090000,1.880000,2.050000,2.050000,584600
2022-12-30,2.040000,2.100000,1.990000,2.080000,2.080000,327400
2023-01-03,2.110000,2.228000,2.110000,2.190000,2.190000,448400
2023-01-04,2.220000,2.250000,2.180000,2.190000,2.190000,305500
2023-01-05,2.160000,2.210000,2.100000,2.130000,2.130000,253300
2023-01-06,2.150000,2.160000,2.110000,2.140000,2.140000,151400
2023-01-09,2.140000,2.197000,2.120000,2.150000,2.150000,375300
2023-01-10,2.160000,2.190000,2.120000,2.180000,2.180000,247900
2023-01-11,2.170000,2.250000,2.170000,2.210000,2.210000,175700
2023-01-12,2.230000,2.315000,2.180000,2.310000,2.310000,285500
2023-01-13,2.280000,2.380000,2.280000,2.370000,2.370000,138700
2023-01-17,2.340000,2.375000,2.266000,2.270000,2.270000,320700
2023-01-18,2.300000,2.310000,2.180000,2.190000,2.190000,239700
2023-01-19,2.160000,2.425000,2.140000,2.400000,2.400000,426100
2023-01-20,2.450000,2.525000,2.400000,2.500000,2.500000,901600
2023-01-23,2.500000,2.540000,2.420000,2.440000,2.440000,320600
2023-01-24,2.400000,2.440000,2.350000,2.370000,2.370000,190300
2023-01-25,2.340000,2.420000,2.320000,2.420000,2.420000,251100
2023-01-26,2.500000,2.578000,2.465000,2.530000,2.530000,948900
2023-01-27,2.510000,2.690000,2.505000,2.670000,2.670000,299600
2023-01-30,2.590000,2.660000,2.580000,2.580000,2.580000,597700
2023-01-31,2.580000,2.630000,2.550000,2.590000,2.590000,339700
2023-02-01,2.600000,2.660000,2.545000,2.650000,2.650000,357100
2023-02-02,2.690000,2.900000,2.685000,2.850000,2.850000,1307100
2023-02-03,2.760000,2.830000,2.735000,2.800000,2.800000,354100
2023-02-06,2.760000,2.780000,2.645000,2.690000,2.690000,649200
2023-02-07,2.660000,2.660000,2.540000,2.600000,2.600000,511400
2023-02-08,2.610000,2.615000,2.550000,2.570000,2.570000,263800
2023-02-09,2.590000,2.620000,2.510000,2.510000,2.510000,280300
2023-02-10,2.510000,2.680000,2.490000,2.680000,2.680000,293700
2023-02-13,2.680000,2.680000,2.350000,2.410000,2.410000,706200
2023-02-14,2.415000,2.460000,2.350000,2.460000,2.460000,370000
2023-02-15,2.420000,2.680000,2.420000,2.660000,2.660000,279300
2023-02-16,2.580000,2.650000,2.570000,2.590000,2.590000,248600
2023-02-17,2.610000,2.620000,2.515000,2.560000,2.560000,268800
2023-02-21,2.560000,2.585000,2.440000,2.450000,2.450000,375500
2023-02-22,2.430000,2.490000,2.345000,2.420000,2.420000,459800
2023-02-23,2.420000,2.505000,2.390000,2.430000,2.430000,292700
2023-02-24,2.380000,2.420000,2.280000,2.380000,2.380000,416500
2023-02-27,2.380000,2.400000,2.285000,2.290000,2.290000,282400
2023-02-28,2.290000,2.315000,2.180000,2.200000,2.200000,649000
2023-03-01,2.200000,2.280000,2.200000,2.230000,2.230000,265500
2023-03-02,2.250000,2.820000,2.200000,2.610000,2.610000,1764700
2023-03-03,2.610000,2.700000,2.400000,2.470000,2.470000,988000
2023-03-06,2.480000,2.538000,2.370000,2.370000,2.370000,417000
2023-03-07,2.390000,2.440000,2.240000,2.260000,2.260000,362600
2023-03-08,2.290000,2.330000,2.170000,2.200000,2.200000,608200
2023-03-09,2.190000,2.210000,2.070000,2.070000,2.070000,441900
2023-03-10,2.100000,2.100000,1.920000,2.020000,2.020000,578400
2023-03-13,2.020000,2.030000,1.900000,1.920000,1.920000,399000
2023-03-14,1.970000,1.985000,1.870000,1.890000,1.890000,495400
2023-03-15,1.810000,1.885000,1.700000,1.870000,1.870000,403100
2023-03-16,1.830000,1.850000,1.790000,1.820000,1.820000,237300
2023-03-17,1.780000,1.800000,1.660000,1.740000,1.740000,1145000
2023-03-20,1.790000,1.850000,1.730000,1.820000,1.820000,482300
2023-03-21,1.880000,1.950000,1.865000,1.920000,1.920000,378900
2023-03-22,1.920000,1.990000,1.890000,1.910000,1.910000,477400
2023-03-23,1.920000,1.920000,1.810000,1.840000,1.840000,395800
2023-03-24,1.860000,1.860000,1.750000,1.770000,1.770000,273800
2023-03-27,1.760000,1.780000,1.680000,1.750000,1.750000,350100
2023-03-28,1.750000,1.780000,1.670000,1.680000,1.680000,323500
2023-03-29,1.710000,1.710000,1.630000,1.640000,1.640000,219500
2023-03-30,1.690000,1.690000,1.600000,1.620000,1.620000,470700
2023-03-31,1.620000,1.660000,1.560000,1.580000,1.580000,672700
2023-04-03,1.570000,1.710000,1.540000,1.690000,1.690000,377900
2023-04-04,1.670000,1.670000,1.540000,1.560000,1.560000,701900
2023-04-05,1.560000,1.560000,1.400000,1.510000,1.510000,487300
2023-04-06,1.620000,1.730000,1.540000,1.580000,1.580000,558000
2023-04-10,1.560000,1.630000,1.470000,1.490000,1.490000,4052900
2023-04-11,1.490000,1.500000,1.430000,1.450000,1.450000,378100
2023-04-12,1.440000,1.490000,1.370000,1.380000,1.380000,372400
2023-04-13,1.410000,1.430000,1.360000,1.370000,1.370000,580200
2023-04-14,1.370000,1.420000,1.340000,1.350000,1.350000,433600
2023-04-17,1.330000,1.350000,1.250000,1.260000,1.260000,608400
2023-04-18,1.290000,1.300000,1.240000,1.250000,1.250000,426800
2023-04-19,1.230000,1.235000,1.170000,1.180000,1.180000,429800
2023-04-20,1.300000,1.310000,1.190000,1.210000,1.210000,539000
2023-04-21,1.190000,1.220000,1.150000,1.150000,1.150000,454800
2023-04-24,1.150000,1.230000,1.150000,1.230000,1.230000,447600
2023-04-25,1.220000,1.235000,1.180000,1.190000,1.190000,255000
2023-04-26,1.200000,1.200000,1.130000,1.170000,1.170000,237000
2023-04-27,1.180000,1.200000,1.130000,1.200000,1.200000,276400
2023-04-28,1.200000,1.290000,1.200000,1.280000,1.280000,307800
2023-05-01,1.300000,1.330000,1.240000,1.310000,1.310000,191900
2023-05-02,1.290000,1.290000,1.200000,1.200000,1.200000,313300
2023-05-03,1.210000,1.240000,1.180000,1.180000,1.180000,267100
2023-05-04,1.200000,1.217000,1.170000,1.190000,1.190000,274300
