Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.300000,3.400000,2.980000,3.000000,3.000000,82370
2022-12-28,3.110000,3.110000,2.251000,2.520000,2.520000,211000
2022-12-29,2.300000,2.585000,2.300000,2.450000,2.450000,88900
2022-12-30,2.430000,2.500000,2.300000,2.300000,2.300000,75400
2023-01-03,2.350000,2.720000,2.326000,2.660000,2.660000,189600
2023-01-04,2.700000,2.890000,2.510000,2.723000,2.723000,64000
2023-01-05,2.710000,2.710000,2.540000,2.580000,2.580000,28800
2023-01-06,2.540000,2.670000,2.520000,2.590000,2.590000,31600
2023-01-09,2.550000,2.840000,2.510000,2.660000,2.660000,66400
2023-01-10,2.660000,2.783000,2.630000,2.740000,2.740000,14500
2023-01-11,2.670000,2.980000,2.670000,2.870000,2.870000,43100
2023-01-12,2.830000,2.950000,2.814000,2.880000,2.880000,25900
2023-01-13,2.860000,3.190000,2.821000,2.970000,2.970000,57700
2023-01-17,3.080000,3.128000,3.020000,3.040000,3.040000,21800
2023-01-18,3.110000,3.115000,2.850000,2.850000,2.850000,30700
2023-01-19,2.770000,2.870000,2.760000,2.780000,2.780000,16600
2023-01-20,2.780000,2.987000,2.780000,2.860000,2.860000,15500
2023-01-23,2.820000,3.003000,2.820000,2.920000,2.920000,34200
2023-01-24,3.060000,3.180000,2.960000,3.140000,3.140000,25800
2023-01-25,3.030000,3.170000,2.830000,3.120000,3.120000,32800
2023-01-26,3.180000,3.180000,3.023000,3.130000,3.130000,13200
2023-01-27,3.130000,3.170000,3.080000,3.120000,3.120000,19000
2023-01-30,3.110000,3.110000,3.042000,3.070000,3.070000,2800
2023-01-31,3.020000,3.150000,3.000000,3.090000,3.090000,28300
2023-02-01,3.170000,3.170000,3.030000,3.100000,3.100000,9600
2023-02-02,3.110000,3.192000,3.070000,3.120000,3.120000,20800
2023-02-03,3.050000,3.540000,3.000000,3.100000,3.100000,80900
2023-02-06,2.090000,2.170000,2.040000,2.100000,2.100000,1039900
2023-02-07,2.150000,2.150000,2.060000,2.120000,2.120000,136400
2023-02-08,2.060000,2.180000,1.995000,2.010000,2.010000,200200
2023-02-09,2.000000,2.025000,1.900000,1.950000,1.950000,359900
2023-02-10,2.120000,2.120000,1.950000,2.010000,2.010000,220400
2023-02-13,2.080000,2.080000,1.920000,1.980000,1.980000,74700
2023-02-14,1.990000,1.990000,1.900000,1.940000,1.940000,82700
2023-02-15,1.930000,2.050000,1.930000,1.990000,1.990000,50000
2023-02-16,1.990000,1.990000,1.920000,1.990000,1.990000,43800
2023-02-17,1.960000,2.060000,1.960000,2.050000,2.050000,82800
2023-02-21,2.030000,2.100000,1.970000,1.990000,1.990000,95800
2023-02-22,2.000000,2.127000,2.000000,2.040000,2.040000,63000
2023-02-23,2.080000,2.080000,2.000000,2.060000,2.060000,23000
2023-02-24,2.010000,2.080000,1.980000,2.050000,2.050000,40900
2023-02-27,2.030000,2.060000,1.970000,2.040000,2.040000,19600
2023-02-28,1.980000,2.030000,1.950000,2.000000,2.000000,39900
2023-03-01,1.980000,2.000000,1.910000,1.920000,1.920000,30400
2023-03-02,1.970000,1.970000,1.820000,1.855000,1.855000,45900
2023-03-03,1.860000,1.890000,1.800000,1.840000,1.840000,38100
2023-03-06,1.900000,1.900000,1.670000,1.740000,1.740000,101100
2023-03-07,1.710000,1.730000,1.643000,1.680000,1.680000,57400
2023-03-08,1.750000,1.750000,1.635000,1.670000,1.670000,56100
2023-03-09,1.680000,1.714000,1.620000,1.640000,1.640000,30000
2023-03-10,1.630000,1.680000,1.580000,1.590000,1.590000,60400
2023-03-13,1.580000,1.680000,1.560000,1.620000,1.620000,75300
2023-03-14,1.580000,1.700000,1.570000,1.570000,1.570000,29000
2023-03-15,1.652000,1.652000,1.530000,1.540000,1.540000,32500
2023-03-16,1.530000,1.540000,1.470000,1.535000,1.535000,41700
2023-03-17,1.500000,1.620000,1.480000,1.480000,1.480000,55700
2023-03-20,1.480000,1.540000,1.450000,1.470000,1.470000,34000
2023-03-21,1.530000,1.618000,1.506000,1.600000,1.600000,18500
2023-03-22,1.620000,1.680000,1.580000,1.600000,1.600000,24100
2023-03-23,1.600000,1.630000,1.550000,1.580000,1.580000,10400
2023-03-24,1.580000,1.618000,1.560000,1.580000,1.580000,6600
2023-03-27,1.560000,1.640000,1.534000,1.575000,1.575000,26100
2023-03-28,1.602000,1.602000,1.520000,1.520000,1.520000,24000
2023-03-29,1.614000,1.628000,1.520000,1.530000,1.530000,9100
2023-03-30,1.620000,1.620000,1.520000,1.520000,1.520000,12800
2023-03-31,1.540000,1.590000,1.530000,1.590000,1.590000,23200
2023-04-03,1.620000,1.620000,1.550000,1.560000,1.560000,8300
2023-04-04,1.470000,1.580000,1.460000,1.470000,1.470000,18500
2023-04-05,1.470000,1.502000,1.430000,1.440000,1.440000,20100
2023-04-06,1.430000,1.460000,1.430000,1.430000,1.430000,11600
2023-04-10,1.420000,1.439000,1.355000,1.360000,1.360000,25900
2023-04-11,1.370000,1.467000,1.370000,1.440000,1.440000,11200
2023-04-12,1.430000,1.430000,1.360000,1.360000,1.360000,11700
2023-04-13,1.370000,1.430000,1.350000,1.417000,1.417000,30300
2023-04-14,1.420000,1.440000,1.380000,1.410000,1.410000,14000
2023-04-17,1.440000,1.440000,1.380000,1.420000,1.420000,32800
2023-04-18,1.400000,1.450000,1.360000,1.390000,1.390000,28600
2023-04-19,1.360000,1.537000,1.330000,1.450000,1.450000,49600
2023-04-20,1.450000,1.482000,1.390000,1.430000,1.430000,22900
2023-04-21,1.430000,1.441000,1.400000,1.435000,1.435000,6400
2023-04-24,1.470000,1.470000,1.410000,1.410000,1.410000,8700
2023-04-25,1.400000,1.410000,1.360000,1.360000,1.360000,13900
2023-04-26,1.370000,1.380000,1.330000,1.340000,1.340000,15400
2023-04-27,1.390000,1.390000,1.340000,1.340000,1.340000,26500
2023-04-28,1.410000,1.620000,1.395000,1.500000,1.500000,73800
2023-05-01,1.500000,1.640000,1.500000,1.570000,1.570000,227900
2023-05-02,1.640000,1.640000,1.480000,1.530000,1.530000,38900
2023-05-03,1.530000,1.739000,1.420000,1.610000,1.610000,608800
2023-05-04,1.550000,1.570000,1.440000,1.520000,1.520000,171900
2023-05-05,1.470000,1.540000,1.470000,1.520000,1.520000,51600
2023-05-08,1.500000,1.550000,1.450000,1.550000,1.550000,41000
2023-05-09,1.543000,1.590000,1.500000,1.539000,1.539000,18300
2023-05-10,1.555000,1.660000,1.540000,1.580000,1.580000,79500
2023-05-11,1.570000,1.576000,1.500000,1.545000,1.545000,16600
2023-05-12,1.550000,1.555000,1.400000,1.400000,1.400000,52500
2023-05-15,1.390000,1.430000,1.365000,1.410000,1.410000,22300
2023-05-16,1.440000,1.440000,1.390000,1.390000,1.390000,23300
2023-05-17,1.400000,1.420000,1.390000,1.400000,1.400000,15600
2023-05-18,1.400000,1.430000,1.400000,1.410000,1.410000,8900
2023-05-19,1.440000,1.530000,1.430000,1.530000,1.530000,33300
2023-05-22,1.650000,1.650000,1.580000,1.610000,1.610000,51500
2023-05-23,1.630000,1.650000,1.550000,1.550000,1.550000,19900
2023-05-24,1.600000,1.620000,1.532000,1.580000,1.580000,14400
2023-05-25,1.600000,1.600000,1.410000,1.410000,1.410000,37000
2023-05-26,1.390000,1.430000,1.380000,1.390000,1.390000,37100
2023-05-30,1.390000,1.840000,1.390000,1.840000,1.840000,304500
2023-05-31,1.730000,2.080000,1.700000,2.000000,2.000000,316100
2023-06-01,1.980000,1.980000,1.760000,1.760000,1.760000,110800
2023-06-02,1.710000,2.010000,1.710000,1.840000,1.840000,190400
2023-06-05,1.850000,1.900000,1.750000,1.810000,1.810000,19500
2023-06-06,1.760000,1.840000,1.710000,1.760000,1.760000,46800
2023-06-07,1.840000,1.840000,1.717000,1.750000,1.750000,12800
2023-06-08,1.710000,1.770000,1.700000,1.735000,1.735000,20400
2023-06-09,1.710000,1.768000,1.610000,1.700000,1.700000,43600
2023-06-12,1.660000,1.740000,1.660000,1.710000,1.710000,12400
2023-06-13,1.700000,1.700000,1.650000,1.680000,1.680000,16900
2023-06-14,1.626000,1.680000,1.626000,1.660000,1.660000,21400
2023-06-15,1.630000,1.680000,1.630000,1.680000,1.680000,10000
2023-06-16,1.650000,1.680000,1.590000,1.640000,1.640000,18000
2023-06-20,1.600000,1.642000,1.520000,1.530000,1.530000,23400
2023-06-21,1.537000,1.620000,1.510000,1.550000,1.550000,43100
2023-06-22,1.590000,1.590000,1.460000,1.460000,1.460000,43900
2023-06-23,1.450000,1.450000,1.412000,1.450000,1.450000,19900
2023-06-26,1.500000,1.520000,1.392000,1.490000,1.490000,21300
2023-06-27,1.510000,1.575000,1.492000,1.550000,1.550000,15300
2023-06-28,1.550000,1.690000,1.547000,1.630000,1.630000,42300
2023-06-29,1.720000,1.760000,1.650000,1.720000,1.720000,87900
2023-06-30,1.700000,1.730000,1.550000,1.550000,1.550000,58300
2023-07-03,1.610000,1.700000,1.600000,1.680000,1.680000,23500
2023-07-05,1.710000,1.770000,1.680000,1.740000,1.740000,24500
2023-07-06,1.740000,1.740000,1.620000,1.640000,1.640000,15800
2023-07-07,1.650000,1.724000,1.650000,1.710000,1.710000,16200
2023-07-10,1.710000,1.719000,1.680000,1.690000,1.690000,9200
2023-07-11,1.695000,1.740000,1.630000,1.700000,1.700000,28000
2023-07-12,1.720000,1.770000,1.710000,1.770000,1.770000,24800
2023-07-13,1.780000,2.000000,1.770000,1.990000,1.990000,188100
2023-07-14,2.000000,2.040000,1.860000,1.900000,1.900000,55700
2023-07-17,1.909000,1.970000,1.871000,1.950000,1.950000,37900
2023-07-18,1.970000,1.970000,1.890000,1.970000,1.970000,15800
2023-07-19,2.000000,2.000000,1.920000,1.930000,1.930000,10500
2023-07-20,1.960000,1.960000,1.650000,1.674000,1.674000,81500
2023-07-21,1.750000,1.780000,1.620000,1.700000,1.700000,35600
2023-07-24,1.770000,1.770000,1.650000,1.720000,1.720000,12500
2023-07-25,1.690000,1.734000,1.690000,1.700000,1.700000,4800
2023-07-26,1.690000,1.760000,1.650000,1.750000,1.750000,8900
2023-07-27,1.710000,1.730000,1.680000,1.720000,1.720000,3900
2023-07-28,1.660000,1.750000,1.660000,1.730000,1.730000,21000
2023-07-31,1.700000,1.748000,1.690000,1.710000,1.710000,16000
2023-08-01,1.680000,1.770000,1.660000,1.690000,1.690000,12200
2023-08-02,1.660000,1.699000,1.620000,1.655000,1.655000,30300
2023-08-03,1.630000,1.640000,1.600000,1.600000,1.600000,24500
2023-08-04,1.591000,1.615000,1.580000,1.585000,1.585000,10300
2023-08-07,1.570000,1.615000,1.527000,1.530000,1.530000,18200
2023-08-08,1.520000,1.520000,1.472000,1.490000,1.490000,14600
2023-08-09,1.490000,1.520000,1.470000,1.489000,1.489000,8400
2023-08-10,1.535000,1.535000,1.470000,1.480000,1.480000,7700
