Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.250000,3.270000,3.080000,3.080000,3.080000,16400
2022-12-28,3.090000,3.230000,2.960000,3.020000,3.020000,43600
2022-12-29,2.930000,3.070000,2.890000,3.040000,3.040000,27900
2022-12-30,3.020000,3.200000,2.980000,3.180000,3.180000,28400
2023-01-03,3.250000,3.250000,3.120000,3.220000,3.220000,15900
2023-01-04,3.220000,3.330000,3.120000,3.330000,3.330000,5700
2023-01-05,3.240000,3.500000,3.220000,3.420000,3.420000,3400
2023-01-06,3.370000,3.590000,3.370000,3.580000,3.580000,6000
2023-01-09,3.570000,3.620000,3.550000,3.620000,3.620000,13900
2023-01-10,3.500000,3.700000,3.500000,3.580000,3.580000,4100
2023-01-11,3.520000,3.680000,3.510000,3.580000,3.580000,6800
2023-01-12,3.480000,3.720000,3.480000,3.660000,3.660000,14000
2023-01-13,3.700000,3.820000,3.700000,3.750000,3.750000,13800
2023-01-17,3.930000,3.930000,3.710000,3.750000,3.750000,20900
2023-01-18,3.820000,3.940000,3.770000,3.890000,3.890000,39600
2023-01-19,3.820000,3.890000,3.820000,3.870000,3.870000,8000
2023-01-20,3.840000,3.890000,3.780000,3.860000,3.860000,17100
2023-01-23,3.840000,3.860000,3.790000,3.840000,3.840000,12700
2023-01-24,3.810000,3.900000,3.720000,3.720000,3.720000,6900
2023-01-25,3.680000,3.850000,3.680000,3.740000,3.740000,13700
2023-01-26,3.740000,3.840000,3.660000,3.690000,3.690000,15900
2023-01-27,3.740000,3.800000,3.720000,3.730000,3.730000,9800
2023-01-30,3.710000,3.880000,3.710000,3.880000,3.880000,10400
2023-01-31,3.880000,3.940000,3.820000,3.830000,3.830000,10700
2023-02-01,3.760000,3.880000,3.740000,3.760000,3.760000,8300
2023-02-02,3.720000,3.900000,3.720000,3.720000,3.720000,19700
2023-02-03,3.720000,3.870000,3.720000,3.820000,3.820000,6700
2023-02-06,3.750000,3.820000,3.730000,3.740000,3.740000,22800
2023-02-07,3.790000,3.790000,3.750000,3.750000,3.750000,3700
2023-02-08,3.790000,3.790000,3.680000,3.700000,3.700000,6700
