Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.170000,1.200000,1.120000,1.120000,1.120000,1072200
2022-12-28,1.140000,1.180000,1.110000,1.140000,1.140000,747700
2022-12-29,1.140000,1.230000,1.140000,1.230000,1.230000,1362600
2022-12-30,1.210000,1.240000,1.190000,1.240000,1.240000,560900
2023-01-03,1.320000,1.340000,1.200000,1.210000,1.210000,985000
2023-01-04,1.250000,1.300000,1.205000,1.290000,1.290000,704900
2023-01-05,1.250000,1.290000,1.230000,1.250000,1.250000,755300
2023-01-06,1.250000,1.260000,1.155000,1.200000,1.200000,2809500
2023-01-09,1.150000,1.170000,1.050000,1.075000,1.075000,4580000
2023-01-10,1.100000,1.125000,1.050000,1.055000,1.055000,1822900
2023-01-11,1.080000,1.089000,1.050000,1.070000,1.070000,1453400
2023-01-12,1.080000,1.140000,1.040000,1.130000,1.130000,2189900
2023-01-13,1.100000,1.150000,1.085000,1.140000,1.140000,1433900
2023-01-17,1.160000,1.180000,1.120000,1.150000,1.150000,1347400
2023-01-18,1.140000,1.190000,1.130000,1.180000,1.180000,1489100
2023-01-19,1.150000,1.200000,1.130000,1.170000,1.170000,1219700
2023-01-20,1.180000,1.250000,1.135000,1.220000,1.220000,3899900
2023-01-23,1.220000,1.260000,1.160000,1.160000,1.160000,2358600
2023-01-24,1.150000,1.190000,1.120000,1.170000,1.170000,2401800
2023-01-25,1.170000,1.200000,1.140000,1.190000,1.190000,789400
2023-01-26,1.190000,1.235000,1.170000,1.200000,1.200000,808300
2023-01-27,1.200000,1.220000,1.180000,1.210000,1.210000,725200
2023-01-30,1.280000,1.290000,1.225000,1.270000,1.270000,2012000
2023-01-31,1.280000,1.290000,1.250000,1.290000,1.290000,1017800
2023-02-01,1.280000,1.290000,1.210000,1.280000,1.280000,1396500
2023-02-02,1.330000,1.350000,1.250000,1.280000,1.280000,1545400
2023-02-03,1.280000,1.280000,1.190000,1.200000,1.200000,1314700
2023-02-06,1.270000,1.270000,1.175000,1.180000,1.180000,1046900
2023-02-07,1.190000,1.200000,1.140000,1.180000,1.180000,1154100
2023-02-08,1.160000,1.180000,1.100000,1.100000,1.100000,787500
2023-02-09,1.130000,1.150000,1.070000,1.090000,1.090000,969700
2023-02-10,1.100000,1.100000,1.050000,1.070000,1.070000,745400
2023-02-13,1.100000,1.120000,1.070000,1.080000,1.080000,713400
2023-02-14,1.070000,1.099000,1.050000,1.070000,1.070000,1127100
2023-02-15,1.060000,1.070000,1.040000,1.060000,1.060000,1546100
2023-02-16,1.000000,1.060000,0.990000,1.000000,1.000000,2244300
2023-02-17,1.010000,1.020000,0.991000,1.020000,1.020000,1235000
2023-02-21,1.000000,1.020000,0.984000,0.989000,0.989000,1110400
2023-02-22,1.010000,1.010000,0.921000,0.967000,0.967000,1411600
2023-02-23,0.988000,1.000000,0.911000,0.941000,0.941000,899700
2023-02-24,0.920000,0.930000,0.900000,0.910000,0.910000,947300
2023-02-27,0.920000,0.949000,0.900000,0.903000,0.903000,693400
2023-02-28,0.909000,0.920000,0.891000,0.909000,0.909000,418300
2023-03-01,0.915000,0.920000,0.840000,0.857000,0.857000,1161200
2023-03-02,0.870000,0.890000,0.818000,0.847000,0.847000,1144700
2023-03-03,0.852000,0.920000,0.840000,0.902000,0.902000,624300
2023-03-06,0.903000,0.973000,0.888000,0.911000,0.911000,665200
2023-03-07,0.912000,0.943000,0.885000,0.896000,0.896000,454900
2023-03-08,0.920000,0.944000,0.861000,0.888000,0.888000,374300
2023-03-09,0.870000,0.928000,0.852000,0.857000,0.857000,768400
2023-03-10,0.850000,0.858000,0.749000,0.765000,0.765000,2231100
2023-03-13,0.767000,0.837000,0.760000,0.830000,0.830000,803700
2023-03-14,0.830000,0.850000,0.782000,0.800000,0.800000,689300
2023-03-15,0.780000,0.830000,0.760000,0.784000,0.784000,716100
2023-03-16,0.790000,0.800000,0.753000,0.775000,0.775000,723800
2023-03-17,0.775000,0.822000,0.740000,0.760000,0.760000,978200
2023-03-20,0.758000,0.770000,0.740000,0.762000,0.762000,569200
2023-03-21,0.744000,0.786000,0.744000,0.765000,0.765000,592300
2023-03-22,0.760000,0.780000,0.743000,0.750000,0.750000,644100
2023-03-23,0.850000,0.850000,0.676000,0.702000,0.702000,1633500
2023-03-24,0.650000,0.691000,0.550000,0.661000,0.661000,1185900
2023-03-27,0.680000,0.700000,0.660000,0.689000,0.689000,1036500
2023-03-28,0.750000,0.750000,0.690000,0.696000,0.696000,822200
2023-03-29,0.700000,0.798000,0.700000,0.758000,0.758000,1087600
2023-03-30,0.758000,0.800000,0.728000,0.741000,0.741000,719600
2023-03-31,0.750000,0.777000,0.730000,0.746000,0.746000,1087000
2023-04-03,0.774000,0.788000,0.730000,0.740000,0.740000,398900
2023-04-04,0.750000,0.766000,0.730000,0.739000,0.739000,562700
2023-04-05,0.730000,0.752000,0.730000,0.732000,0.732000,512400
2023-04-06,0.730000,0.750000,0.730000,0.734000,0.734000,600000
2023-04-10,0.770000,0.780000,0.661000,0.668000,0.668000,1417600
2023-04-11,0.680000,0.715000,0.664000,0.711000,0.711000,653600
2023-04-12,0.696000,0.716000,0.661000,0.672000,0.672000,516100
2023-04-13,0.680000,0.757000,0.670000,0.720000,0.720000,796400
2023-04-14,0.691000,0.798000,0.691000,0.758000,0.758000,828500
2023-04-17,0.794000,0.840000,0.763000,0.817000,0.817000,1004600
2023-04-18,0.820000,0.830000,0.791000,0.804000,0.804000,555900
2023-04-19,0.800000,0.850000,0.800000,0.825000,0.825000,659500
2023-04-20,0.829000,0.840000,0.800000,0.814000,0.814000,443600
2023-04-21,0.800000,0.850000,0.800000,0.850000,0.850000,466500
2023-04-24,0.820000,0.850000,0.801000,0.825000,0.825000,374200
2023-04-25,0.817000,0.927000,0.817000,0.862000,0.862000,1187900
2023-04-26,0.840000,0.950000,0.840000,0.928000,0.928000,665900
2023-04-27,0.928000,0.949000,0.830000,0.900000,0.900000,558200
2023-04-28,0.900000,0.919000,0.870000,0.900000,0.900000,328800
2023-05-01,0.880000,0.937000,0.860000,0.911000,0.911000,298600
2023-05-02,0.892000,0.905000,0.827000,0.883000,0.883000,945800
2023-05-03,0.888000,0.910000,0.860000,0.867000,0.867000,329800
2023-05-04,0.840000,0.896000,0.840000,0.863000,0.863000,316600
2023-05-05,0.875000,0.927000,0.862000,0.881000,0.881000,291300
2023-05-08,0.880000,0.909000,0.850000,0.883000,0.883000,401900
2023-05-09,0.890000,0.899000,0.851000,0.868000,0.868000,303700
2023-05-10,0.867000,0.910000,0.850000,0.910000,0.910000,376400
2023-05-11,0.897000,0.980000,0.880000,0.916000,0.916000,748100
2023-05-12,0.910000,0.950000,0.851000,0.869000,0.869000,392400
2023-05-15,0.886000,0.920000,0.850000,0.889000,0.889000,325300
2023-05-16,0.896000,0.900000,0.860000,0.881000,0.881000,307900
2023-05-17,0.890000,0.929000,0.850000,0.922000,0.922000,553600
2023-05-18,0.925000,0.990000,0.910000,0.967000,0.967000,1017200
2023-05-19,0.999000,1.100000,0.970000,1.080000,1.080000,1248700
2023-05-22,1.090000,1.110000,1.030000,1.070000,1.070000,1062800
2023-05-23,1.070000,1.070000,0.931000,0.966000,0.966000,1533100
2023-05-24,0.966000,1.010000,0.950000,0.971000,0.971000,955700
2023-05-25,1.000000,1.003000,0.860000,0.873000,0.873000,1157400
2023-05-26,0.875000,0.909000,0.821000,0.828000,0.828000,1316100
2023-05-30,0.766000,0.890000,0.761000,0.857000,0.857000,919300
2023-05-31,0.872000,0.899000,0.825000,0.880000,0.880000,530800
2023-06-01,0.880000,0.910000,0.811000,0.854000,0.854000,979500
