Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,15.460000,15.740000,15.070000,15.490000,15.490000,258400
2022-12-28,15.480000,15.610000,15.140000,15.370000,15.370000,187900
2022-12-29,15.450000,16.160000,15.450000,16.080000,16.080000,510800
2022-12-30,16.070000,16.250000,15.580000,15.620000,15.620000,306100
2023-01-03,15.880000,16.730000,15.650000,16.190001,16.190001,493100
2023-01-04,16.260000,16.400000,15.150000,15.410000,15.410000,620100
2023-01-05,15.210000,15.340000,13.690000,14.230000,14.230000,1294400
2023-01-06,14.310000,14.650000,14.010000,14.390000,14.390000,326900
2023-01-09,14.420000,15.150000,14.420000,14.820000,14.820000,454700
2023-01-10,14.800000,15.490000,14.700000,15.390000,15.390000,611000
2023-01-11,15.410000,15.580000,15.100000,15.130000,15.130000,531000
2023-01-12,15.030000,15.070000,14.260000,14.660000,14.660000,366100
2023-01-13,14.640000,14.710000,14.520000,14.540000,14.540000,173800
2023-01-17,14.540000,14.690000,14.190000,14.620000,14.620000,392500
2023-01-18,14.780000,14.840000,14.250000,14.250000,14.250000,211000
2023-01-19,14.350000,15.670000,14.350000,15.290000,15.290000,420400
2023-01-20,15.280000,15.500000,14.865000,15.330000,15.330000,280200
2023-01-23,15.470000,16.174999,15.470000,15.750000,15.750000,386000
2023-01-24,15.760000,16.040001,15.560000,15.690000,15.690000,210600
2023-01-25,15.650000,15.830000,15.540000,15.830000,15.830000,210700
2023-01-26,15.920000,16.090000,15.740000,15.790000,15.790000,189000
2023-01-27,15.830000,15.910000,15.520000,15.530000,15.530000,122100
2023-01-30,15.370000,15.420000,15.060000,15.130000,15.130000,89400
2023-01-31,15.150000,15.488000,15.080000,15.280000,15.280000,125300
2023-02-01,15.300000,15.620000,15.110000,15.530000,15.530000,161800
2023-02-02,15.540000,15.610000,15.160000,15.190000,15.190000,170400
2023-02-03,14.830000,15.210000,14.590000,14.650000,14.650000,144100
2023-02-06,14.580000,14.851000,13.700000,13.740000,13.740000,198200
2023-02-07,13.640000,14.005000,13.390000,13.830000,13.830000,345200
2023-02-08,13.860000,13.920000,13.600000,13.750000,13.750000,159400
2023-02-09,13.870000,14.000000,13.160000,13.170000,13.170000,301900
2023-02-10,13.120000,13.740000,12.930000,13.670000,13.670000,285200
2023-02-13,13.580000,13.880000,13.400000,13.700000,13.700000,155400
2023-02-14,13.700000,14.070000,13.460000,13.560000,13.560000,138200
2023-02-15,13.420000,13.845000,13.290000,13.710000,13.710000,108700
2023-02-16,13.560000,13.650000,13.290000,13.470000,13.470000,122800
2023-02-17,13.460000,13.480000,13.040000,13.110000,13.110000,115100
2023-02-21,13.010000,13.120000,12.850000,12.860000,12.860000,137900
2023-02-22,12.850000,12.940000,11.930000,11.970000,11.970000,315300
2023-02-23,12.150000,12.430000,12.010000,12.210000,12.210000,367500
