Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.384691,2.404318,2.266928,2.276742,2.276742,2967328
2022-12-28,2.276742,2.365064,2.119725,2.129539,2.129539,4228137
2022-12-29,2.139352,2.355250,2.090285,2.266928,2.266928,5060048
2022-12-30,2.266928,2.365064,2.227674,2.355250,2.355250,3680628
2023-01-03,2.365064,2.492640,2.335623,2.355250,2.355250,3994989
2023-01-04,2.374877,2.512267,2.335623,2.473013,2.473013,3634365
2023-01-05,2.433759,2.433759,2.345437,2.404318,2.404318,2933701
2023-01-06,2.414132,2.414132,2.325810,2.355250,2.355250,2560543
2023-01-09,2.384691,2.423945,2.286555,2.325810,2.325810,3475809
2023-01-10,2.345437,2.600589,2.335623,2.590775,2.590775,4119715
2023-01-11,2.610402,2.639843,2.482826,2.590775,2.590775,3935786
2023-01-12,2.610402,2.826300,2.551521,2.816487,2.816487,5105903
2023-01-13,2.757605,3.012758,2.757605,2.894995,2.894995,5505453
2023-01-17,2.904809,2.924436,2.679097,2.728165,2.728165,3606139
2023-01-18,2.737978,2.816487,2.639843,2.649657,2.649657,4016388
2023-01-19,2.639843,2.806673,2.600589,2.718351,2.718351,3431075
2023-01-20,2.777233,2.806673,2.580962,2.649657,2.649657,6067330
2023-01-23,2.659470,2.728165,2.374877,2.502453,2.502453,7434624
2023-01-24,2.473013,2.561335,2.423945,2.541708,2.541708,3466434
2023-01-25,2.522080,2.551521,2.404318,2.423945,2.423945,5450529
2023-01-26,2.443572,2.453386,2.315996,2.394504,2.394504,4398514
2023-01-27,2.394504,2.620216,2.374877,2.580962,2.580962,5189257
2023-01-30,2.551521,2.630029,2.502453,2.502453,2.502453,3517180
2023-01-31,2.531894,2.600589,2.522080,2.561335,2.561335,3028468
2023-02-01,2.551521,2.580962,2.433759,2.541708,2.541708,4471270
2023-02-02,2.600589,2.669284,2.522080,2.600589,2.600589,6515690
2023-02-03,2.561335,2.620216,2.522080,2.522080,2.522080,3059955
