Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.600000,1.650000,1.530000,1.640000,1.640000,5800
2022-12-28,1.590000,1.630000,1.510000,1.620000,1.620000,19500
2022-12-29,1.620000,1.620000,1.550000,1.620000,1.620000,6500
2022-12-30,1.630000,1.650000,1.550000,1.650000,1.650000,12300
2023-01-03,1.633000,1.640000,1.595000,1.640000,1.640000,8100
2023-01-04,1.560000,1.640000,1.550000,1.630000,1.630000,12700
2023-01-05,1.630000,1.630000,1.630000,1.630000,1.630000,6500
2023-01-06,1.550000,1.600000,1.500000,1.590000,1.590000,12600
2023-01-09,1.600000,1.600000,1.498000,1.600000,1.600000,9200
2023-01-10,1.600000,1.640000,1.540000,1.640000,1.640000,16300
2023-01-11,1.600000,1.640000,1.550000,1.600000,1.600000,8500
2023-01-12,1.640000,1.670000,1.550000,1.670000,1.670000,32300
2023-01-13,1.630000,1.755000,1.600000,1.694000,1.694000,117700
2023-01-17,1.670000,1.750000,1.655000,1.750000,1.750000,37300
2023-01-18,1.680000,1.750000,1.680000,1.690000,1.690000,25300
2023-01-19,1.697000,1.700000,1.646000,1.700000,1.700000,26000
2023-01-20,1.690000,1.790000,1.684000,1.790000,1.790000,10300
2023-01-23,1.770000,1.790000,1.700000,1.707000,1.707000,5000
2023-01-24,1.630000,1.760000,1.620000,1.700000,1.700000,15600
2023-01-25,1.682000,1.690000,1.640000,1.690000,1.690000,9400
2023-01-26,1.680000,1.690000,1.670000,1.690000,1.690000,9000
2023-01-27,1.690000,1.690000,1.590000,1.690000,1.690000,19700
2023-01-30,1.580000,1.650000,1.510000,1.630000,1.630000,12800
2023-01-31,1.672000,1.680000,1.650000,1.665000,1.665000,15000
2023-02-01,1.650000,1.680000,1.640000,1.640000,1.640000,23000
2023-02-02,1.671000,1.700000,1.600000,1.660000,1.660000,17100
2023-02-03,1.652000,1.679000,1.580000,1.660000,1.660000,12800
2023-02-06,1.640000,1.690000,1.620000,1.650000,1.650000,8100
2023-02-07,1.644000,1.710000,1.644000,1.660000,1.660000,7200
2023-02-08,1.630000,1.630000,1.519000,1.607000,1.607000,1700
2023-02-09,1.588000,1.660000,1.588000,1.660000,1.660000,300
2023-02-10,1.650000,1.650000,1.597000,1.597000,1.597000,2300
2023-02-13,1.629000,1.640000,1.500000,1.640000,1.640000,18000
2023-02-14,1.640000,1.660000,1.510000,1.650000,1.650000,11200
2023-02-15,1.650000,1.680000,1.640000,1.655000,1.655000,7600
2023-02-16,1.670000,1.740000,1.660000,1.720000,1.720000,33400
2023-02-17,1.667000,1.720000,1.660000,1.720000,1.720000,29900
2023-02-21,1.690000,1.710000,1.660000,1.690000,1.690000,9800
2023-02-22,1.660000,1.720000,1.660000,1.720000,1.720000,14900
2023-02-23,1.710000,1.710000,1.628000,1.628000,1.628000,23500
2023-02-24,1.560000,1.660000,1.560000,1.660000,1.660000,7100
2023-02-27,1.690000,1.700000,1.650000,1.690000,1.690000,6400
2023-02-28,1.679000,1.679000,1.660000,1.660000,1.660000,9100
2023-03-01,1.690000,1.700000,1.610000,1.650000,1.650000,7700
2023-03-02,1.690000,1.690000,1.680000,1.690000,1.690000,3100
2023-03-03,1.690000,1.690000,1.680000,1.690000,1.690000,7800
2023-03-06,1.690000,1.700000,1.681000,1.690000,1.690000,7600
2023-03-07,1.690000,1.690000,1.640000,1.690000,1.690000,4900
2023-03-08,1.680000,1.700000,1.638000,1.638000,1.638000,9400
2023-03-09,1.700000,1.700000,1.610000,1.660000,1.660000,7500
2023-03-10,1.673000,1.730000,1.670000,1.670000,1.670000,13800
2023-03-13,1.610000,1.700000,1.600000,1.700000,1.700000,13500
2023-03-14,1.690000,1.700000,1.680000,1.680000,1.680000,1600
2023-03-15,1.610000,1.680000,1.610000,1.660000,1.660000,5200
2023-03-16,1.670000,1.710000,1.620000,1.690000,1.690000,13100
2023-03-17,1.700000,1.701000,1.640000,1.700000,1.700000,17600
2023-03-20,1.660000,1.700000,1.651000,1.700000,1.700000,1100
2023-03-21,1.710000,1.710000,1.689000,1.710000,1.710000,6500
2023-03-22,1.680000,1.750000,1.640000,1.720000,1.720000,13600
2023-03-23,1.680000,1.920000,1.672000,1.850000,1.850000,3900
2023-03-24,1.700000,1.790000,1.700000,1.790000,1.790000,1000
2023-03-27,1.780000,1.780000,1.780000,1.780000,1.780000,1000
2023-03-28,1.810000,1.810000,1.800000,1.810000,1.810000,1300
2023-03-29,1.750000,1.750000,1.674000,1.695000,1.695000,2200
2023-03-30,1.746000,1.830000,1.746000,1.830000,1.830000,3200
2023-03-31,1.785000,1.920000,1.785000,1.920000,1.920000,5600
2023-04-03,1.920000,2.255000,1.920000,2.240000,2.240000,19500
2023-04-04,2.250000,2.280000,2.240000,2.280000,2.280000,13800
2023-04-05,2.380000,2.380000,2.240000,2.253000,2.253000,8800
2023-04-06,2.240000,2.260000,2.200000,2.210000,2.210000,6200
2023-04-10,2.190000,2.190000,2.010000,2.098000,2.098000,7400
2023-04-11,2.120000,2.190000,1.990000,2.100000,2.100000,47700
2023-04-12,2.040000,2.212000,2.040000,2.060000,2.060000,7900
2023-04-13,2.150000,2.150000,2.065000,2.065000,2.065000,3800
2023-04-14,2.100000,2.229000,2.080000,2.080000,2.080000,5100
2023-04-17,2.070000,2.170000,2.070000,2.170000,2.170000,1400
2023-04-18,2.136000,2.159000,2.136000,2.159000,2.159000,700
2023-04-19,2.104000,2.160000,2.100000,2.130000,2.130000,700
2023-04-20,2.138000,2.150000,2.018000,2.018000,2.018000,4000
2023-04-21,2.140000,2.140000,2.030000,2.030000,2.030000,1400
2023-04-24,2.090000,2.090000,2.090000,2.090000,2.090000,500
2023-04-25,2.090000,2.090000,2.020000,2.020000,2.020000,1400
2023-04-26,2.040000,2.065000,2.040000,2.065000,2.065000,400
2023-04-27,2.080000,2.080000,2.070000,2.070000,2.070000,1000
2023-04-28,2.100000,2.100000,2.050000,2.100000,2.100000,2500
2023-05-01,2.040000,2.055000,2.030000,2.055000,2.055000,500
2023-05-02,2.030000,2.100000,2.030000,2.100000,2.100000,800
2023-05-03,2.097000,2.230000,2.089000,2.230000,2.230000,5900
2023-05-04,2.293000,2.460000,2.210000,2.231000,2.231000,3000
2023-05-05,2.350000,2.350000,2.103000,2.230000,2.230000,2000
2023-05-08,2.170000,2.240000,2.170000,2.180000,2.180000,2600
2023-05-09,2.220000,2.220000,2.220000,2.220000,2.220000,300
2023-05-10,2.290000,2.450000,2.120000,2.440000,2.440000,1900
2023-05-11,2.390000,2.410000,2.390000,2.410000,2.410000,1500
2023-05-12,2.385000,2.385000,1.539000,1.870000,1.870000,25000
2023-05-15,1.990000,2.000000,1.770000,1.770000,1.770000,2400
2023-05-16,1.700000,1.810000,1.700000,1.750000,1.750000,900
2023-05-17,1.870000,1.870000,1.710000,1.710000,1.710000,1700
2023-05-18,1.738000,1.910000,1.738000,1.910000,1.910000,1400
2023-05-19,1.831000,1.860000,1.720000,1.720000,1.720000,3300
2023-05-22,1.730000,1.741000,1.720000,1.720000,1.720000,1400
2023-05-23,1.720000,1.720000,1.720000,1.720000,1.720000,0
2023-05-24,1.800000,1.820000,1.690000,1.710000,1.710000,1400
2023-05-25,1.860000,1.860000,1.800000,1.800000,1.800000,400
2023-05-26,1.740000,1.789000,1.715000,1.789000,1.789000,4200
2023-05-30,1.710000,1.840000,1.710000,1.840000,1.840000,3700
2023-05-31,1.790000,1.790000,1.710000,1.730000,1.730000,2800
2023-06-01,1.730000,1.730000,1.730000,1.730000,1.730000,600
2023-06-02,1.774000,1.774000,1.774000,1.774000,1.774000,700
2023-06-05,1.840000,2.020000,1.750000,2.020000,2.020000,4400
2023-06-06,1.996000,1.996000,1.750000,1.750000,1.750000,1300
2023-06-07,1.990000,1.990000,1.955000,1.955000,1.955000,2500
2023-06-08,1.980000,1.980000,1.750000,1.770000,1.770000,4500
2023-06-09,1.770000,1.780000,1.760000,1.760000,1.760000,1300
2023-06-12,1.770000,1.900000,1.750000,1.750000,1.750000,2000
2023-06-13,1.810000,1.820000,1.740000,1.740000,1.740000,2200
2023-06-14,1.810000,1.980000,1.810000,1.850000,1.850000,38900
2023-06-15,1.900000,1.900000,1.880000,1.880000,1.880000,600
2023-06-16,1.880000,1.880000,1.880000,1.880000,1.880000,300
2023-06-20,1.872000,1.872000,1.872000,1.872000,1.872000,2000
2023-06-21,1.970000,2.350000,1.850000,1.850000,1.850000,48600
2023-06-22,2.130000,2.157000,1.800000,2.020000,2.020000,13500
2023-06-23,1.900000,1.900000,1.850000,1.850000,1.850000,1100
2023-06-26,1.850000,1.850000,1.690000,1.690000,1.690000,22600
2023-06-27,1.720000,1.890000,1.680000,1.710000,1.710000,11800
2023-06-28,1.870000,1.998000,1.710000,1.710000,1.710000,5100
2023-06-29,1.710000,1.710000,1.710000,1.710000,1.710000,0
2023-06-30,1.700000,1.700000,1.700000,1.700000,1.700000,900
2023-07-03,1.820000,1.820000,1.650000,1.650000,1.650000,3100
2023-07-05,1.750000,2.000000,1.710000,1.750000,1.750000,5000
2023-07-06,1.880000,1.880000,1.750000,1.750000,1.750000,1500
2023-07-07,1.750000,1.750000,1.750000,1.750000,1.750000,0
2023-07-10,1.990000,1.990000,1.770000,1.770000,1.770000,1700
2023-07-11,1.770000,1.770000,1.770000,1.770000,1.770000,100
2023-07-12,1.850000,2.000000,1.730000,1.730000,1.730000,1300
2023-07-13,1.800000,1.925000,1.800000,1.850000,1.850000,1700
2023-07-14,1.850000,1.850000,1.850000,1.850000,1.850000,100
2023-07-17,1.850000,1.850000,1.850000,1.850000,1.850000,600
2023-07-18,1.790000,1.790000,1.790000,1.790000,1.790000,1200
2023-07-19,1.790000,1.920000,1.790000,1.920000,1.920000,400
2023-07-20,1.920000,1.920000,1.730000,1.740000,1.740000,5300
2023-07-21,1.818000,1.850000,1.818000,1.850000,1.850000,400
2023-07-24,1.850000,1.850000,1.850000,1.850000,1.850000,0
2023-07-25,1.765000,1.765000,1.730000,1.730000,1.730000,900
2023-07-26,1.730000,1.730000,1.730000,1.730000,1.730000,0
2023-07-27,1.700000,1.755000,1.700000,1.735000,1.735000,1700
2023-07-28,1.735000,1.735000,1.735000,1.735000,1.735000,100
2023-07-31,1.720000,1.720000,1.690000,1.690000,1.690000,900
2023-08-01,1.690000,1.690000,1.690000,1.690000,1.690000,100
2023-08-02,1.690000,1.690000,1.690000,1.690000,1.690000,100
2023-08-03,1.680000,1.680000,1.680000,1.680000,1.680000,500
2023-08-04,1.750000,1.750000,1.680000,1.680000,1.680000,1000
2023-08-07,1.680000,1.680000,1.680000,1.680000,1.680000,600
2023-08-08,1.680000,1.680000,1.680000,1.680000,1.680000,300
2023-08-09,1.680000,1.680000,1.680000,1.680000,1.680000,400
2023-08-10,1.690000,1.690000,1.690000,1.690000,1.690000,700
2023-08-11,1.670000,1.689000,1.670000,1.689000,1.689000,1200
2023-08-14,1.670000,1.810000,1.670000,1.810000,1.810000,700
2023-08-15,1.810000,1.810000,1.810000,1.810000,1.810000,0
2023-08-16,1.680000,1.680000,1.680000,1.680000,1.680000,200
2023-08-17,1.680000,1.680000,1.680000,1.680000,1.680000,0
2023-08-18,1.670000,1.680000,1.670000,1.673000,1.673000,1100
2023-08-21,1.650000,1.650000,1.650000,1.650000,1.650000,200
2023-08-22,1.650000,1.650000,1.650000,1.650000,1.650000,0
2023-08-23,1.650000,1.650000,1.650000,1.650000,1.650000,0
2023-08-24,1.680000,1.680000,1.650000,1.650000,1.650000,1500
2023-08-25,1.670000,1.670000,1.670000,1.670000,1.670000,400
2023-08-28,1.660000,1.660000,1.650000,1.650000,1.650000,800
2023-08-29,1.650000,1.650000,1.650000,1.650000,1.650000,100
2023-08-30,1.653000,1.653000,1.600000,1.647000,1.647000,7500
2023-08-31,1.600000,1.650000,1.600000,1.600000,1.600000,16600
2023-09-01,1.715000,1.715000,1.690000,1.700000,1.700000,11100
2023-09-05,1.740000,1.740000,1.600000,1.600000,1.600000,35300
2023-09-06,1.730000,1.730000,1.730000,1.730000,1.730000,800
2023-09-07,1.600000,1.610000,1.600000,1.610000,1.610000,400
2023-09-08,1.730000,1.730000,1.640000,1.640000,1.640000,300
2023-09-11,1.640000,1.640000,1.640000,1.640000,1.640000,0
2023-09-12,1.670000,1.730000,1.600000,1.600000,1.600000,1300
2023-09-13,1.650000,1.650000,1.650000,1.650000,1.650000,200
2023-09-14,1.730000,1.740000,1.600000,1.740000,1.740000,11400
2023-09-15,1.740000,1.740000,1.740000,1.740000,1.740000,0
2023-09-18,1.740000,1.765000,1.630000,1.630000,1.630000,2600
2023-09-19,1.694000,1.694000,1.694000,1.694000,1.694000,300
2023-09-20,1.640000,1.640000,1.630000,1.630000,1.630000,300
2023-09-21,1.630000,1.630000,1.630000,1.630000,1.630000,0
2023-09-22,1.640000,1.680000,1.640000,1.680000,1.680000,1400
2023-09-25,1.640000,1.640000,1.580000,1.580000,1.580000,4700
2023-09-26,1.580000,1.580000,1.580000,1.580000,1.580000,0
2023-09-27,1.560000,1.620000,1.556000,1.600000,1.600000,4300
2023-09-28,1.600000,1.600000,1.600000,1.600000,1.600000,0
2023-09-29,1.540000,1.640000,1.540000,1.640000,1.640000,2000
2023-10-02,1.532000,1.633000,1.500000,1.620000,1.620000,4100
2023-10-03,1.610000,1.620000,1.590000,1.590000,1.590000,1100
2023-10-04,1.770000,1.770000,1.530000,1.530000,1.530000,10800
2023-10-05,1.560000,1.560000,1.541000,1.541000,1.541000,600
2023-10-06,1.550000,1.550000,1.550000,1.550000,1.550000,100
2023-10-09,1.600000,1.600000,1.590000,1.600000,1.600000,700
2023-10-10,1.760000,1.780000,1.760000,1.780000,1.780000,200
2023-10-11,1.780000,1.780000,1.780000,1.780000,1.780000,0
2023-10-12,1.550000,1.655000,1.550000,1.655000,1.655000,500
2023-10-13,1.655000,1.655000,1.655000,1.655000,1.655000,100
2023-10-16,1.750000,1.760000,1.750000,1.760000,1.760000,800
2023-10-17,1.760000,1.760000,1.760000,1.760000,1.760000,0
2023-10-18,1.665000,1.665000,1.550000,1.570000,1.570000,1200
2023-10-19,1.570000,1.625000,1.530000,1.550000,1.550000,5200
2023-10-20,1.550000,1.550000,1.550000,1.550000,1.550000,3300
2023-10-23,1.560000,1.560000,1.560000,1.560000,1.560000,300
2023-10-24,1.560000,1.560000,1.550000,1.550000,1.550000,1000
2023-10-25,1.570000,1.570000,1.570000,1.570000,1.570000,200
2023-10-26,1.610000,1.610000,1.581000,1.581000,1.581000,300
2023-10-27,1.581000,1.581000,1.581000,1.581000,1.581000,0
2023-10-30,1.581000,1.581000,1.581000,1.581000,1.581000,0
2023-10-31,1.570000,1.570000,1.570000,1.570000,1.570000,100
2023-11-01,1.570000,1.570000,1.570000,1.570000,1.570000,0
2023-11-02,1.570000,1.570000,1.570000,1.570000,1.570000,0
2023-11-03,1.570000,1.570000,1.570000,1.570000,1.570000,0
2023-11-06,1.550000,1.567000,1.550000,1.567000,1.567000,1400
2023-11-07,1.567000,1.567000,1.567000,1.567000,1.567000,300
2023-11-08,1.612000,1.612000,1.550000,1.550000,1.550000,2300
2023-11-09,1.550000,1.550000,1.530000,1.530000,1.530000,500
2023-11-10,1.536000,1.536000,1.536000,1.536000,1.536000,400
2023-11-13,1.536000,1.536000,1.536000,1.536000,1.536000,0
2023-11-14,1.536000,1.536000,1.536000,1.536000,1.536000,0
2023-11-15,1.660000,1.660000,1.660000,1.660000,1.660000,400
2023-11-16,1.660000,1.660000,1.660000,1.660000,1.660000,0
2023-11-17,1.520000,1.520000,1.520000,1.520000,1.520000,800
2023-11-20,1.530000,1.530000,1.520000,1.520000,1.520000,400
2023-11-21,1.520000,1.520000,1.520000,1.520000,1.520000,0
2023-11-22,1.543000,1.543000,1.543000,1.543000,1.543000,300
2023-11-24,1.740000,1.770000,1.652000,1.770000,1.770000,11700
2023-11-27,1.600000,1.652000,1.581000,1.652000,1.652000,3100
2023-11-28,1.740000,1.753000,1.690000,1.700000,1.700000,1000
2023-11-29,1.580000,1.684000,1.510000,1.580000,1.580000,5000
2023-11-30,1.510000,1.690000,1.510000,1.560000,1.560000,3200
2023-12-01,1.540000,1.558000,1.510000,1.540000,1.540000,9700
2023-12-04,1.600000,1.600000,1.520000,1.520000,1.520000,4100
2023-12-05,1.530000,1.640000,1.530000,1.640000,1.640000,8400
2023-12-06,1.630000,1.630000,1.630000,1.630000,1.630000,200
2023-12-07,1.630000,1.670000,1.535000,1.670000,1.670000,1000
2023-12-08,1.675000,1.750000,1.650000,1.680000,1.680000,7300
2023-12-11,1.690000,1.820000,1.510000,1.670000,1.670000,13900
2023-12-12,1.670000,1.763000,1.670000,1.752000,1.752000,3200
2023-12-13,1.754000,1.754000,1.550000,1.630000,1.630000,2200
2023-12-14,1.630000,1.700000,1.605000,1.660000,1.660000,3200
