Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.350000,1.410000,1.290000,1.360000,1.360000,18900
2022-12-28,1.380000,1.490000,1.210000,1.278000,1.278000,21400
2022-12-29,1.410000,1.467000,1.340000,1.390000,1.390000,3700
2022-12-30,1.490000,1.490000,1.290000,1.290000,1.290000,7200
2023-01-03,1.480000,1.480000,1.230000,1.390000,1.390000,17600
2023-01-04,1.354000,1.450000,1.354000,1.440000,1.440000,7300
2023-01-05,1.560000,1.560000,1.350000,1.400000,1.400000,4200
2023-01-06,1.420000,1.420000,1.360000,1.360000,1.360000,3600
2023-01-09,1.440000,1.450000,1.400000,1.450000,1.450000,36000
2023-01-10,1.460000,1.600000,1.460000,1.500000,1.500000,5800
2023-01-11,1.555000,1.600000,1.555000,1.600000,1.600000,1100
2023-01-12,1.590000,1.600000,1.590000,1.600000,1.600000,900
2023-01-13,1.590000,1.591000,1.534000,1.573000,1.573000,8000
2023-01-17,1.513000,1.600000,1.513000,1.530000,1.530000,3400
2023-01-18,1.501000,1.501000,1.420000,1.464000,1.464000,10200
2023-01-19,1.430000,1.480000,1.361000,1.480000,1.480000,2600
2023-01-20,1.525000,1.568000,1.525000,1.540000,1.540000,2300
2023-01-23,1.540000,1.550000,1.520000,1.520000,1.520000,5800
2023-01-24,1.650000,1.650000,1.650000,1.650000,1.650000,1000
2023-01-25,1.620000,1.633000,1.590000,1.610000,1.610000,3100
2023-01-26,1.560000,1.570000,1.560000,1.570000,1.570000,4800
2023-01-27,1.600000,1.682000,1.600000,1.682000,1.682000,1700
2023-01-30,1.600000,1.636000,1.600000,1.636000,1.636000,1100
2023-01-31,1.664000,1.700000,1.664000,1.700000,1.700000,1400
2023-02-01,1.620000,1.655000,1.600000,1.640000,1.640000,3700
2023-02-02,1.620000,1.626000,1.550000,1.590000,1.590000,13000
2023-02-03,1.580000,1.580000,1.490000,1.500000,1.500000,21900
2023-02-06,1.487000,1.490000,1.450000,1.480000,1.480000,16600
2023-02-07,1.470000,1.470000,1.450000,1.470000,1.470000,4700
2023-02-08,1.450000,1.450000,1.410000,1.410000,1.410000,1400
2023-02-09,1.400000,1.410000,1.400000,1.400000,1.400000,40500
2023-02-10,1.350000,1.355000,1.252000,1.290000,1.290000,10900
2023-02-13,1.250000,1.424000,1.050000,1.318000,1.318000,41900
2023-02-14,1.350000,1.350000,1.350000,1.350000,1.350000,800
2023-02-15,1.300000,1.340000,1.300000,1.300000,1.300000,900
2023-02-16,1.330000,1.410000,1.330000,1.395000,1.395000,2600
2023-02-17,1.339000,1.370000,1.300000,1.370000,1.370000,3400
2023-02-21,1.460000,1.500000,1.360000,1.485000,1.485000,13000
2023-02-22,1.510000,1.550000,1.500000,1.550000,1.550000,8700
2023-02-23,1.540000,1.541000,1.480000,1.488000,1.488000,1900
2023-02-24,1.220000,1.220000,1.200000,1.204000,1.204000,1300
2023-02-27,1.430000,1.430000,1.260000,1.260000,1.260000,1800
2023-02-28,1.330000,1.450000,1.295000,1.295000,1.295000,10300
2023-03-01,1.350000,1.370000,1.210000,1.350000,1.350000,2700
2023-03-02,1.340000,1.350000,1.340000,1.350000,1.350000,600
2023-03-03,1.360000,1.360000,1.213000,1.342000,1.342000,3800
2023-03-06,1.350000,1.370000,1.350000,1.370000,1.370000,4400
2023-03-07,1.380000,1.380000,1.380000,1.380000,1.380000,700
2023-03-08,1.380000,1.380000,1.330000,1.330000,1.330000,9400
2023-03-09,1.330000,1.330000,1.330000,1.330000,1.330000,100
2023-03-10,1.147000,1.360000,1.147000,1.306000,1.306000,5600
2023-03-13,1.250000,1.360000,1.220000,1.360000,1.360000,2300
2023-03-14,1.420000,1.430000,1.420000,1.420000,1.420000,22500
2023-03-15,1.420000,1.420000,1.420000,1.420000,1.420000,200
2023-03-16,1.420000,1.420000,1.420000,1.420000,1.420000,0
2023-03-17,1.230000,1.290000,1.120000,1.120000,1.120000,9700
2023-03-20,1.350000,1.350000,1.160000,1.250000,1.250000,3900
2023-03-21,1.240000,1.300000,1.190000,1.260000,1.260000,7100
2023-03-22,1.240000,1.250000,1.240000,1.250000,1.250000,1800
2023-03-23,1.258000,1.316000,1.258000,1.310000,1.310000,7200
2023-03-24,1.320000,1.345000,1.320000,1.345000,1.345000,2000
2023-03-27,1.320000,1.350000,1.320000,1.348000,1.348000,3000
2023-03-28,1.320000,1.350000,1.215000,1.220000,1.220000,9500
2023-03-29,1.260000,1.260000,1.260000,1.260000,1.260000,100
2023-03-30,1.220000,1.280000,1.196000,1.230000,1.230000,3200
2023-03-31,1.230000,1.230000,1.230000,1.230000,1.230000,0
2023-04-03,1.234000,1.260000,1.200000,1.200000,1.200000,1400
2023-04-04,1.200000,1.200000,1.200000,1.200000,1.200000,0
2023-04-05,1.200000,1.280000,1.200000,1.280000,1.280000,300
2023-04-06,1.199000,1.200000,1.160000,1.170000,1.170000,4800
2023-04-10,1.300000,1.300000,1.253000,1.290000,1.290000,3400
2023-04-11,1.191000,1.220000,1.191000,1.210000,1.210000,1700
2023-04-12,1.210000,1.210000,1.210000,1.210000,1.210000,100
2023-04-13,1.170000,1.170000,1.120000,1.130000,1.130000,5500
2023-04-14,1.260000,1.260000,1.140000,1.140000,1.140000,6300
2023-04-17,1.160000,1.177000,1.160000,1.177000,1.177000,700
2023-04-18,1.177000,1.177000,1.177000,1.177000,1.177000,0
2023-04-19,1.177000,1.177000,1.177000,1.177000,1.177000,0
2023-04-20,1.200000,1.200000,1.200000,1.200000,1.200000,500
2023-04-21,1.240000,1.240000,1.240000,1.240000,1.240000,200
2023-04-24,1.240000,1.240000,1.240000,1.240000,1.240000,0
2023-04-25,1.190000,1.190000,1.165000,1.165000,1.165000,1000
2023-04-26,1.170000,1.170000,1.120000,1.128000,1.128000,1400
2023-04-27,1.120000,1.120000,1.110000,1.110000,1.110000,3100
2023-04-28,1.100000,1.189000,1.100000,1.160000,1.160000,6500
2023-05-01,1.160000,1.160000,1.160000,1.160000,1.160000,2600
2023-05-02,1.080000,1.100000,1.080000,1.100000,1.100000,6600
2023-05-03,1.091000,1.115000,1.091000,1.115000,1.115000,1600
2023-05-04,1.110000,1.110000,1.070000,1.110000,1.110000,2900
2023-05-05,1.070000,1.108000,1.070000,1.108000,1.108000,500
2023-05-08,1.060000,1.060000,1.010000,1.050000,1.050000,2500
2023-05-09,1.030000,1.030000,1.030000,1.030000,1.030000,600
2023-05-10,1.050000,1.050000,1.050000,1.050000,1.050000,1000
2023-05-11,1.072000,1.072000,0.900000,0.940000,0.940000,34000
2023-05-12,0.930000,0.930000,0.910000,0.910000,0.910000,1300
2023-05-15,0.901000,1.010000,0.901000,0.970000,0.970000,2600
2023-05-16,0.940000,0.940000,0.910000,0.910000,0.910000,2200
2023-05-17,0.956000,0.956000,0.910000,0.954000,0.954000,2900
2023-05-18,0.906000,0.906000,0.902000,0.903000,0.903000,700
2023-05-19,0.903000,0.904000,0.900000,0.900000,0.900000,8400
2023-05-22,0.945000,0.945000,0.924000,0.924000,0.924000,2900
2023-05-23,0.889000,0.920000,0.830000,0.850000,0.850000,4300
2023-05-24,0.870000,0.875000,0.840000,0.875000,0.875000,1900
2023-05-25,0.934000,0.935000,0.934000,0.934000,0.934000,700
2023-05-26,0.940000,0.953000,0.940000,0.953000,0.953000,3400
2023-05-30,0.870000,0.870000,0.860000,0.860000,0.860000,1100
2023-05-31,0.953000,0.953000,0.860000,0.900000,0.900000,2100
2023-06-01,0.940000,0.950000,0.863000,0.920000,0.920000,2700
2023-06-02,0.927000,0.927000,0.927000,0.927000,0.927000,300
2023-06-05,0.867000,0.883000,0.860000,0.883000,0.883000,6600
2023-06-06,0.850000,0.948000,0.830000,0.948000,0.948000,26000
2023-06-07,0.900000,0.963000,0.900000,0.963000,0.963000,5000
2023-06-08,0.950000,0.974000,0.930000,0.974000,0.974000,1900
2023-06-09,0.936000,0.974000,0.936000,0.960000,0.960000,3100
2023-06-12,0.983000,1.430000,0.970000,1.220000,1.220000,569400
2023-06-13,1.220000,1.220000,1.080000,1.150000,1.150000,84500
2023-06-14,1.020000,1.140000,1.020000,1.100000,1.100000,31300
2023-06-15,1.100000,1.150000,1.100000,1.110000,1.110000,11400
2023-06-16,1.080000,1.150000,1.010000,1.090000,1.090000,17000
2023-06-20,1.070000,1.090000,1.010000,1.060000,1.060000,8900
2023-06-21,1.060000,1.120000,1.060000,1.090000,1.090000,11400
2023-06-22,1.080000,1.180000,1.030000,1.070000,1.070000,6500
2023-06-23,1.000000,1.070000,0.950000,0.980000,0.980000,4100
2023-06-26,0.930000,1.110000,0.930000,1.050000,1.050000,2300
2023-06-27,0.989000,1.200000,0.989000,1.200000,1.200000,3700
2023-06-28,1.170000,1.170000,1.110000,1.170000,1.170000,7600
2023-06-29,1.100000,1.100000,1.100000,1.100000,1.100000,200
2023-06-30,1.036000,1.080000,1.010000,1.050000,1.050000,9400
2023-07-03,1.000000,1.030000,1.000000,1.010000,1.010000,1000
2023-07-05,0.980000,1.035000,0.911000,1.020000,1.020000,19200
2023-07-06,0.920000,0.965000,0.920000,0.950000,0.950000,6000
2023-07-07,0.990000,0.990000,0.852000,0.968000,0.968000,1900
2023-07-10,1.070000,1.070000,0.944000,1.030000,1.030000,2100
2023-07-11,1.050000,1.050000,0.951000,0.951000,0.951000,2600
2023-07-12,0.960000,1.030000,0.960000,1.025000,1.025000,3900
2023-07-13,1.080000,1.190000,1.010000,1.030000,1.030000,7300
2023-07-14,1.120000,1.120000,1.010000,1.090000,1.090000,1600
2023-07-17,1.130000,1.130000,1.000000,1.100000,1.100000,18700
2023-07-18,1.050000,1.050000,1.000000,1.010000,1.010000,2400
2023-07-19,1.000000,1.030000,1.000000,1.030000,1.030000,3600
2023-07-20,1.020000,1.020000,1.010000,1.010000,1.010000,1300
2023-07-21,1.010000,1.010000,1.010000,1.010000,1.010000,0
2023-07-24,1.010000,1.020000,0.960000,0.980000,0.980000,12500
2023-07-25,1.000000,1.000000,0.960000,0.960000,0.960000,700
2023-07-26,0.960000,0.999000,0.960000,0.999000,0.999000,1800
2023-07-27,0.960000,0.960000,0.960000,0.960000,0.960000,1400
2023-07-28,0.960000,1.000000,0.941000,0.960000,0.960000,18700
2023-07-31,0.830000,0.949000,0.830000,0.910000,0.910000,17200
2023-08-01,0.920000,0.930000,0.920000,0.930000,0.930000,2400
2023-08-02,0.860000,0.930000,0.860000,0.930000,0.930000,1000
2023-08-03,0.919000,0.920000,0.917000,0.920000,0.920000,1300
2023-08-04,0.910000,0.920000,0.910000,0.920000,0.920000,1300
2023-08-07,0.917000,0.960000,0.917000,0.920000,0.920000,3500
2023-08-08,0.940000,0.940000,0.940000,0.940000,0.940000,700
2023-08-09,0.920000,0.920000,0.920000,0.920000,0.920000,400
2023-08-10,0.920000,0.920000,0.920000,0.920000,0.920000,400
2023-08-11,0.920000,0.920000,0.833000,0.857000,0.857000,3900
2023-08-14,0.971000,0.971000,0.832000,0.856000,0.856000,8300
2023-08-15,0.835000,0.835000,0.835000,0.835000,0.835000,200
2023-08-16,0.835000,0.835000,0.830000,0.830000,0.830000,3600
2023-08-17,0.854000,0.854000,0.830000,0.830000,0.830000,2500
2023-08-18,0.800000,0.800000,0.690000,0.701000,0.701000,17100
2023-08-21,0.802000,0.802000,0.691000,0.746000,0.746000,4300
2023-08-22,0.844000,0.844000,0.690000,0.700000,0.700000,5300
2023-08-23,0.690000,0.825000,0.690000,0.690000,0.690000,5800
2023-08-24,0.690000,0.690000,0.690000,0.690000,0.690000,2500
2023-08-25,0.690000,0.690000,0.665000,0.665000,0.665000,700
2023-08-28,0.630000,0.664000,0.610000,0.630000,0.630000,10900
2023-08-29,0.630000,0.657000,0.630000,0.630000,0.630000,1600
2023-08-30,0.630000,0.705000,0.630000,0.694000,0.694000,12600
2023-08-31,0.710000,0.710000,0.630000,0.662000,0.662000,1300
2023-09-01,0.676000,0.719000,0.670000,0.670000,0.670000,1100
2023-09-05,0.670000,0.720000,0.670000,0.720000,0.720000,11100
2023-09-06,0.720000,0.720000,0.674000,0.693000,0.693000,5200
2023-09-07,0.676000,0.790000,0.676000,0.705000,0.705000,8400
2023-09-08,0.870000,0.977000,0.740000,0.780000,0.780000,138100
2023-09-11,0.780000,0.913000,0.780000,0.780000,0.780000,11900
2023-09-12,0.800000,0.800000,0.780000,0.780000,0.780000,900
2023-09-13,0.725000,0.779000,0.690000,0.779000,0.779000,19900
2023-09-14,0.724000,0.839000,0.701000,0.762000,0.762000,2600
2023-09-15,0.700000,0.840000,0.700000,0.803000,0.803000,3300
2023-09-18,0.803000,0.803000,0.803000,0.803000,0.803000,0
2023-09-19,0.807000,0.813000,0.800000,0.813000,0.813000,3100
2023-09-20,0.827000,0.840000,0.817000,0.840000,0.840000,3900
2023-09-21,0.840000,0.849000,0.803000,0.803000,0.803000,1600
2023-09-22,0.804000,0.910000,0.804000,0.814000,0.814000,800
2023-09-25,0.814000,0.814000,0.814000,0.814000,0.814000,0
2023-09-26,0.810000,0.810000,0.810000,0.810000,0.810000,500
2023-09-27,0.790000,0.799000,0.729000,0.729000,0.729000,1300
2023-09-28,0.666000,0.750000,0.666000,0.750000,0.750000,11600
2023-09-29,0.750000,0.750000,0.750000,0.750000,0.750000,0
2023-10-02,0.750000,0.750000,0.750000,0.750000,0.750000,0
2023-10-03,0.774000,0.800000,0.764000,0.800000,0.800000,500
2023-10-04,0.800000,0.800000,0.800000,0.800000,0.800000,200
2023-10-05,0.800000,0.800000,0.800000,0.800000,0.800000,0
2023-10-06,0.730000,0.790000,0.730000,0.790000,0.790000,14400
2023-10-09,0.740000,0.740000,0.740000,0.740000,0.740000,4300
