Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.910000,0.945000,0.877000,0.900000,0.900000,15900
2022-12-28,0.883000,0.900000,0.853000,0.900000,0.900000,21600
2022-12-29,0.943000,0.950000,0.880000,0.940000,0.940000,7800
2022-12-30,0.889000,0.920000,0.880000,0.904000,0.904000,1666400
2023-01-03,0.880000,0.950000,0.836000,0.914000,0.914000,450100
2023-01-04,0.886000,0.900000,0.845000,0.900000,0.900000,160500
2023-01-05,0.861000,0.900000,0.861000,0.875000,0.875000,33400
2023-01-06,0.885000,0.900000,0.851000,0.895000,0.895000,116700
2023-01-09,0.861000,0.896000,0.852000,0.880000,0.880000,17500
2023-01-10,0.862000,0.909000,0.862000,0.890000,0.890000,35700
2023-01-11,0.891000,0.930000,0.860000,0.930000,0.930000,18900
2023-01-12,0.890000,0.939000,0.867000,0.929000,0.929000,19300
2023-01-13,0.900000,0.947000,0.881000,0.910000,0.910000,36400
2023-01-17,0.880000,0.930000,0.880000,0.900000,0.900000,41800
2023-01-18,0.898000,0.900000,0.883000,0.890000,0.890000,21300
2023-01-19,0.885000,0.900000,0.870000,0.885000,0.885000,16500
2023-01-20,0.886000,0.931000,0.870000,0.919000,0.919000,17000
2023-01-23,0.910000,0.920000,0.890000,0.890000,0.890000,13300
2023-01-24,0.900000,0.915000,0.890000,0.897000,0.897000,3300
2023-01-25,0.920000,0.940000,0.871000,0.890000,0.890000,12900
2023-01-26,0.874000,0.920000,0.872000,0.910000,0.910000,29800
2023-01-27,0.910000,1.020000,0.872000,1.020000,1.020000,188500
2023-01-30,1.070000,1.070000,0.920000,0.967000,0.967000,66900
2023-01-31,0.950000,0.980000,0.901000,0.980000,0.980000,22500
2023-02-01,0.950000,0.980000,0.940000,0.950000,0.950000,10600
2023-02-02,0.940000,0.967000,0.900000,0.945000,0.945000,1657000
2023-02-03,1.000000,1.070000,0.960000,1.005000,1.005000,1080900
2023-02-06,0.972000,1.040000,0.936000,0.990000,0.990000,262900
2023-02-07,1.000000,1.040000,0.961000,1.001000,1.001000,124400
2023-02-08,1.000000,1.020000,0.950000,0.960000,0.960000,41100
2023-02-09,0.990000,0.990000,0.960000,0.968000,0.968000,61900
2023-02-10,0.960000,0.965000,0.930000,0.950000,0.950000,36200
2023-02-13,0.950000,0.990000,0.922000,0.922000,0.922000,43500
2023-02-14,0.951000,0.951000,0.922000,0.944000,0.944000,40500
2023-02-15,0.922000,0.960000,0.922000,0.960000,0.960000,28800
2023-02-16,0.940000,0.980000,0.940000,0.960000,0.960000,20400
2023-02-17,0.960000,0.960000,0.950000,0.955000,0.955000,17200
2023-02-21,0.950000,0.950000,0.880000,0.900000,0.900000,28000
2023-02-22,0.960000,0.960000,0.871000,0.900000,0.900000,43800
2023-02-23,0.871000,0.960000,0.871000,0.900000,0.900000,14400
2023-02-24,0.871000,0.950000,0.871000,0.941000,0.941000,19100
2023-02-27,0.900000,0.933000,0.860000,0.865000,0.865000,32600
2023-02-28,0.870000,0.923000,0.850000,0.910000,0.910000,48500
2023-03-01,0.890000,0.900000,0.870000,0.900000,0.900000,5000
2023-03-02,0.861000,0.900000,0.861000,0.877000,0.877000,12500
2023-03-03,0.880000,0.901000,0.880000,0.901000,0.901000,6900
2023-03-06,0.870000,0.900000,0.870000,0.885000,0.885000,9800
2023-03-07,0.895000,0.910000,0.870000,0.880000,0.880000,14700
2023-03-08,0.890000,0.890000,0.850000,0.860000,0.860000,19200
2023-03-09,0.890000,0.910000,0.860000,0.886000,0.886000,68500
2023-03-10,0.880000,0.906000,0.865000,0.870000,0.870000,19700
2023-03-13,0.865000,0.870000,0.865000,0.865000,0.865000,12200
