Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.400000,6.500000,5.870000,6.050000,6.050000,108300
2022-12-28,6.010000,6.180000,5.950000,5.950000,5.950000,24600
2022-12-29,5.950000,6.130000,5.940000,6.120000,6.120000,37900
2022-12-30,6.270000,6.520000,6.066000,6.510000,6.510000,78300
2023-01-03,6.560000,6.850000,6.560000,6.800000,6.800000,17800
2023-01-04,6.770000,7.100000,6.770000,7.000000,7.000000,16700
2023-01-05,6.760000,7.011000,6.760000,6.919000,6.919000,1000
2023-01-06,6.840000,6.940000,6.660000,6.920000,6.920000,16900
2023-01-09,6.930000,7.140000,6.930000,6.960000,6.960000,21100
2023-01-10,7.050000,7.480000,7.014000,7.460000,7.460000,67700
2023-01-11,7.355000,7.520000,7.355000,7.480000,7.480000,56700
2023-01-12,7.420000,7.496000,7.320000,7.380000,7.380000,30100
2023-01-13,7.300000,7.400000,7.170000,7.335000,7.335000,68600
2023-01-17,7.420000,7.730000,7.399000,7.450000,7.450000,43600
2023-01-18,7.510000,7.520000,7.300000,7.350000,7.350000,15800
2023-01-19,7.290000,7.480000,7.000000,7.250000,7.250000,42100
2023-01-20,7.110000,7.246000,7.110000,7.140000,7.140000,4400
2023-01-23,7.095000,7.180000,6.970000,7.120000,7.120000,66000
2023-01-24,7.090000,7.195000,7.050000,7.100000,7.100000,26700
2023-01-25,7.114000,7.240000,7.040000,7.150000,7.150000,31300
2023-01-26,7.230000,7.322000,7.110000,7.220000,7.220000,62600
2023-01-27,7.150000,7.570000,7.128000,7.570000,7.570000,53300
2023-01-30,7.430000,7.960000,7.310000,7.730000,7.730000,59400
2023-01-31,7.660000,8.000000,7.570000,8.000000,8.000000,74000
2023-02-01,7.830000,8.118000,7.830000,8.000000,8.000000,35300
2023-02-02,8.060000,8.250000,8.020000,8.250000,8.250000,28300
2023-02-03,8.100000,8.250000,8.030000,8.250000,8.250000,18400
2023-02-06,8.160000,8.280000,8.160000,8.250000,8.250000,27400
2023-02-07,8.500000,8.500000,8.160000,8.250000,8.250000,12500
2023-02-08,8.220000,8.230000,7.930000,7.930000,7.930000,16400
2023-02-09,8.010000,8.090000,7.830000,7.930000,7.930000,16700
2023-02-10,7.900000,8.060000,7.670000,8.000000,8.000000,37300
2023-02-13,7.930000,8.030000,7.800000,7.830000,7.830000,8600
2023-02-14,7.700000,7.825000,7.620000,7.780000,7.780000,6400
2023-02-15,7.820000,7.920000,7.674000,7.700000,7.700000,35200
2023-02-16,7.700000,7.902000,7.700000,7.780000,7.780000,9400
2023-02-17,7.710000,7.900000,7.430000,7.890000,7.890000,25400
2023-02-21,7.700000,7.715000,7.510000,7.540000,7.540000,4800
