Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.450000,3.460000,3.235000,3.330000,3.330000,230200
2022-12-28,3.400000,3.642000,3.390000,3.400000,3.400000,236600
2022-12-29,3.450000,3.650000,3.450000,3.620000,3.620000,154800
2022-12-30,3.570000,3.720000,3.510000,3.700000,3.700000,195000
2023-01-03,3.750000,3.810000,3.600000,3.710000,3.710000,201700
2023-01-04,3.750000,3.875000,3.710000,3.820000,3.820000,144200
2023-01-05,3.790000,3.906000,3.710000,3.750000,3.750000,244200
2023-01-06,3.750000,4.220000,3.750000,4.120000,4.120000,616700
2023-01-09,4.170000,4.770000,4.060000,4.520000,4.520000,664200
2023-01-10,4.480000,4.765000,4.480000,4.720000,4.720000,301800
2023-01-11,4.730000,4.850000,4.620000,4.830000,4.830000,262700
2023-01-12,4.790000,5.130000,4.665000,5.090000,5.090000,205700
2023-01-13,4.960000,5.200000,4.934000,4.980000,4.980000,130800
2023-01-17,4.970000,5.050000,4.580000,4.680000,4.680000,489300
2023-01-18,4.670000,4.895000,4.410000,4.590000,4.590000,421900
2023-01-19,4.540000,5.090000,4.500000,4.920000,4.920000,385600
2023-01-20,5.010000,5.275000,4.930000,5.020000,5.020000,296800
2023-01-23,4.960000,5.350000,4.960000,5.310000,5.310000,243100
2023-01-24,5.240000,5.740000,5.240000,5.550000,5.550000,337100
2023-01-25,5.450000,5.660000,5.265000,5.580000,5.580000,190500
2023-01-26,5.640000,5.750000,5.320000,5.510000,5.510000,121900
2023-01-27,5.450000,5.690000,5.440000,5.620000,5.620000,192100
2023-01-30,5.550000,5.800000,5.440000,5.450000,5.450000,161600
2023-01-31,5.470000,5.910000,5.470000,5.820000,5.820000,162400
2023-02-01,5.750000,6.255000,5.750000,6.250000,6.250000,245700
2023-02-02,6.290000,6.730000,6.290000,6.700000,6.700000,555000
2023-02-03,6.610000,7.155000,6.570000,7.030000,7.030000,353000
2023-02-06,6.990000,7.900000,6.918000,7.660000,7.660000,827100
2023-02-07,7.680000,7.940000,7.530000,7.800000,7.800000,556500
2023-02-08,7.720000,7.750000,6.885000,7.030000,7.030000,466600
2023-02-09,7.090000,7.360000,6.960000,7.040000,7.040000,270700
2023-02-10,6.970000,7.240000,6.610000,6.690000,6.690000,280500
2023-02-13,6.690000,7.040000,6.560000,6.750000,6.750000,505400
2023-02-14,6.690000,7.170000,6.650000,7.020000,7.020000,248700
2023-02-15,7.000000,7.120000,6.880000,7.050000,7.050000,233100
2023-02-16,6.980000,7.260000,6.890000,7.070000,7.070000,285900
2023-02-17,7.070000,7.430000,7.000000,7.110000,7.110000,387200
2023-02-21,7.010000,7.140000,5.800000,6.050000,6.050000,520200
2023-02-22,6.100000,6.150000,5.645000,6.000000,6.000000,385500
2023-02-23,6.080000,6.490000,5.960000,6.430000,6.430000,285700
2023-02-24,6.260000,6.450000,6.120000,6.340000,6.340000,242000
2023-02-27,6.380000,6.620000,5.778000,6.510000,6.510000,200600
2023-02-28,5.500000,6.640000,5.430000,6.550000,6.550000,508200
2023-03-01,6.510000,6.590000,5.500000,5.740000,5.740000,449100
2023-03-02,5.710000,5.710000,5.370000,5.380000,5.380000,270100
2023-03-03,5.410000,5.500000,5.220000,5.390000,5.390000,346900
2023-03-06,5.410000,5.900000,5.230000,5.740000,5.740000,346500
2023-03-07,5.740000,6.070000,5.611000,6.020000,6.020000,263000
2023-03-08,6.130000,6.130000,5.810000,5.890000,5.890000,242100
2023-03-09,5.820000,6.110000,5.600000,5.640000,5.640000,342600
2023-03-10,4.750000,5.110000,4.340000,4.400000,4.400000,1847300
2023-03-13,4.320000,5.060000,4.290000,4.590000,4.590000,438600
2023-03-14,4.830000,4.890000,4.400000,4.820000,4.820000,311700
2023-03-15,4.800000,5.000000,4.592000,4.960000,4.960000,236300
