Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.500000,2.500000,2.350000,2.400000,2.400000,638000
2022-12-28,2.430000,2.760000,2.430000,2.690000,2.690000,875900
2022-12-29,2.750000,2.870000,2.680000,2.790000,2.790000,540700
2022-12-30,2.700000,2.930000,2.700000,2.820000,2.820000,590300
2023-01-03,2.850000,2.950000,2.720000,2.790000,2.790000,218700
2023-01-04,2.870000,2.950000,2.820000,2.920000,2.920000,300400
2023-01-05,2.920000,2.940000,2.650000,2.700000,2.700000,649000
2023-01-06,2.740000,2.870000,2.620000,2.850000,2.850000,443100
2023-01-09,2.940000,3.200000,2.940000,3.050000,3.050000,507800
2023-01-10,2.980000,3.275000,2.980000,3.260000,3.260000,319400
2023-01-11,3.260000,3.400000,3.200000,3.390000,3.390000,401300
2023-01-12,3.400000,3.685000,3.350000,3.650000,3.650000,347400
2023-01-13,3.570000,3.750000,3.570000,3.700000,3.700000,220100
2023-01-17,3.710000,3.760000,3.640000,3.650000,3.650000,143700
2023-01-18,3.630000,3.741000,3.530000,3.550000,3.550000,365200
2023-01-19,2.920000,3.120000,2.775000,2.940000,2.940000,2892000
2023-01-20,2.850000,3.120000,2.830000,3.020000,3.020000,4600700
2023-01-23,3.110000,3.240000,3.065000,3.200000,3.200000,1133400
2023-01-24,3.260000,3.470000,3.255000,3.370000,3.370000,1166800
2023-01-25,3.330000,3.450000,3.180000,3.420000,3.420000,948700
2023-01-26,3.510000,3.600000,3.345000,3.500000,3.500000,839100
2023-01-27,3.500000,3.600000,3.420000,3.550000,3.550000,666800
2023-01-30,3.570000,3.750000,3.492000,3.680000,3.680000,931000
2023-01-31,3.650000,3.780000,3.570000,3.690000,3.690000,1026300
2023-02-01,3.880000,3.940000,3.625000,3.840000,3.840000,1825500
2023-02-02,4.140000,4.160000,3.950000,4.070000,4.070000,1659200
2023-02-03,3.990000,4.365000,3.920000,4.320000,4.320000,1052200
2023-02-06,4.330000,4.650000,4.320000,4.470000,4.470000,1602700
2023-02-07,4.500000,4.850000,4.400000,4.800000,4.800000,1707300
2023-02-08,4.810000,4.955000,4.570000,4.630000,4.630000,863100
2023-02-09,4.750000,4.805000,4.380000,4.400000,4.400000,739600
2023-02-10,4.370000,4.500000,4.320000,4.330000,4.330000,528200
2023-02-13,4.320000,4.320000,4.055000,4.100000,4.100000,766200
2023-02-14,4.060000,4.310000,3.940000,4.230000,4.230000,608500
2023-02-15,4.180000,4.260000,4.150000,4.240000,4.240000,347000
2023-02-16,4.130000,4.140000,3.950000,3.960000,3.960000,471900
2023-02-17,3.940000,3.950000,3.760000,3.885000,3.885000,665800
2023-02-21,3.810000,3.930000,3.640000,3.650000,3.650000,892200
2023-02-22,3.670000,3.730000,3.605000,3.620000,3.620000,466800
2023-02-23,3.680000,3.780000,3.600000,3.730000,3.730000,376700
2023-02-24,3.750000,3.820000,3.540000,3.590000,3.590000,570300
2023-02-27,3.680000,3.760000,3.535000,3.620000,3.620000,436600
2023-02-28,3.620000,3.800000,3.611000,3.740000,3.740000,780000
2023-03-01,3.770000,3.770000,3.530000,3.540000,3.540000,425300
2023-03-02,3.510000,3.525000,3.290000,3.480000,3.480000,739000
2023-03-03,3.510000,3.680000,3.455000,3.650000,3.650000,441300
2023-03-06,3.670000,3.740000,3.530000,3.710000,3.710000,539200
2023-03-07,3.690000,3.705000,3.574000,3.700000,3.700000,383700
2023-03-08,3.710000,3.850000,3.660000,3.840000,3.840000,461700
2023-03-09,3.830000,3.930000,3.680000,3.690000,3.690000,718300
2023-03-10,3.660000,3.730000,3.130000,3.190000,3.190000,1058500
2023-03-13,3.120000,3.220000,3.010000,3.170000,3.170000,876800
2023-03-14,3.450000,3.480000,3.215000,3.270000,3.270000,772900
2023-03-15,3.110000,3.210000,3.000000,3.170000,3.170000,693600
2023-03-16,3.130000,3.230000,3.020000,3.200000,3.200000,734700
2023-03-17,3.170000,3.200000,2.920000,2.920000,2.920000,2457300
2023-03-20,2.930000,2.930000,2.665000,2.730000,2.730000,1082000
2023-03-21,2.860000,2.945000,2.750000,2.900000,2.900000,679600
2023-03-22,2.880000,3.045000,2.820000,2.820000,2.820000,602900
2023-03-23,2.950000,2.950000,2.740000,2.800000,2.800000,745600
2023-03-24,2.790000,2.900000,2.775000,2.890000,2.890000,475900
2023-03-27,2.900000,2.905000,2.800000,2.810000,2.810000,462900
2023-03-28,2.770000,2.780000,2.630000,2.750000,2.750000,729800
2023-03-29,2.770000,2.945000,2.770000,2.920000,2.920000,469600
2023-03-30,3.000000,3.060000,2.950000,2.990000,2.990000,389300
2023-03-31,3.000000,3.120000,2.950000,3.080000,3.080000,439900
2023-04-03,3.080000,3.130000,2.970000,3.100000,3.100000,496900
2023-04-04,3.110000,3.120000,2.910000,2.930000,2.930000,325600
2023-04-05,2.900000,2.985000,2.740000,2.810000,2.810000,422200
2023-04-06,2.800000,3.145000,2.735000,3.080000,3.080000,731000
2023-04-10,3.070000,3.245000,3.010000,3.210000,3.210000,383600
