Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.732500,0.732500,0.620000,0.669800,0.669800,277020
2022-12-28,0.649700,0.678600,0.640000,0.676400,0.676400,31586
2022-12-29,0.730200,0.730200,0.681300,0.698100,0.698100,17814
2022-12-30,0.698100,0.718800,0.684200,0.718800,0.718800,81175
2023-01-03,0.740000,0.740000,0.718800,0.726200,0.726200,10099
2023-01-04,0.735000,0.799900,0.735000,0.777600,0.777600,10068
2023-01-05,0.800000,0.850000,0.800000,0.838900,0.838900,4503
2023-01-06,0.830000,0.850000,0.830000,0.850000,0.850000,42330
2023-01-09,0.850000,0.950000,0.820000,0.920000,0.920000,41480
2023-01-10,0.930000,0.990000,0.927600,0.980000,0.980000,63869
2023-01-11,1.030000,1.047500,0.950400,0.998900,0.998900,47372
2023-01-12,1.080000,1.080000,0.976200,1.020000,1.020000,122700
2023-01-13,0.995000,1.050000,0.990100,1.010000,1.010000,40259
2023-01-17,1.010000,1.050000,1.010000,1.030000,1.030000,19552
2023-01-18,1.030000,1.052500,1.000000,1.030000,1.030000,15478
2023-01-19,1.040000,1.040000,0.951400,1.040000,1.040000,6183
2023-01-20,1.020000,1.040000,0.970000,0.987000,0.987000,12538
2023-01-23,0.960000,1.040000,0.950000,1.040000,1.040000,13915
2023-01-24,1.020000,1.020000,0.970100,0.970100,0.970100,20186
2023-01-25,0.980000,0.980000,0.918300,0.960000,0.960000,17284
2023-01-26,0.970000,0.985900,0.910000,0.949700,0.949700,20878
2023-01-27,0.925000,0.970000,0.925000,0.970000,0.970000,13120
2023-01-30,0.930000,0.941400,0.879900,0.890000,0.890000,29972
2023-01-31,0.950000,0.950000,0.900000,0.900000,0.900000,5467
2023-02-01,0.950000,0.959500,0.914500,0.914500,0.914500,11574
2023-02-02,0.950000,0.970000,0.949500,0.950000,0.950000,12557
2023-02-03,0.960000,1.040000,0.928200,1.000000,1.000000,26500
2023-02-06,1.040000,1.200000,1.030000,1.130000,1.130000,158779
2023-02-07,1.180000,1.430000,1.180000,1.220000,1.220000,243863
2023-02-08,1.210000,1.250000,1.110000,1.160000,1.160000,85400
2023-02-09,1.210000,1.263900,1.150000,1.220000,1.220000,12916
2023-02-10,1.190000,1.250000,1.120000,1.240000,1.240000,26415
2023-02-13,1.210000,1.260000,1.120000,1.200000,1.200000,10643
2023-02-14,1.150000,1.220000,1.150000,1.219800,1.219800,3375
2023-02-15,1.180000,1.300000,1.060000,1.220000,1.220000,66733
2023-02-16,1.180000,1.250000,1.180000,1.220000,1.220000,10870
2023-02-17,1.200000,1.290000,1.200000,1.270000,1.270000,15308
2023-02-21,1.230000,1.270000,1.220000,1.240000,1.240000,9974
2023-02-22,1.230000,1.250000,1.180000,1.180000,1.180000,9429
2023-02-23,1.180000,1.250000,1.180000,1.230000,1.230000,8298
2023-02-24,1.250000,1.250000,1.090000,1.120000,1.120000,38164
2023-02-27,1.100000,1.220000,1.100000,1.170000,1.170000,27737
2023-02-28,1.200000,1.250000,1.190000,1.240000,1.240000,9483
2023-03-01,1.250000,1.295000,1.230000,1.240000,1.240000,28939
2023-03-02,1.300000,1.300000,1.200000,1.210000,1.210000,27574
2023-03-03,1.220000,1.220000,1.000000,1.040000,1.040000,57564
2023-03-06,0.970000,1.180000,0.970000,0.986300,0.986300,46600
2023-03-07,1.070000,1.070000,0.900000,0.950000,0.950000,50126
2023-03-08,0.930000,0.977700,0.930000,0.945200,0.945200,27810
2023-03-09,0.890000,0.942400,0.833500,0.842800,0.842800,82720
2023-03-10,0.782200,0.860000,0.782200,0.792500,0.792500,58305
2023-03-13,0.800000,0.869000,0.790100,0.830000,0.830000,27252
2023-03-14,0.850000,1.070000,0.850000,0.945500,0.945500,48466
2023-03-15,0.945500,0.980000,0.850000,0.857600,0.857600,38687
2023-03-16,0.810000,0.860000,0.790000,0.856000,0.856000,29471
2023-03-17,0.860000,0.914300,0.850000,0.860000,0.860000,27593
2023-03-20,0.818400,0.860000,0.770000,0.820300,0.820300,43106
