Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,8.750000,9.060000,8.690000,8.900000,8.900000,418800
2022-12-28,8.900000,9.130000,8.720000,8.810000,8.810000,532400
2022-12-29,8.900000,9.585000,8.750000,9.480000,9.480000,474000
2022-12-30,9.380000,9.490000,8.960000,9.230000,9.230000,506900
2023-01-03,9.310000,9.390000,9.020000,9.100000,9.100000,393100
2023-01-04,9.140000,9.480000,9.100000,9.300000,9.300000,544200
2023-01-05,9.180000,9.330000,8.705000,8.760000,8.760000,765600
2023-01-06,8.800000,8.900000,7.990000,8.250000,8.250000,1054700
2023-01-09,8.450000,8.450000,7.975000,8.110000,8.110000,1254400
2023-01-10,8.090000,8.330000,8.070000,8.320000,8.320000,438500
2023-01-11,8.300000,8.620000,8.124000,8.470000,8.470000,362100
2023-01-12,8.490000,8.710000,8.310000,8.700000,8.700000,419700
2023-01-13,8.580000,8.960000,8.540000,8.720000,8.720000,416000
2023-01-17,8.750000,8.850000,8.310000,8.360000,8.360000,554700
2023-01-18,8.440000,8.740000,8.100000,8.170000,8.170000,638500
2023-01-19,8.100000,8.625000,7.950000,8.390000,8.390000,658700
2023-01-20,8.560000,8.595000,8.300000,8.400000,8.400000,465800
2023-01-23,8.400000,8.600000,8.260000,8.440000,8.440000,635700
2023-01-24,8.360000,8.710000,8.150000,8.570000,8.570000,763100
2023-01-25,8.470000,8.805000,8.190000,8.800000,8.800000,1114900
2023-01-26,8.860000,9.040000,8.820000,8.970000,8.970000,361400
2023-01-27,8.950000,9.280000,8.950000,9.160000,9.160000,363700
2023-01-30,9.070000,9.140000,8.610000,8.640000,8.640000,322600
2023-01-31,8.670000,8.920000,8.670000,8.820000,8.820000,468200
2023-02-01,8.810000,9.170000,8.620000,9.160000,9.160000,731400
2023-02-02,9.250000,9.610000,9.075000,9.560000,9.560000,717200
2023-02-03,9.370000,9.740000,9.280000,9.490000,9.490000,628600
2023-02-06,9.450000,9.740000,9.330000,9.600000,9.600000,330300
2023-02-07,9.590000,9.780000,9.265000,9.740000,9.740000,505400
2023-02-08,9.680000,9.740000,9.270000,9.360000,9.360000,519700
2023-02-09,9.520000,9.730000,9.360000,9.520000,9.520000,686700
2023-02-10,9.410000,9.620000,9.310000,9.430000,9.430000,551400
2023-02-13,9.410000,9.670000,9.190000,9.630000,9.630000,250300
2023-02-14,9.580000,9.710000,9.300000,9.510000,9.510000,255100
2023-02-15,9.460000,9.790000,9.320000,9.520000,9.520000,464300
2023-02-16,9.350000,9.760000,9.320000,9.540000,9.540000,439600
2023-02-17,9.600000,9.860000,9.400000,9.840000,9.840000,371800
2023-02-21,9.620000,9.820000,8.960000,9.090000,9.090000,594100
2023-02-22,9.120000,9.480000,9.110000,9.310000,9.310000,574400
2023-02-23,9.380000,9.410000,9.020000,9.270000,9.270000,245000
2023-02-24,9.090000,9.120000,8.675000,8.760000,8.760000,351500
2023-02-27,8.880000,9.130000,8.640000,8.720000,8.720000,503100
2023-02-28,8.660000,8.980000,8.490000,8.540000,8.540000,453800
2023-03-01,8.420000,8.820000,8.330000,8.800000,8.800000,400300
2023-03-02,8.650000,8.699000,8.150000,8.240000,8.240000,534000
2023-03-03,8.360000,8.360000,7.750000,7.890000,7.890000,490200
2023-03-06,7.900000,7.900000,7.050000,7.270000,7.270000,700600
2023-03-07,7.270000,7.352000,7.160000,7.220000,7.220000,508200
2023-03-08,7.230000,7.470000,7.060000,7.210000,7.210000,366600
2023-03-09,7.240000,7.370000,7.060000,7.160000,7.160000,736500
2023-03-10,7.180000,7.180000,6.180000,6.470000,6.470000,788700
2023-03-13,6.370000,6.780000,6.340000,6.670000,6.670000,554400
2023-03-14,6.820000,7.015000,6.560000,6.650000,6.650000,688600
2023-03-15,6.490000,6.615000,6.350000,6.450000,6.450000,480700
2023-03-16,6.400000,6.470000,6.130000,6.320000,6.320000,401000
2023-03-17,6.300000,6.440000,6.020000,6.320000,6.320000,1939900
2023-03-20,6.290000,6.600000,6.180000,6.390000,6.390000,470000
2023-03-21,6.460000,6.460000,6.020000,6.150000,6.150000,484700
2023-03-22,6.110000,6.140000,5.820000,5.850000,5.850000,1174300
2023-03-23,5.920000,6.040000,5.820000,5.940000,5.940000,511100
2023-03-24,6.000000,6.200000,5.760000,6.180000,6.180000,935100
2023-03-27,6.150000,6.430000,6.110000,6.310000,6.310000,340200
2023-03-28,6.290000,6.390000,6.160000,6.230000,6.230000,272000
2023-03-29,6.260000,6.575000,6.209000,6.310000,6.310000,387600
2023-03-30,6.340000,6.420000,6.050000,6.080000,6.080000,418900
2023-03-31,6.110000,6.290000,6.060000,6.190000,6.190000,564500
2023-04-03,6.220000,6.390000,6.100000,6.220000,6.220000,332200
2023-04-04,6.240000,6.280000,5.910000,6.020000,6.020000,445400
2023-04-05,5.990000,6.190000,5.950000,6.150000,6.150000,735700
2023-04-06,6.075000,6.320000,6.065000,6.240000,6.240000,380300
2023-04-10,6.260000,6.340000,6.110000,6.230000,6.230000,779000
2023-04-11,6.240000,6.385000,6.210000,6.250000,6.250000,420000
2023-04-12,6.300000,6.390000,6.150000,6.300000,6.300000,1052100
2023-04-13,6.330000,6.685000,6.300000,6.590000,6.590000,811400
2023-04-14,6.600000,6.620000,6.220000,6.460000,6.460000,685500
2023-04-17,6.540000,6.910000,6.525000,6.770000,6.770000,598300
2023-04-18,6.790000,6.800000,6.450000,6.525000,6.525000,350900
2023-04-19,6.450000,6.610000,6.450000,6.540000,6.540000,324000
2023-04-20,6.460000,6.600000,6.360000,6.570000,6.570000,576800
2023-04-21,6.590000,6.765000,6.540000,6.650000,6.650000,356300
2023-04-24,6.600000,6.650000,6.320000,6.450000,6.450000,345500
2023-04-25,6.400000,6.540000,6.330000,6.470000,6.470000,419700
2023-04-26,6.490000,6.570000,6.430000,6.500000,6.500000,311100
2023-04-27,6.550000,6.550000,6.230000,6.450000,6.450000,433000
2023-04-28,6.430000,6.905000,6.325000,6.600000,6.600000,396200
2023-05-01,6.550000,6.830000,6.540000,6.680000,6.680000,445900
2023-05-02,6.630000,6.720000,6.370000,6.390000,6.390000,835800
2023-05-03,6.500000,6.660000,6.440000,6.560000,6.560000,749500
2023-05-04,6.530000,6.805000,6.430000,6.720000,6.720000,414800
2023-05-05,6.940000,7.470000,6.810000,7.410000,7.410000,712500
2023-05-08,7.460000,8.010000,7.376000,7.930000,7.930000,930000
2023-05-09,7.800000,7.950000,7.620000,7.910000,7.910000,700300
2023-05-10,8.040000,8.040000,7.260000,7.580000,7.580000,533400
2023-05-11,7.530000,7.530000,7.220000,7.360000,7.360000,365100
2023-05-12,7.370000,7.370000,7.120000,7.350000,7.350000,294700
2023-05-15,7.360000,7.970000,7.360000,7.930000,7.930000,386300
2023-05-16,7.800000,7.800000,7.500000,7.610000,7.610000,428800
2023-05-17,7.750000,7.750000,7.358000,7.620000,7.620000,325600
2023-05-18,7.590000,7.720000,7.280000,7.490000,7.490000,317200
2023-05-19,7.600000,7.750000,7.532000,7.590000,7.590000,270200
2023-05-22,7.580000,7.810000,7.550000,7.670000,7.670000,263800
2023-05-23,7.590000,8.000000,7.560000,7.750000,7.750000,334900
2023-05-24,7.730000,7.730000,7.525000,7.640000,7.640000,377400
2023-05-25,7.630000,7.645000,7.340000,7.370000,7.370000,404300
2023-05-26,7.340000,7.620000,7.325000,7.590000,7.590000,296100
2023-05-30,7.570000,7.680000,7.290000,7.340000,7.340000,707600
2023-05-31,7.340000,7.780000,7.310000,7.440000,7.440000,523100
2023-06-01,7.410000,7.410000,6.660000,6.830000,6.830000,713300
2023-06-02,6.830000,7.130000,6.800000,7.120000,7.120000,528600
2023-06-05,7.040000,7.250000,6.930000,7.190000,7.190000,376600
2023-06-06,7.070000,7.460000,7.070000,7.420000,7.420000,506700
2023-06-07,7.430000,7.720000,7.120000,7.620000,7.620000,436500
2023-06-08,7.560000,7.560000,7.150000,7.350000,7.350000,349200
2023-06-09,7.360000,7.375000,7.100000,7.280000,7.280000,327400
2023-06-12,7.300000,7.760000,7.250000,7.510000,7.510000,443100
2023-06-13,7.490000,7.810000,7.460000,7.690000,7.690000,630800
2023-06-14,7.690000,7.840000,7.438000,7.710000,7.710000,533000
2023-06-15,7.720000,7.810000,7.540000,7.620000,7.620000,370500
2023-06-16,7.730000,7.730000,7.420000,7.470000,7.470000,2389400
2023-06-20,7.450000,7.460000,7.140000,7.300000,7.300000,443400
2023-06-21,7.120000,7.330000,6.990000,7.210000,7.210000,470600
2023-06-22,7.170000,7.330000,7.035000,7.310000,7.310000,474400
2023-06-23,7.240000,7.365000,7.140000,7.180000,7.180000,632600
2023-06-26,7.110000,7.110000,6.090000,6.095000,6.095000,601000
2023-06-27,6.110000,6.110000,5.650000,5.980000,5.980000,690800
2023-06-28,5.980000,6.230000,5.860000,6.220000,6.220000,600700
2023-06-29,6.200000,6.200000,5.815000,5.860000,5.860000,437100
2023-06-30,5.950000,6.087000,5.900000,6.010000,6.010000,553300
2023-07-03,5.990000,6.055000,5.889000,6.030000,6.030000,232000
2023-07-05,6.000000,6.260000,5.980000,6.130000,6.130000,564900
2023-07-06,6.050000,6.130000,5.910000,6.010000,6.010000,410800
2023-07-07,6.000000,6.235000,6.000000,6.160000,6.160000,391500
2023-07-10,6.170000,6.480000,6.135000,6.400000,6.400000,483700
2023-07-11,6.480000,6.645000,6.330000,6.380000,6.380000,324100
2023-07-12,6.500000,6.500000,6.270000,6.310000,6.310000,239300
2023-07-13,6.330000,6.390000,6.135000,6.150000,6.150000,361800
2023-07-14,6.220000,6.530000,6.130000,6.480000,6.480000,388100
2023-07-17,6.550000,6.760000,6.440000,6.590000,6.590000,344400
2023-07-18,6.590000,7.210000,6.590000,6.690000,6.690000,491100
2023-07-19,6.730000,6.820000,6.600000,6.610000,6.610000,478300
2023-07-20,6.680000,6.680000,6.415000,6.440000,6.440000,368600
2023-07-21,6.500000,6.820000,6.440000,6.680000,6.680000,455900
2023-07-24,6.680000,6.880000,6.590000,6.810000,6.810000,257400
2023-07-25,6.800000,6.850000,6.150000,6.230000,6.230000,1853100
2023-07-26,6.230000,6.480000,6.210000,6.260000,6.260000,707200
2023-07-27,6.300000,6.470000,6.140000,6.185000,6.185000,468700
2023-07-28,6.240000,6.410000,6.240000,6.370000,6.370000,281400
2023-07-31,6.370000,6.890000,6.355000,6.860000,6.860000,334100
2023-08-01,6.820000,6.970000,6.750000,6.910000,6.910000,256700
2023-08-02,6.840000,6.840000,6.535000,6.600000,6.600000,403100
2023-08-03,6.600000,6.730000,6.530000,6.625000,6.625000,230000
2023-08-04,7.270000,9.065000,6.995000,8.770000,8.770000,2118800
2023-08-07,8.410000,8.680000,7.310000,7.360000,7.360000,1329400
2023-08-08,7.270000,7.510000,7.100000,7.420000,7.420000,568200
2023-08-09,7.430000,7.620000,7.300000,7.490000,7.490000,702400
2023-08-10,7.540000,7.900000,7.540000,7.630000,7.630000,561800
2023-08-11,7.580000,7.750000,7.440000,7.460000,7.460000,1314200
2023-08-14,7.460000,7.530000,7.280000,7.500000,7.500000,253700
2023-08-15,7.490000,7.600000,7.350000,7.480000,7.480000,249700
2023-08-16,7.430000,7.520000,7.110000,7.140000,7.140000,239900
2023-08-17,7.160000,7.280000,7.020000,7.050000,7.050000,218900
2023-08-18,6.970000,7.255000,6.901000,7.170000,7.170000,203800
2023-08-21,7.150000,7.220000,6.850000,7.030000,7.030000,323500
2023-08-22,7.060000,7.070000,6.720000,6.740000,6.740000,348400
2023-08-23,6.640000,6.905000,6.295000,6.320000,6.320000,454400
2023-08-24,6.340000,6.350000,5.810000,5.895000,5.895000,331600
2023-08-25,5.930000,6.030000,5.635000,5.900000,5.900000,521100
2023-08-28,5.950000,6.210000,5.660000,5.700000,5.700000,378400
2023-08-29,5.720000,5.749000,5.560000,5.660000,5.660000,286700
2023-08-30,5.650000,5.820000,5.560000,5.650000,5.650000,403900
2023-08-31,5.670000,5.760000,5.440000,5.450000,5.450000,2126000
2023-09-01,5.510000,5.710000,5.485000,5.570000,5.570000,406600
2023-09-05,5.530000,5.530000,4.980000,5.195000,5.195000,887100
2023-09-06,5.180000,5.270000,5.005000,5.255000,5.255000,580300
2023-09-07,5.190000,5.750000,5.165000,5.610000,5.610000,618300
2023-09-08,5.620000,5.710000,5.430000,5.700000,5.700000,416100
2023-09-11,5.740000,5.870000,5.530000,5.830000,5.830000,1631200
2023-09-12,5.860000,6.150000,5.845000,6.030000,6.030000,1153000
2023-09-13,6.080000,6.310000,5.960000,6.120000,6.120000,718600
2023-09-14,6.130000,6.450000,5.980000,6.370000,6.370000,862700
2023-09-15,6.390000,6.630000,6.350000,6.560000,6.560000,1196000
2023-09-18,6.540000,6.540000,6.130000,6.130000,6.130000,758000
2023-09-19,6.140000,6.600000,6.050000,6.580000,6.580000,1956700
2023-09-20,6.560000,6.570000,6.010000,6.070000,6.070000,1079300
2023-09-21,6.020000,6.110000,5.820000,6.030000,6.030000,550700
2023-09-22,6.340000,6.930000,6.280000,6.880000,6.880000,1113400
2023-09-25,6.230000,7.000000,5.765000,6.980000,6.980000,2793200
2023-09-26,6.970000,7.010000,6.320000,6.435000,6.435000,766600
2023-09-27,6.390000,6.700000,6.355000,6.600000,6.600000,617100
2023-09-28,6.580000,6.790000,6.309000,6.690000,6.690000,577100
2023-09-29,6.700000,6.760000,6.370000,6.480000,6.480000,545900
2023-10-02,6.460000,6.462000,6.090000,6.190000,6.190000,535300
2023-10-03,6.140000,6.290000,5.940000,6.260000,6.260000,475900
2023-10-04,6.210000,6.210000,5.940000,6.090000,6.090000,530300
2023-10-05,6.070000,6.550000,6.010000,6.480000,6.480000,551800
2023-10-06,6.410000,6.700000,6.350000,6.680000,6.680000,416800
2023-10-09,6.600000,6.760000,6.190000,6.210000,6.210000,408500
2023-10-10,6.240000,6.430000,6.188000,6.310000,6.310000,361400
2023-10-11,6.290000,6.400000,6.120000,6.280000,6.280000,307300
2023-10-12,6.170000,6.220000,5.722000,5.820000,5.820000,603000
2023-10-13,5.860000,6.020000,5.700000,6.000000,6.000000,1141600
2023-10-16,5.970000,6.300000,5.820000,6.090000,6.090000,1028500
2023-10-17,6.060000,6.360000,5.900000,6.040000,6.040000,428500
2023-10-18,6.100000,6.100000,5.655000,5.690000,5.690000,334800
2023-10-19,5.640000,5.640000,5.130000,5.200000,5.200000,375800
2023-10-20,5.230000,5.360000,5.110000,5.290000,5.290000,374500
2023-10-23,5.260000,5.350000,5.100000,5.150000,5.150000,429100
2023-10-24,5.210000,5.445000,5.205000,5.280000,5.280000,476900
2023-10-25,5.230000,5.260000,5.060000,5.120000,5.120000,423800
2023-10-26,5.160000,5.370000,5.040000,5.280000,5.280000,402900
2023-10-27,5.320000,5.340000,4.880000,5.130000,5.130000,759300
2023-10-30,5.140000,5.340000,5.100000,5.160000,5.160000,367100
2023-10-31,5.130000,5.330000,5.080000,5.200000,5.200000,472100
2023-11-01,5.210000,5.490000,5.070000,5.460000,5.460000,570400
2023-11-02,5.550000,5.630000,5.440000,5.560000,5.560000,467100
2023-11-03,5.660000,6.070000,5.660000,5.880000,5.880000,625200
2023-11-06,5.890000,5.890000,5.415000,5.470000,5.470000,490000
2023-11-07,5.470000,5.780000,5.470000,5.750000,5.750000,354400
2023-11-08,5.550000,5.550000,4.980000,5.330000,5.330000,736300
2023-11-09,5.390000,5.390000,4.840000,4.845000,4.845000,585300
2023-11-10,4.900000,4.900000,4.400000,4.500000,4.500000,763800
2023-11-13,4.530000,4.530000,3.685000,3.770000,3.770000,1273000
2023-11-14,3.780000,4.300000,3.780000,4.300000,4.300000,875100
2023-11-15,4.250000,4.570000,3.950000,3.970000,3.970000,912000
2023-11-16,3.950000,4.060000,3.660000,3.940000,3.940000,757600
2023-11-17,3.980000,4.325000,3.940000,4.310000,4.310000,1424500
2023-11-20,4.310000,4.970000,4.280000,4.920000,4.920000,852600
2023-11-21,4.800000,5.000000,4.760000,4.780000,4.780000,547800
2023-11-22,4.870000,4.960000,4.710000,4.840000,4.840000,382400
2023-11-24,4.830000,5.080000,4.830000,5.020000,5.020000,166700
2023-11-27,4.930000,5.080000,4.750000,4.960000,4.960000,667200
2023-11-28,4.940000,5.210000,4.780000,5.160000,5.160000,552100
2023-11-29,5.100000,5.630000,5.100000,5.430000,5.430000,547300
2023-11-30,5.530000,5.640000,5.340000,5.420000,5.420000,869200
