Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.900000,0.980000,0.873000,0.960000,0.960000,595200
2022-12-28,0.960000,0.970000,0.860000,0.900000,0.900000,889100
2022-12-29,0.870000,1.000000,0.840000,0.996000,0.996000,368700
2022-12-30,0.934000,0.960000,0.850000,0.953000,0.953000,680900
2023-01-03,0.980000,0.980000,0.880000,0.940000,0.940000,234300
2023-01-04,0.921000,0.960000,0.880000,0.940000,0.940000,65900
2023-01-05,0.960000,1.030000,0.960000,0.990000,0.990000,264300
2023-01-06,1.180000,1.380000,1.080000,1.310000,1.310000,4261100
2023-01-09,1.350000,1.430000,1.190000,1.300000,1.300000,1011600
2023-01-10,1.310000,1.600000,1.270000,1.580000,1.580000,968800
2023-01-11,1.590000,1.660000,1.398000,1.640000,1.640000,1214700
2023-01-12,1.680000,1.700000,1.440000,1.440000,1.440000,848900
2023-01-13,1.420000,1.700000,1.250000,1.640000,1.640000,765000
2023-01-17,1.790000,2.410000,1.770000,2.020000,2.020000,4777900
2023-01-18,2.050000,2.150000,1.960000,2.110000,2.110000,1388800
2023-01-19,2.060000,2.130000,1.960000,2.030000,2.030000,446200
2023-01-20,1.990000,2.100000,1.970000,2.060000,2.060000,237200
2023-01-23,2.030000,2.080000,1.900000,1.930000,1.930000,423600
2023-01-24,1.940000,2.010000,1.750000,1.810000,1.810000,560100
2023-01-25,1.790000,1.920000,1.780000,1.880000,1.880000,125100
2023-01-26,1.890000,1.910000,1.840000,1.890000,1.890000,110000
2023-01-27,1.930000,1.980000,1.840000,1.890000,1.890000,125300
2023-01-30,1.850000,1.980000,1.833000,1.870000,1.870000,131700
2023-01-31,1.870000,1.980000,1.860000,1.940000,1.940000,142100
2023-02-01,1.940000,2.100000,1.890000,2.050000,2.050000,361800
2023-02-02,2.060000,2.060000,1.800000,1.920000,1.920000,440400
2023-02-03,1.880000,1.910000,1.750000,1.750000,1.750000,184500
2023-02-06,1.820000,1.820000,1.700000,1.760000,1.760000,107100
2023-02-07,1.770000,1.900000,1.760000,1.850000,1.850000,141300
2023-02-08,1.800000,1.940000,1.780000,1.860000,1.860000,87000
2023-02-09,1.900000,1.900000,1.680000,1.710000,1.710000,109200
2023-02-10,1.680000,1.720000,1.510000,1.520000,1.520000,251400
2023-02-13,1.550000,1.560000,1.420000,1.520000,1.520000,163000
2023-02-14,1.490000,1.630000,1.480000,1.630000,1.630000,59200
