Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,25.469999,25.639999,25.129999,25.190001,25.190001,791500
2022-12-28,25.180000,25.500000,24.910000,25.260000,25.260000,1126500
2022-12-29,25.350000,26.340000,25.240000,26.240000,26.240000,1229600
2022-12-30,26.150000,26.209999,25.730000,26.129999,26.129999,799100
2023-01-03,26.129999,26.330000,25.770000,25.870001,25.870001,1063600
2023-01-04,25.940001,26.150000,25.120001,25.330000,25.330000,1275100
2023-01-05,25.280001,25.420000,25.000000,25.309999,25.309999,708300
2023-01-06,26.350000,27.650000,26.090000,27.110001,27.110001,2177700
2023-01-09,27.010000,27.219999,25.870001,26.139999,26.139999,2065400
2023-01-10,26.209999,27.240000,26.030001,27.090000,27.090000,1787300
2023-01-11,27.020000,27.020000,26.240000,26.840000,26.840000,1422000
2023-01-12,26.750000,27.580000,26.559999,27.559999,27.559999,1351200
2023-01-13,27.459999,27.610001,27.020000,27.309999,27.309999,1334200
2023-01-17,27.940001,28.620001,27.260000,28.540001,28.540001,2391600
2023-01-18,28.680000,28.680000,27.610001,27.660000,27.660000,1816800
2023-01-19,27.559999,28.020000,27.379999,27.889999,27.889999,1587800
2023-01-20,28.129999,28.820000,27.690001,27.719999,27.719999,1932900
2023-01-23,27.600000,27.709999,27.129999,27.340000,27.340000,1638300
2023-01-24,27.170000,27.980000,27.049999,27.980000,27.980000,844700
2023-01-25,27.950001,28.580000,27.950001,28.340000,28.340000,1661900
2023-01-26,28.309999,28.549999,28.160000,28.500000,28.500000,1037100
2023-01-27,28.620001,29.049999,28.500000,29.020000,29.020000,1162400
2023-01-30,29.040001,29.280001,28.740000,28.790001,28.790001,1130500
2023-01-31,28.790001,29.040001,28.530001,28.639999,28.639999,1169300
2023-02-01,28.570000,29.000000,28.190001,28.690001,28.690001,1094900
2023-02-02,28.620001,28.620001,27.370001,27.620001,27.620001,970100
2023-02-03,27.510000,27.889999,27.270000,27.350000,27.350000,908100
2023-02-06,27.330000,27.540001,26.920000,27.100000,27.100000,978500
2023-02-07,27.049999,27.260000,26.590000,27.180000,27.180000,1261800
2023-02-08,27.090000,27.180000,26.760000,26.790001,26.790001,960100
2023-02-09,27.059999,28.299999,26.969999,27.100000,27.100000,995500
2023-02-10,27.250000,27.250000,26.920000,27.090000,27.090000,825400
2023-02-13,27.139999,27.719999,26.950001,27.690001,27.690001,1005400
2023-02-14,27.480000,27.930000,27.469999,27.670000,27.670000,1137200
2023-02-15,27.459999,27.459999,26.530001,26.990000,26.990000,1876200
2023-02-16,29.299999,29.490000,27.360001,28.180000,28.180000,3097600
2023-02-17,28.299999,28.670000,27.730000,28.070000,28.070000,1481900
2023-02-21,27.889999,28.170000,27.620001,27.770000,27.770000,1266500
2023-02-22,27.570000,28.020000,27.570000,27.770000,27.770000,1462200
2023-02-23,27.650000,27.889999,27.230000,27.360001,27.360001,1407800
2023-02-24,27.170000,27.450001,27.000000,27.180000,27.180000,1220300
2023-02-27,27.260000,27.389999,27.100000,27.190001,27.190001,1207200
2023-02-28,27.080000,27.379999,26.719999,26.740000,26.740000,1520200
2023-03-01,26.799999,27.559999,26.799999,27.379999,27.379999,1310300
2023-03-02,27.270000,27.490000,27.090000,27.190001,27.190001,976600
2023-03-03,27.150000,27.500000,26.930000,27.250000,27.250000,751900
2023-03-06,27.070000,27.250000,26.900000,27.219999,27.219999,728100
2023-03-07,27.219999,27.379999,26.930000,27.040001,27.040001,710300
2023-03-08,27.020000,27.139999,26.629999,26.860001,26.860001,697200
2023-03-09,27.000000,27.139999,26.850000,26.900000,26.900000,1292100
2023-03-10,26.950001,26.950001,26.010000,26.610001,26.610001,1449100
2023-03-13,26.440001,27.250000,26.379999,26.620001,26.620001,799700
2023-03-14,26.870001,26.959999,26.469999,26.820000,26.820000,960400
2023-03-15,26.590000,26.760000,26.240000,26.620001,26.620001,1227100
2023-03-16,26.430000,26.900000,26.240000,26.680000,26.680000,1102700
2023-03-17,26.660000,26.660000,25.980000,26.030001,26.030001,2057500
2023-03-20,26.180000,26.660000,26.090000,26.629999,26.629999,602700
2023-03-21,26.740000,26.870001,26.440001,26.520000,26.520000,634100
2023-03-22,26.440001,26.440001,25.799999,25.830000,25.830000,967800
2023-03-23,25.980000,26.150000,25.430000,25.750000,25.750000,914200
2023-03-24,25.730000,26.530001,25.480000,26.490000,26.490000,1009200
2023-03-27,26.590000,27.200001,26.450001,27.010000,27.010000,968000
2023-03-28,27.000000,27.400000,27.000000,27.290001,27.290001,1291700
2023-03-29,27.290001,27.969999,27.280001,27.920000,27.920000,1174100
2023-03-30,28.010000,28.070000,27.620001,27.820000,27.820000,1266600
2023-03-31,27.750000,28.270000,27.740000,28.190001,28.190001,1400500
2023-04-03,28.059999,28.700001,27.809999,28.670000,28.670000,1083900
2023-04-04,28.670000,29.110001,28.400000,29.100000,29.100000,1152300
2023-04-05,29.120001,29.680000,29.120001,29.370001,29.370001,1053100
2023-04-06,29.540001,29.540001,29.040001,29.219999,29.219999,1265600
2023-04-10,29.049999,29.240000,28.879999,28.920000,28.920000,1167300
2023-04-11,29.170000,29.430000,28.750000,28.840000,28.840000,1012300
2023-04-12,28.980000,29.340000,28.860001,28.969999,28.969999,751300
2023-04-13,28.990000,29.990000,28.969999,29.879999,29.879999,1543600
2023-04-14,29.580000,29.780001,28.879999,29.350000,29.350000,5973200
2023-04-17,29.570000,29.860001,29.260000,29.440001,29.440001,1564800
2023-04-18,29.459999,29.459999,29.030001,29.250000,29.250000,763900
2023-04-19,29.190001,29.340000,28.820000,29.299999,29.299999,717200
2023-04-20,29.280001,29.299999,28.910000,29.000000,29.000000,916200
2023-04-21,29.080000,29.510000,29.010000,29.379999,29.379999,1768700
2023-04-24,29.299999,29.490000,28.930000,29.180000,29.180000,934500
2023-04-25,29.290001,30.750000,29.190001,30.510000,30.510000,3020500
2023-04-26,29.760000,30.129999,28.240000,28.379999,28.379999,2673600
2023-04-27,28.370001,28.570000,27.680000,28.340000,28.340000,1710500
2023-04-28,28.219999,28.850000,27.760000,28.549999,28.549999,1217700
2023-05-01,28.610001,29.049999,28.469999,28.639999,28.639999,1188700
2023-05-02,28.500000,28.809999,28.280001,28.510000,28.510000,1369100
2023-05-03,28.590000,28.850000,28.010000,28.650000,28.650000,1319700
2023-05-04,28.530001,28.790001,28.309999,28.709999,28.709999,730700
2023-05-05,28.840000,29.490000,28.830000,29.450001,29.450001,1075700
