Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,7.730000,8.020000,7.400000,7.470000,7.470000,787700
2022-12-28,7.470000,7.650000,7.340000,7.400000,7.400000,569700
2022-12-29,7.470000,8.350000,7.400000,8.220000,8.220000,1207400
2022-12-30,8.170000,8.430000,8.030000,8.420000,8.420000,687000
2023-01-03,8.480000,8.730000,8.270000,8.270000,8.270000,813500
2023-01-04,8.270000,8.530000,7.960000,7.980000,7.980000,966600
2023-01-05,7.890000,7.900000,7.630000,7.650000,7.650000,558700
2023-01-06,7.660000,7.660000,7.120000,7.200000,7.200000,947900
2023-01-09,7.190000,7.270000,7.030000,7.150000,7.150000,964700
2023-01-10,7.190000,7.520000,7.110000,7.430000,7.430000,992700
2023-01-11,7.420000,7.540000,7.200000,7.450000,7.450000,974400
2023-01-12,7.440000,7.790000,7.270000,7.720000,7.720000,1061000
2023-01-13,7.630000,8.140000,7.630000,7.920000,7.920000,1281100
2023-01-17,7.880000,8.140000,7.620000,8.110000,8.110000,807600
2023-01-18,8.110000,8.300000,7.900000,7.920000,7.920000,795200
2023-01-19,7.860000,7.900000,7.730000,7.790000,7.790000,508500
2023-01-20,7.860000,7.920000,7.620000,7.740000,7.740000,590000
2023-01-23,7.720000,7.720000,7.300000,7.370000,7.370000,808000
2023-01-24,7.300000,7.530000,7.230000,7.460000,7.460000,785200
2023-01-25,7.400000,7.400000,7.130000,7.270000,7.270000,572700
2023-01-26,7.350000,7.430000,6.980000,7.170000,7.170000,493300
2023-01-27,7.220000,7.450000,7.170000,7.370000,7.370000,488300
2023-01-30,7.340000,7.410000,7.060000,7.220000,7.220000,486600
2023-01-31,7.240000,7.460000,7.240000,7.430000,7.430000,674000
2023-02-01,7.470000,7.530000,7.160000,7.400000,7.400000,577300
2023-02-02,7.560000,7.730000,7.390000,7.570000,7.570000,699700
2023-02-03,7.480000,7.700000,7.200000,7.210000,7.210000,419500
2023-02-06,7.180000,7.240000,7.000000,7.160000,7.160000,543100
2023-02-07,7.180000,7.330000,7.110000,7.290000,7.290000,458200
2023-02-08,7.280000,7.280000,6.780000,6.880000,6.880000,572500
2023-02-09,6.930000,7.110000,6.670000,6.670000,6.670000,897200
2023-02-10,6.600000,6.630000,6.400000,6.450000,6.450000,1062400
2023-02-13,6.320000,6.570000,6.220000,6.410000,6.410000,1079100
2023-02-14,6.400000,6.520000,6.270000,6.420000,6.420000,614500
2023-02-15,6.380000,6.380000,6.140000,6.310000,6.310000,1386900
2023-02-16,6.270000,6.330000,6.160000,6.260000,6.260000,797600
2023-02-17,6.250000,6.420000,6.170000,6.330000,6.330000,627200
2023-02-21,6.230000,6.290000,6.060000,6.120000,6.120000,1005600
2023-02-22,6.150000,6.310000,6.080000,6.130000,6.130000,525000
