Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,5.970000,6.020000,5.560000,5.620000,5.620000,1220600
2022-12-28,5.640000,5.860000,5.600000,5.780000,5.780000,1356900
2022-12-29,5.840000,6.140000,5.700000,5.970000,5.970000,2246000
2022-12-30,5.890000,6.300000,5.840000,6.290000,6.290000,1570000
2023-01-03,6.460000,6.500000,5.730000,5.760000,5.760000,1840300
2023-01-04,5.800000,6.020000,5.620000,5.800000,5.800000,2888200
2023-01-05,5.770000,5.930000,5.410000,5.810000,5.810000,2145500
2023-01-06,6.170000,6.280000,5.820000,6.090000,6.090000,1976600
2023-01-09,6.190000,6.200000,5.900000,5.930000,5.930000,1382700
2023-01-10,5.900000,6.150000,5.860000,6.090000,6.090000,1581900
2023-01-11,6.080000,6.720000,5.960000,6.550000,6.550000,3271800
2023-01-12,6.570000,7.030000,6.270000,7.000000,7.000000,2485400
2023-01-13,6.900000,7.370000,6.820000,7.060000,7.060000,1975900
2023-01-17,7.040000,7.140000,6.810000,6.950000,6.950000,1567500
2023-01-18,7.000000,7.220000,6.420000,6.460000,6.460000,1927000
2023-01-19,6.370000,6.450000,6.080000,6.370000,6.370000,1669300
2023-01-20,6.570000,6.630000,6.330000,6.550000,6.550000,1321300
2023-01-23,6.600000,7.090000,6.410000,6.860000,6.860000,1558400
2023-01-24,7.140000,8.100000,7.090000,7.940000,7.940000,3862600
2023-01-25,7.770000,8.100000,7.270000,7.990000,7.990000,2570800
2023-01-26,8.080000,8.110000,7.660000,7.830000,7.830000,1844700
2023-01-27,7.850000,8.440000,7.810000,7.920000,7.920000,1976800
2023-01-30,7.790000,8.000000,7.570000,7.670000,7.670000,1465100
2023-01-31,7.680000,7.930000,7.560000,7.720000,7.720000,1851900
2023-02-01,7.710000,8.150000,7.570000,7.970000,7.970000,1345100
2023-02-02,8.150000,8.400000,8.040000,8.210000,8.210000,1808000
2023-02-03,8.000000,8.110000,7.670000,7.780000,7.780000,1076600
2023-02-06,7.740000,7.800000,7.550000,7.670000,7.670000,737000
2023-02-07,7.670000,7.760000,7.480000,7.720000,7.720000,874400
2023-02-08,7.710000,7.750000,7.190000,7.200000,7.200000,1276800
2023-02-09,7.270000,7.350000,6.880000,6.920000,6.920000,1027200
2023-02-10,6.930000,7.030000,6.710000,6.870000,6.870000,1506300
2023-02-13,6.850000,7.120000,6.740000,7.120000,7.120000,1259200
2023-02-14,7.060000,7.190000,6.890000,7.100000,7.100000,1369800
2023-02-15,7.060000,7.240000,6.970000,7.230000,7.230000,1075400
2023-02-16,7.080000,7.300000,7.000000,7.010000,7.010000,1590500
2023-02-17,7.040000,7.200000,6.900000,7.200000,7.200000,1446300
2023-02-21,7.050000,7.100000,6.610000,6.680000,6.680000,2552700
2023-02-22,6.680000,6.920000,6.620000,6.720000,6.720000,2040400
2023-02-23,6.760000,6.830000,6.160000,6.490000,6.490000,1618000
2023-02-24,6.410000,6.420000,6.090000,6.190000,6.190000,2139000
2023-02-27,6.280000,6.410000,6.210000,6.330000,6.330000,1414600
2023-02-28,6.360000,6.580000,6.300000,6.350000,6.350000,1776600
2023-03-01,6.740000,7.140000,6.250000,6.340000,6.340000,2678000
2023-03-02,6.290000,6.460000,5.940000,6.020000,6.020000,2838300
2023-03-03,6.040000,6.160000,5.910000,5.990000,5.990000,2011000
2023-03-06,6.030000,6.040000,5.650000,5.950000,5.950000,3031700
2023-03-07,5.950000,6.180000,5.870000,5.960000,5.960000,2617400
2023-03-08,5.960000,6.070000,5.790000,6.060000,6.060000,2001000
2023-03-09,6.080000,6.140000,5.750000,5.790000,5.790000,2450700
2023-03-10,5.790000,5.790000,5.490000,5.700000,5.700000,3274400
2023-03-13,5.600000,5.950000,5.530000,5.620000,5.620000,2710900
2023-03-14,5.700000,5.770000,5.460000,5.610000,5.610000,1892700
2023-03-15,5.510000,5.770000,5.420000,5.660000,5.660000,2721000
2023-03-16,5.620000,5.650000,5.360000,5.510000,5.510000,1384100
2023-03-17,5.460000,5.560000,5.300000,5.490000,5.490000,2605100
2023-03-20,5.270000,5.480000,5.270000,5.370000,5.370000,1475400
2023-03-21,5.370000,5.550000,5.340000,5.360000,5.360000,1298700
2023-03-22,5.330000,5.440000,5.000000,5.040000,5.040000,2482600
2023-03-23,5.120000,5.240000,5.000000,5.050000,5.050000,1637800
2023-03-24,4.990000,5.060000,4.910000,5.020000,5.020000,1379000
2023-03-27,5.020000,5.200000,4.960000,5.030000,5.030000,1292200
2023-03-28,4.990000,5.100000,4.910000,4.920000,4.920000,841100
2023-03-29,5.000000,5.160000,4.880000,5.110000,5.110000,1389600
2023-03-30,5.150000,5.230000,4.830000,4.970000,4.970000,1547100
2023-03-31,5.000000,5.110000,4.840000,4.940000,4.940000,1941000
2023-04-03,4.940000,5.150000,4.920000,5.090000,5.090000,1404500
2023-04-04,5.120000,5.120000,4.720000,4.860000,4.860000,1923900
2023-04-05,4.880000,5.000000,4.870000,4.940000,4.940000,904700
2023-04-06,4.940000,4.970000,4.790000,4.890000,4.890000,1498000
2023-04-10,4.910000,4.920000,4.420000,4.530000,4.530000,2274900
2023-04-11,4.530000,4.680000,4.490000,4.650000,4.650000,1118600
2023-04-12,4.700000,4.700000,4.530000,4.590000,4.590000,1447800
2023-04-13,4.650000,5.210000,4.640000,5.050000,5.050000,2507800
2023-04-14,5.050000,5.110000,4.960000,4.990000,4.990000,1579000
2023-04-17,5.040000,5.420000,4.720000,4.840000,4.840000,2709000
2023-04-18,4.930000,5.000000,4.600000,4.800000,4.800000,1526100
2023-04-19,4.730000,4.970000,4.600000,4.930000,4.930000,1550200
2023-04-20,4.880000,5.040000,4.810000,4.990000,4.990000,2379300
2023-04-21,4.950000,5.490000,4.820000,5.410000,5.410000,3875400
2023-04-24,5.420000,5.590000,5.160000,5.370000,5.370000,2083700
2023-04-25,5.370000,5.890000,5.330000,5.600000,5.600000,3959200
2023-04-26,5.610000,5.720000,5.370000,5.430000,5.430000,1304600
2023-04-27,5.500000,5.600000,5.230000,5.320000,5.320000,2161000
2023-04-28,5.360000,5.530000,5.180000,5.430000,5.430000,1476800
2023-05-01,5.400000,5.690000,5.370000,5.530000,5.530000,2293500
2023-05-02,5.490000,5.700000,5.290000,5.350000,5.350000,3165400
2023-05-03,5.370000,5.840000,5.370000,5.720000,5.720000,2559400
2023-05-04,5.700000,6.870000,5.600000,6.450000,6.450000,7261500
2023-05-05,6.490000,6.750000,6.280000,6.600000,6.600000,2083000
2023-05-08,6.590000,6.610000,6.240000,6.320000,6.320000,1792700
2023-05-09,6.250000,6.310000,6.030000,6.230000,6.230000,1895900
2023-05-10,6.290000,6.430000,6.130000,6.360000,6.360000,1961600
2023-05-11,6.380000,6.410000,6.110000,6.180000,6.180000,1492900
2023-05-12,6.200000,6.240000,6.050000,6.090000,6.090000,1003400
2023-05-15,6.150000,6.890000,6.120000,6.740000,6.740000,2285700
2023-05-16,6.610000,6.610000,6.120000,6.130000,6.130000,2973300
2023-05-17,6.100000,6.270000,5.930000,6.120000,6.120000,1297100
2023-05-18,6.110000,6.260000,5.950000,6.080000,6.080000,1487100
2023-05-19,6.140000,6.350000,5.980000,6.080000,6.080000,1287100
2023-05-22,6.080000,6.220000,6.020000,6.090000,6.090000,1060000
2023-05-23,6.070000,6.410000,6.040000,6.050000,6.050000,1771100
2023-05-24,6.120000,6.120000,5.520000,5.690000,5.690000,1947000
2023-05-25,5.670000,5.770000,5.430000,5.470000,5.470000,1970200
2023-05-26,5.450000,5.610000,5.360000,5.530000,5.530000,1258600
2023-05-30,5.530000,5.670000,5.160000,5.190000,5.190000,2372100
2023-05-31,5.200000,5.520000,5.040000,5.250000,5.250000,1721800
2023-06-01,5.240000,5.440000,5.070000,5.320000,5.320000,1336800
2023-06-02,5.430000,5.620000,5.380000,5.610000,5.610000,1545100
2023-06-05,5.620000,5.690000,5.410000,5.570000,5.570000,1890000
2023-06-06,5.560000,5.950000,5.500000,5.880000,5.880000,1921500
2023-06-07,5.890000,6.000000,5.730000,5.840000,5.840000,1400300
2023-06-08,5.830000,5.870000,5.640000,5.800000,5.800000,1448400
2023-06-09,5.800000,5.850000,5.600000,5.640000,5.640000,724100
2023-06-12,5.690000,5.990000,5.610000,5.740000,5.740000,1631800
2023-06-13,5.800000,5.970000,5.600000,5.700000,5.700000,1852300
2023-06-14,5.550000,5.620000,4.750000,4.990000,4.990000,8205800
2023-06-15,4.950000,5.040000,4.790000,4.970000,4.970000,2671700
2023-06-16,4.990000,5.030000,4.760000,4.850000,4.850000,4827700
2023-06-20,4.790000,4.880000,4.560000,4.810000,4.810000,2224000
2023-06-21,4.740000,4.760000,4.490000,4.710000,4.710000,1918200
2023-06-22,4.680000,4.740000,4.550000,4.700000,4.700000,1608800
2023-06-23,4.620000,4.770000,4.300000,4.750000,4.750000,26803400
2023-06-26,4.890000,5.040000,4.670000,4.730000,4.730000,3010800
2023-06-27,4.760000,4.770000,4.550000,4.590000,4.590000,3428900
2023-06-28,4.550000,4.720000,4.430000,4.630000,4.630000,5172800
2023-06-29,4.620000,4.660000,4.490000,4.580000,4.580000,4512500
2023-06-30,4.650000,5.100000,4.590000,4.970000,4.970000,4690000
2023-07-03,4.940000,5.100000,4.880000,4.960000,4.960000,901700
2023-07-05,4.970000,5.180000,4.900000,4.980000,4.980000,1483700
2023-07-06,4.920000,5.070000,4.830000,5.020000,5.020000,1102400
2023-07-07,5.020000,5.430000,4.990000,5.420000,5.420000,3091400
