Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.260000,3.370000,3.230000,3.250000,3.250000,261800
2022-12-28,3.250000,3.340000,3.130000,3.300000,3.300000,322100
2022-12-29,3.380000,3.540000,3.360000,3.370000,3.370000,236100
2022-12-30,3.350000,3.520000,3.290000,3.440000,3.440000,124300
2023-01-03,3.470000,3.490000,3.400000,3.430000,3.430000,65300
2023-01-04,3.470000,3.470000,3.340000,3.350000,3.350000,66500
2023-01-05,3.380000,3.460000,3.290000,3.330000,3.330000,67200
2023-01-06,3.330000,3.450000,3.330000,3.390000,3.390000,71600
2023-01-09,3.410000,3.420000,3.370000,3.410000,3.410000,135300
2023-01-10,3.390000,3.520000,3.350000,3.450000,3.450000,134300
2023-01-11,3.390000,3.450000,3.320000,3.400000,3.400000,173600
2023-01-12,3.410000,3.410000,3.340000,3.400000,3.400000,112500
2023-01-13,3.380000,3.540000,3.380000,3.440000,3.440000,25200
2023-01-17,3.420000,3.550000,3.350000,3.480000,3.480000,174900
2023-01-18,3.540000,3.580000,3.460000,3.500000,3.500000,82100
2023-01-19,3.440000,3.640000,3.370000,3.610000,3.610000,249400
2023-01-20,3.610000,3.700000,3.540000,3.640000,3.640000,90800
2023-01-23,3.610000,3.810000,3.610000,3.700000,3.700000,83100
2023-01-24,3.670000,3.740000,3.630000,3.660000,3.660000,39400
2023-01-25,3.600000,3.670000,3.550000,3.640000,3.640000,45100
2023-01-26,3.620000,3.690000,3.580000,3.670000,3.670000,76600
2023-01-27,3.670000,3.930000,3.640000,3.810000,3.810000,204100
2023-01-30,3.740000,3.790000,3.680000,3.700000,3.700000,38400
2023-01-31,3.740000,3.900000,3.690000,3.790000,3.790000,61800
2023-02-01,3.700000,3.790000,3.560000,3.640000,3.640000,315700
2023-02-02,3.710000,3.820000,3.690000,3.820000,3.820000,114200
2023-02-03,3.840000,3.840000,3.660000,3.720000,3.720000,77900
2023-02-06,3.650000,3.750000,3.630000,3.630000,3.630000,34900
2023-02-07,3.600000,3.710000,3.550000,3.670000,3.670000,69500
