Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,12.100000,12.320000,11.760000,12.250000,12.250000,22700
2022-12-28,12.120000,12.250000,12.120000,12.140000,12.140000,3100
2022-12-29,12.210000,12.480000,12.130000,12.250000,12.250000,4700
2022-12-30,12.380000,12.820000,12.100000,12.820000,12.820000,4700
2023-01-03,12.750000,12.750000,12.240000,12.460000,12.460000,5800
2023-01-04,12.500000,12.770000,12.500000,12.770000,12.770000,17200
2023-01-05,12.690000,12.690000,12.690000,12.690000,12.690000,400
2023-01-06,12.520000,13.000000,12.520000,13.000000,13.000000,5000
2023-01-09,13.000000,13.000000,13.000000,13.000000,13.000000,300
2023-01-10,13.420000,13.420000,13.120000,13.120000,13.120000,500
2023-01-11,13.100000,13.550000,13.000000,13.130000,13.130000,14300
2023-01-12,13.300000,13.310000,13.200000,13.220000,13.220000,1200
2023-01-13,13.220000,13.310000,13.220000,13.310000,13.310000,4400
2023-01-17,13.160000,13.560000,12.910000,13.330000,13.330000,7600
2023-01-18,13.500000,13.510000,13.400000,13.510000,13.510000,700
2023-01-19,13.420000,13.420000,13.420000,13.420000,13.420000,200
2023-01-20,13.240000,13.750000,13.110000,13.750000,13.750000,4600
2023-01-23,13.740000,14.000000,13.600000,13.910000,13.910000,9300
2023-01-24,13.900000,14.670000,13.700000,13.990000,13.990000,14200
2023-01-25,13.800000,14.330000,13.510000,14.030000,14.030000,14300
2023-01-26,14.040000,14.100000,13.810000,13.970000,13.970000,3000
2023-01-27,14.060000,14.110000,13.500000,13.500000,13.500000,9500
2023-01-30,13.410000,13.620000,13.370000,13.500000,13.500000,19300
2023-01-31,13.500000,13.500000,13.250000,13.250000,13.250000,2500
2023-02-01,13.400000,13.500000,13.250000,13.250000,13.250000,2300
2023-02-02,13.260000,13.380000,13.230000,13.250000,13.250000,8700
2023-02-03,13.250000,13.300000,12.820000,13.200000,13.200000,8400
2023-02-06,13.180000,13.180000,13.090000,13.090000,13.090000,600
2023-02-07,13.250000,13.340000,12.750000,12.750000,12.750000,20900
2023-02-08,12.750000,13.200000,12.750000,12.750000,12.750000,20600
2023-02-09,13.030000,13.110000,12.560000,12.700000,12.700000,5800
2023-02-10,12.640000,12.790000,12.640000,12.790000,12.790000,1400
2023-02-13,12.710000,12.950000,12.080000,12.890000,12.890000,2100
2023-02-14,12.650000,12.650000,12.280000,12.300000,12.300000,2600
2023-02-15,12.400000,12.510000,12.400000,12.510000,12.510000,2100
2023-02-16,12.550000,12.630000,12.350000,12.350000,12.350000,3800
2023-02-17,12.470000,12.800000,12.470000,12.800000,12.800000,3600
2023-02-21,12.750000,12.750000,12.500000,12.500000,12.500000,2700
2023-02-22,12.630000,12.740000,12.500000,12.500000,12.500000,2900
2023-02-23,12.530000,12.730000,12.530000,12.730000,12.730000,2100
2023-02-24,12.640000,12.650000,12.420000,12.420000,12.420000,1900
2023-02-27,12.670000,12.750000,12.670000,12.750000,12.750000,3900
2023-02-28,12.910000,12.930000,12.460000,12.460000,12.460000,6800
2023-03-01,12.590000,12.920000,12.590000,12.720000,12.720000,2000
2023-03-02,12.700000,12.920000,12.550000,12.550000,12.550000,8700
2023-03-03,12.790000,13.000000,12.680000,12.940000,12.940000,3200
2023-03-06,13.140000,13.140000,12.940000,12.940000,12.940000,6000
2023-03-07,12.820000,13.010000,12.820000,12.850000,12.850000,11400
2023-03-08,13.030000,13.130000,12.790000,13.090000,13.090000,1300
2023-03-09,12.620000,13.140000,12.620000,12.860000,12.860000,1900
2023-03-10,12.870000,13.090000,12.520000,12.860000,12.860000,8500
2023-03-13,12.800000,13.390000,12.560000,13.300000,13.300000,13300
2023-03-14,13.390000,14.380000,13.200000,13.820000,13.820000,14500
2023-03-15,13.680000,13.790000,13.190000,13.590000,13.590000,7900
2023-03-16,13.250000,14.240000,13.150000,13.990000,13.990000,18100
2023-03-17,13.770000,13.870000,13.400000,13.750000,13.750000,11800
2023-03-20,13.500000,13.740000,11.980000,12.360000,12.360000,31000
2023-03-21,12.480000,12.800000,11.990000,12.480000,12.480000,11000
2023-03-22,13.100000,13.100000,12.310000,12.310000,12.310000,2500
