Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.560000,6.610000,5.950000,6.200000,6.200000,132400
2022-12-28,6.140000,6.240000,5.930000,6.010000,6.010000,82800
2022-12-29,5.810000,6.760000,5.810000,6.700000,6.700000,83600
2022-12-30,6.680000,7.400000,6.680000,7.350000,7.350000,211200
2023-01-03,7.360000,7.770000,7.180000,7.430000,7.430000,100100
2023-01-04,7.440000,7.620000,7.400000,7.550000,7.550000,53300
2023-01-05,7.580000,7.730000,7.210000,7.240000,7.240000,111100
2023-01-06,7.170000,7.750000,6.990000,7.650000,7.650000,108700
2023-01-09,7.630000,7.820000,7.250000,7.800000,7.800000,86400
2023-01-10,7.740000,8.055000,7.690000,7.880000,7.880000,87600
2023-01-11,7.810000,8.090000,7.810000,8.050000,8.050000,44200
2023-01-12,8.040000,8.680000,7.895000,8.640000,8.640000,72600
2023-01-13,8.245000,8.900000,8.235000,8.750000,8.750000,120900
2023-01-17,8.800000,8.800000,8.330000,8.590000,8.590000,130400
2023-01-18,8.440000,8.640000,7.920000,8.110000,8.110000,95900
2023-01-19,8.590000,8.750000,8.280000,8.460000,8.460000,83000
2023-01-20,8.590000,8.675000,8.285000,8.630000,8.630000,81500
2023-01-23,8.590000,8.649000,8.130000,8.220000,8.220000,63000
2023-01-24,8.190000,8.340000,7.890000,8.040000,8.040000,77100
2023-01-25,7.970000,8.250000,7.725000,8.010000,8.010000,85300
2023-01-26,8.010000,8.030000,7.755000,7.850000,7.850000,79400
2023-01-27,7.850000,7.930000,7.465000,7.630000,7.630000,81700
2023-01-30,7.620000,7.730000,7.380000,7.580000,7.580000,126800
2023-01-31,7.450000,8.555000,7.392000,8.400000,8.400000,88500
2023-02-01,8.380000,8.465000,8.100000,8.280000,8.280000,79200
2023-02-02,8.400000,8.400000,8.110000,8.300000,8.300000,68800
2023-02-03,8.260000,8.335000,7.910000,7.980000,7.980000,68000
2023-02-06,7.870000,8.220000,7.830000,7.950000,7.950000,61700
2023-02-07,8.010000,8.010000,7.550000,7.600000,7.600000,72500
2023-02-08,7.650000,7.860000,7.600000,7.770000,7.770000,103600
2023-02-09,7.845000,7.900000,7.720000,7.770000,7.770000,31900
2023-02-10,7.780000,7.980000,7.650000,7.970000,7.970000,41600
2023-02-13,7.940000,8.140000,7.790000,7.860000,7.860000,41900
2023-02-14,7.810000,8.050000,7.738000,7.970000,7.970000,34300
2023-02-15,7.810000,8.460000,7.810000,8.420000,8.420000,186100
2023-02-16,8.280000,8.420000,8.110000,8.210000,8.210000,90000
2023-02-17,8.280000,8.415000,8.150000,8.370000,8.370000,61800
2023-02-21,8.250000,8.470000,8.210000,8.310000,8.310000,120900
2023-02-22,8.260000,8.400000,8.140000,8.260000,8.260000,92500
2023-02-23,8.280000,8.400000,8.140000,8.180000,8.180000,80000
2023-02-24,8.080000,8.080000,7.570000,7.610000,7.610000,48100
2023-02-27,7.650000,7.890000,7.613000,7.860000,7.860000,21700
2023-02-28,7.870000,8.090000,7.870000,7.970000,7.970000,31300
2023-03-01,8.000000,8.203000,7.930000,7.990000,7.990000,40400
2023-03-02,8.014000,8.014000,7.855000,7.960000,7.960000,23200
2023-03-03,7.970000,8.110000,7.880000,7.990000,7.990000,30200
2023-03-06,8.000000,8.000000,7.780000,7.960000,7.960000,31100
2023-03-07,8.010000,8.310000,7.912000,8.180000,8.180000,75100
2023-03-08,8.350000,8.420000,7.990000,8.140000,8.140000,217600
2023-03-09,8.200000,8.200000,7.730000,7.870000,7.870000,238900
2023-03-10,7.620000,7.620000,7.090000,7.230000,7.230000,170200
2023-03-13,7.130000,7.520000,7.055000,7.420000,7.420000,31400
2023-03-14,7.650000,7.930000,7.570000,7.870000,7.870000,60900
2023-03-15,7.650000,8.235000,7.650000,8.040000,8.040000,75600
2023-03-16,7.930000,8.400000,7.845000,8.330000,8.330000,60800
2023-03-17,8.280000,8.750000,7.995000,8.590000,8.590000,410900
2023-03-20,8.620000,8.740000,8.120000,8.160000,8.160000,83400
2023-03-21,8.260000,8.360000,7.940000,8.010000,8.010000,55000
2023-03-22,8.000000,8.050000,7.789000,7.910000,7.910000,142200
2023-03-23,7.900000,8.120000,7.650000,8.120000,8.120000,65000
2023-03-24,8.100000,8.100000,7.380000,7.450000,7.450000,143300
2023-03-27,7.490000,7.490000,6.395000,7.000000,7.000000,111100
2023-03-28,6.970000,7.310000,6.960000,7.220000,7.220000,50600
2023-03-29,7.160000,8.340000,7.100000,8.070000,8.070000,122800
2023-03-30,8.030000,8.030000,7.450000,7.495000,7.495000,107200
2023-03-31,7.510000,7.820000,7.360000,7.720000,7.720000,126600
2023-04-03,7.780000,8.100000,7.740000,8.090000,8.090000,63000
2023-04-04,8.060000,8.060000,7.410000,7.530000,7.530000,42100
2023-04-05,7.360000,7.520000,7.360000,7.460000,7.460000,26000
2023-04-06,7.480000,7.628000,7.460000,7.570000,7.570000,22900
2023-04-10,7.550000,8.020000,7.550000,7.750000,7.750000,49600
2023-04-11,7.750000,7.975000,7.375000,7.530000,7.530000,28800
2023-04-12,7.505000,7.560000,7.190000,7.250000,7.250000,23100
2023-04-13,7.020000,7.950000,7.020000,7.690000,7.690000,35100
2023-04-14,7.770000,7.780000,7.220000,7.310000,7.310000,23100
2023-04-17,7.310000,7.605000,7.310000,7.450000,7.450000,36900
2023-04-18,7.530000,7.730000,7.445000,7.470000,7.470000,40600
2023-04-19,7.470000,7.560000,7.310000,7.460000,7.460000,63400
2023-04-20,7.350000,7.610000,7.080000,7.220000,7.220000,52700
2023-04-21,7.170000,7.440000,7.000000,7.160000,7.160000,64000
2023-04-24,7.110000,7.350000,7.060000,7.160000,7.160000,25800
2023-04-25,7.160000,7.185000,6.990000,7.090000,7.090000,26000
2023-04-26,7.050000,7.440000,6.980000,7.210000,7.210000,56900
2023-04-27,7.200000,7.500000,7.140000,7.240000,7.240000,22600
2023-04-28,7.230000,7.660000,7.100000,7.490000,7.490000,32700
2023-05-01,7.450000,7.710000,7.250000,7.490000,7.490000,70800
2023-05-02,7.480000,7.490000,7.010000,7.080000,7.080000,42800
2023-05-03,7.120000,7.440000,6.960000,6.990000,6.990000,81100
2023-05-04,6.960000,6.960000,6.710000,6.840000,6.840000,53900
2023-05-05,6.930000,7.440000,6.930000,7.390000,7.390000,46700
2023-05-08,7.410000,7.570000,7.250000,7.480000,7.480000,24000
2023-05-09,7.480000,7.480000,7.320000,7.370000,7.370000,15200
2023-05-10,7.570000,7.950000,7.545000,7.870000,7.870000,152400
2023-05-11,7.710000,7.950000,7.710000,7.780000,7.780000,102300
2023-05-12,7.860000,8.240000,7.780000,8.170000,8.170000,105400
2023-05-15,8.290000,8.780000,8.110000,8.670000,8.670000,397300
2023-05-16,8.520000,8.710000,8.510000,8.570000,8.570000,181600
2023-05-17,8.610000,8.685000,8.505000,8.580000,8.580000,78800
2023-05-18,8.500000,8.660000,8.380000,8.600000,8.600000,252500
2023-05-19,8.750000,9.530000,8.590000,9.500000,9.500000,1207400
