Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.896000,4.080000,3.856000,3.920000,3.920000,52300
2022-12-28,4.000000,4.160000,3.888000,3.960000,3.960000,45063
2022-12-29,4.000000,4.240000,3.920000,4.080000,4.080000,48475
2022-12-30,4.080000,4.232000,3.920000,4.232000,4.232000,100013
2023-01-03,4.224000,4.720000,4.160000,4.248000,4.248000,60188
2023-01-04,4.248000,4.640000,4.248000,4.480000,4.480000,39500
2023-01-05,4.640000,4.640000,4.392000,4.480000,4.480000,31425
2023-01-06,4.400000,4.720000,4.400000,4.480000,4.480000,30275
2023-01-09,4.560000,4.720000,4.400000,4.488000,4.488000,56875
2023-01-10,4.520000,4.648000,4.456000,4.544000,4.544000,60988
2023-01-11,4.640000,5.144000,4.000000,4.720000,4.720000,586300
2023-01-12,4.792000,5.280000,4.792000,5.272000,5.272000,185813
2023-01-13,5.280000,5.648000,5.160000,5.200000,5.200000,126163
2023-01-17,5.256000,5.280000,5.008000,5.120000,5.120000,61925
2023-01-18,5.200000,5.280000,5.112000,5.112000,5.112000,25475
2023-01-19,4.960000,5.120000,4.640000,4.960000,4.960000,29513
2023-01-20,4.880000,4.976000,4.728000,4.800000,4.800000,32388
2023-01-23,4.800000,4.880000,4.560000,4.800000,4.800000,47900
2023-01-24,4.840000,4.880000,4.400000,4.568000,4.568000,62575
2023-01-25,4.440000,4.640000,4.400000,4.480000,4.480000,31425
2023-01-26,4.544000,4.608000,4.480000,4.544000,4.544000,25650
2023-01-27,4.560000,4.608000,4.472000,4.520000,4.520000,83813
2023-01-30,4.472000,4.520000,4.344000,4.432000,4.432000,45513
2023-01-31,4.368000,4.552000,4.368000,4.480000,4.480000,75688
2023-02-01,4.480000,4.800000,4.448000,4.680000,4.680000,38950
2023-02-02,4.808000,5.600000,4.808000,5.360000,5.360000,100413
2023-02-03,5.360000,6.344000,5.200000,5.520000,5.520000,139013
2023-02-06,5.912000,6.080000,5.600000,6.000000,6.000000,121163
2023-02-07,6.000000,6.240000,5.840000,6.000000,6.000000,68938
2023-02-08,6.080000,6.080000,5.528000,5.552000,5.552000,54963
2023-02-09,5.736000,5.840000,5.248000,5.296000,5.296000,26850
2023-02-10,5.296000,5.360000,4.896000,5.104000,5.104000,69863
2023-02-13,5.440000,5.440000,4.880000,4.992000,4.992000,54100
2023-02-14,5.600000,5.680000,5.040000,5.328000,5.328000,28588
2023-02-15,5.328000,5.440000,5.080000,5.344000,5.344000,25813
2023-02-16,5.344000,5.344000,5.040000,5.072000,5.072000,25363
2023-02-17,4.944000,5.120000,4.800000,4.928000,4.928000,37238
2023-02-21,4.856000,4.896000,4.720000,4.720000,4.720000,18788
2023-02-22,4.960000,4.960000,4.800000,4.800000,4.800000,19013
2023-02-23,4.800000,4.920000,4.392000,4.488000,4.488000,64175
2023-02-24,4.400000,4.560000,4.136000,4.480000,4.480000,66188
2023-02-27,4.640000,4.720000,4.480000,4.600000,4.600000,30788
2023-02-28,4.432000,4.656000,4.432000,4.520000,4.520000,17775
2023-03-01,4.512000,4.648000,4.448000,4.480000,4.480000,27375
2023-03-02,4.480000,4.608000,4.176000,4.440000,4.440000,81163
2023-03-03,4.328000,4.800000,4.328000,4.696000,4.696000,36288
2023-03-06,4.640000,4.776000,4.384000,4.488000,4.488000,35275
2023-03-07,4.640000,4.680000,4.440000,4.544000,4.544000,35925
2023-03-08,4.560000,4.664000,4.336000,4.480000,4.480000,36975
2023-03-09,4.400000,4.640000,4.360000,4.400000,4.400000,22425
2023-03-10,4.400000,4.560000,4.240000,4.320000,4.320000,43575
2023-03-13,4.240000,4.432000,4.160000,4.200000,4.200000,31700
2023-03-14,4.240000,4.544000,4.120000,4.120000,4.120000,45575
2023-03-15,4.192000,4.320000,3.720000,3.840000,3.840000,145250
2023-03-16,3.920000,4.000000,3.840000,3.952000,3.952000,31100
2023-03-17,4.000000,4.160000,3.768000,3.840000,3.840000,79988
2023-03-20,3.776000,3.960000,3.720000,3.744000,3.744000,54838
2023-03-21,3.840000,3.920000,3.760000,3.888000,3.888000,28975
2023-03-22,3.888000,4.120000,3.880000,3.888000,3.888000,24988
2023-03-23,3.840000,4.032000,3.600000,3.736000,3.736000,67163
2023-03-24,3.840000,3.920000,3.680000,3.792000,3.792000,24038
