Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,48.900002,48.910000,47.919998,48.020000,48.020000,125000
2022-12-28,47.919998,48.560001,46.939999,47.130001,47.130001,200400
2022-12-29,47.779999,50.064999,47.700001,49.820000,49.820000,223800
2022-12-30,49.099998,49.590000,48.759998,49.480000,49.480000,151000
2023-01-03,49.990002,50.970001,48.695000,49.279999,49.279999,242300
2023-01-04,49.930000,50.255001,49.110001,49.310001,49.310001,266100
2023-01-05,48.700001,49.230000,47.730000,48.290001,48.290001,229700
2023-01-06,48.740002,50.380001,47.630001,50.330002,50.330002,211900
2023-01-09,51.000000,52.520000,51.000000,51.669998,51.669998,289000
2023-01-10,51.630001,51.814999,50.540001,51.560001,51.560001,240900
2023-01-11,51.750000,52.730000,51.560001,52.009998,52.009998,193800
2023-01-12,52.450001,52.950001,51.383999,52.880001,52.880001,165500
2023-01-13,52.150002,52.810001,52.020000,52.529999,52.529999,137800
2023-01-17,52.500000,52.709999,51.404999,52.200001,52.200001,146100
2023-01-18,52.599998,53.349998,51.549999,51.689999,51.689999,181200
2023-01-19,51.750000,51.799999,50.654999,50.900002,50.900002,184100
2023-01-20,51.560001,51.560001,50.270000,50.980000,50.980000,183600
2023-01-23,51.150002,52.380001,50.740002,52.270000,52.270000,128200
2023-01-24,52.060001,52.660000,51.410000,51.830002,51.830002,126100
2023-01-25,51.160000,51.330002,49.740002,51.139999,51.139999,103300
2023-01-26,51.869999,52.889999,51.154999,52.849998,52.849998,140600
2023-01-27,52.540001,53.200001,51.849998,52.799999,52.799999,117900
2023-01-30,52.150002,52.830002,51.599998,51.860001,51.860001,150800
2023-01-31,52.099998,53.990002,51.990002,53.599998,53.599998,434500
2023-02-01,53.599998,55.369999,52.834999,55.169998,55.169998,430700
2023-02-02,56.009998,58.645000,55.779999,58.240002,58.240002,300800
2023-02-03,56.869999,57.820000,56.137001,56.720001,56.720001,244400
2023-02-06,56.070000,56.389999,55.389999,55.540001,55.540001,162900
2023-02-07,55.240002,56.630001,54.180000,56.299999,56.299999,143600
2023-02-08,55.970001,56.570000,54.630001,54.959999,54.959999,164300
2023-02-09,55.930000,55.974998,53.990002,53.990002,53.990002,125500
2023-02-10,53.709999,53.759998,53.169998,53.459999,53.459999,111400
2023-02-13,53.730000,54.305000,53.160000,53.900002,53.900002,118600
2023-02-14,53.480000,54.459999,53.200001,53.610001,53.610001,88200
2023-02-15,53.250000,54.799999,53.250000,54.380001,54.380001,102400
2023-02-16,53.430000,54.340000,51.939999,52.150002,52.150002,290400
2023-02-17,51.889999,53.580002,51.750000,53.060001,53.060001,216000
2023-02-21,52.209999,52.770000,51.650002,51.830002,51.830002,147600
2023-02-22,52.099998,52.570000,51.445000,51.910000,51.910000,193800
2023-02-23,52.200001,52.660000,51.360001,52.240002,52.240002,182100
2023-02-24,50.430000,52.939999,49.255001,50.889999,50.889999,348200
2023-02-27,51.619999,52.240002,50.410000,50.849998,50.849998,171200
2023-02-28,50.610001,51.139999,50.090000,50.830002,50.830002,217000
2023-03-01,50.669998,51.320000,49.950001,50.230000,50.230000,202400
2023-03-02,50.000000,50.580002,49.669998,50.049999,50.049999,220200
2023-03-03,50.230000,51.820000,50.230000,51.490002,51.490002,254500
2023-03-06,51.790001,51.915001,50.160000,50.500000,50.500000,292300
2023-03-07,50.459999,50.875000,49.830002,50.029999,50.029999,229900
2023-03-08,49.849998,50.610001,49.705002,50.220001,50.220001,263700
2023-03-09,50.400002,50.840000,49.915001,50.119999,50.119999,222600
2023-03-10,49.869999,50.480000,48.279999,48.590000,48.590000,336500
2023-03-13,48.830002,52.290001,46.956001,48.630001,48.630001,214100
2023-03-14,49.799999,50.000000,48.360001,49.029999,49.029999,269500
2023-03-15,48.369999,49.799999,48.259998,49.570000,49.570000,228700
2023-03-16,49.410000,50.740002,48.105000,50.439999,50.439999,209000
2023-03-17,50.270000,50.689999,49.290001,49.869999,49.869999,573200
2023-03-20,49.950001,50.935001,49.549999,50.119999,50.119999,196500
2023-03-21,50.450001,51.000000,50.250000,50.630001,50.630001,178000
