Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.260000,2.379000,1.970000,2.014000,2.014000,91400
2022-12-28,1.950000,2.270000,1.880000,1.890000,1.890000,56200
2022-12-29,1.920000,1.990000,1.790000,1.873000,1.873000,115800
2022-12-30,1.820000,2.519000,1.820000,2.370000,2.370000,142500
2023-01-03,2.450000,3.300000,2.278000,3.200000,3.200000,225400
2023-01-04,3.150000,3.150000,2.520000,2.550000,2.550000,48400
2023-01-05,2.650000,2.660000,2.450000,2.550000,2.550000,51700
2023-01-06,2.575000,2.690000,2.570000,2.620000,2.620000,12600
2023-01-09,2.540000,2.700000,2.050000,2.700000,2.700000,17400
2023-01-10,2.780000,3.040000,2.630000,2.939000,2.939000,41800
2023-01-11,2.890000,3.001000,2.660000,2.730000,2.730000,10400
2023-01-12,2.870000,2.990000,2.770000,2.990000,2.990000,25300
2023-01-13,3.000000,3.120000,2.890000,3.036000,3.036000,16500
2023-01-17,3.090000,3.180000,2.848000,3.145000,3.145000,54500
2023-01-18,3.150000,3.269000,3.010000,3.190000,3.190000,26800
2023-01-19,3.100000,3.184000,3.060000,3.060000,3.060000,18300
2023-01-20,3.100000,3.100000,2.917000,2.920000,2.920000,34200
2023-01-23,3.040000,3.190000,2.950000,3.070000,3.070000,33000
2023-01-24,2.951000,3.040000,2.940000,2.970000,2.970000,6300
2023-01-25,2.900000,3.010000,2.900000,2.970000,2.970000,5600
2023-01-26,3.005000,3.085000,2.920000,2.920000,2.920000,4200
2023-01-27,2.790000,2.910000,2.710000,2.870000,2.870000,15200
2023-01-30,2.930000,2.930000,2.730000,2.750000,2.750000,18600
2023-01-31,2.880000,2.880000,2.760000,2.780000,2.780000,9400
2023-02-01,2.760000,2.920000,2.750000,2.900000,2.900000,23500
2023-02-02,3.000000,3.000000,2.880000,2.900000,2.900000,27900
2023-02-03,2.900000,2.990000,2.780000,2.790000,2.790000,30500
2023-02-06,2.790000,2.840000,2.650000,2.670000,2.670000,31400
2023-02-07,2.710000,2.790000,2.560000,2.580000,2.580000,6800
2023-02-08,2.670000,2.798000,2.590000,2.598000,2.598000,6300
2023-02-09,2.795000,2.795000,2.510000,2.540000,2.540000,24500
2023-02-10,2.530000,2.580000,2.460000,2.580000,2.580000,13200
2023-02-13,2.530000,2.580000,2.320000,2.356000,2.356000,27400
2023-02-14,2.370000,2.440000,2.347000,2.353000,2.353000,6900
2023-02-15,2.422000,2.541000,2.420000,2.541000,2.541000,1900
2023-02-16,2.430000,2.530000,2.300000,2.340000,2.340000,12900
2023-02-17,2.340000,2.350000,2.340000,2.346000,2.346000,1300
2023-02-21,1.470000,1.580000,1.290000,1.460000,1.460000,794000
2023-02-22,1.430000,1.597000,1.360000,1.550000,1.550000,172700
2023-02-23,1.550000,1.550000,1.395000,1.460000,1.460000,65000
2023-02-24,1.500000,1.550000,1.420000,1.430000,1.430000,40700
2023-02-27,1.393000,1.440000,1.380000,1.440000,1.440000,75100
2023-02-28,1.440000,1.598000,1.440000,1.490000,1.490000,99600
2023-03-01,1.490000,1.569000,1.490000,1.540000,1.540000,21000
2023-03-02,1.550000,1.567000,1.490000,1.490000,1.490000,24600
2023-03-03,1.490000,1.700000,1.490000,1.660000,1.660000,75800
2023-03-06,1.660000,1.700000,1.640000,1.660000,1.660000,22500
2023-03-07,1.680000,1.689000,1.440000,1.485000,1.485000,81100
2023-03-08,1.450000,1.500000,1.450000,1.500000,1.500000,93200
2023-03-09,1.460000,1.470000,1.330000,1.360000,1.360000,205900
2023-03-10,1.360000,1.360000,1.260000,1.300000,1.300000,50400
2023-03-13,1.330000,1.330000,1.250000,1.311000,1.311000,25000
2023-03-14,1.310000,1.550000,1.290000,1.470000,1.470000,191900
2023-03-15,1.500000,1.500000,1.413000,1.470000,1.470000,27900
2023-03-16,1.440000,1.500000,1.425000,1.500000,1.500000,49300
2023-03-17,1.510000,1.510000,1.380000,1.400000,1.400000,76700
2023-03-20,1.410000,1.455000,1.360000,1.400000,1.400000,44900
2023-03-21,1.440000,1.450000,1.350000,1.440000,1.440000,54900
2023-03-22,1.410000,1.440000,1.370000,1.380000,1.380000,12800
2023-03-23,1.438000,1.438000,1.330000,1.350000,1.350000,33700
2023-03-24,1.340000,1.390000,1.330000,1.390000,1.390000,24000
2023-03-27,1.390000,1.390000,1.360000,1.360000,1.360000,7500
