Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,10.270000,10.270000,10.270000,10.270000,10.270000,0
2022-12-28,10.260000,10.260000,10.260000,10.260000,10.260000,2000
2022-12-29,10.260000,10.260000,10.260000,10.260000,10.260000,0
2022-12-30,10.260000,10.260000,10.260000,10.260000,10.260000,100
2023-01-03,10.260000,10.260000,10.250000,10.250000,10.250000,104300
2023-01-04,10.250000,10.250000,10.250000,10.250000,10.250000,0
2023-01-05,10.290000,10.300000,10.280000,10.300000,10.300000,55400
2023-01-06,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-01-09,10.295000,10.295000,10.295000,10.295000,10.295000,100
2023-01-10,10.295000,10.295000,10.295000,10.295000,10.295000,100
2023-01-11,10.250000,10.250000,10.250000,10.250000,10.250000,12000
2023-01-12,10.250000,10.250000,10.250000,10.250000,10.250000,0
2023-01-13,10.250000,10.250000,10.250000,10.250000,10.250000,0
2023-01-17,10.250000,10.250000,10.250000,10.250000,10.250000,0
2023-01-18,10.290000,10.300000,10.290000,10.300000,10.300000,4700
2023-01-19,10.300000,10.300000,10.300000,10.300000,10.300000,400
2023-01-20,10.310000,10.320000,10.310000,10.310000,10.310000,1400
2023-01-23,10.310000,10.310000,10.310000,10.310000,10.310000,0
2023-01-24,10.320000,10.330000,10.310000,10.330000,10.330000,6900
2023-01-25,10.320000,10.325000,10.320000,10.325000,10.325000,7900
2023-01-26,10.325000,10.325000,10.325000,10.325000,10.325000,0
2023-01-27,10.330000,10.350000,10.330000,10.350000,10.350000,2600
2023-01-30,10.350000,10.350000,10.350000,10.350000,10.350000,0
2023-01-31,10.360000,10.360000,10.350000,10.350000,10.350000,500
2023-02-01,10.320000,10.320000,10.320000,10.320000,10.320000,25000
2023-02-02,10.320000,10.320000,10.320000,10.320000,10.320000,0
2023-02-03,10.330000,10.340000,10.330000,10.340000,10.340000,2200
2023-02-06,10.350000,10.350000,10.350000,10.350000,10.350000,800
2023-02-07,10.350000,10.350000,10.340000,10.350000,10.350000,175400
2023-02-08,10.350000,10.350000,10.350000,10.350000,10.350000,200
2023-02-09,10.345000,10.350000,10.340000,10.340000,10.340000,1100
2023-02-10,10.340000,10.340000,10.340000,10.340000,10.340000,200
2023-02-13,10.340000,10.340000,10.340000,10.340000,10.340000,0
2023-02-14,10.350000,10.360000,10.350000,10.360000,10.360000,9300
2023-02-15,10.370000,10.370000,10.360000,10.360000,10.360000,3700
2023-02-16,10.370000,10.390000,10.370000,10.390000,10.390000,10700
2023-02-17,10.390000,10.390000,10.390000,10.390000,10.390000,0
2023-02-21,10.390000,10.390000,10.390000,10.390000,10.390000,0
2023-02-22,10.390000,10.390000,10.390000,10.390000,10.390000,0
2023-02-23,10.470000,10.480000,10.460000,10.460000,10.460000,7900
2023-02-24,10.460000,10.460000,10.460000,10.460000,10.460000,0
2023-02-27,10.460000,10.460000,10.460000,10.460000,10.460000,0
2023-02-28,10.460000,10.460000,10.460000,10.460000,10.460000,0
2023-03-01,10.460000,10.460000,10.430000,10.460000,10.460000,53000
2023-03-02,10.460000,10.460000,10.460000,10.460000,10.460000,0
2023-03-03,10.450000,10.450000,10.450000,10.450000,10.450000,1400
2023-03-06,10.450000,10.450000,10.450000,10.450000,10.450000,0
2023-03-07,10.450000,10.450000,10.450000,10.450000,10.450000,2200
2023-03-08,10.450000,10.450000,10.450000,10.450000,10.450000,0
2023-03-09,10.450000,10.450000,10.450000,10.450000,10.450000,100
2023-03-10,10.450000,10.450000,10.450000,10.450000,10.450000,0
2023-03-13,10.450000,10.450000,10.450000,10.450000,10.450000,0
2023-03-14,10.450000,10.450000,10.450000,10.450000,10.450000,1800
2023-03-15,10.470000,10.470000,10.470000,10.470000,10.470000,170700
2023-03-16,10.478000,10.482000,10.470000,10.482000,10.482000,6800
2023-03-17,10.470000,10.470000,10.470000,10.470000,10.470000,1900
2023-03-20,10.470000,10.470000,10.470000,10.470000,10.470000,3200
2023-03-21,10.470000,10.470000,10.470000,10.470000,10.470000,9500
2023-03-22,10.470000,10.470000,10.470000,10.470000,10.470000,79200
2023-03-23,10.475000,10.475000,10.475000,10.475000,10.475000,4000
2023-03-24,10.475000,10.475000,10.475000,10.475000,10.475000,0
2023-03-27,10.475000,10.475000,10.475000,10.475000,10.475000,0
2023-03-28,10.470000,10.470000,10.470000,10.470000,10.470000,3000
2023-03-29,10.470000,10.470000,10.470000,10.470000,10.470000,0
2023-03-30,10.470000,10.470000,10.470000,10.470000,10.470000,500
2023-03-31,10.490000,10.490000,10.490000,10.490000,10.490000,200
2023-04-03,10.490000,10.490000,10.490000,10.490000,10.490000,0
2023-04-04,10.500000,10.505000,10.500000,10.505000,10.505000,300
2023-04-05,10.500000,10.510000,10.500000,10.500000,10.500000,400
2023-04-06,10.500000,10.500000,10.480000,10.495000,10.495000,3200
2023-04-10,10.495000,10.495000,10.495000,10.495000,10.495000,0
2023-04-11,10.500000,10.500000,10.490000,10.490000,10.490000,800
2023-04-12,10.490000,10.490000,10.490000,10.490000,10.490000,0
2023-04-13,10.490000,10.520000,10.490000,10.510000,10.510000,586800
2023-04-14,10.520000,10.530000,10.520000,10.530000,10.530000,236500
2023-04-17,10.525000,10.525000,10.525000,10.525000,10.525000,600
2023-04-18,10.520000,10.530000,10.520000,10.530000,10.530000,120500
2023-04-19,10.530000,10.530000,10.530000,10.530000,10.530000,0
2023-04-20,10.530000,10.550000,10.530000,10.550000,10.550000,264900
2023-04-21,10.540000,10.540000,10.540000,10.540000,10.540000,100
2023-04-24,10.540000,10.540000,10.540000,10.540000,10.540000,100
2023-04-25,10.550000,10.550000,10.550000,10.550000,10.550000,3600
2023-04-26,10.540000,10.540000,10.540000,10.540000,10.540000,200
2023-04-27,10.535000,10.550000,10.520000,10.550000,10.550000,180100
2023-04-28,10.550000,10.550000,10.540000,10.550000,10.550000,257700
2023-05-01,10.550000,10.560000,10.550000,10.560000,10.560000,100700
2023-05-02,10.550000,10.560000,10.550000,10.560000,10.560000,237300
2023-05-03,10.560000,10.560000,10.560000,10.560000,10.560000,100
2023-05-04,10.560000,10.560000,10.560000,10.560000,10.560000,0
2023-05-05,10.560000,10.570000,10.560000,10.570000,10.570000,700
2023-05-08,10.560000,10.565000,10.560000,10.560000,10.560000,3200
2023-05-09,10.560000,10.560000,10.560000,10.560000,10.560000,0
2023-05-10,10.560000,10.580000,10.560000,10.580000,10.580000,9900
2023-05-11,10.570000,10.570000,10.570000,10.570000,10.570000,100
2023-05-12,10.570000,10.570000,10.570000,10.570000,10.570000,3500
2023-05-15,10.570000,10.570000,10.570000,10.570000,10.570000,0
2023-05-16,10.570000,10.570000,10.570000,10.570000,10.570000,0
2023-05-17,10.580000,10.590000,10.580000,10.580000,10.580000,11500
2023-05-18,10.580000,10.580000,10.580000,10.580000,10.580000,0
2023-05-19,10.580000,10.580000,10.580000,10.580000,10.580000,0
2023-05-22,10.580000,10.610000,10.580000,10.610000,10.610000,13500
2023-05-23,10.610000,10.610000,10.610000,10.610000,10.610000,0
2023-05-24,10.610000,10.610000,10.610000,10.610000,10.610000,0
2023-05-25,10.610000,10.610000,10.610000,10.610000,10.610000,0
2023-05-26,10.620000,10.620000,10.620000,10.620000,10.620000,100
2023-05-30,10.620000,10.625000,10.620000,10.625000,10.625000,200
2023-05-31,10.630000,10.630000,10.630000,10.630000,10.630000,3000
2023-06-01,10.630000,10.640000,10.630000,10.640000,10.640000,11500
2023-06-02,10.640000,10.640000,10.640000,10.640000,10.640000,400
2023-06-05,10.640000,10.660000,10.640000,10.660000,10.660000,5400
2023-06-06,10.665000,10.670000,10.665000,10.670000,10.670000,10600
2023-06-07,10.670000,10.670000,10.670000,10.670000,10.670000,0
2023-06-08,10.675000,10.675000,10.675000,10.675000,10.675000,200
2023-06-09,10.675000,10.675000,10.675000,10.675000,10.675000,0
2023-06-12,10.660000,10.660000,10.640000,10.640000,10.640000,2900
2023-06-13,10.680000,10.680000,10.680000,10.680000,10.680000,5200
2023-06-14,10.680000,10.680000,10.670000,10.680000,10.680000,5200
2023-06-15,10.700000,10.700000,10.690000,10.700000,10.700000,10400
2023-06-16,10.700000,10.700000,10.700000,10.700000,10.700000,0
2023-06-20,10.700000,10.700000,10.700000,10.700000,10.700000,0
2023-06-21,10.720000,10.720000,10.700000,10.700000,10.700000,2500
2023-06-22,10.700000,10.700000,10.700000,10.700000,10.700000,100
2023-06-23,10.700000,10.700000,10.700000,10.700000,10.700000,1700
2023-06-26,10.700000,10.700000,10.700000,10.700000,10.700000,0
2023-06-27,10.690000,10.700000,10.680000,10.700000,10.700000,6500
2023-06-28,10.720000,10.720000,10.720000,10.720000,10.720000,140000
2023-06-29,10.730000,10.730000,10.730000,10.730000,10.730000,11200
2023-06-30,10.730000,10.730000,10.730000,10.730000,10.730000,200
2023-07-03,10.740000,10.740000,10.740000,10.740000,10.740000,800
2023-07-05,10.740000,10.780000,10.740000,10.780000,10.780000,288400
2023-07-06,10.760000,10.760000,10.760000,10.760000,10.760000,112400
2023-07-07,10.730000,10.760000,10.730000,10.760000,10.760000,48000
2023-07-10,10.760000,10.760000,10.760000,10.760000,10.760000,200
2023-07-11,10.720000,10.720000,10.720000,10.720000,10.720000,100
2023-07-12,10.720000,10.735000,10.720000,10.735000,10.735000,45800
2023-07-13,10.735000,10.735000,10.735000,10.735000,10.735000,0
2023-07-14,10.760000,10.760000,10.750000,10.750000,10.750000,6600
2023-07-17,10.750000,10.750000,10.750000,10.750000,10.750000,0
2023-07-18,10.755000,10.755000,10.755000,10.755000,10.755000,200
2023-07-19,10.755000,10.755000,10.755000,10.755000,10.755000,0
2023-07-20,10.760000,10.760000,10.760000,10.760000,10.760000,600
2023-07-21,10.760000,10.760000,10.760000,10.760000,10.760000,300
2023-07-24,10.790000,10.790000,10.790000,10.790000,10.790000,100
2023-07-25,10.780000,10.950000,10.760000,10.780000,10.780000,23200
2023-07-26,10.790000,10.790000,10.780000,10.785000,10.785000,3400
2023-07-27,10.780000,10.810000,10.780000,10.800000,10.800000,3700
2023-07-28,11.290000,11.290000,10.810000,10.810000,10.810000,1000
2023-07-31,10.740000,10.740000,10.740000,10.740000,10.740000,600
2023-08-01,10.740000,10.830000,10.740000,10.783000,10.783000,4400
2023-08-02,10.783000,10.783000,10.783000,10.783000,10.783000,100
2023-08-03,10.783000,10.783000,10.783000,10.783000,10.783000,300
2023-08-04,10.783000,10.783000,10.783000,10.783000,10.783000,0
2023-08-07,11.000000,11.000000,11.000000,11.000000,11.000000,100
2023-08-08,11.000000,11.000000,11.000000,11.000000,11.000000,0
2023-08-09,11.220000,11.220000,10.790000,10.840000,10.840000,3500
2023-08-10,10.980000,10.980000,10.940000,10.940000,10.940000,900
2023-08-11,10.920000,10.920000,10.920000,10.920000,10.920000,200
2023-08-14,10.810000,10.970000,10.790000,10.970000,10.970000,162100
2023-08-15,10.970000,10.970000,10.970000,10.970000,10.970000,0
2023-08-16,10.970000,10.970000,10.970000,10.970000,10.970000,0
2023-08-17,10.970000,10.970000,10.970000,10.970000,10.970000,0
2023-08-18,11.100000,11.100000,11.100000,11.100000,11.100000,200
2023-08-21,11.100000,11.100000,11.100000,11.100000,11.100000,100
2023-08-22,11.100000,11.100000,11.100000,11.100000,11.100000,0
2023-08-23,11.100000,11.100000,11.100000,11.100000,11.100000,0
2023-08-24,11.080000,11.080000,11.080000,11.080000,11.080000,100
2023-08-25,11.080000,11.080000,11.080000,11.080000,11.080000,0
2023-08-28,11.070000,11.070000,11.070000,11.070000,11.070000,100
2023-08-29,11.070000,11.070000,11.070000,11.070000,11.070000,0
2023-08-30,11.070000,11.070000,11.070000,11.070000,11.070000,0
2023-08-31,11.070000,11.070000,11.070000,11.070000,11.070000,0
2023-09-01,11.070000,11.070000,11.070000,11.070000,11.070000,0
