Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,15.280000,15.580000,14.575000,14.820000,14.820000,1263100
2022-12-28,14.820000,15.230000,14.190000,14.740000,14.740000,1383500
2022-12-29,14.810000,16.160000,14.520000,16.059999,16.059999,1898800
2022-12-30,16.059999,16.719999,15.500000,16.450001,16.450001,1747300
2023-01-03,16.549999,16.754999,15.070000,15.630000,15.630000,1036900
2023-01-04,15.650000,15.810000,14.660000,14.810000,14.810000,1079000
2023-01-05,14.710000,14.810000,14.049000,14.340000,14.340000,1028600
2023-01-06,14.380000,14.590000,14.060000,14.290000,14.290000,742800
2023-01-09,14.420000,14.730000,13.890000,13.970000,13.970000,981700
2023-01-10,13.960000,15.370000,13.940000,15.300000,15.300000,1370900
2023-01-11,15.300000,15.700000,14.630000,15.570000,15.570000,1154200
2023-01-12,15.570000,16.840000,15.120000,16.830000,16.830000,1296500
2023-01-13,16.559999,17.170000,15.630000,16.290001,16.290001,1465900
2023-01-17,16.290001,16.350000,14.840000,14.960000,14.960000,1483400
2023-01-18,15.260000,15.950000,14.740000,14.980000,14.980000,1122100
2023-01-19,14.920000,15.060000,14.410000,14.960000,14.960000,812700
2023-01-20,14.960000,15.070000,14.280000,14.350000,14.350000,1554300
2023-01-23,14.650000,14.820000,14.070000,14.570000,14.570000,1630800
2023-01-24,14.580000,15.060000,14.040000,14.160000,14.160000,1228000
2023-01-25,13.950000,14.130000,13.330000,14.030000,14.030000,2731800
2023-01-26,14.260000,14.340000,13.780000,13.910000,13.910000,892900
2023-01-27,13.820000,14.290000,13.095000,13.230000,13.230000,1722200
2023-01-30,12.900000,13.068000,12.300000,12.880000,12.880000,2780200
2023-01-31,12.930000,13.760000,12.850000,13.640000,13.640000,1297800
2023-02-01,13.520000,14.060000,13.240000,13.780000,13.780000,1121000
2023-02-02,14.060000,15.170000,14.060000,15.040000,15.040000,1444300
2023-02-03,14.810000,15.950000,14.800000,15.160000,15.160000,1200300
2023-02-06,15.100000,15.940000,15.020000,15.230000,15.230000,1038800
2023-02-07,15.320000,15.560000,14.850000,15.170000,15.170000,978700
2023-02-08,15.260000,15.295000,13.610000,13.850000,13.850000,1055500
2023-02-09,14.130000,14.280000,13.755000,14.030000,14.030000,681900
2023-02-10,14.030000,14.060000,13.320000,13.430000,13.430000,1010200
2023-02-13,13.430000,13.565000,13.010000,13.210000,13.210000,645600
2023-02-14,13.160000,13.514000,12.000000,12.380000,12.380000,1560000
2023-02-15,12.260000,12.280000,11.860000,11.990000,11.990000,835800
2023-02-16,12.000000,12.010000,11.520000,11.610000,11.610000,1251700
2023-02-17,11.590000,12.160000,11.590000,11.960000,11.960000,791100
2023-02-21,11.760000,11.850000,11.280000,11.330000,11.330000,1143200
2023-02-22,11.390000,11.755000,11.357000,11.670000,11.670000,860900
2023-02-23,11.760000,11.990000,11.520000,11.850000,11.850000,589300
2023-02-24,11.790000,12.049000,11.670000,11.980000,11.980000,1100700
2023-02-27,12.060000,12.150000,11.760000,11.830000,11.830000,720100
2023-02-28,12.000000,12.700000,11.620000,12.590000,12.590000,968800
2023-03-01,12.330000,12.375000,11.790000,12.050000,12.050000,1056600
2023-03-02,12.000000,12.145000,11.550000,11.560000,11.560000,786200
2023-03-03,11.720000,11.890000,11.370000,11.590000,11.590000,1008400
2023-03-06,11.460000,11.700000,11.120000,11.650000,11.650000,1721500
2023-03-07,11.590000,11.650000,10.730000,10.750000,10.750000,984300
2023-03-08,10.730000,11.070000,10.530000,11.050000,11.050000,1149500
2023-03-09,11.080000,11.790000,10.945000,11.370000,11.370000,1411200
2023-03-10,11.380000,11.380000,10.160000,10.370000,10.370000,1765800
2023-03-13,10.370000,10.790000,10.100000,10.780000,10.780000,1388000
2023-03-14,10.940000,11.650000,10.880000,11.090000,11.090000,1349600
2023-03-15,11.000000,11.060000,10.570000,10.930000,10.930000,978000
2023-03-16,10.850000,11.060000,10.720000,10.960000,10.960000,896000
2023-03-17,10.960000,11.270000,10.630000,11.010000,11.010000,2342200
2023-03-20,11.080000,11.100000,10.620000,10.920000,10.920000,2234900
2023-03-21,6.850000,6.940000,4.790000,4.950000,4.950000,20923800
2023-03-22,4.990000,4.990000,4.160000,4.200000,4.200000,9424400
2023-03-23,4.250000,4.380000,4.140000,4.190000,4.190000,2963200
2023-03-24,4.230000,4.434000,4.170000,4.320000,4.320000,3667800
2023-03-27,4.460000,4.950000,4.430000,4.820000,4.820000,3319600
2023-03-28,4.840000,4.970000,4.400000,4.420000,4.420000,2175000
2023-03-29,4.450000,4.570000,4.230000,4.370000,4.370000,2257700
2023-03-30,4.430000,4.500000,4.170000,4.220000,4.220000,2538600
2023-03-31,4.210000,4.400000,4.070000,4.220000,4.220000,4137100
2023-04-03,4.190000,4.480000,4.190000,4.420000,4.420000,2205600
2023-04-04,4.400000,4.400000,4.061000,4.120000,4.120000,2010500
2023-04-05,4.120000,4.180000,3.840000,3.870000,3.870000,2181700
2023-04-06,3.850000,4.040000,3.820000,4.010000,4.010000,1642600
2023-04-10,4.000000,4.100000,3.860000,4.040000,4.040000,1960400
2023-04-11,3.960000,4.180000,3.940000,4.140000,4.140000,2138400
2023-04-12,4.180000,4.290000,4.100000,4.110000,4.110000,1211300
2023-04-13,4.110000,4.730000,4.071000,4.610000,4.610000,2985400
2023-04-14,4.770000,4.840000,4.480000,4.780000,4.780000,2066800
2023-04-17,4.910000,5.515000,4.870000,5.450000,5.450000,3517700
2023-04-18,5.490000,5.825000,5.420000,5.700000,5.700000,2429700
2023-04-19,5.640000,6.080000,5.480000,5.970000,5.970000,2882500
2023-04-20,5.900000,5.960000,5.600000,5.730000,5.730000,1655200
2023-04-21,5.730000,5.930000,5.550000,5.790000,5.790000,1280600
2023-04-24,5.750000,5.800000,5.295000,5.520000,5.520000,1264200
2023-04-25,5.510000,5.640000,5.160000,5.230000,5.230000,998100
2023-04-26,5.240000,5.390000,5.090000,5.220000,5.220000,1412400
2023-04-27,5.280000,5.350000,4.935000,4.960000,4.960000,1407000
2023-04-28,5.090000,5.100000,4.925000,5.050000,5.050000,1074800
2023-05-01,5.100000,5.270000,4.885000,4.920000,4.920000,962300
2023-05-02,4.880000,4.960000,4.730000,4.740000,4.740000,1280700
2023-05-03,4.730000,5.125000,4.660000,4.980000,4.980000,1478800
2023-05-04,4.930000,5.016000,4.730000,4.940000,4.940000,997300
2023-05-05,4.980000,5.115000,4.910000,4.940000,4.940000,1006200
2023-05-08,4.950000,4.975000,4.790000,4.920000,4.920000,946700
2023-05-09,4.910000,5.040000,4.790000,4.940000,4.940000,922400
2023-05-10,4.970000,5.090000,4.775000,4.980000,4.980000,1298800
2023-05-11,5.000000,5.450000,5.000000,5.330000,5.330000,1742400
2023-05-12,5.390000,5.550000,5.000000,5.090000,5.090000,1521100
2023-05-15,5.150000,5.330000,4.810000,4.850000,4.850000,1892100
2023-05-16,4.860000,4.890000,4.650000,4.650000,4.650000,1455800
2023-05-17,4.660000,4.730000,4.540000,4.600000,4.600000,1202400
2023-05-18,4.630000,4.630000,4.290000,4.450000,4.450000,1829200
2023-05-19,4.450000,4.640000,4.435000,4.490000,4.490000,1105700
2023-05-22,4.545000,4.610000,4.420000,4.480000,4.480000,1275000
2023-05-23,4.460000,4.800000,4.380000,4.430000,4.430000,1583400
2023-05-24,4.440000,4.440000,4.205000,4.290000,4.290000,1306600
2023-05-25,4.350000,4.350000,4.180000,4.210000,4.210000,1295700
2023-05-26,4.210000,4.255000,4.060000,4.090000,4.090000,1110900
2023-05-30,4.150000,4.170000,3.980000,4.000000,4.000000,1428400
2023-05-31,4.030000,4.160000,3.975000,4.040000,4.040000,2165500
2023-06-01,4.060000,4.240000,3.970000,4.150000,4.150000,1826900
2023-06-02,4.210000,4.270000,4.100000,4.260000,4.260000,1390700
2023-06-05,4.270000,4.470000,4.235000,4.270000,4.270000,1404300
2023-06-06,4.270000,4.290000,4.130000,4.200000,4.200000,1176000
2023-06-07,4.170000,4.231000,4.065000,4.100000,4.100000,1196200
2023-06-08,4.050000,4.150000,4.015000,4.090000,4.090000,1569300
2023-06-09,4.100000,4.100000,3.970000,4.000000,4.000000,1225200
2023-06-12,4.040000,4.099000,3.890000,3.970000,3.970000,2351100
2023-06-13,3.990000,4.130000,3.975000,4.000000,4.000000,1690900
2023-06-14,4.050000,4.190000,3.982000,4.050000,4.050000,2451400
2023-06-15,4.080000,4.130000,4.000000,4.090000,4.090000,1593800
2023-06-16,4.090000,4.110000,3.980000,4.000000,4.000000,13916700
2023-06-20,4.040000,4.180000,4.010000,4.080000,4.080000,1856700
2023-06-21,4.050000,4.260000,3.980000,4.190000,4.190000,2755700
2023-06-22,4.200000,4.300000,4.160000,4.160000,4.160000,1280400
2023-06-23,4.180000,4.200000,3.890000,3.910000,3.910000,8780400
2023-06-26,3.920000,3.920000,3.450000,3.450000,3.450000,3305900
2023-06-27,3.450000,3.710000,3.320000,3.690000,3.690000,4067600
2023-06-28,3.730000,3.740000,3.520000,3.590000,3.590000,2121700
2023-06-29,3.580000,3.640000,3.490000,3.500000,3.500000,1614000
2023-06-30,3.600000,3.630000,3.470000,3.530000,3.530000,1285200
2023-07-03,3.570000,3.580000,3.410000,3.450000,3.450000,671100
2023-07-05,3.480000,3.510000,3.355000,3.400000,3.400000,1386000
2023-07-06,3.420000,3.420000,3.200000,3.360000,3.360000,1869400
2023-07-07,3.340000,3.400000,3.275000,3.290000,3.290000,850200
2023-07-10,3.310000,3.450000,3.280000,3.440000,3.440000,1391300
2023-07-11,3.420000,3.485000,3.330000,3.380000,3.380000,1096800
2023-07-12,3.430000,3.460000,3.310000,3.320000,3.320000,1162600
2023-07-13,3.370000,3.425000,3.300000,3.390000,3.390000,2270600
2023-07-14,3.360000,3.465000,3.270000,3.280000,3.280000,1073800
2023-07-17,3.320000,3.380000,3.160000,3.180000,3.180000,1277400
2023-07-18,3.160000,3.250000,3.109000,3.150000,3.150000,1162600
2023-07-19,3.190000,3.309000,3.170000,3.200000,3.200000,1355300
2023-07-20,3.190000,3.275000,3.160000,3.180000,3.180000,879600
