Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.900000,2.920000,2.670000,2.680000,2.680000,693600
2022-12-28,2.680000,2.720000,2.610000,2.710000,2.710000,961000
2022-12-29,2.700000,2.860000,2.670000,2.850000,2.850000,801300
2022-12-30,2.800000,2.900000,2.800000,2.880000,2.880000,627500
2023-01-03,2.900000,2.960000,2.850000,2.910000,2.910000,868500
2023-01-04,2.910000,2.960000,2.810000,2.860000,2.860000,684000
2023-01-05,2.830000,2.830000,2.750000,2.770000,2.770000,683500
2023-01-06,2.800000,2.990000,2.780000,2.950000,2.950000,574200
2023-01-09,2.980000,3.110000,2.950000,3.060000,3.060000,651300
2023-01-10,3.060000,3.130000,3.040000,3.110000,3.110000,648900
2023-01-11,3.120000,3.130000,3.050000,3.120000,3.120000,621200
2023-01-12,3.140000,3.230000,3.060000,3.210000,3.210000,770900
2023-01-13,3.210000,3.260000,3.160000,3.230000,3.230000,545800
2023-01-17,3.260000,3.330000,3.110000,3.210000,3.210000,795600
2023-01-18,3.200000,3.290000,3.040000,3.040000,3.040000,459900
2023-01-19,3.010000,3.140000,3.000000,3.100000,3.100000,573600
2023-01-20,3.170000,3.190000,3.060000,3.150000,3.150000,786100
2023-01-23,3.110000,3.190000,3.100000,3.160000,3.160000,538100
2023-01-24,3.130000,3.170000,3.050000,3.120000,3.120000,496600
2023-01-25,3.080000,3.180000,3.050000,3.170000,3.170000,486200
2023-01-26,3.200000,3.280000,3.150000,3.280000,3.280000,654100
2023-01-27,3.270000,3.300000,3.200000,3.240000,3.240000,610000
2023-01-30,3.180000,3.230000,3.140000,3.140000,3.140000,312800
2023-01-31,3.130000,3.430000,3.120000,3.390000,3.390000,1566100
2023-02-01,3.360000,3.440000,3.300000,3.420000,3.420000,686000
2023-02-02,3.430000,3.560000,3.430000,3.550000,3.550000,705200
2023-02-03,3.500000,3.540000,3.440000,3.450000,3.450000,578400
2023-02-06,3.400000,3.440000,3.310000,3.340000,3.340000,691600
2023-02-07,3.350000,3.500000,3.310000,3.430000,3.430000,797100
2023-02-08,3.400000,3.440000,3.320000,3.330000,3.330000,627700
2023-02-09,3.330000,3.380000,3.190000,3.210000,3.210000,435000
2023-02-10,3.200000,3.300000,3.100000,3.290000,3.290000,503100
2023-02-13,3.280000,3.360000,3.190000,3.330000,3.330000,532000
2023-02-14,3.320000,3.320000,3.190000,3.260000,3.260000,517600
2023-02-15,3.210000,3.240000,3.130000,3.160000,3.160000,821800
2023-02-16,3.140000,3.150000,2.960000,2.970000,2.970000,847900
2023-02-17,2.960000,2.990000,2.910000,2.950000,2.950000,792500
2023-02-21,2.910000,3.000000,2.840000,2.870000,2.870000,619100
2023-02-22,2.900000,2.940000,2.850000,2.890000,2.890000,587900
2023-02-23,2.920000,3.030000,2.920000,3.020000,3.020000,613500
2023-02-24,2.980000,3.010000,2.900000,3.010000,3.010000,469300
2023-02-27,3.030000,3.030000,2.910000,2.920000,2.920000,403800
2023-02-28,2.900000,2.980000,2.880000,2.920000,2.920000,2126200
2023-03-01,2.990000,3.020000,2.920000,3.000000,3.000000,465100
2023-03-02,2.970000,2.970000,2.890000,2.940000,2.940000,603700
2023-03-03,2.970000,3.120000,2.920000,3.120000,3.120000,702700
2023-03-06,3.090000,3.140000,2.990000,3.010000,3.010000,804200
2023-03-07,3.000000,3.050000,2.900000,2.990000,2.990000,583500
2023-03-08,2.990000,2.990000,2.870000,2.910000,2.910000,511400
2023-03-09,2.890000,2.950000,2.800000,2.830000,2.830000,691200
2023-03-10,2.530000,2.680000,1.810000,1.910000,1.910000,4732500
2023-03-13,1.840000,2.020000,1.770000,1.870000,1.870000,1691900
2023-03-14,1.940000,2.000000,1.900000,1.920000,1.920000,1403700
2023-03-15,1.880000,1.950000,1.830000,1.850000,1.850000,1517200
2023-03-16,1.830000,1.870000,1.740000,1.820000,1.820000,1022700
2023-03-17,1.820000,1.830000,1.690000,1.730000,1.730000,1874600
2023-03-20,1.750000,1.750000,1.550000,1.610000,1.610000,1072300
2023-03-21,1.640000,1.660000,1.560000,1.580000,1.580000,711300
2023-03-22,1.570000,1.640000,1.440000,1.450000,1.450000,1981600
2023-03-23,1.450000,1.640000,1.450000,1.540000,1.540000,2292200
2023-03-24,1.530000,1.540000,1.450000,1.500000,1.500000,1424500
2023-03-27,1.550000,1.670000,1.490000,1.650000,1.650000,1760400
2023-03-28,1.650000,1.650000,1.540000,1.550000,1.550000,997400
2023-03-29,1.580000,1.580000,1.510000,1.520000,1.520000,1067400
2023-03-30,1.500000,1.560000,1.470000,1.480000,1.480000,609500
2023-03-31,1.480000,1.520000,1.480000,1.500000,1.500000,663000
2023-04-03,1.520000,1.620000,1.500000,1.560000,1.560000,1168400
2023-04-04,1.570000,1.610000,1.490000,1.500000,1.500000,953900
2023-04-05,1.510000,1.520000,1.400000,1.420000,1.420000,955600
2023-04-06,1.420000,1.430000,1.340000,1.370000,1.370000,1441700
2023-04-10,1.360000,1.430000,1.320000,1.390000,1.390000,1349200
2023-04-11,1.400000,1.440000,1.320000,1.330000,1.330000,1251700
2023-04-12,1.360000,1.380000,1.300000,1.300000,1.300000,1032600
2023-04-13,1.310000,1.330000,1.280000,1.290000,1.290000,762700
2023-04-14,1.280000,1.310000,1.250000,1.270000,1.270000,1030600
2023-04-17,1.290000,1.360000,1.260000,1.340000,1.340000,1087000
2023-04-18,1.350000,1.460000,1.330000,1.410000,1.410000,880600
2023-04-19,1.400000,1.410000,1.360000,1.370000,1.370000,343700
2023-04-20,1.370000,1.370000,1.260000,1.300000,1.300000,535700
2023-04-21,1.300000,1.330000,1.270000,1.280000,1.280000,407700
2023-04-24,1.280000,1.320000,1.260000,1.310000,1.310000,388400
2023-04-25,1.310000,1.320000,1.260000,1.270000,1.270000,536900
2023-04-26,1.270000,1.300000,1.210000,1.220000,1.220000,548200
2023-04-27,1.230000,1.280000,1.210000,1.260000,1.260000,786200
2023-04-28,1.260000,1.310000,1.240000,1.310000,1.310000,728300
2023-05-01,1.310000,1.310000,1.260000,1.280000,1.280000,401800
2023-05-02,1.300000,1.300000,1.200000,1.270000,1.270000,689600
2023-05-03,1.270000,1.390000,1.270000,1.360000,1.360000,1205100
2023-05-04,1.410000,1.410000,1.310000,1.370000,1.370000,650700
2023-05-05,1.400000,1.460000,1.400000,1.400000,1.400000,976300
2023-05-08,1.410000,1.450000,1.360000,1.360000,1.360000,1506200
2023-05-09,1.560000,1.670000,1.530000,1.570000,1.570000,4856600
2023-05-10,1.880000,1.950000,1.810000,1.920000,1.920000,4911500
2023-05-11,1.950000,2.210000,1.810000,2.160000,2.160000,3523700
2023-05-12,2.160000,2.170000,1.920000,2.040000,2.040000,2281400
2023-05-15,2.010000,2.130000,1.990000,2.080000,2.080000,809900
2023-05-16,2.070000,2.070000,1.890000,1.900000,1.900000,1495900
2023-05-17,1.930000,2.080000,1.900000,2.060000,2.060000,1694200
2023-05-18,2.060000,2.220000,2.030000,2.200000,2.200000,1485100
2023-05-19,2.220000,2.240000,2.130000,2.200000,2.200000,1027800
2023-05-22,2.240000,2.310000,2.120000,2.270000,2.270000,1782600
2023-05-23,2.270000,2.270000,2.100000,2.100000,2.100000,768800
2023-05-24,2.070000,2.120000,2.010000,2.030000,2.030000,832100
2023-05-25,2.030000,2.040000,1.960000,2.030000,2.030000,645100
2023-05-26,2.040000,2.110000,2.010000,2.070000,2.070000,656200
2023-05-30,2.080000,2.120000,2.010000,2.030000,2.030000,645900
2023-05-31,2.000000,2.060000,1.960000,2.010000,2.010000,758900
2023-06-01,2.000000,2.080000,1.970000,2.020000,2.020000,1036800
2023-06-02,2.030000,2.120000,2.000000,2.110000,2.110000,1017800
2023-06-05,2.150000,2.260000,2.090000,2.250000,2.250000,1161300
2023-06-06,2.230000,2.480000,2.190000,2.470000,2.470000,1540200
2023-06-07,2.490000,2.590000,2.370000,2.370000,2.370000,1932300
2023-06-08,2.370000,2.470000,2.320000,2.450000,2.450000,1277100
2023-06-09,2.450000,2.450000,2.310000,2.400000,2.400000,1129800
2023-06-12,2.400000,2.530000,2.370000,2.490000,2.490000,857900
2023-06-13,2.520000,2.600000,2.510000,2.560000,2.560000,812000
2023-06-14,2.560000,2.640000,2.420000,2.450000,2.450000,996900
2023-06-15,2.500000,2.620000,2.440000,2.520000,2.520000,1232100
2023-06-16,2.580000,2.580000,2.400000,2.470000,2.470000,1951700
2023-06-20,2.550000,2.730000,2.500000,2.600000,2.600000,2852700
2023-06-21,2.580000,2.610000,2.470000,2.500000,2.500000,1174500
2023-06-22,2.470000,2.520000,2.380000,2.520000,2.520000,1158000
2023-06-23,2.450000,2.630000,2.400000,2.410000,2.410000,14123500
2023-06-26,2.430000,2.580000,2.380000,2.380000,2.380000,1775500
2023-06-27,2.380000,2.430000,2.370000,2.370000,2.370000,1560700
2023-06-28,2.440000,2.810000,2.430000,2.810000,2.810000,3846900
2023-06-29,2.810000,2.940000,2.760000,2.880000,2.880000,3238800
2023-06-30,2.900000,2.930000,2.790000,2.890000,2.890000,1505900
2023-07-03,2.920000,3.150000,2.900000,3.100000,3.100000,1435200
2023-07-05,3.140000,3.200000,3.040000,3.150000,3.150000,1714500
2023-07-06,3.090000,3.140000,2.910000,3.030000,3.030000,1659500
2023-07-07,3.040000,3.330000,3.020000,3.310000,3.310000,1751600
2023-07-10,3.290000,3.550000,3.240000,3.500000,3.500000,2052900
2023-07-11,3.550000,3.680000,3.430000,3.600000,3.600000,3467700
2023-07-12,3.690000,3.820000,3.620000,3.730000,3.730000,1801700
2023-07-13,3.730000,3.770000,3.540000,3.580000,3.580000,1518000
2023-07-14,3.630000,3.660000,3.430000,3.460000,3.460000,1158800
2023-07-17,3.570000,3.880000,3.510000,3.800000,3.800000,1804000
2023-07-18,3.810000,4.060000,3.800000,3.850000,3.850000,1591500
2023-07-19,3.840000,3.900000,3.710000,3.740000,3.740000,909900
2023-07-20,3.740000,3.820000,3.650000,3.800000,3.800000,840900
2023-07-21,3.840000,3.850000,3.650000,3.700000,3.700000,648800
2023-07-24,3.700000,3.840000,3.660000,3.820000,3.820000,940300
2023-07-25,3.840000,3.900000,3.780000,3.880000,3.880000,1174500
2023-07-26,3.870000,3.940000,3.740000,3.920000,3.920000,1024300
2023-07-27,3.950000,4.010000,3.850000,3.940000,3.940000,1170400
2023-07-28,4.000000,4.140000,3.870000,4.010000,4.010000,1244500
2023-07-31,4.070000,4.210000,4.000000,4.020000,4.020000,1015000
2023-08-01,3.960000,3.980000,3.870000,3.930000,3.930000,863600
2023-08-02,3.860000,3.880000,3.720000,3.740000,3.740000,906800
2023-08-03,3.710000,3.960000,3.710000,3.870000,3.870000,628200
2023-08-04,3.850000,3.950000,3.790000,3.900000,3.900000,850100
2023-08-07,3.790000,3.890000,3.550000,3.710000,3.710000,2108700
2023-08-08,3.970000,4.430000,3.780000,4.360000,4.360000,3751900
2023-08-09,4.380000,4.450000,4.140000,4.200000,4.200000,1766800
2023-08-10,4.330000,4.460000,4.210000,4.340000,4.340000,1619900
2023-08-11,4.300000,4.350000,4.220000,4.260000,4.260000,718500
2023-08-14,4.250000,4.300000,3.970000,4.030000,4.030000,1063500
2023-08-15,3.980000,4.020000,3.750000,3.810000,3.810000,1160500
2023-08-16,3.830000,3.860000,3.660000,3.750000,3.750000,891400
2023-08-17,3.750000,3.800000,3.700000,3.730000,3.730000,550200
2023-08-18,3.600000,3.720000,3.600000,3.630000,3.630000,1147400
2023-08-21,3.680000,3.710000,3.600000,3.630000,3.630000,1014600
2023-08-22,3.640000,3.750000,3.600000,3.680000,3.680000,644400
2023-08-23,3.680000,3.820000,3.600000,3.780000,3.780000,719100
2023-08-24,3.770000,3.770000,3.540000,3.540000,3.540000,726900
2023-08-25,3.540000,3.630000,3.490000,3.550000,3.550000,612300
2023-08-28,3.580000,3.650000,3.390000,3.420000,3.420000,954600
2023-08-29,3.430000,3.590000,3.340000,3.550000,3.550000,646700
2023-08-30,3.570000,3.640000,3.480000,3.610000,3.610000,595400
2023-08-31,3.610000,3.700000,3.560000,3.610000,3.610000,469400
2023-09-01,3.650000,3.800000,3.620000,3.680000,3.680000,649400
2023-09-05,3.630000,3.720000,3.590000,3.690000,3.690000,447800
2023-09-06,3.680000,3.740000,3.600000,3.710000,3.710000,721400
2023-09-07,3.680000,3.820000,3.610000,3.790000,3.790000,613200
2023-09-08,3.800000,3.800000,3.700000,3.730000,3.730000,500700
2023-09-11,3.790000,3.980000,3.770000,3.850000,3.850000,834800
2023-09-12,3.870000,4.110000,3.840000,4.040000,4.040000,835900
2023-09-13,4.110000,4.110000,3.940000,4.070000,4.070000,768500
2023-09-14,4.080000,4.300000,4.080000,4.230000,4.230000,925600
2023-09-15,4.240000,4.460000,4.180000,4.390000,4.390000,1763500
2023-09-18,4.380000,4.400000,4.220000,4.220000,4.220000,587300
2023-09-19,4.210000,4.380000,4.160000,4.340000,4.340000,744700
2023-09-20,4.340000,4.540000,4.320000,4.360000,4.360000,1402300
2023-09-21,4.290000,4.510000,4.160000,4.420000,4.420000,1103000
2023-09-22,4.430000,4.510000,4.310000,4.370000,4.370000,844000
2023-09-25,4.360000,4.520000,4.310000,4.480000,4.480000,1104000
2023-09-26,4.460000,4.470000,4.300000,4.320000,4.320000,864300
2023-09-27,4.340000,4.370000,4.140000,4.320000,4.320000,1445100
2023-09-28,4.290000,4.460000,4.200000,4.420000,4.420000,944100
2023-09-29,4.490000,4.580000,4.390000,4.420000,4.420000,1501100
2023-10-02,4.450000,4.480000,4.140000,4.200000,4.200000,1492300
2023-10-03,4.200000,4.210000,4.010000,4.050000,4.050000,743900
2023-10-04,4.030000,4.160000,3.930000,4.110000,4.110000,780600
2023-10-05,4.100000,4.120000,3.910000,3.950000,3.950000,564200
2023-10-06,3.900000,4.030000,3.830000,3.980000,3.980000,476700
2023-10-09,3.980000,4.150000,3.860000,4.140000,4.140000,716400
2023-10-10,4.160000,4.290000,4.160000,4.250000,4.250000,900700
2023-10-11,4.270000,4.330000,4.210000,4.230000,4.230000,580900
