Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,44.500000,44.590000,43.676998,43.889999,43.889999,165300
2022-12-28,43.689999,44.529999,43.689999,43.849998,43.849998,193500
2022-12-29,44.380001,45.919998,44.250000,45.790001,45.790001,144000
2022-12-30,45.279999,45.669998,45.020000,45.470001,45.470001,132000
2023-01-03,46.189999,47.340000,45.955002,46.349998,46.349998,395500
2023-01-04,46.980000,47.430000,46.348000,47.139999,47.139999,322100
2023-01-05,46.619999,46.950001,45.570000,45.599998,45.599998,187200
2023-01-06,46.139999,47.099998,45.049999,46.950001,46.950001,138900
2023-01-09,47.860001,49.110001,47.450001,48.160000,48.160000,227200
2023-01-10,47.970001,48.919998,47.959999,48.900002,48.900002,119200
2023-01-11,48.950001,49.540001,48.380001,49.500000,49.500000,127400
2023-01-12,49.630001,50.090000,48.540001,49.849998,49.849998,194200
2023-01-13,49.950001,50.290001,49.290001,49.779999,49.779999,151400
2023-01-17,49.650002,50.310001,49.615002,50.180000,50.180000,221000
2023-01-18,50.580002,52.139999,50.459999,50.580002,50.580002,359300
2023-01-19,50.099998,51.484001,49.779999,51.330002,51.330002,254000
2023-01-20,51.790001,52.189999,49.974998,51.930000,51.930000,208000
2023-01-23,52.119999,53.540001,51.884998,53.529999,53.529999,262600
2023-01-24,53.040001,54.009998,52.000000,52.419998,52.419998,542000
2023-01-25,51.669998,52.764999,50.889999,52.560001,52.560001,153300
2023-01-26,53.070000,53.299999,51.919998,52.650002,52.650002,140900
2023-01-27,52.299999,53.509998,51.825001,53.259998,53.259998,252400
2023-01-30,52.759998,53.259998,52.160000,52.279999,52.279999,88000
2023-01-31,52.459999,53.150002,52.410000,53.099998,53.099998,186600
2023-02-01,53.349998,55.244999,53.349998,54.970001,54.970001,263000
2023-02-02,55.029999,59.889999,55.029999,59.110001,59.110001,833200
2023-02-03,57.639999,58.564999,56.939999,57.770000,57.770000,304500
2023-02-06,57.139999,57.740002,56.900002,57.070000,57.070000,187600
2023-02-07,56.790001,58.270000,56.639999,58.119999,58.119999,126500
2023-02-08,57.939999,58.459999,56.490002,56.709999,56.709999,234200
2023-02-09,57.470001,57.980000,56.419998,56.639999,56.639999,115700
2023-02-10,56.000000,57.075001,55.820000,55.820000,55.820000,239500
2023-02-13,56.070000,57.270000,56.020000,56.990002,56.990002,229000
