Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.040000,0.060000,0.040000,0.060000,0.060000,44600
2022-12-28,0.045000,0.060000,0.045000,0.060000,0.060000,21100
2022-12-29,0.046000,0.060000,0.030000,0.059000,0.059000,88000
2022-12-30,0.040000,0.065000,0.030000,0.059000,0.059000,16600
2023-01-03,0.063000,0.063000,0.042000,0.048000,0.048000,41700
2023-01-04,0.056000,0.065000,0.054000,0.060000,0.060000,52400
2023-01-05,0.057000,0.061000,0.046000,0.060000,0.060000,8200
2023-01-06,0.060000,0.065000,0.057000,0.057000,0.057000,4400
2023-01-09,0.055000,0.065000,0.055000,0.062000,0.062000,53200
2023-01-10,0.050000,0.065000,0.049000,0.062000,0.062000,42900
2023-01-11,0.046000,0.065000,0.046000,0.065000,0.065000,1800
2023-01-12,0.046000,0.063000,0.039000,0.063000,0.063000,262800
2023-01-13,0.058000,0.060000,0.052000,0.060000,0.060000,7100
2023-01-17,0.059000,0.059000,0.059000,0.059000,0.059000,2000
2023-01-18,0.050000,0.059000,0.042000,0.059000,0.059000,2700
2023-01-19,0.048000,0.059000,0.048000,0.059000,0.059000,9900
2023-01-20,0.059000,0.059000,0.056000,0.059000,0.059000,12600
2023-01-23,0.065000,0.070000,0.063000,0.070000,0.070000,6500
2023-01-24,0.070000,0.070000,0.070000,0.070000,0.070000,1100
2023-01-25,0.075000,0.075000,0.075000,0.075000,0.075000,300
2023-01-26,0.098000,0.098000,0.045000,0.065000,0.065000,49900
2023-01-27,0.090000,0.090000,0.055000,0.056000,0.056000,26400
2023-01-30,0.056000,0.056000,0.056000,0.056000,0.056000,200
2023-01-31,0.050000,0.050000,0.050000,0.050000,0.050000,254700
2023-02-01,0.050000,0.051000,0.046000,0.051000,0.051000,1100
2023-02-02,0.050000,0.055000,0.050000,0.055000,0.055000,9500
2023-02-03,0.055000,0.055000,0.055000,0.055000,0.055000,0
2023-02-06,0.050000,0.050000,0.045000,0.045000,0.045000,7300
2023-02-07,0.059000,0.059000,0.050000,0.050000,0.050000,8300
2023-02-08,0.050000,0.050000,0.042000,0.048000,0.048000,12800
2023-02-09,0.040000,0.050000,0.040000,0.050000,0.050000,16300
2023-02-10,0.040000,0.048000,0.040000,0.048000,0.048000,29200
2023-02-13,0.048000,0.051000,0.048000,0.051000,0.051000,61100
2023-02-14,0.043000,0.060000,0.042000,0.057000,0.057000,5600
2023-02-15,0.053000,0.057000,0.050000,0.057000,0.057000,2100
2023-02-16,0.057000,0.057000,0.057000,0.057000,0.057000,0
2023-02-17,0.050000,0.057000,0.050000,0.057000,0.057000,300
2023-02-21,0.044000,0.044000,0.044000,0.044000,0.044000,4800
2023-02-22,0.054000,0.054000,0.046000,0.054000,0.054000,1200
2023-02-23,0.054000,0.054000,0.054000,0.054000,0.054000,0
2023-02-24,0.060000,0.075000,0.056000,0.059000,0.059000,125200
