Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,11.100000,11.340000,10.345000,10.740000,10.740000,369200
2022-12-28,10.700000,11.460000,10.700000,11.150000,11.150000,195200
2022-12-29,11.070000,11.655000,10.950000,11.460000,11.460000,148100
2022-12-30,11.410000,11.665000,10.930000,11.270000,11.270000,302900
2023-01-03,11.220000,11.715000,10.750000,11.200000,11.200000,341100
2023-01-04,11.350000,11.890000,10.750000,11.710000,11.710000,99600
2023-01-05,11.830000,11.950000,11.150000,11.700000,11.700000,89300
2023-01-06,11.770000,11.770000,10.880000,10.950000,10.950000,260300
2023-01-09,11.020000,11.350000,10.020000,10.480000,10.480000,1059200
2023-01-10,10.450000,10.915000,8.710000,9.470000,9.470000,429500
2023-01-11,9.370000,9.640000,8.640000,8.910000,8.910000,413000
2023-01-12,8.840000,9.270000,8.230000,9.180000,9.180000,375100
2023-01-13,9.130000,10.845000,9.130000,10.010000,10.010000,211800
2023-01-17,9.990000,9.990000,9.190000,9.600000,9.600000,176200
2023-01-18,9.680000,9.839000,9.120000,9.470000,9.470000,255500
2023-01-19,9.440000,9.645000,9.240000,9.270000,9.270000,174100
2023-01-20,9.480000,9.480000,8.860000,9.030000,9.030000,115000
2023-01-23,9.030000,9.160000,8.880000,9.110000,9.110000,77800
2023-01-24,9.080000,9.417000,8.930000,9.340000,9.340000,100400
2023-01-25,9.170000,9.780000,9.080000,9.550000,9.550000,147300
2023-01-26,9.750000,9.890000,9.230000,9.400000,9.400000,122100
2023-01-27,9.340000,9.600000,9.100000,9.180000,9.180000,126800
2023-01-30,9.160000,9.360000,8.850000,9.280000,9.280000,101000
2023-01-31,9.280000,9.690000,9.140000,9.300000,9.300000,113200
2023-02-01,9.350000,9.640000,8.680000,9.160000,9.160000,156600
2023-02-02,9.160000,9.350000,8.920000,9.230000,9.230000,87400
2023-02-03,9.090000,9.160000,8.630000,8.720000,8.720000,189200
2023-02-06,8.710000,9.740000,8.710000,9.310000,9.310000,144900
2023-02-07,9.270000,9.309000,8.810000,8.960000,8.960000,69200
2023-02-08,8.940000,8.960000,8.260000,8.320000,8.320000,303500
2023-02-09,8.370000,8.520000,7.880000,8.130000,8.130000,134500
2023-02-10,8.080000,8.240000,7.740000,8.170000,8.170000,182700
2023-02-13,8.240000,8.280000,7.800000,8.120000,8.120000,110900
2023-02-14,8.120000,8.260000,7.810000,8.050000,8.050000,82500
2023-02-15,7.920000,7.990000,7.610000,7.760000,7.760000,129300
2023-02-16,7.760000,8.000000,7.270000,7.470000,7.470000,133300
2023-02-17,7.600000,7.700000,7.370000,7.640000,7.640000,120900
2023-02-21,7.590000,7.620000,7.085000,7.110000,7.110000,216600
2023-02-22,7.090000,7.220000,6.930000,7.150000,7.150000,98200
2023-02-23,7.150000,7.270000,6.840000,6.970000,6.970000,163300
2023-02-24,6.870000,6.950000,6.455000,6.560000,6.560000,189400
2023-02-27,6.680000,6.830000,6.560000,6.680000,6.680000,123000
2023-02-28,6.770000,6.900000,6.510000,6.620000,6.620000,151700
2023-03-01,6.740000,6.810000,6.470000,6.530000,6.530000,132300
2023-03-02,6.450000,6.500000,6.285000,6.470000,6.470000,325600
2023-03-03,6.510000,6.706000,6.460000,6.520000,6.520000,158800
2023-03-06,6.500000,6.590000,6.280000,6.490000,6.490000,127000
2023-03-07,6.450000,6.590000,6.370000,6.390000,6.390000,105900
2023-03-08,6.400000,6.440000,6.140000,6.240000,6.240000,133800
2023-03-09,6.300000,6.330000,5.680000,5.870000,5.870000,160300
2023-03-10,5.790000,5.810000,5.095000,5.390000,5.390000,387000
2023-03-13,5.300000,5.990000,5.200000,5.630000,5.630000,746500
2023-03-14,5.740000,5.860000,5.090000,5.250000,5.250000,259500
2023-03-15,5.210000,5.410000,4.690000,5.190000,5.190000,344600
2023-03-16,5.140000,5.170000,4.955000,5.000000,5.000000,375000
2023-03-17,4.950000,5.030000,4.660000,4.770000,4.770000,401000
2023-03-20,4.790000,4.855000,4.520000,4.610000,4.610000,303500
2023-03-21,4.730000,5.069000,4.700000,4.810000,4.810000,1074000
2023-03-22,4.850000,5.000000,4.675000,4.800000,4.800000,247600
2023-03-23,4.840000,4.910000,4.670000,4.870000,4.870000,335300
2023-03-24,4.830000,4.930000,4.570000,4.660000,4.660000,229200
2023-03-27,4.670000,5.040000,4.610000,4.990000,4.990000,209700
2023-03-28,4.960000,5.080000,4.800000,4.870000,4.870000,213700
2023-03-29,4.900000,5.060000,4.830000,5.000000,5.000000,231400
2023-03-30,5.030000,5.220000,4.440000,4.560000,4.560000,185300
2023-03-31,4.580000,4.700000,4.493000,4.520000,4.520000,168400
2023-04-03,4.590000,4.730000,4.430000,4.610000,4.610000,206000
2023-04-04,4.610000,4.610000,4.230000,4.370000,4.370000,195200
2023-04-05,4.380000,4.630000,4.300000,4.380000,4.380000,137500
2023-04-06,4.380000,4.540000,4.300000,4.450000,4.450000,86600
2023-04-10,4.420000,4.540000,4.270000,4.440000,4.440000,100000
2023-04-11,4.440000,4.690000,4.320000,4.630000,4.630000,120500
2023-04-12,4.680000,4.960000,4.600000,4.640000,4.640000,156100
2023-04-13,4.650000,5.030000,4.600000,4.950000,4.950000,289300
2023-04-14,4.970000,5.020000,4.760000,4.800000,4.800000,85600
2023-04-17,4.800000,4.920000,4.480000,4.850000,4.850000,249200
2023-04-18,4.880000,5.155000,4.520000,4.660000,4.660000,109800
2023-04-19,4.570000,5.023000,4.570000,4.960000,4.960000,1201800
2023-04-20,4.960000,5.040000,4.730000,5.000000,5.000000,1259900
2023-04-21,4.980000,6.340000,4.980000,6.000000,6.000000,1285800
2023-04-24,6.030000,6.180000,5.220000,5.470000,5.470000,566200
2023-04-25,5.450000,6.150000,5.435000,5.490000,5.490000,479700
2023-04-26,5.540000,5.877000,5.120000,5.660000,5.660000,290900
2023-04-27,5.680000,5.810000,5.480000,5.580000,5.580000,167800
2023-04-28,5.580000,6.030000,5.359000,5.940000,5.940000,212500
2023-05-01,6.060000,6.590000,5.915000,6.490000,6.490000,422400
2023-05-02,6.590000,6.712000,5.760000,5.785000,5.785000,332200
2023-05-03,5.810000,6.150000,5.748000,6.120000,6.120000,285800
2023-05-04,6.100000,6.450000,5.970000,6.350000,6.350000,257700
2023-05-05,6.410000,6.680000,6.295000,6.370000,6.370000,208800
2023-05-08,6.400000,6.400000,5.980000,6.130000,6.130000,273100
2023-05-09,5.950000,6.560000,5.910000,6.520000,6.520000,197400
2023-05-10,6.600000,6.720000,6.270000,6.490000,6.490000,247700
2023-05-11,6.480000,6.690000,6.170000,6.270000,6.270000,197500
2023-05-12,6.490000,6.980000,6.410000,6.530000,6.530000,415800
2023-05-15,6.600000,6.815000,6.460000,6.460000,6.460000,187800
2023-05-16,6.380000,6.380000,5.970000,6.035000,6.035000,220800
2023-05-17,6.060000,6.375000,5.950000,6.310000,6.310000,104000
2023-05-18,6.250000,6.340000,5.760000,6.010000,6.010000,155700
2023-05-19,6.090000,6.517000,6.040000,6.390000,6.390000,165600
2023-05-22,6.410000,6.780000,6.300000,6.500000,6.500000,170400
2023-05-23,6.500000,7.280000,6.500000,6.810000,6.810000,223200
2023-05-24,6.760000,7.020000,6.350000,6.660000,6.660000,210900
2023-05-25,6.500000,6.710000,6.470000,6.510000,6.510000,251400
2023-05-26,6.500000,6.890000,6.485000,6.810000,6.810000,209600
2023-05-30,6.810000,7.120000,6.600000,6.680000,6.680000,171300
2023-05-31,6.700000,6.790000,6.615000,6.670000,6.670000,653300
2023-06-01,6.710000,7.640000,6.710000,7.380000,7.380000,440400
2023-06-02,7.610000,8.480000,7.455000,8.320000,8.320000,305300
2023-06-05,8.250000,8.616000,8.022000,8.430000,8.430000,267800
2023-06-06,8.430000,8.940000,8.170000,8.350000,8.350000,300100
2023-06-07,8.380000,8.400000,8.020000,8.220000,8.220000,134700
2023-06-08,8.220000,8.220000,7.860000,7.940000,7.940000,136400
2023-06-09,8.000000,8.160000,7.860000,8.000000,8.000000,175100
2023-06-12,7.730000,9.000000,7.720000,8.750000,8.750000,314200
2023-06-13,8.940000,9.610000,8.760000,9.350000,9.350000,250900
