Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.470000,1.490000,1.430000,1.450000,1.450000,3000
2022-12-28,1.500000,1.500000,1.450000,1.460000,1.460000,37300
2022-12-29,1.470000,1.520000,1.450000,1.500000,1.500000,48000
2022-12-30,1.510000,1.550000,1.480000,1.500000,1.500000,23200
2023-01-03,1.500000,1.510000,1.490000,1.500000,1.500000,1200
2023-01-04,1.500000,1.720000,1.500000,1.670000,1.670000,9500
2023-01-05,1.580000,1.610000,1.580000,1.600000,1.600000,1600
2023-01-06,1.650000,1.650000,1.620000,1.630000,1.630000,4100
2023-01-09,1.710000,1.710000,1.660000,1.690000,1.690000,8200
2023-01-10,1.690000,1.810000,1.640000,1.740000,1.740000,36800
2023-01-11,1.750000,1.850000,1.750000,1.830000,1.830000,11400
2023-01-12,1.900000,1.900000,1.800000,1.840000,1.840000,66000
2023-01-13,1.810000,1.810000,1.760000,1.780000,1.780000,14200
2023-01-17,1.790000,1.820000,1.760000,1.760000,1.760000,11100
2023-01-18,1.780000,1.790000,1.750000,1.750000,1.750000,72700
2023-01-19,1.750000,1.760000,1.750000,1.760000,1.760000,2300
2023-01-20,1.740000,1.770000,1.740000,1.770000,1.770000,16800
2023-01-23,1.760000,1.800000,1.730000,1.770000,1.770000,16000
2023-01-24,1.770000,1.780000,1.740000,1.740000,1.740000,13600
2023-01-25,1.750000,1.750000,1.630000,1.730000,1.730000,41800
2023-01-26,1.730000,1.800000,1.730000,1.790000,1.790000,10500
2023-01-27,1.790000,1.800000,1.760000,1.780000,1.780000,14700
2023-01-30,1.890000,1.900000,1.780000,1.780000,1.780000,21600
2023-01-31,1.790000,1.810000,1.770000,1.780000,1.780000,13900
2023-02-01,1.780000,1.780000,1.720000,1.770000,1.770000,24100
2023-02-02,1.810000,1.810000,1.720000,1.720000,1.720000,14900
2023-02-03,1.740000,1.770000,1.740000,1.760000,1.760000,14100
2023-02-06,1.790000,1.840000,1.750000,1.770000,1.770000,73000
2023-02-07,1.790000,1.820000,1.750000,1.750000,1.750000,18400
2023-02-08,1.760000,1.810000,1.740000,1.810000,1.810000,33400
2023-02-09,1.840000,1.860000,1.760000,1.780000,1.780000,62100
2023-02-10,1.800000,1.810000,1.730000,1.770000,1.770000,59800
2023-02-13,1.790000,1.830000,1.730000,1.750000,1.750000,73100
2023-02-14,1.780000,1.780000,1.690000,1.710000,1.710000,16900
2023-02-15,1.700000,1.730000,1.690000,1.690000,1.690000,24500
2023-02-16,1.690000,1.720000,1.660000,1.710000,1.710000,12300
2023-02-17,1.700000,1.710000,1.700000,1.710000,1.710000,6700
2023-02-21,1.670000,1.790000,1.670000,1.730000,1.730000,24800
2023-02-22,1.780000,1.850000,1.750000,1.780000,1.780000,26000
2023-02-23,1.750000,1.860000,1.750000,1.820000,1.820000,10500
2023-02-24,1.790000,1.810000,1.770000,1.770000,1.770000,2200
2023-02-27,1.760000,1.800000,1.740000,1.760000,1.760000,12700
2023-02-28,1.760000,1.830000,1.760000,1.800000,1.800000,4800
2023-03-01,1.810000,1.820000,1.780000,1.780000,1.780000,12000
2023-03-02,1.780000,1.830000,1.780000,1.810000,1.810000,16500
2023-03-03,1.800000,1.830000,1.800000,1.810000,1.810000,7000
2023-03-06,1.830000,1.850000,1.790000,1.790000,1.790000,14200
2023-03-07,1.790000,1.850000,1.780000,1.800000,1.800000,15300
2023-03-08,1.800000,1.950000,1.800000,1.920000,1.920000,34800
2023-03-09,1.930000,2.020000,1.890000,2.000000,2.000000,67200
2023-03-10,1.960000,2.020000,1.950000,2.010000,2.010000,33500
2023-03-13,1.980000,2.000000,1.900000,1.960000,1.960000,8100
