Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,9.690000,9.750000,8.745000,8.970000,8.970000,48633
2022-12-28,9.225000,9.225000,7.350000,7.950000,7.950000,116673
2022-12-29,8.400000,8.400000,7.650000,8.145000,8.145000,61800
2022-12-30,8.250000,8.760000,8.145000,8.475000,8.475000,32107
2023-01-03,8.610000,9.000000,8.415000,8.700000,8.700000,26813
2023-01-04,9.000000,9.000000,8.190000,8.700000,8.700000,35280
2023-01-05,8.745000,8.850000,8.400000,8.805000,8.805000,20567
2023-01-06,8.775000,9.015000,8.475000,8.850000,8.850000,70920
2023-01-09,8.940000,9.090000,8.565000,8.715000,8.715000,28727
2023-01-10,8.850000,8.850000,8.010000,8.265000,8.265000,21780
2023-01-11,8.460000,8.700000,8.100000,8.415000,8.415000,15447
2023-01-12,8.415000,8.700000,8.130000,8.535000,8.535000,21320
2023-01-13,8.550000,9.210000,8.550000,8.895000,8.895000,20613
2023-01-17,9.000000,9.450000,8.925000,9.435000,9.435000,25140
2023-01-18,9.435000,9.495000,8.700000,9.270000,9.270000,20767
2023-01-19,9.000000,9.150000,8.850000,8.865000,8.865000,7607
2023-01-20,8.925000,9.150000,8.565000,8.760000,8.760000,11400
2023-01-23,9.000000,9.405000,9.000000,9.240000,9.240000,7507
2023-01-24,9.240000,9.600000,9.120000,9.465000,9.465000,20827
2023-01-25,9.150000,9.600000,9.000000,9.300000,9.300000,7407
2023-01-26,9.300000,10.200000,9.300000,10.185000,10.185000,18347
2023-01-27,10.650000,10.740000,9.750000,9.900000,9.900000,20167
2023-01-30,9.870000,10.200000,9.870000,9.915000,9.915000,9313
2023-01-31,9.915000,10.500000,9.795000,9.960000,9.960000,13340
2023-02-01,10.350000,10.350000,9.900000,10.200000,10.200000,10453
2023-02-02,10.200000,10.935000,10.200000,10.440000,10.440000,19120
2023-02-03,10.425000,11.055000,10.335000,10.650000,10.650000,18493
2023-02-06,10.800000,10.800000,9.900000,10.200000,10.200000,11753
2023-02-07,10.125000,10.200000,9.600000,10.170000,10.170000,10313
2023-02-08,10.125000,10.170000,9.450000,9.630000,9.630000,16727
2023-02-09,9.600000,9.600000,8.985000,9.285000,9.285000,20280
2023-02-10,9.450000,9.450000,8.940000,9.150000,9.150000,9867
2023-02-13,9.015000,9.300000,8.715000,9.015000,9.015000,11800
2023-02-14,9.105000,9.300000,8.700000,9.285000,9.285000,7100
2023-02-15,8.700000,9.285000,8.700000,8.790000,8.790000,12980
2023-02-16,8.790000,9.000000,8.355000,8.535000,8.535000,8020
2023-02-17,8.850000,9.000000,8.400000,8.550000,8.550000,8647
2023-02-21,8.700000,8.700000,8.340000,8.400000,8.400000,7253
2023-02-22,8.400000,8.490000,8.175000,8.265000,8.265000,6527
2023-02-23,8.250000,8.700000,7.950000,8.070000,8.070000,8547
2023-02-24,7.830000,8.175000,7.500000,7.515000,7.515000,14453
2023-02-27,7.950000,8.085000,7.575000,8.085000,8.085000,6360
2023-02-28,8.025000,8.085000,7.950000,8.055000,8.055000,6100
2023-03-01,8.085000,8.670000,8.070000,8.280000,8.280000,10120
2023-03-02,8.100000,8.400000,7.950000,8.130000,8.130000,3193
2023-03-03,8.100000,8.400000,7.875000,8.400000,8.400000,3607
2023-03-06,8.250000,8.250000,7.800000,8.100000,8.100000,6367
2023-03-07,8.235000,8.235000,7.680000,8.175000,8.175000,4840
2023-03-08,8.175000,8.250000,7.800000,8.055000,8.055000,6273
2023-03-09,7.650000,8.250000,7.650000,7.815000,7.815000,6120
2023-03-10,7.560000,8.100000,7.500000,7.515000,7.515000,6160
2023-03-13,7.650000,7.905000,7.365000,7.665000,7.665000,7687
2023-03-14,7.425000,7.620000,7.200000,7.200000,7.200000,5233
2023-03-15,6.990000,7.875000,6.990000,7.185000,7.185000,11993
2023-03-16,7.500000,7.500000,6.765000,6.840000,6.840000,16633
2023-03-17,6.750000,6.855000,5.445000,6.000000,6.000000,30100
2023-03-20,4.665000,6.015000,4.665000,5.550000,5.550000,36793
2023-03-21,5.700000,6.615000,5.700000,6.300000,6.300000,24267
2023-03-22,6.870000,6.915000,6.375000,6.555000,6.555000,58627
2023-03-23,6.540000,6.585000,6.150000,6.450000,6.450000,9233
2023-03-24,6.450000,6.600000,6.210000,6.600000,6.600000,6800
2023-03-27,6.150000,6.750000,6.075000,6.750000,6.750000,5967
2023-03-28,6.750000,6.750000,6.300000,6.525000,6.525000,5427
2023-03-29,6.600000,6.750000,6.420000,6.570000,6.570000,6007
2023-03-30,6.750000,6.900000,5.550000,6.450000,6.450000,8460
2023-03-31,6.300000,6.660000,6.120000,6.375000,6.375000,9580
2023-04-03,6.600000,8.220000,6.165000,7.350000,7.350000,52393
2023-04-04,7.500000,7.575000,7.050000,7.470000,7.470000,12240
2023-04-05,7.455000,7.530000,7.200000,7.350000,7.350000,6913
2023-04-06,7.455000,7.605000,7.260000,7.455000,7.455000,5727
2023-04-10,7.500000,7.605000,7.050000,7.575000,7.575000,4440
2023-04-11,7.500000,7.755000,7.500000,7.725000,7.725000,5067
2023-04-12,7.725000,8.805000,7.725000,8.550000,8.550000,23153
2023-04-13,8.805000,8.805000,8.430000,8.700000,8.700000,9387
2023-04-14,8.805000,8.970000,8.775000,8.805000,8.805000,7453
2023-04-17,8.805000,9.000000,8.760000,8.850000,8.850000,6707
2023-04-18,8.715000,9.000000,8.250000,8.415000,8.415000,7053
2023-04-19,8.370000,10.500000,8.370000,9.825000,9.825000,41200
2023-04-20,9.900000,10.260000,8.805000,8.850000,8.850000,12653
2023-04-21,9.000000,9.450000,8.850000,9.000000,9.000000,11887
