Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,29.870001,29.969999,28.790001,29.139999,29.139999,117800
2022-12-28,29.049999,29.700001,28.330000,28.709999,28.709999,131900
2022-12-29,28.990000,30.299999,28.990000,29.719999,29.719999,112100
2022-12-30,29.379999,29.780001,29.080000,29.590000,29.590000,115100
2023-01-03,29.830000,30.620001,27.840000,28.260000,28.260000,247700
2023-01-04,28.760000,29.170000,27.959999,28.700001,28.700001,195700
2023-01-05,28.440001,28.610001,27.590000,27.840000,27.840000,227300
2023-01-06,28.059999,28.770000,27.549999,28.350000,28.350000,135500
2023-01-09,28.780001,30.450001,28.780001,30.139999,30.139999,183500
2023-01-10,29.990000,31.440001,29.990000,31.299999,31.299999,175100
2023-01-11,31.270000,33.299999,31.270000,33.299999,33.299999,222000
2023-01-12,33.389999,35.330002,32.910000,35.240002,35.240002,311700
2023-01-13,34.830002,36.000000,34.639999,35.900002,35.900002,248300
2023-01-17,35.490002,36.369999,35.029999,35.099998,35.099998,177800
2023-01-18,35.380001,36.250000,34.230000,34.520000,34.520000,163500
2023-01-19,34.130001,34.570000,33.189999,33.330002,33.330002,143400
2023-01-20,33.970001,34.520000,33.509998,34.020000,34.020000,116000
2023-01-23,34.080002,34.349998,33.110001,33.750000,33.750000,106200
2023-01-24,33.610001,33.939999,33.180000,33.259998,33.259998,86000
2023-01-25,32.980000,33.669998,32.500000,33.540001,33.540001,72800
2023-01-26,33.939999,34.770000,32.049999,33.610001,33.610001,80800
2023-01-27,33.549999,35.419998,33.189999,34.790001,34.790001,114400
2023-01-30,34.450001,34.759998,33.599998,34.220001,34.220001,117000
2023-01-31,34.389999,36.529999,34.389999,35.639999,35.639999,181500
2023-02-01,35.630001,36.709999,34.660000,36.270000,36.270000,162200
2023-02-02,36.599998,37.639999,36.310001,36.959999,36.959999,164800
2023-02-03,36.389999,37.299999,36.000000,36.349998,36.349998,183400
2023-02-06,35.990002,36.419998,34.470001,34.919998,34.919998,110000
2023-02-07,34.700001,35.900002,34.330002,35.759998,35.759998,131800
2023-02-08,35.619999,36.520000,34.459999,34.590000,34.590000,105700
2023-02-09,35.169998,35.660000,34.560001,34.930000,34.930000,158800
2023-02-10,34.810001,35.820000,33.279999,34.570000,34.570000,78100
2023-02-13,34.619999,35.009998,34.380001,34.860001,34.860001,119600
2023-02-14,34.520000,35.900002,33.970001,35.099998,35.099998,162100
2023-02-15,34.810001,35.259998,34.240002,35.029999,35.029999,110200
2023-02-16,34.360001,35.439999,33.910000,34.810001,34.810001,104100
2023-02-17,34.709999,35.060001,33.820000,34.459999,34.459999,93400
2023-02-21,33.770000,34.000000,33.090000,33.220001,33.220001,145500
2023-02-22,33.290001,33.820000,32.919998,33.160000,33.160000,157300
2023-02-23,33.349998,34.080002,32.430000,32.650002,32.650002,149800
2023-02-24,34.169998,35.790001,32.700001,35.439999,35.439999,259300
2023-02-27,35.930000,36.880001,34.919998,35.250000,35.250000,202800
2023-02-28,35.130001,36.450001,34.700001,34.900002,34.900002,341100
2023-03-01,35.060001,36.820000,34.830002,36.509998,36.509998,207400
2023-03-02,36.240002,37.919998,35.610001,37.860001,37.860001,203100
2023-03-03,38.070000,38.450001,36.680000,38.029999,38.029999,177500
2023-03-06,38.330002,38.380001,35.990002,36.110001,36.110001,264700
2023-03-07,35.919998,36.250000,35.389999,35.750000,35.750000,162300
2023-03-08,35.810001,37.000000,35.480000,36.869999,36.869999,179600
2023-03-09,36.970001,37.240002,36.209999,36.259998,36.259998,216200
2023-03-10,36.070000,36.459999,34.110001,34.970001,34.970001,222500
2023-03-13,34.520000,35.930000,34.000000,35.320000,35.320000,186200
2023-03-14,36.000000,36.459999,34.990002,35.810001,35.810001,169000
