Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.270000,2.270000,2.050000,2.160000,2.160000,44900
2022-12-28,2.100000,2.150000,2.050000,2.050000,2.050000,9900
2022-12-29,2.070000,2.135000,2.060000,2.100000,2.100000,18800
2022-12-30,2.044000,2.140000,1.980000,2.120000,2.120000,17500
2023-01-03,2.080000,2.140000,2.026000,2.070000,2.070000,4000
2023-01-04,2.070000,2.100000,2.060000,2.090000,2.090000,5300
2023-01-05,2.090000,2.140000,2.080000,2.140000,2.140000,5500
2023-01-06,2.130000,2.250000,2.100000,2.250000,2.250000,9800
2023-01-09,2.300000,2.310000,2.240000,2.240000,2.240000,12500
2023-01-10,2.230000,2.270000,2.184000,2.250000,2.250000,8700
2023-01-11,2.280000,2.300000,2.240000,2.242000,2.242000,9200
2023-01-12,2.190000,2.290000,2.190000,2.267000,2.267000,14300
2023-01-13,2.260000,2.350000,2.260000,2.350000,2.350000,31900
2023-01-17,2.350000,2.560000,2.350000,2.560000,2.560000,127000
2023-01-18,2.565000,2.639000,2.290000,2.290000,2.290000,81300
2023-01-19,2.230000,2.350000,2.200000,2.350000,2.350000,36800
2023-01-20,2.360000,2.360000,2.274000,2.340000,2.340000,6300
2023-01-23,2.280000,2.460000,2.280000,2.370000,2.370000,26700
2023-01-24,2.360000,2.400000,2.340000,2.360000,2.360000,9600
2023-01-25,2.320000,2.489000,2.320000,2.375000,2.375000,14800
2023-01-26,2.389000,2.430000,2.370000,2.370000,2.370000,3600
2023-01-27,2.430000,2.550000,2.260000,2.350000,2.350000,114800
2023-01-30,2.360000,2.380000,2.230000,2.240000,2.240000,38200
2023-01-31,2.350000,2.350000,2.250000,2.250000,2.250000,7700
2023-02-01,2.270000,2.460000,2.270000,2.430000,2.430000,73800
2023-02-02,2.380000,2.540000,2.350000,2.495000,2.495000,85600
2023-02-03,2.510000,2.740000,2.448000,2.700000,2.700000,164900
2023-02-06,2.740000,2.880000,2.670000,2.750000,2.750000,303000
