Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.390000,3.410000,3.250000,3.350000,3.350000,169600
2022-12-28,3.390000,3.420000,3.270000,3.340000,3.340000,179100
2022-12-29,3.360000,3.550000,3.330000,3.520000,3.520000,178400
2022-12-30,3.500000,3.690000,3.480000,3.680000,3.680000,205600
2023-01-03,3.730000,3.840000,3.550000,3.580000,3.580000,132400
2023-01-04,3.630000,3.720000,3.570000,3.670000,3.670000,75000
2023-01-05,3.590000,3.680000,3.530000,3.590000,3.590000,67900
2023-01-06,3.650000,3.810000,3.540000,3.630000,3.630000,116800
2023-01-09,3.700000,4.010000,3.700000,3.870000,3.870000,155100
2023-01-10,3.850000,4.100000,3.850000,4.070000,4.070000,69800
2023-01-11,4.120000,4.510000,4.120000,4.300000,4.300000,175800
2023-01-12,4.380000,4.750000,4.290000,4.730000,4.730000,252600
2023-01-13,4.660000,5.090000,4.660000,4.830000,4.830000,221600
2023-01-17,4.920000,5.170000,4.920000,5.040000,5.040000,132700
2023-01-18,5.070000,5.450000,5.070000,5.350000,5.350000,371600
2023-01-19,5.300000,5.560000,5.260000,5.510000,5.510000,318100
2023-01-20,5.560000,5.640000,5.160000,5.330000,5.330000,178700
2023-01-23,5.310000,5.470000,5.230000,5.450000,5.450000,111000
2023-01-24,5.530000,5.590000,5.330000,5.360000,5.360000,130000
2023-01-25,5.240000,5.280000,5.130000,5.240000,5.240000,110300
2023-01-26,5.510000,5.510000,5.190000,5.330000,5.330000,84300
2023-01-27,5.330000,5.420000,5.200000,5.340000,5.340000,77800
2023-01-30,5.260000,5.260000,5.000000,5.030000,5.030000,118600
2023-01-31,5.050000,5.490000,5.030000,5.430000,5.430000,202100
2023-02-01,5.480000,5.640000,5.210000,5.630000,5.630000,182600
2023-02-02,5.000000,5.550000,5.000000,5.360000,5.360000,444200
2023-02-03,5.250000,5.470000,5.120000,5.310000,5.310000,131400
2023-02-06,5.460000,6.580000,5.460000,6.380000,6.380000,723000
2023-02-07,6.440000,6.570000,6.240000,6.570000,6.570000,343900
2023-02-08,6.600000,6.610000,6.030000,6.050000,6.050000,326300
2023-02-09,6.170000,6.230000,5.770000,5.810000,5.810000,193500
2023-02-10,5.780000,5.850000,5.570000,5.720000,5.720000,236600
2023-02-13,5.720000,5.930000,5.720000,5.830000,5.830000,171400
2023-02-14,5.840000,5.840000,5.500000,5.640000,5.640000,145400
2023-02-15,5.620000,6.100000,5.560000,6.040000,6.040000,220600
2023-02-16,5.930000,6.180000,5.780000,5.880000,5.880000,224400
2023-02-17,5.820000,5.970000,5.690000,5.870000,5.870000,198500
2023-02-21,5.730000,5.780000,5.370000,5.430000,5.430000,234600
2023-02-22,5.430000,5.440000,5.130000,5.150000,5.150000,154200
2023-02-23,5.210000,5.440000,5.150000,5.390000,5.390000,132100
2023-02-24,5.250000,5.310000,5.100000,5.250000,5.250000,152200
2023-02-27,5.250000,5.330000,5.110000,5.270000,5.270000,142200
2023-02-28,5.240000,5.560000,5.240000,5.360000,5.360000,173700
2023-03-01,5.350000,5.560000,5.330000,5.360000,5.360000,117900
2023-03-02,5.290000,5.300000,5.100000,5.240000,5.240000,130500
2023-03-03,5.260000,5.570000,5.250000,5.370000,5.370000,208600
2023-03-06,5.370000,5.430000,5.190000,5.210000,5.210000,141300
2023-03-07,5.200000,5.270000,4.990000,5.090000,5.090000,109800
2023-03-08,5.310000,5.680000,5.290000,5.620000,5.620000,309400
2023-03-09,5.640000,5.700000,5.310000,5.360000,5.360000,235500
2023-03-10,5.390000,5.400000,4.780000,4.880000,4.880000,214400
2023-03-13,4.770000,4.930000,4.720000,4.850000,4.850000,165900
2023-03-14,5.040000,5.100000,4.790000,4.880000,4.880000,150800
2023-03-15,4.730000,4.780000,4.500000,4.590000,4.590000,121400
2023-03-16,4.500000,4.660000,4.420000,4.640000,4.640000,148800
2023-03-17,4.620000,4.620000,4.250000,4.270000,4.270000,343700
2023-03-20,4.240000,4.350000,4.090000,4.100000,4.100000,130900
2023-03-21,4.140000,4.330000,4.140000,4.280000,4.280000,131500
2023-03-22,4.310000,4.430000,4.200000,4.220000,4.220000,95800
2023-03-23,4.250000,4.360000,4.090000,4.130000,4.130000,140100
2023-03-24,4.030000,4.180000,3.940000,4.110000,4.110000,118100
2023-03-27,4.200000,4.270000,4.090000,4.230000,4.230000,70400
2023-03-28,4.200000,4.360000,4.200000,4.250000,4.250000,103500
2023-03-29,4.330000,4.530000,4.230000,4.470000,4.470000,120800
2023-03-30,4.570000,4.870000,4.560000,4.770000,4.770000,464300
2023-03-31,4.830000,4.970000,4.780000,4.910000,4.910000,122900
2023-04-03,4.890000,4.980000,4.550000,4.680000,4.680000,247900
