Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,53.310001,53.930000,52.070000,53.400002,48.484577,46500
2022-12-28,53.240002,53.730000,52.189999,52.189999,47.385956,40700
2022-12-29,52.470001,52.910000,52.090000,52.869999,48.003357,53700
2022-12-30,52.520000,52.709999,51.630001,51.970001,47.186207,58700
2023-01-03,52.000000,52.369999,51.470001,52.230000,47.422276,74400
2023-01-04,52.400002,52.419998,51.250000,51.560001,46.813946,94500
2023-01-05,51.330002,51.790001,50.770000,50.939999,46.251011,81600
2023-01-06,51.259998,52.439999,50.049999,51.889999,47.113571,62700
2023-01-09,52.470001,52.470001,51.130001,51.360001,46.632355,58700
2023-01-10,51.490002,51.790001,51.080002,51.560001,46.813946,68800
2023-01-11,51.680000,52.080002,51.299999,51.820000,47.050011,42300
2023-01-12,52.200001,52.709999,51.919998,52.369999,47.549389,62000
2023-01-13,52.049999,52.860001,52.049999,52.700001,47.849010,43500
2023-01-17,52.990002,52.990002,51.619999,52.330002,47.513065,57800
2023-01-18,52.279999,52.470001,51.599998,51.730000,46.968292,37900
2023-01-19,51.630001,51.880001,50.799999,51.680000,46.922901,72500
2023-01-20,52.040001,52.290001,51.250000,52.130001,47.331478,82500
2023-01-23,52.230000,52.770000,52.189999,52.509998,47.676498,75200
2023-01-24,52.410000,53.709999,52.410000,53.360001,48.448254,56900
2023-01-25,53.240002,54.180000,52.070000,53.779999,48.829594,38700
2023-01-26,53.770000,54.400002,52.720001,54.130001,49.147377,49700
2023-01-27,53.919998,54.340000,53.189999,54.049999,49.074741,59400
2023-01-30,53.939999,55.119999,52.700001,54.040001,49.065670,110300
2023-01-31,54.049999,55.200001,54.049999,55.080002,50.009933,87800
2023-02-01,54.919998,55.869999,53.150002,55.060001,49.991776,120400
2023-02-02,54.919998,55.439999,53.820000,54.630001,49.601357,118100
2023-02-03,54.330002,55.930000,54.209999,55.570000,50.454826,77200
2023-02-06,55.410000,56.250000,55.360001,56.119999,50.954201,60300
2023-02-07,55.990002,56.400002,55.139999,56.160000,50.990520,57400
2023-02-08,55.849998,55.970001,54.650002,54.730000,49.692146,56600
2023-02-09,54.779999,55.040001,52.910000,52.990002,48.112316,57300
2023-02-10,52.950001,54.259998,52.860001,53.680000,48.738800,33100
2023-02-13,53.669998,54.599998,53.169998,54.099998,49.120140,67300
2023-02-14,53.770000,54.849998,53.160000,53.160000,48.266670,63300
2023-02-15,53.000000,54.450001,53.000000,54.450001,49.437920,61800
2023-02-16,53.900002,54.380001,53.700001,54.169998,49.183697,77600
2023-02-17,54.549999,56.099998,54.049999,55.639999,50.518383,76600
2023-02-21,56.849998,56.849998,52.700001,54.490002,49.474243,104400
2023-02-22,54.450001,55.090000,53.689999,54.459999,49.447002,125100
2023-02-23,54.450001,54.970001,53.610001,54.340000,49.338051,70900
2023-02-24,54.209999,54.320000,53.639999,54.020000,49.047508,58100
2023-02-27,54.299999,54.410000,53.520000,53.700001,48.756962,125100
2023-02-28,53.820000,55.200001,53.500000,54.540001,49.519638,85300
2023-03-01,54.160000,54.450001,53.209999,54.130001,49.147377,65100
2023-03-02,53.750000,54.240002,53.459999,54.040001,49.065670,40800
2023-03-03,54.009998,54.009998,53.040001,53.750000,48.802357,50600
