Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,14.480000,14.590000,14.030000,14.470000,13.960533,89400
2022-12-28,14.430000,14.640000,14.240000,14.290000,13.786870,91300
2022-12-29,14.430000,14.920000,14.330000,14.740000,14.221026,92000
2022-12-30,14.650000,14.860000,14.520000,14.680000,14.163139,70200
2023-01-03,14.870000,15.360000,14.720000,15.290000,14.751661,220400
2023-01-04,15.330000,15.720000,14.730000,15.220000,14.684127,86000
2023-01-05,15.120000,15.850000,14.870000,15.020000,14.491168,76100
2023-01-06,15.160000,15.250000,14.660000,14.740000,14.221026,134300
2023-01-09,14.940000,15.480000,14.780000,14.840000,14.317506,142200
2023-01-10,14.840000,14.910000,14.380000,14.500000,13.989477,201000
2023-01-11,14.500000,14.650000,14.400000,14.500000,13.989477,256800
2023-01-12,14.670000,15.470000,14.500000,14.990000,14.462224,177100
2023-01-13,14.900000,15.040000,14.660000,14.860000,14.336801,129400
2023-01-17,14.840000,14.920000,14.590000,14.800000,14.278914,255500
2023-01-18,14.950000,15.220000,14.690000,14.700000,14.182435,198000
2023-01-19,14.670000,14.670000,14.400000,14.410000,13.902646,113300
2023-01-20,14.570000,14.570000,14.310000,14.510000,13.999125,142700
2023-01-23,14.630000,15.010000,14.520000,14.970000,14.442928,201700
2023-01-24,14.970000,15.160000,14.800000,15.000000,14.471872,92500
2023-01-25,14.820000,15.100000,14.610000,14.870000,14.346449,72400
2023-01-26,14.980000,14.990000,14.610000,14.770000,14.249970,110700
2023-01-27,14.710000,14.940000,14.670000,14.680000,14.163139,136500
2023-01-30,14.670000,14.840000,14.560000,14.630000,14.114900,114600
2023-01-31,14.630000,15.330000,14.550000,15.210000,14.674479,369100
2023-02-01,15.200000,15.560000,15.180000,15.550000,15.002507,154100
2023-02-02,15.590000,15.880000,15.550000,15.780000,15.332873,171500
2023-02-03,15.580000,15.730000,15.500000,15.700000,15.255140,115500
2023-02-06,15.580000,15.690000,15.160000,15.240000,14.808174,70900
2023-02-07,15.190000,15.290000,14.950000,15.210000,14.779025,130800
2023-02-08,15.160000,15.430000,14.950000,15.410000,14.973357,183000
2023-02-09,15.550000,15.740000,15.090000,15.180000,14.749875,186400
2023-02-10,15.130000,15.460000,14.900000,14.910000,14.487525,98600
2023-02-13,14.920000,15.100000,14.800000,14.880000,14.458375,133300
2023-02-14,14.760000,14.930000,14.560000,14.630000,14.215459,228200
2023-02-15,14.580000,14.860000,14.470000,14.670000,14.254326,143300
2023-02-16,14.460000,14.720000,14.410000,14.530000,14.118293,112600
2023-02-17,14.560000,14.720000,14.380000,14.680000,14.264042,257000
2023-02-21,14.500000,14.570000,14.030000,14.050000,13.651893,153400
2023-02-22,14.010000,14.130000,13.710000,13.820000,13.428411,131800
2023-02-23,13.830000,13.980000,13.760000,13.920000,13.525578,145400
2023-02-24,13.740000,14.270000,13.460000,13.990000,13.593594,299600
2023-02-27,14.070000,14.570000,12.930000,12.970000,12.602494,172300
2023-02-28,13.030000,13.830000,12.890000,13.540000,13.156343,307400
2023-03-01,13.580000,13.700000,13.380000,13.590000,13.204927,145800
2023-03-02,13.540000,13.990000,13.510000,13.910000,13.515860,148400
2023-03-03,13.980000,14.060000,13.840000,13.970000,13.574161,107800
2023-03-06,14.000000,14.070000,13.650000,13.810000,13.418694,143200
2023-03-07,13.820000,13.910000,13.680000,13.850000,13.457561,103900
2023-03-08,13.830000,13.910000,13.700000,13.760000,13.370111,96600
2023-03-09,13.760000,14.110000,13.550000,13.560000,13.175777,81300
2023-03-10,13.430000,13.590000,13.020000,13.110000,12.738528,124500
2023-03-13,12.850000,13.110000,12.710000,12.750000,12.388728,147600
2023-03-14,13.080000,13.250000,12.700000,12.860000,12.495611,163500
2023-03-15,12.640000,12.930000,12.610000,12.900000,12.534477,126200
2023-03-16,12.730000,12.910000,12.610000,12.830000,12.466461,113500
2023-03-17,12.760000,12.940000,12.670000,12.670000,12.310996,245600
2023-03-20,12.800000,12.800000,12.660000,12.800000,12.437311,107800
2023-03-21,12.830000,12.880000,12.610000,12.770000,12.408162,105900
2023-03-22,12.710000,12.800000,12.420000,12.420000,12.068079,111000
2023-03-23,12.480000,12.480000,12.160000,12.240000,11.893179,149600
2023-03-24,12.150000,12.290000,12.140000,12.220000,11.873746,133900
2023-03-27,12.340000,12.340000,12.120000,12.210000,11.864029,119800
2023-03-28,12.150000,12.160000,11.890000,11.950000,11.611396,149900
2023-03-29,11.980000,12.020000,11.630000,11.930000,11.591964,289600
2023-03-30,12.050000,12.310000,11.930000,12.280000,11.932045,246600
2023-03-31,12.330000,12.640000,12.330000,12.610000,12.252695,243200
2023-04-03,12.580000,12.590000,12.180000,12.340000,11.990347,262500
2023-04-04,12.420000,12.500000,12.280000,12.340000,11.990347,188500
2023-04-05,12.300000,12.600000,12.200000,12.570000,12.213829,111300
2023-04-06,12.570000,12.750000,12.520000,12.600000,12.242979,96200
2023-04-10,12.600000,12.620000,12.460000,12.590000,12.233262,66300
2023-04-11,12.590000,12.750000,12.430000,12.700000,12.340145,119100
2023-04-12,12.850000,12.850000,12.520000,12.530000,12.174962,86100
2023-04-13,12.580000,12.760000,12.540000,12.750000,12.388728,66900
2023-04-14,12.720000,12.830000,12.630000,12.800000,12.437311,102600
2023-04-17,12.760000,12.890000,12.710000,12.880000,12.515045,97200
2023-04-18,12.870000,12.920000,12.750000,12.770000,12.408162,120700
2023-04-19,12.680000,12.790000,12.650000,12.770000,12.408162,64900
2023-04-20,12.690000,12.830000,12.620000,12.810000,12.447029,111000
2023-04-21,12.800000,12.840000,12.350000,12.410000,12.058363,105300
2023-04-24,12.420000,12.440000,12.050000,12.290000,11.941762,80300
2023-04-25,12.170000,12.170000,11.910000,11.980000,11.640546,133900
2023-04-26,11.950000,12.020000,11.790000,11.920000,11.582247,124500
2023-04-27,11.930000,11.930000,11.640000,11.750000,11.417064,152200
2023-04-28,11.780000,12.020000,11.750000,11.940000,11.601680,122200
2023-05-01,11.910000,12.430000,11.800000,12.320000,11.970912,150500
2023-05-02,12.160000,12.210000,11.710000,12.160000,11.921891,145200
2023-05-03,12.160000,12.460000,12.160000,12.280000,12.039541,118200
2023-05-04,12.240000,12.270000,11.750000,12.070000,11.833653,131800
2023-05-05,12.170000,12.580000,12.170000,12.540000,12.294452,141700
2023-05-08,12.560000,12.560000,12.070000,12.180000,11.941501,109800
2023-05-09,12.160000,12.220000,12.050000,12.130000,11.892479,80300
2023-05-10,12.310000,12.310000,12.050000,12.150000,11.912087,110500
2023-05-11,12.080000,12.290000,12.060000,12.230000,11.990520,96200
2023-05-12,12.250000,12.370000,12.200000,12.270000,12.029738,81500
2023-05-15,12.300000,12.380000,12.200000,12.220000,11.980717,90700
2023-05-16,12.140000,12.460000,12.140000,12.270000,12.029738,261900
2023-05-17,12.360000,12.690000,12.340000,12.690000,12.441513,142700
