Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.441000,0.450000,0.360000,0.374000,0.374000,2140600
2022-12-28,0.360000,0.370000,0.340000,0.345000,0.345000,834900
2022-12-29,0.360000,0.367000,0.332000,0.356000,0.356000,410100
2022-12-30,0.356000,0.420000,0.330000,0.420000,0.420000,777400
2023-01-03,0.410000,0.500000,0.390000,0.479000,0.479000,695400
2023-01-04,0.480000,0.500000,0.440000,0.482000,0.482000,525200
2023-01-05,0.458000,0.485000,0.455000,0.461000,0.461000,348200
2023-01-06,0.461000,0.480000,0.430000,0.452000,0.452000,277200
2023-01-09,0.457000,0.510000,0.452000,0.501000,0.501000,201100
2023-01-10,0.510000,0.510000,0.450000,0.500000,0.500000,243800
2023-01-11,0.503000,0.513000,0.480000,0.490000,0.490000,86500
2023-01-12,0.490000,0.540000,0.485000,0.525000,0.525000,145700
2023-01-13,0.538000,0.630000,0.520000,0.625000,0.625000,213000
2023-01-17,0.640000,0.700000,0.590000,0.621000,0.621000,270800
2023-01-18,0.640000,0.640000,0.580000,0.611000,0.611000,181100
2023-01-19,0.569000,0.629000,0.550000,0.581000,0.581000,271200
2023-01-20,0.601000,0.629000,0.577000,0.618000,0.618000,86700
2023-01-23,0.610000,0.650000,0.580000,0.619000,0.619000,119300
2023-01-24,0.620000,0.630000,0.610000,0.613000,0.613000,99400
2023-01-25,0.607000,0.650000,0.571000,0.610000,0.610000,79700
2023-01-26,0.600000,0.645000,0.600000,0.626000,0.626000,35900
2023-01-27,0.641000,0.660000,0.610000,0.638000,0.638000,100900
2023-01-30,0.628000,0.628000,0.600000,0.611000,0.611000,30100
2023-01-31,0.650000,0.660000,0.615000,0.630000,0.630000,96100
2023-02-01,0.620000,0.689000,0.615000,0.631000,0.631000,16200
2023-02-02,0.630000,0.650000,0.620000,0.642000,0.642000,77300
2023-02-03,0.642000,0.699000,0.620000,0.620000,0.620000,496700
2023-02-06,0.630000,0.650000,0.560000,0.620000,0.620000,249200
2023-02-07,0.610000,0.610000,0.568000,0.604000,0.604000,110800
2023-02-08,0.586000,0.610000,0.561000,0.574000,0.574000,58200
2023-02-09,0.570000,0.580000,0.530000,0.544000,0.544000,108600
2023-02-10,0.570000,0.570000,0.529000,0.550000,0.550000,109500
2023-02-13,0.550000,0.554000,0.530000,0.554000,0.554000,80500
2023-02-14,0.572000,0.582000,0.538000,0.551000,0.551000,28900
2023-02-15,0.533000,0.550000,0.502000,0.550000,0.550000,133500
2023-02-16,0.523000,0.568000,0.480000,0.504000,0.504000,190500
2023-02-17,0.491000,0.540000,0.490000,0.528000,0.528000,93600
2023-02-21,0.540000,0.550000,0.500000,0.506000,0.506000,106100
2023-02-22,0.520000,0.541000,0.506000,0.506000,0.506000,55000
2023-02-23,0.507000,0.840000,0.507000,0.682000,0.682000,2517000
2023-02-24,0.590000,0.650000,0.530000,0.649000,0.649000,645700
2023-02-27,0.649000,0.649000,0.550000,0.550000,0.550000,173500
2023-02-28,0.567000,0.586000,0.522000,0.527000,0.527000,64000
2023-03-01,0.500000,0.750000,0.500000,0.621000,0.621000,676200
2023-03-02,0.610000,0.620000,0.530000,0.559000,0.559000,87200
2023-03-03,0.560000,0.580000,0.540000,0.568000,0.568000,66500
2023-03-06,0.563000,0.620000,0.545000,0.603000,0.603000,63100
2023-03-07,0.608000,0.697000,0.590000,0.680000,0.680000,183700
2023-03-08,0.700000,0.755000,0.613000,0.636000,0.636000,139000
2023-03-09,0.617000,0.617000,0.556000,0.571000,0.571000,83000
2023-03-10,0.525000,0.571000,0.444000,0.480000,0.480000,124300
2023-03-13,0.460000,0.460000,0.331000,0.340000,0.340000,460200
2023-03-14,0.351000,0.453000,0.351000,0.360000,0.360000,370000
2023-03-15,0.410000,0.410000,0.340000,0.370000,0.370000,117200
2023-03-16,0.390000,0.400000,0.360000,0.400000,0.400000,108200
2023-03-17,0.380000,0.396000,0.370000,0.370000,0.370000,97800
2023-03-20,0.384000,0.387000,0.352000,0.360000,0.360000,81100
2023-03-21,0.360000,0.378000,0.360000,0.364000,0.364000,83100
2023-03-22,0.380000,0.397000,0.351000,0.397000,0.397000,107700
2023-03-23,0.382000,0.407000,0.345000,0.393000,0.393000,153100
2023-03-24,0.381000,0.394000,0.351000,0.394000,0.394000,113200
2023-03-27,0.390000,0.390000,0.341000,0.346000,0.346000,261000
2023-03-28,0.341000,0.366000,0.340000,0.350000,0.350000,164400
2023-03-29,0.350000,0.375000,0.350000,0.360000,0.360000,176600
2023-03-30,0.380000,0.380000,0.335000,0.335000,0.335000,125100
2023-03-31,0.339000,0.378000,0.305000,0.320000,0.320000,261400
2023-04-03,0.330000,0.336000,0.303000,0.306000,0.306000,71400
2023-04-04,0.330000,0.330000,0.300000,0.306000,0.306000,122000
2023-04-05,0.350000,0.350000,0.261000,0.288000,0.288000,164600
2023-04-06,0.280000,0.294000,0.252000,0.270000,0.270000,181900
2023-04-10,0.270000,0.310000,0.270000,0.282000,0.282000,363600
2023-04-11,0.274000,0.336000,0.274000,0.310000,0.310000,84500
2023-04-12,0.310000,0.315000,0.292000,0.303000,0.303000,84900
2023-04-13,0.297000,0.305000,0.286000,0.286000,0.286000,58400
2023-04-14,0.296000,0.310000,0.256000,0.256000,0.256000,72500
2023-04-17,0.248000,0.273000,0.245000,0.254000,0.254000,118100
2023-04-18,0.244000,0.289000,0.244000,0.260000,0.260000,87500
2023-04-19,0.260000,0.347000,0.255000,0.340000,0.340000,356200
2023-04-20,0.334000,0.334000,0.284000,0.315000,0.315000,93200
2023-04-21,0.296000,0.314000,0.285000,0.285000,0.285000,78700
2023-04-24,0.330000,0.330000,0.280000,0.286000,0.286000,47700
2023-04-25,0.284000,0.295000,0.270000,0.270000,0.270000,101200
2023-04-26,0.263000,0.274000,0.251000,0.274000,0.274000,57400
2023-04-27,0.309000,0.309000,0.260000,0.296000,0.296000,158800
2023-04-28,0.293000,0.300000,0.271000,0.295000,0.295000,137500
2023-05-01,0.272000,0.296000,0.263000,0.264000,0.264000,213900
2023-05-02,0.224000,0.263000,0.211000,0.243000,0.243000,314000
2023-05-03,0.282000,0.282000,0.240000,0.251000,0.251000,56200
2023-05-04,0.269000,0.269000,0.251000,0.260000,0.260000,57300
2023-05-05,0.260000,0.275000,0.251000,0.270000,0.270000,59700
2023-05-08,0.278000,0.310000,0.250000,0.310000,0.310000,396900
2023-05-09,0.310000,0.320000,0.280000,0.317000,0.317000,176200
2023-05-10,0.308000,0.308000,0.282000,0.283000,0.283000,73700
2023-05-11,0.283000,0.288000,0.260000,0.280000,0.280000,96500
2023-05-12,0.270000,0.270000,0.255000,0.270000,0.270000,49900
2023-05-15,0.260000,0.282000,0.256000,0.282000,0.282000,97800
2023-05-16,0.270000,0.282000,0.260000,0.282000,0.282000,31100
2023-05-17,0.268000,0.281000,0.255000,0.281000,0.281000,58000
2023-05-18,0.271000,0.282000,0.266000,0.273000,0.273000,12200
2023-05-19,0.273000,0.282000,0.260000,0.282000,0.282000,24700
2023-05-22,0.281000,0.281000,0.249000,0.266000,0.266000,169100
2023-05-23,0.254000,0.286000,0.254000,0.286000,0.286000,90700
2023-05-24,0.281000,0.286000,0.260000,0.275000,0.275000,78800
2023-05-25,0.269000,0.279000,0.260000,0.265000,0.265000,42400
2023-05-26,0.270000,0.277000,0.260000,0.270000,0.270000,235000
2023-05-30,0.264000,0.264000,0.250000,0.256000,0.256000,208400
2023-05-31,0.280000,0.282000,0.251000,0.266000,0.266000,95700
2023-06-01,0.283000,0.283000,0.257000,0.267000,0.267000,26500
2023-06-02,0.240000,0.265000,0.240000,0.260000,0.260000,36800
2023-06-05,0.260000,0.270000,0.257000,0.270000,0.270000,81200
2023-06-06,0.260000,0.279000,0.260000,0.270000,0.270000,254900
2023-06-07,0.260000,0.286000,0.248000,0.286000,0.286000,215400
2023-06-08,0.280000,0.320000,0.260000,0.263000,0.263000,273500
2023-06-09,0.276000,0.489000,0.258000,0.330000,0.330000,4300700
2023-06-12,0.330000,0.357000,0.295000,0.339000,0.339000,643400
2023-06-13,0.329000,0.368000,0.288000,0.368000,0.368000,434400
2023-06-14,0.357000,0.357000,0.271000,0.340000,0.340000,980500
2023-06-15,0.290000,0.327000,0.290000,0.311000,0.311000,136700
2023-06-16,0.296000,0.323000,0.283000,0.283000,0.283000,98000
2023-06-20,0.300000,0.306000,0.276000,0.276000,0.276000,117000
2023-06-21,0.276000,0.285000,0.270000,0.273000,0.273000,46600
2023-06-22,0.264000,0.284000,0.255000,0.268000,0.268000,148900
2023-06-23,0.272000,0.275000,0.260000,0.260000,0.260000,569700
2023-06-26,0.287000,0.295000,0.260000,0.295000,0.295000,349700
2023-06-27,0.287000,0.295000,0.267000,0.275000,0.275000,112300
2023-06-28,0.270000,0.284000,0.262000,0.275000,0.275000,33900
2023-06-29,0.279000,0.286000,0.260000,0.282000,0.282000,175300
2023-06-30,0.270000,0.288000,0.253000,0.258000,0.258000,487700
2023-07-03,0.260000,0.285000,0.260000,0.270000,0.270000,105900
2023-07-05,0.280000,0.290000,0.261000,0.275000,0.275000,174200
2023-07-06,0.284000,0.304000,0.270000,0.300000,0.300000,523600
2023-07-07,0.301000,0.330000,0.290000,0.330000,0.330000,126600
2023-07-10,0.314000,0.340000,0.291000,0.330000,0.330000,181200
2023-07-11,0.321000,0.350000,0.243000,0.341000,0.341000,185800
2023-07-12,0.331000,0.334000,0.308000,0.320000,0.320000,58200
2023-07-13,0.321000,0.340000,0.320000,0.340000,0.340000,120300
2023-07-14,0.338000,0.349000,0.310000,0.310000,0.310000,274200
2023-07-17,0.299000,0.329000,0.295000,0.329000,0.329000,83400
2023-07-18,0.328000,0.350000,0.305000,0.333000,0.333000,221100
2023-07-19,0.330000,0.341000,0.320000,0.341000,0.341000,59100
2023-07-20,0.313000,0.340000,0.313000,0.331000,0.331000,44300
2023-07-21,0.327000,0.336000,0.321000,0.329000,0.329000,14800
