Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.000000,4.030000,3.750000,3.770000,3.770000,540900
2022-12-28,3.780000,3.960000,3.720000,3.750000,3.750000,643800
2022-12-29,3.800000,4.050000,3.740000,4.015000,4.015000,466000
2022-12-30,3.980000,4.015000,3.795000,3.960000,3.960000,636300
2023-01-03,3.970000,4.193000,3.805000,3.900000,3.900000,727700
2023-01-04,3.950000,4.060000,3.850000,3.940000,3.940000,430800
2023-01-05,3.900000,3.921000,3.700000,3.750000,3.750000,624400
2023-01-06,3.850000,3.970000,3.620000,3.870000,3.870000,649400
2023-01-09,3.930000,4.140000,3.930000,4.080000,4.080000,663100
2023-01-10,4.040000,4.150000,3.920000,4.050000,4.050000,312600
2023-01-11,4.090000,4.350000,4.060000,4.230000,4.230000,451300
2023-01-12,4.300000,4.320000,4.080000,4.300000,4.300000,319500
2023-01-13,4.230000,4.420000,4.230000,4.390000,4.390000,296200
2023-01-17,4.450000,4.550000,4.320000,4.370000,4.370000,283600
2023-01-18,4.450000,4.510000,4.010000,4.110000,4.110000,523000
2023-01-19,3.980000,4.020000,3.790000,3.820000,3.820000,794700
2023-01-20,3.950000,3.980000,3.805000,3.840000,3.840000,551400
2023-01-23,3.930000,4.290000,3.860000,4.160000,4.160000,596800
2023-01-24,4.100000,4.180000,3.985000,4.060000,4.060000,275700
2023-01-25,4.010000,4.180000,3.930000,4.160000,4.160000,258300
2023-01-26,4.300000,4.360000,4.110000,4.190000,4.190000,322300
2023-01-27,4.150000,4.310000,4.150000,4.310000,4.310000,231700
2023-01-30,4.290000,4.555000,4.230000,4.320000,4.320000,448400
2023-01-31,4.340000,4.740000,4.340000,4.670000,4.670000,790300
2023-02-01,4.560000,4.710000,4.370000,4.600000,4.600000,761200
2023-02-02,4.620000,4.790000,4.535000,4.700000,4.700000,698600
2023-02-03,4.600000,4.990000,4.520000,4.690000,4.690000,588700
2023-02-06,4.690000,4.820000,4.460000,4.520000,4.520000,538600
2023-02-07,4.500000,4.570000,4.310000,4.370000,4.370000,377500
2023-02-08,4.320000,4.490000,4.300000,4.380000,4.380000,342700
2023-02-09,4.420000,4.500000,4.200000,4.300000,4.300000,370700
2023-02-10,4.230000,4.290000,4.065000,4.220000,4.220000,503700
2023-02-13,4.320000,4.650000,4.250000,4.610000,4.610000,617000
2023-02-14,4.600000,4.934000,4.440000,4.790000,4.790000,543700
2023-02-15,4.760000,4.950000,4.660000,4.930000,4.930000,561700
2023-02-16,4.800000,4.840000,4.440000,4.510000,4.510000,399100
2023-02-17,4.540000,4.595000,4.260000,4.300000,4.300000,297900
2023-02-21,4.250000,4.370000,3.910000,3.920000,3.920000,566100
2023-02-22,3.930000,4.010000,3.805000,3.900000,3.900000,554600
2023-02-23,3.980000,4.070000,3.860000,3.900000,3.900000,436000
2023-02-24,3.850000,3.895000,3.750000,3.810000,3.810000,332300
2023-02-27,3.860000,3.910000,3.785000,3.850000,3.850000,400200
2023-02-28,3.810000,3.812000,3.530000,3.570000,3.570000,1209400
2023-03-01,3.600000,3.790000,3.540000,3.700000,3.700000,533700
2023-03-02,3.620000,3.760000,3.550000,3.630000,3.630000,353600
2023-03-03,3.640000,3.880000,3.560000,3.840000,3.840000,428300
2023-03-06,3.860000,3.860000,3.640000,3.680000,3.680000,430200
2023-03-07,3.710000,3.780000,3.600000,3.610000,3.610000,325000
2023-03-08,3.610000,3.680000,3.480000,3.505000,3.505000,631600
2023-03-09,3.350000,3.400000,2.950000,2.985000,2.985000,1773400
2023-03-10,2.970000,2.970000,2.670000,2.680000,2.680000,1490200
2023-03-13,2.650000,2.910000,2.510000,2.760000,2.760000,751600
2023-03-14,2.790000,2.930000,2.715000,2.760000,2.760000,636700
2023-03-15,2.650000,2.780000,2.614000,2.710000,2.710000,925400
2023-03-16,2.630000,2.790000,2.600000,2.790000,2.790000,843700
2023-03-17,2.760000,2.805000,2.635000,2.750000,2.750000,792800
2023-03-20,2.750000,2.760000,2.530000,2.600000,2.600000,822900
2023-03-21,2.620000,2.840000,2.620000,2.770000,2.770000,588600
2023-03-22,2.770000,2.850000,2.680000,2.690000,2.690000,354100
2023-03-23,2.690000,2.799000,2.550000,2.600000,2.600000,508000
2023-03-24,2.580000,2.630000,2.510000,2.610000,2.610000,366900
2023-03-27,2.700000,2.760000,2.610000,2.720000,2.720000,381200
2023-03-28,2.680000,2.729000,2.420000,2.425000,2.425000,679500
2023-03-29,2.480000,2.480000,2.150000,2.250000,2.250000,988900
2023-03-30,2.260000,2.315000,2.100000,2.150000,2.150000,870200
2023-03-31,2.170000,2.380000,2.140000,2.320000,2.320000,1016800
2023-04-03,2.380000,2.640000,2.360000,2.430000,2.430000,759800
2023-04-04,2.460000,2.470000,2.220000,2.260000,2.260000,541000
2023-04-05,2.240000,2.240000,2.125000,2.130000,2.130000,482100
2023-04-06,2.140000,2.157000,2.010000,2.030000,2.030000,682300
2023-04-10,2.030000,2.065000,1.985000,2.040000,2.040000,583000
2023-04-11,2.030000,2.290000,2.030000,2.260000,2.260000,593000
