Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.230000,2.240000,2.090000,2.200000,2.200000,1719200
2022-12-28,2.160000,2.250000,2.120000,2.120000,2.120000,1297900
2022-12-29,2.140000,2.250000,2.120000,2.210000,2.210000,1347200
2022-12-30,2.180000,2.370000,2.180000,2.350000,2.350000,1074800
2023-01-03,2.360000,2.520000,2.350000,2.480000,2.480000,1337000
2023-01-04,2.500000,2.620000,2.490000,2.590000,2.590000,939200
2023-01-05,2.560000,2.560000,2.460000,2.510000,2.510000,787700
2023-01-06,2.560000,2.560000,2.450000,2.510000,2.510000,935900
2023-01-09,2.520000,2.600000,2.450000,2.500000,2.500000,647200
2023-01-10,2.500000,2.550000,2.360000,2.460000,2.460000,672300
2023-01-11,2.500000,2.570000,2.420000,2.560000,2.560000,803400
2023-01-12,2.600000,2.890000,2.580000,2.820000,2.820000,1452100
2023-01-13,2.810000,2.810000,2.610000,2.730000,2.730000,1188000
2023-01-17,2.710000,2.850000,2.620000,2.840000,2.840000,758800
2023-01-18,2.870000,2.960000,2.710000,2.790000,2.790000,1488200
2023-01-19,2.720000,2.880000,2.700000,2.820000,2.820000,721200
2023-01-20,2.830000,2.920000,2.780000,2.850000,2.850000,918200
2023-01-23,2.880000,3.000000,2.850000,2.880000,2.880000,1033300
2023-01-24,2.880000,3.000000,2.830000,2.890000,2.890000,740800
2023-01-25,2.860000,2.870000,2.760000,2.840000,2.840000,632900
2023-01-26,2.840000,2.900000,2.760000,2.850000,2.850000,887100
2023-01-27,2.820000,2.990000,2.820000,2.940000,2.940000,559200
2023-01-30,2.890000,3.000000,2.800000,2.880000,2.880000,501500
2023-01-31,2.900000,2.960000,2.860000,2.910000,2.910000,503700
2023-02-01,2.890000,3.030000,2.840000,3.010000,3.010000,887300
2023-02-02,3.050000,3.380000,2.840000,2.890000,2.890000,2655700
2023-02-03,2.830000,3.090000,2.830000,2.830000,2.830000,948600
2023-02-06,2.860000,2.930000,2.790000,2.830000,2.830000,900900
2023-02-07,2.830000,2.960000,2.750000,2.940000,2.940000,984100
2023-02-08,2.920000,3.000000,2.840000,2.860000,2.860000,611300
2023-02-09,2.930000,2.930000,2.770000,2.840000,2.840000,1082400
2023-02-10,2.830000,2.910000,2.720000,2.890000,2.890000,1627700
2023-02-13,2.990000,2.990000,2.640000,2.660000,2.660000,2582300
2023-02-14,2.500000,2.680000,2.430000,2.440000,2.440000,3746100
2023-02-15,2.560000,2.810000,2.490000,2.770000,2.770000,1537400
2023-02-16,2.750000,2.860000,2.700000,2.750000,2.750000,775100
2023-02-17,2.670000,2.720000,2.490000,2.550000,2.550000,1521200
2023-02-21,2.510000,2.680000,2.460000,2.460000,2.460000,703800
2023-02-22,2.500000,2.590000,2.500000,2.540000,2.540000,935000
2023-02-23,2.540000,2.570000,2.470000,2.520000,2.520000,528000
2023-02-24,2.450000,2.490000,2.400000,2.440000,2.440000,1118900
2023-02-27,2.480000,2.580000,2.460000,2.530000,2.530000,380100
2023-02-28,2.540000,2.590000,2.480000,2.560000,2.560000,985900
2023-03-01,2.510000,2.530000,2.480000,2.500000,2.500000,294800
2023-03-02,2.490000,2.510000,2.360000,2.450000,2.450000,702400
2023-03-03,2.510000,2.580000,2.460000,2.530000,2.530000,680900
2023-03-06,2.500000,2.760000,2.500000,2.650000,2.650000,848200
2023-03-07,2.630000,2.660000,2.520000,2.540000,2.540000,543100
2023-03-08,2.540000,2.560000,2.420000,2.440000,2.440000,471200
2023-03-09,2.440000,2.480000,2.330000,2.360000,2.360000,388100
2023-03-10,2.350000,2.390000,2.130000,2.210000,2.210000,1239600
2023-03-13,2.190000,2.610000,2.110000,2.470000,2.470000,2226500
2023-03-14,2.520000,2.580000,2.340000,2.370000,2.370000,548600
2023-03-15,2.340000,2.370000,2.190000,2.250000,2.250000,706800
2023-03-16,2.220000,2.270000,2.180000,2.250000,2.250000,441800
2023-03-17,2.250000,2.270000,2.120000,2.150000,2.150000,1108800
2023-03-20,2.110000,2.210000,2.100000,2.140000,2.140000,368300
2023-03-21,2.350000,2.350000,2.140000,2.240000,2.240000,479600
2023-03-22,2.230000,2.260000,2.140000,2.180000,2.180000,463000
2023-03-23,2.290000,2.290000,2.160000,2.220000,2.220000,327900
2023-03-24,2.220000,2.220000,2.120000,2.150000,2.150000,307400
2023-03-27,2.130000,2.170000,2.100000,2.120000,2.120000,305400
2023-03-28,2.130000,2.170000,2.050000,2.060000,2.060000,469400
2023-03-29,2.080000,2.140000,2.030000,2.130000,2.130000,374000
2023-03-30,2.110000,2.250000,2.090000,2.190000,2.190000,792700
2023-03-31,2.190000,2.270000,2.140000,2.270000,2.270000,354400
2023-04-03,2.270000,2.290000,2.150000,2.210000,2.210000,503900
2023-04-04,2.220000,2.220000,2.120000,2.200000,2.200000,475700
2023-04-05,2.180000,2.180000,2.090000,2.150000,2.150000,326000
2023-04-06,2.130000,2.170000,2.080000,2.160000,2.160000,281600
2023-04-10,2.110000,2.190000,2.090000,2.180000,2.180000,341500
2023-04-11,2.190000,2.230000,2.120000,2.180000,2.180000,413300
2023-04-12,2.200000,2.230000,2.080000,2.090000,2.090000,352800
2023-04-13,2.130000,2.150000,2.070000,2.150000,2.150000,283700
2023-04-14,2.110000,2.130000,2.060000,2.110000,2.110000,478000
2023-04-17,2.100000,2.130000,2.060000,2.100000,2.100000,253500
2023-04-18,2.100000,2.100000,2.030000,2.050000,2.050000,415500
