Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.990000,4.040000,3.900000,3.930000,3.930000,30400
2022-12-28,3.880000,4.030000,3.830000,3.840000,3.840000,53400
2022-12-29,3.990000,4.250000,3.850000,4.160000,4.160000,35600
2022-12-30,4.310000,4.330000,3.980000,4.250000,4.250000,49400
2023-01-03,4.220000,4.380000,4.020000,4.190000,4.190000,36100
2023-01-04,4.150000,4.410000,4.150000,4.250000,4.250000,15800
2023-01-05,4.260000,4.290000,4.050000,4.110000,4.110000,42300
2023-01-06,4.210000,4.290000,4.090000,4.090000,4.090000,18300
2023-01-09,4.380000,4.460000,4.050000,4.190000,4.190000,35400
2023-01-10,4.130000,4.330000,4.100000,4.320000,4.320000,40700
2023-01-11,4.560000,4.710000,4.350000,4.460000,4.460000,71400
2023-01-12,4.520000,4.660000,4.470000,4.600000,4.600000,26300
2023-01-13,4.560000,5.000000,4.510000,5.000000,5.000000,52600
2023-01-17,5.000000,5.040000,4.700000,4.820000,4.820000,54400
2023-01-18,4.810000,4.930000,4.410000,4.640000,4.640000,64900
2023-01-19,4.530000,4.640000,4.350000,4.540000,4.540000,59500
2023-01-20,4.260000,4.820000,4.110000,4.760000,4.760000,31600
2023-01-23,4.790000,4.790000,4.280000,4.470000,4.470000,66000
2023-01-24,4.550000,4.610000,4.260000,4.460000,4.460000,25500
2023-01-25,4.500000,4.680000,4.230000,4.480000,4.480000,43300
2023-01-26,4.450000,4.680000,4.350000,4.410000,4.410000,28200
2023-01-27,4.310000,4.620000,4.310000,4.460000,4.460000,44600
2023-01-30,4.460000,4.520000,4.320000,4.350000,4.350000,27800
2023-01-31,4.350000,4.520000,4.300000,4.370000,4.370000,21900
2023-02-01,4.380000,4.580000,4.280000,4.500000,4.500000,43900
2023-02-02,4.410000,4.620000,4.370000,4.620000,4.620000,21700
2023-02-03,4.510000,4.660000,4.200000,4.570000,4.570000,24800
2023-02-06,4.500000,4.500000,4.310000,4.370000,4.370000,16900
2023-02-07,4.460000,4.460000,4.250000,4.350000,4.350000,37700
2023-02-08,4.350000,4.420000,4.160000,4.260000,4.260000,22400
2023-02-09,4.320000,4.320000,3.850000,3.930000,3.930000,130700
2023-02-10,3.860000,4.100000,3.860000,3.950000,3.950000,38000
2023-02-13,3.990000,4.250000,3.930000,4.220000,4.220000,52600
