Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.390000,1.590000,1.090000,1.320000,1.320000,27500
2022-12-28,1.240000,1.420000,1.240000,1.260000,1.260000,13200
2022-12-29,1.300000,1.320000,1.100000,1.200000,1.200000,13700
2022-12-30,1.200000,1.270000,1.080000,1.100000,1.100000,24000
2023-01-03,1.180000,1.200000,1.120000,1.120000,1.120000,12100
2023-01-04,1.110000,1.200000,1.110000,1.120000,1.120000,6800
2023-01-05,1.060000,1.110000,1.040000,1.060000,1.060000,5700
2023-01-06,1.030000,1.210000,1.010000,1.160000,1.160000,4600
2023-01-09,1.280000,1.450000,1.150000,1.220000,1.220000,31200
2023-01-10,1.240000,1.590000,1.230000,1.290000,1.290000,29600
2023-01-11,1.350000,1.460000,1.300000,1.370000,1.370000,20400
2023-01-12,1.410000,1.570000,1.300000,1.410000,1.410000,17100
2023-01-13,1.500000,1.610000,1.470000,1.560000,1.560000,9400
2023-01-17,1.510000,1.550000,1.390000,1.550000,1.550000,4000
2023-01-18,1.500000,1.650000,1.480000,1.480000,1.480000,14000
2023-01-19,1.400000,1.630000,1.390000,1.510000,1.510000,3500
2023-01-20,1.430000,1.660000,1.430000,1.450000,1.450000,4400
2023-01-23,1.450000,1.620000,1.450000,1.600000,1.600000,5800
2023-01-24,1.410000,1.590000,1.390000,1.550000,1.550000,5500
2023-01-25,1.570000,1.570000,1.450000,1.450000,1.450000,3400
2023-01-26,1.460000,1.550000,1.460000,1.500000,1.500000,9800
2023-01-27,1.520000,1.540000,1.500000,1.530000,1.530000,5800
2023-01-30,1.500000,1.520000,1.410000,1.430000,1.430000,3400
2023-01-31,1.430000,1.490000,1.420000,1.420000,1.420000,2200
2023-02-01,1.410000,1.460000,1.410000,1.450000,1.450000,6700
2023-02-02,1.450000,1.480000,1.410000,1.440000,1.440000,6600
2023-02-03,1.430000,1.480000,1.410000,1.470000,1.470000,10600
2023-02-06,1.480000,1.480000,1.390000,1.390000,1.390000,1300
2023-02-07,1.450000,1.450000,1.390000,1.390000,1.390000,1600
2023-02-08,1.400000,1.440000,1.390000,1.430000,1.430000,2800
2023-02-09,1.420000,1.420000,1.310000,1.310000,1.310000,6400
2023-02-10,1.290000,1.290000,1.210000,1.210000,1.210000,3000
2023-02-13,1.220000,1.230000,1.210000,1.230000,1.230000,1100
2023-02-14,1.210000,1.290000,1.210000,1.280000,1.280000,3300
2023-02-15,1.240000,1.240000,1.230000,1.230000,1.230000,900
2023-02-16,1.220000,1.220000,1.220000,1.220000,1.220000,700
2023-02-17,1.220000,1.220000,1.220000,1.220000,1.220000,700
2023-02-21,1.120000,1.210000,1.120000,1.210000,1.210000,1100
2023-02-22,1.160000,1.210000,1.090000,1.170000,1.170000,8100
2023-02-23,1.130000,1.130000,1.130000,1.130000,1.130000,400
2023-02-24,1.130000,1.130000,1.130000,1.130000,1.130000,500
2023-02-27,1.100000,1.100000,1.070000,1.070000,1.070000,900
2023-02-28,1.070000,1.070000,1.030000,1.030000,1.030000,3900
2023-03-01,1.050000,1.120000,1.050000,1.070000,1.070000,3600
2023-03-02,1.060000,1.130000,1.050000,1.050000,1.050000,2800
2023-03-03,1.020000,1.040000,1.010000,1.020000,1.020000,3400
2023-03-06,1.070000,1.180000,1.000000,1.180000,1.180000,1700
2023-03-07,1.130000,1.140000,1.030000,1.050000,1.050000,4700
2023-03-08,1.100000,1.100000,1.000000,1.020000,1.020000,4100
2023-03-09,1.010000,1.020000,1.010000,1.010000,1.010000,4800
2023-03-10,1.000000,1.000000,0.870000,0.880000,0.880000,8100
2023-03-13,0.900000,1.030000,0.820000,0.880000,0.880000,6300
2023-03-14,0.860000,0.880000,0.820000,0.850000,0.850000,5300
2023-03-15,0.810000,0.810000,0.660000,0.700000,0.700000,12400
2023-03-16,0.750000,0.850000,0.650000,0.850000,0.850000,35800
2023-03-17,0.870000,1.500000,0.870000,1.140000,1.140000,550700
2023-03-20,1.140000,1.150000,1.060000,1.130000,1.130000,28400
2023-03-21,1.140000,1.450000,1.140000,1.450000,1.450000,85600
2023-03-22,1.450000,1.580000,1.360000,1.500000,1.500000,51200
2023-03-23,1.470000,1.570000,1.410000,1.570000,1.570000,34400
2023-03-24,1.630000,1.650000,1.420000,1.490000,1.490000,25900
2023-03-27,1.470000,1.620000,1.460000,1.590000,1.590000,23800
2023-03-28,1.440000,1.560000,1.440000,1.500000,1.500000,4600
2023-03-29,1.500000,1.580000,1.460000,1.560000,1.560000,10300
2023-03-30,1.540000,1.630000,1.500000,1.540000,1.540000,22000
2023-03-31,1.610000,1.660000,1.590000,1.640000,1.640000,15300
2023-04-03,1.640000,1.640000,1.520000,1.620000,1.620000,5000
2023-04-04,1.550000,1.610000,1.540000,1.600000,1.600000,3200
2023-04-05,1.540000,1.600000,1.540000,1.600000,1.600000,3200
2023-04-06,1.640000,1.650000,1.560000,1.560000,1.560000,2900
2023-04-10,1.650000,1.650000,1.630000,1.630000,1.630000,3800
2023-04-11,1.640000,1.750000,1.600000,1.740000,1.740000,14800
2023-04-12,1.750000,1.750000,1.640000,1.720000,1.720000,4300
2023-04-13,1.630000,1.740000,1.630000,1.700000,1.700000,5500
2023-04-14,1.660000,1.660000,1.660000,1.660000,1.660000,400
2023-04-17,1.660000,1.690000,1.630000,1.690000,1.690000,900
2023-04-18,1.650000,1.650000,1.650000,1.650000,1.650000,300
2023-04-19,1.650000,1.650000,1.600000,1.610000,1.610000,1900
2023-04-20,1.650000,1.650000,1.600000,1.600000,1.600000,2800
2023-04-21,1.630000,1.630000,1.560000,1.560000,1.560000,400
2023-04-24,1.610000,1.610000,1.550000,1.550000,1.550000,600
2023-04-25,1.580000,1.590000,1.570000,1.580000,1.580000,1700
2023-04-26,1.610000,1.650000,1.570000,1.590000,1.590000,2800
2023-04-27,1.610000,1.610000,1.510000,1.580000,1.580000,2300
2023-04-28,1.530000,1.530000,1.530000,1.530000,1.530000,400
2023-05-01,1.530000,1.870000,1.530000,1.690000,1.690000,36000
2023-05-02,1.680000,1.770000,1.540000,1.660000,1.660000,6500
2023-05-03,1.630000,1.870000,1.630000,1.640000,1.640000,1700
2023-05-04,1.620000,1.760000,1.540000,1.590000,1.590000,15300
2023-05-05,1.600000,1.600000,1.360000,1.460000,1.460000,6500
2023-05-08,1.430000,1.430000,1.370000,1.370000,1.370000,800
2023-05-09,1.340000,1.350000,1.000000,1.160000,1.160000,11200
