Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.030000,2.100000,1.953000,1.953000,1.953000,37414
2022-12-28,1.897000,1.960000,1.617000,1.932000,1.932000,99200
2022-12-29,1.890000,2.072000,1.820000,1.960000,1.960000,53143
2022-12-30,1.883000,2.002000,1.757000,1.932000,1.932000,89557
2023-01-03,1.890000,2.030000,1.834000,1.960000,1.960000,24886
2023-01-04,1.960000,2.226000,1.890000,2.058000,2.058000,102614
2023-01-05,2.072000,2.072000,1.869000,1.890000,1.890000,58943
2023-01-06,1.932000,1.960000,1.806000,1.869000,1.869000,81129
2023-01-09,1.897000,2.198000,1.890000,1.988000,1.988000,293686
2023-01-10,2.058000,2.730000,1.960000,2.317000,2.317000,632357
2023-01-11,2.450000,2.492000,2.135000,2.289000,2.289000,401800
2023-01-12,2.380000,3.108000,2.107000,2.975000,2.975000,1123014
2023-01-13,2.870000,3.500000,2.800000,2.975000,2.975000,724157
2023-01-17,3.150000,3.521000,3.052000,3.206000,3.206000,525657
2023-01-18,3.220000,3.220000,2.527000,2.583000,2.583000,411057
2023-01-19,2.576000,2.870000,2.527000,2.793000,2.793000,223057
2023-01-20,2.800000,3.150000,2.765000,3.143000,3.143000,200900
2023-01-23,3.150000,3.150000,2.800000,2.954000,2.954000,300129
2023-01-24,2.940000,3.101000,2.842000,2.926000,2.926000,161586
2023-01-25,2.919000,3.045000,2.597000,2.891000,2.891000,163143
2023-01-26,2.940000,3.143000,2.772000,2.856000,2.856000,133071
2023-01-27,2.800000,3.010000,2.723000,2.919000,2.919000,136000
2023-01-30,2.975000,2.989000,2.695000,2.695000,2.695000,124714
2023-01-31,2.695000,2.870000,2.660000,2.660000,2.660000,103957
2023-02-01,2.758000,2.814000,2.492000,2.667000,2.667000,203614
2023-02-02,2.800000,3.045000,2.625000,2.856000,2.856000,617143
2023-02-03,2.800000,3.038000,2.800000,2.898000,2.898000,264857
2023-02-06,2.807000,3.220000,2.807000,3.073000,3.073000,196386
2023-02-07,3.129000,3.129000,2.870000,3.038000,3.038000,123957
2023-02-08,3.024000,3.080000,2.835000,2.940000,2.940000,79100
2023-02-09,2.940000,3.010000,2.730000,2.786000,2.786000,71071
2023-02-10,2.800000,2.800000,2.450000,2.625000,2.625000,126857
2023-02-13,2.548000,2.660000,2.520000,2.597000,2.597000,77314
2023-02-14,2.625000,2.940000,2.576000,2.940000,2.940000,93686
2023-02-15,2.870000,3.360000,2.870000,3.332000,3.332000,261514
2023-02-16,3.290000,3.612000,3.150000,3.290000,3.290000,266800
2023-02-17,3.220000,3.570000,3.150000,3.360000,3.360000,152557
2023-02-21,3.220000,3.423000,2.877000,2.989000,2.989000,105014
2023-02-22,3.080000,3.080000,2.800000,3.073000,3.073000,53757
2023-02-23,3.108000,3.164000,2.912000,3.080000,3.080000,38386
2023-02-24,3.080000,3.185000,2.835000,3.003000,3.003000,53457
2023-02-27,3.010000,3.192000,2.807000,2.870000,2.870000,53743
2023-02-28,2.940000,3.003000,2.835000,2.947000,2.947000,41457
2023-03-01,2.975000,2.975000,2.814000,2.891000,2.891000,40343
2023-03-02,2.800000,2.842000,2.590000,2.653000,2.653000,140614
2023-03-03,2.653000,2.779000,2.541000,2.625000,2.625000,182000
2023-03-06,2.604000,2.660000,2.415000,2.450000,2.450000,135443
2023-03-07,2.569000,2.590000,2.324000,2.338000,2.338000,81171
2023-03-08,2.380000,2.450000,2.128000,2.170000,2.170000,132729
2023-03-09,2.170000,2.345000,2.135000,2.184000,2.184000,109129
2023-03-10,2.149000,2.170000,1.862000,1.967000,1.967000,113943
2023-03-13,2.030000,2.373000,2.030000,2.191000,2.191000,253114
2023-03-14,2.352000,2.436000,2.100000,2.170000,2.170000,253557
2023-03-15,2.079000,2.191000,1.981000,2.121000,2.121000,91529
2023-03-16,2.156000,2.198000,2.079000,2.170000,2.170000,54871
2023-03-17,2.310000,2.324000,2.170000,2.310000,2.310000,114943
2023-03-20,2.443000,2.443000,2.212000,2.254000,2.254000,93886
2023-03-21,2.261000,2.569000,2.191000,2.506000,2.506000,199786
2023-03-22,2.443000,2.660000,2.324000,2.415000,2.415000,142629
2023-03-23,2.520000,2.590000,2.422000,2.485000,2.485000,215271
2023-03-24,2.394000,2.555000,2.205000,2.436000,2.436000,124857
2023-03-27,2.450000,2.513000,2.205000,2.380000,2.380000,48800
2023-03-28,2.310000,2.352000,2.198000,2.289000,2.289000,44614
2023-03-29,2.408000,2.450000,2.240000,2.380000,2.380000,80257
2023-03-30,2.380000,2.485000,2.380000,2.394000,2.394000,28814
2023-03-31,2.317000,2.555000,2.317000,2.457000,2.457000,66343
2023-04-03,2.457000,2.520000,2.429000,2.450000,2.450000,33657
2023-04-04,2.485000,2.520000,2.401000,2.485000,2.485000,31414
2023-04-05,2.520000,2.520000,2.310000,2.443000,2.443000,43071
2023-04-06,2.373000,2.492000,2.359000,2.464000,2.464000,42286
2023-04-10,2.492000,2.520000,2.282000,2.345000,2.345000,154629
