Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.370000,2.490000,1.750000,2.010000,2.010000,738400
2022-12-28,2.020000,2.050000,1.710000,1.910000,1.910000,229400
2022-12-29,1.910000,2.460000,1.900000,2.450000,2.450000,303600
2022-12-30,2.350000,2.440000,2.180000,2.370000,2.370000,231700
2023-01-03,2.480000,2.586000,2.300000,2.400000,2.400000,119400
2023-01-04,2.400000,2.500000,2.260000,2.440000,2.440000,118300
2023-01-05,2.420000,2.430000,2.270000,2.350000,2.350000,58200
2023-01-06,2.300000,2.350000,2.250000,2.338000,2.338000,65900
2023-01-09,2.340000,2.400000,2.220000,2.330000,2.330000,81200
2023-01-10,2.310000,3.190000,2.305000,3.050000,3.050000,455900
2023-01-11,2.940000,3.300000,2.830000,3.015000,3.015000,177200
2023-01-12,3.000000,3.120000,2.680000,2.900000,2.900000,122900
2023-01-13,2.900000,3.100000,2.760000,2.780000,2.780000,227600
2023-01-17,2.800000,3.039000,2.360000,2.470000,2.470000,169600
2023-01-18,2.470000,2.770000,2.350000,2.395000,2.395000,94400
2023-01-19,2.350000,3.150000,2.330000,3.070000,3.070000,665600
2023-01-20,3.100000,4.730000,3.050000,4.170000,4.170000,1235500
2023-01-23,3.890000,4.330000,3.500000,3.635000,3.635000,431900
2023-01-24,3.640000,4.060000,3.640000,3.950000,3.950000,119400
2023-01-25,3.990000,4.650000,3.660000,4.540000,4.540000,273300
2023-01-26,4.990000,4.990000,4.260000,4.420000,4.420000,324800
2023-01-27,4.520000,5.230000,4.450000,4.900000,4.900000,321400
2023-01-30,5.000000,5.372000,4.760000,5.350000,5.350000,281400
2023-01-31,3.890000,4.340000,3.100000,3.930000,3.930000,1549400
2023-02-01,3.760000,4.020000,3.750000,3.920000,3.920000,247300
2023-02-02,3.860000,4.000000,3.631000,3.860000,3.860000,324900
2023-02-03,3.730000,3.750000,3.500000,3.600000,3.600000,317100
2023-02-06,3.540000,3.645000,2.980000,2.980000,2.980000,324700
2023-02-07,3.090000,3.100000,2.110000,2.260000,2.260000,769700
2023-02-08,2.250000,2.600000,2.250000,2.440000,2.440000,385900
2023-02-09,2.450000,2.600000,2.450000,2.480000,2.480000,116400
2023-02-10,2.490000,2.550000,2.420000,2.530000,2.530000,51900
2023-02-13,2.520000,2.520000,2.400000,2.450000,2.450000,71800
2023-02-14,2.400000,2.400000,2.000000,2.120000,2.120000,246600
2023-02-15,2.150000,2.240000,2.040000,2.170000,2.170000,89900
2023-02-16,2.200000,2.300000,2.090000,2.160000,2.160000,81900
2023-02-17,2.140000,2.292000,2.140000,2.250000,2.250000,42000
2023-02-21,2.200000,2.216000,2.020000,2.080000,2.080000,72300
2023-02-22,2.090000,2.160000,2.090000,2.120000,2.120000,126700
2023-02-23,2.160000,2.194000,2.130000,2.160000,2.160000,28800
2023-02-24,2.140000,2.160000,2.100000,2.130000,2.130000,65000
2023-02-27,2.100000,2.150000,2.090000,2.110000,2.110000,41400
2023-02-28,2.100000,2.119000,1.810000,1.850000,1.850000,196200
2023-03-01,1.900000,1.900000,1.821000,1.840000,1.840000,74300
2023-03-02,1.800000,1.861000,1.580000,1.660000,1.660000,128800
2023-03-03,1.650000,1.800000,1.650000,1.770000,1.770000,46900
2023-03-06,1.770000,1.850000,1.760000,1.760000,1.760000,37400
2023-03-07,1.810000,1.855000,1.750000,1.830000,1.830000,39800
2023-03-08,1.830000,1.830000,1.760000,1.760000,1.760000,24300
2023-03-09,1.760000,1.790000,1.700000,1.740000,1.740000,36300
2023-03-10,1.770000,1.795000,1.650000,1.710000,1.710000,38100
2023-03-13,1.660000,1.660000,1.380000,1.470000,1.470000,114900
2023-03-14,1.470000,1.525000,1.420000,1.440000,1.440000,70100
2023-03-15,1.487000,1.487000,1.370000,1.370000,1.370000,17300
2023-03-16,1.420000,1.420000,1.196000,1.250000,1.250000,120000
2023-03-17,1.280000,1.760000,1.210000,1.550000,1.550000,394800
2023-03-20,1.480000,1.750000,1.450000,1.610000,1.610000,114800
2023-03-21,1.660000,1.750000,1.500000,1.510000,1.510000,101300
2023-03-22,1.500000,1.640000,1.500000,1.510000,1.510000,79800
2023-03-23,1.560000,1.570000,1.400000,1.500000,1.500000,37600
2023-03-24,1.430000,1.500000,1.361000,1.440000,1.440000,26200
2023-03-27,1.380000,1.530000,1.380000,1.410000,1.410000,38000
2023-03-28,1.490000,1.490000,1.380000,1.450000,1.450000,48600
2023-03-29,1.470000,1.590000,1.410000,1.460000,1.460000,193700
2023-03-30,1.490000,1.500000,1.300000,1.360000,1.360000,163600
2023-03-31,1.500000,1.580000,1.400000,1.490000,1.490000,45700
2023-04-03,1.480000,1.520000,1.420000,1.510000,1.510000,43400
2023-04-04,1.500000,1.590000,1.450000,1.570000,1.570000,45700
2023-04-05,1.590000,1.630000,1.540000,1.570000,1.570000,48900
2023-04-06,1.610000,1.640000,1.550000,1.600000,1.600000,51800
2023-04-10,1.640000,1.880000,1.600000,1.860000,1.860000,165100
2023-04-11,1.900000,2.110000,1.900000,2.070000,2.070000,207800
2023-04-12,2.100000,2.100000,1.900000,1.990000,1.990000,93700
2023-04-13,2.000000,2.040000,1.960000,1.990000,1.990000,75100
2023-04-14,1.950000,2.000000,1.800000,1.840000,1.840000,133500
2023-04-17,1.940000,1.940000,1.810000,1.840000,1.840000,51900
2023-04-18,1.810000,1.860000,1.660000,1.680000,1.680000,42900
2023-04-19,1.660000,1.740000,1.600000,1.600000,1.600000,46100
2023-04-20,1.600000,1.695000,1.600000,1.695000,1.695000,11800
2023-04-21,1.700000,1.740000,1.650000,1.700000,1.700000,39000
2023-04-24,1.700000,1.820000,1.653000,1.770000,1.770000,81600
2023-04-25,1.770000,1.830000,1.750000,1.820000,1.820000,68600
2023-04-26,1.820000,1.990000,1.820000,1.890000,1.890000,83800
2023-04-27,1.950000,1.960000,1.855000,1.890000,1.890000,66300
2023-04-28,1.890000,2.600000,1.850000,2.300000,2.300000,1624700
2023-05-01,2.270000,2.280000,2.170000,2.210000,2.210000,198300
2023-05-02,2.240000,2.330000,2.080000,2.120000,2.120000,245100
2023-05-03,2.070000,2.200000,2.000000,2.030000,2.030000,136100
2023-05-04,2.010000,2.130000,1.900000,1.950000,1.950000,103000
2023-05-05,1.950000,2.110000,1.950000,1.960000,1.960000,64600
2023-05-08,2.040000,2.040000,1.940000,1.990000,1.990000,63100
